https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1640304000000,2021-12-24 00:00:00,DOG/USD,184760,197450,178060,187380,93470.9733918,0.49883111
1640217600000,2021-12-23 00:00:00,DOG/USD,176170,185460,170410,184760,70473.5869464,0.38143314
1640131200000,2021-12-22 00:00:00,DOG/USD,172200,180570,166500,174570,43271.6941173,0.24787589000000002
1640044800000,2021-12-21 00:00:00,DOG/USD,169080,173340,165220,172550,8758.1186245,0.05075699
1639958400000,2021-12-20 00:00:00,DOG/USD,170370,172870,161280,166390,7623.7485345,0.04581855
1639872000000,2021-12-19 00:00:00,DOG/USD,173950,176930,167160,170830,5685.5145193,0.03328171
1639785600000,2021-12-18 00:00:00,DOG/USD,168690,176420,164920,173250,8434.430235,0.04868358
1639699200000,2021-12-17 00:00:00,DOG/USD,176490,178840,165180,167640,7257.2730648,0.04329082
1639612800000,2021-12-16 00:00:00,DOG/USD,182300,186670,172320,175590,2103.0783039000003,0.01197721
1639526400000,2021-12-15 00:00:00,DOG/USD,191380,195530,169400,182840,68745.316808,0.3759862
1639440000000,2021-12-14 00:00:00,DOG/USD,158380,219620,155940,190090,59443.7453321,0.31271369
1639353600000,2021-12-13 00:00:00,DOG/USD,171840,172020,151920,159250,1091.1825925,0.00685201
1639267200000,2021-12-12 00:00:00,DOG/USD,167890,174720,161240,171630,78096.5277246,0.45502842
1639180800000,2021-12-11 00:00:00,DOG/USD,164180,172840,161470,166930,11798.6524632,0.07068024
1639094400000,2021-12-10 00:00:00,DOG/USD,171200,179470,160010,166150,223108.00943550002,1.34281077
1639008000000,2021-12-09 00:00:00,DOG/USD,180920,181450,168700,172380,19079.27697,0.1106815
1638921600000,2021-12-08 00:00:00,DOG/USD,175410,183610,171330,177400,5494.801792,0.03097408
