https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ENJ
1649894400000,2022-04-14 00:00:00,ENJ/USD,1.5873,1.6129,1.4964,1.5239,12563.140160380628,8244.07123852
1649808000000,2022-04-13 00:00:00,ENJ/USD,1.5557,1.6103,1.5302,1.593,20828.24374720077,13074.85483189
1649721600000,2022-04-12 00:00:00,ENJ/USD,1.5162,1.6132,1.5,1.5565,26837.569537566647,17242.25476233
1649635200000,2022-04-11 00:00:00,ENJ/USD,1.65,1.6673,1.4704,1.4943,53276.01840891746,35652.82634606
1649548800000,2022-04-10 00:00:00,ENJ/USD,1.7924,1.7924,1.6846,1.6846,10678.59861635468,6338.9520458
1649462400000,2022-04-09 00:00:00,ENJ/USD,1.6688,1.8238,1.661,1.8093,77451.98567804931,42807.70777541
1649376000000,2022-04-08 00:00:00,ENJ/USD,1.679,1.7728,1.6512,1.6512,57418.22066152089,34773.63169908
1649289600000,2022-04-07 00:00:00,ENJ/USD,1.5206,1.74,1.4836,1.6646,70585.89440370366,42404.11774823
1649203200000,2022-04-06 00:00:00,ENJ/USD,1.696,1.696,1.5204,1.5204,30574.934188563322,20109.79623031
1649116800000,2022-04-05 00:00:00,ENJ/USD,1.7871,1.8125,1.6986,1.6986,15081.800505446454,8878.95944039
1649030400000,2022-04-04 00:00:00,ENJ/USD,1.8618,1.8672,1.6983,1.7789,24204.662530511778,13606.53354911
1648944000000,2022-04-03 00:00:00,ENJ/USD,1.8531,1.9009,1.8075,1.8749,13591.791651332103,7249.34217896
1648857600000,2022-04-02 00:00:00,ENJ/USD,1.8555,1.9294,1.8244,1.8751,16356.531306026058,8723.01813558
1648771200000,2022-04-01 00:00:00,ENJ/USD,1.8137,1.9049,1.7365,1.858,67377.24829778046,36263.319858869996
1648684800000,2022-03-31 00:00:00,ENJ/USD,1.7929,1.966,1.7469,1.7692,102992.10381841427,58213.94066155
1648598400000,2022-03-30 00:00:00,ENJ/USD,1.7391,1.8262,1.6695,1.793,19512.70498105665,10882.71331905
1648512000000,2022-03-29 00:00:00,ENJ/USD,1.7304,1.8194,1.7125,1.753,32110.324591219058,18317.35572802
1648425600000,2022-03-28 00:00:00,ENJ/USD,1.7747,1.8453,1.6828,1.7056,37405.43112100455,21930.95164224
1648339200000,2022-03-27 00:00:00,ENJ/USD,1.6591,1.7962,1.6535,1.7935,16586.69338380064,9248.22602944
1648252800000,2022-03-26 00:00:00,ENJ/USD,1.6231,1.6525,1.5883,1.6525,7992.115000733675,4836.37821527
1648166400000,2022-03-25 00:00:00,ENJ/USD,1.6821,1.6821,1.5765,1.6138,54650.28633229854,33864.34894801
1648080000000,2022-03-24 00:00:00,ENJ/USD,1.55,1.6934,1.55,1.6846,51611.30779142639,30637.12916504
1647993600000,2022-03-23 00:00:00,ENJ/USD,1.4615,1.5564,1.4615,1.5426,16582.75618391035,10749.87435752
1647907200000,2022-03-22 00:00:00,ENJ/USD,1.432,1.4949,1.432,1.457,7217.250220836181,4953.50049474
1647820800000,2022-03-21 00:00:00,ENJ/USD,1.4462,1.4796,1.403,1.4444,10051.742808620264,6959.11299406
1647734400000,2022-03-20 00:00:00,ENJ/USD,1.5092,1.5092,1.4223,1.4482,2296.819533594846,1585.98227703
1647648000000,2022-03-19 00:00:00,ENJ/USD,1.4539,1.5465,1.4453,1.5042,7351.817798510772,4887.52679066
1647561600000,2022-03-18 00:00:00,ENJ/USD,1.3833,1.4553,1.37,1.4504,36219.72107777806,24972.22909389
1647475200000,2022-03-17 00:00:00,ENJ/USD,1.4208,1.44,1.3886,1.4162,17975.615010727128,12692.85059365
1647388800000,2022-03-16 00:00:00,ENJ/USD,1.3232,1.4174,1.3078,1.4131,19361.005029644384,13701.08628522
1647302400000,2022-03-15 00:00:00,ENJ/USD,1.3172,1.3367,1.2812,1.3348,20267.243214557784,15183.73030758
1647216000000,2022-03-14 00:00:00,ENJ/USD,1.2925,1.3374,1.2845,1.3286,6603.847276229476,4970.53084166
1647129600000,2022-03-13 00:00:00,ENJ/USD,1.3432,1.3797,1.2834,1.2924,12660.600356260127,9796.19340472
1647043200000,2022-03-12 00:00:00,ENJ/USD,1.319,1.3676,1.319,1.3289,12948.061474899137,9743.44305433
1646956800000,2022-03-11 00:00:00,ENJ/USD,1.3347,1.3535,1.2932,1.3233,23201.43663756613,17533.01340404
1646870400000,2022-03-10 00:00:00,ENJ/USD,1.3881,1.3927,1.3025,1.3453,12940.342908044331,9618.92730844
1646784000000,2022-03-09 00:00:00,ENJ/USD,1.3668,1.4416,1.3668,1.3822,29644.327499820673,21447.20554176
1646697600000,2022-03-08 00:00:00,ENJ/USD,1.3369,1.3626,1.3131,1.3131,5209.883493891443,3967.62127324
1646611200000,2022-03-07 00:00:00,ENJ/USD,1.3344,1.4125,1.2869,1.3204,24488.590801442617,18546.34262454
1646524800000,2022-03-06 00:00:00,ENJ/USD,1.4339,1.4687,1.347,1.347,10655.79276218871,7910.75928893
1646438400000,2022-03-05 00:00:00,ENJ/USD,1.3403,1.435,1.3403,1.4222,6161.034633776775,4332.04516508
1646352000000,2022-03-04 00:00:00,ENJ/USD,1.4742,1.4742,1.3408,1.3583,27217.437758143835,20037.86921751
1646265600000,2022-03-03 00:00:00,ENJ/USD,1.5558,1.5649,1.4576,1.4955,22410.55169731716,14985.32376952
1646179200000,2022-03-02 00:00:00,ENJ/USD,1.5981,1.6063,1.5377,1.5679,13117.26297476217,8366.13494149
1646092800000,2022-03-01 00:00:00,ENJ/USD,1.573,1.6413,1.5295,1.6314,39940.97510301131,24482.63767501
1646006400000,2022-02-28 00:00:00,ENJ/USD,1.3753,1.5847,1.3407,1.5621,26848.240897150336,17187.27411635
1645920000000,2022-02-27 00:00:00,ENJ/USD,1.4109,1.4861,1.3578,1.3589,14434.558463181573,10622.23744439
1645833600000,2022-02-26 00:00:00,ENJ/USD,1.4635,1.5,1.4264,1.4373,17930.797874506614,12475.33422007
1645747200000,2022-02-25 00:00:00,ENJ/USD,1.3805,1.4647,1.3224,1.4481,43415.5540642131,29981.046933370002
1645660800000,2022-02-24 00:00:00,ENJ/USD,1.37,1.4171,1.1799,1.3493,94744.46507890566,70217.49431476
1645574400000,2022-02-23 00:00:00,ENJ/USD,1.4774,1.5363,1.3887,1.3938,37427.36465357205,26852.75122225
1645488000000,2022-02-22 00:00:00,ENJ/USD,1.3924,1.4573,1.3477,1.452,54634.31688756492,37626.94000521
1645401600000,2022-02-21 00:00:00,ENJ/USD,1.5381,1.6372,1.3847,1.3872,81903.66862405905,59042.43701273
1645315200000,2022-02-20 00:00:00,ENJ/USD,1.6208,1.6208,1.498,1.5448,38462.44619891677,24898.01022716
1645228800000,2022-02-19 00:00:00,ENJ/USD,1.6796,1.7054,1.6065,1.6448,25715.685481279615,15634.53640642
1645142400000,2022-02-18 00:00:00,ENJ/USD,1.7359,1.7897,1.6692,1.6702,39188.082879166635,23463.10793867
1645056000000,2022-02-17 00:00:00,ENJ/USD,1.968,1.9828,1.7236,1.7538,100662.58155843998,57396.84203355
1644969600000,2022-02-16 00:00:00,ENJ/USD,1.986,2.0026,1.8913,1.9705,55811.85176517902,28323.70046444
1644883200000,2022-02-15 00:00:00,ENJ/USD,1.7957,1.97,1.7957,1.9636,40810.27307663946,20783.39431485
1644796800000,2022-02-14 00:00:00,ENJ/USD,1.7343,1.7784,1.6797,1.7561,14854.066777495747,8458.55405586
1644710400000,2022-02-13 00:00:00,ENJ/USD,1.8247,1.8373,1.7006,1.7536,31795.387491152513,18131.49377917
1644624000000,2022-02-12 00:00:00,ENJ/USD,1.8205,1.864,1.7582,1.8171,43159.80148237246,23752.02326915
1644537600000,2022-02-11 00:00:00,ENJ/USD,1.9779,2.0558,1.7971,1.8378,70868.03923750324,38561.34467162
1644451200000,2022-02-10 00:00:00,ENJ/USD,2.15,2.15,1.9813,1.9898,76001.09157497513,38195.34203185
1644364800000,2022-02-09 00:00:00,ENJ/USD,2.1184,2.1866,2.0261,2.1743,46958.97863728786,21597.28585627
1644278400000,2022-02-08 00:00:00,ENJ/USD,2.0883,2.1982,1.9185,2.1208,115461.51349087089,54442.43374711
1644192000000,2022-02-07 00:00:00,ENJ/USD,2.0586,2.1687,2.04,2.0902,140025.1707011164,66991.278682
1644105600000,2022-02-06 00:00:00,ENJ/USD,1.9387,2.0737,1.9061,2.0644,141510.20216903312,68547.85999275
1644019200000,2022-02-05 00:00:00,ENJ/USD,1.8068,1.99,1.4472,1.9449,212247.63996162196,109130.36143844
1643932800000,2022-02-04 00:00:00,ENJ/USD,1.6924,1.8292,1.6624,1.8141,133814.19432875206,73763.40572667
1643846400000,2022-02-03 00:00:00,ENJ/USD,1.679,1.7088,1.6213,1.695,76636.82664017325,45213.46704435
1643760000000,2022-02-02 00:00:00,ENJ/USD,1.8427,1.86,1.6801,1.7046,58489.226617724344,34312.58161312
1643673600000,2022-02-01 00:00:00,ENJ/USD,1.861,1.899,1.8261,1.8541,39225.837836625855,21156.26872155
1643587200000,2022-01-31 00:00:00,ENJ/USD,1.8089,2.0,1.6961,1.8816,77662.80265823116,41274.87386173
1643500800000,2022-01-30 00:00:00,ENJ/USD,1.7954,1.8713,1.737,1.8236,29254.938333479,16042.4097025
1643414400000,2022-01-29 00:00:00,ENJ/USD,1.649,1.7556,1.649,1.7551,14708.98966834457,8380.7131607
1643328000000,2022-01-28 00:00:00,ENJ/USD,1.5908,1.7397,1.5673,1.6299,29618.179809860696,18171.777293
1643241600000,2022-01-27 00:00:00,ENJ/USD,1.5616,1.6654,1.4681,1.5635,57194.73099893929,36581.21586117
1643155200000,2022-01-26 00:00:00,ENJ/USD,1.5266,1.7323,1.5071,1.5588,59566.33220715897,38212.940856530004
1643068800000,2022-01-25 00:00:00,ENJ/USD,1.4691,1.5385,1.4296,1.5342,32143.98151619143,20951.62398396
1642982400000,2022-01-24 00:00:00,ENJ/USD,1.5467,1.5468,1.3355,1.4955,64610.96342937576,43203.58637872
1642896000000,2022-01-23 00:00:00,ENJ/USD,1.5482,1.6844,1.5212,1.5929,33437.21975231513,20991.41173477
1642809600000,2022-01-22 00:00:00,ENJ/USD,1.7353,1.8451,1.3612,1.4901,89251.11505836748,59896.05735076
1642723200000,2022-01-21 00:00:00,ENJ/USD,2.1013,2.1127,1.69,1.7353,131031.57944628666,75509.46778441
1642636800000,2022-01-20 00:00:00,ENJ/USD,2.2181,2.3506,2.1016,2.1147,41553.8941843548,19650.018529510002
1642550400000,2022-01-19 00:00:00,ENJ/USD,2.2816,2.3498,2.2247,2.2563,42172.274187513765,18690.89845655
1642464000000,2022-01-18 00:00:00,ENJ/USD,2.3498,2.3498,2.1936,2.2792,41596.52500149608,18250.4935949
1642377600000,2022-01-17 00:00:00,ENJ/USD,2.5268,2.5329,2.288,2.3247,41520.19116877241,17860.45131362
1642291200000,2022-01-16 00:00:00,ENJ/USD,2.4622,2.539,2.4418,2.5111,58157.341690877925,23160.10580657
1642204800000,2022-01-15 00:00:00,ENJ/USD,2.3834,2.5393,2.3721,2.4622,46152.96675674906,18744.6051323
1642118400000,2022-01-14 00:00:00,ENJ/USD,2.3779,2.4649,2.311,2.4048,32974.890168665224,13712.11334359
1642032000000,2022-01-13 00:00:00,ENJ/USD,2.5335,2.6162,2.3818,2.3942,62492.33302572487,26101.55084192
1641945600000,2022-01-12 00:00:00,ENJ/USD,2.335,2.614,2.3306,2.5369,90654.60479010761,35734.40214045
1641859200000,2022-01-11 00:00:00,ENJ/USD,2.2199,2.3245,2.1784,2.3071,26290.70817011313,11395.56506875
1641772800000,2022-01-10 00:00:00,ENJ/USD,2.3034,2.3308,2.0886,2.1741,63765.96677072193,29329.82234981
1641686400000,2022-01-09 00:00:00,ENJ/USD,2.309,2.3715,2.243,2.2995,26541.048276410853,11542.095358300001
1641600000000,2022-01-08 00:00:00,ENJ/USD,2.3796,2.4254,2.1784,2.3029,37928.796478132404,16470.01453738
1641513600000,2022-01-07 00:00:00,ENJ/USD,2.5234,2.545,2.3281,2.3858,57848.848764153,24247.149285
1641427200000,2022-01-06 00:00:00,ENJ/USD,2.4606,2.6629,2.3172,2.5247,62942.01309784124,24930.49197839
1641340800000,2022-01-05 00:00:00,ENJ/USD,2.6763,2.7855,2.2504,2.4535,77153.57470960503,31446.33165258
1641254400000,2022-01-04 00:00:00,ENJ/USD,2.791,2.8491,2.6875,2.7312,92288.44701930508,33790.43900824
1641168000000,2022-01-03 00:00:00,ENJ/USD,2.8259,2.9424,2.7114,2.7915,39622.75956393559,14194.07471393
1641081600000,2022-01-02 00:00:00,ENJ/USD,2.6895,2.8923,2.6832,2.8712,26272.26250346821,9150.27253534
1640995200000,2022-01-01 00:00:00,ENJ/USD,2.5904,2.669,2.5904,2.669,7487.33882543001,2805.29742429
1640908800000,2021-12-31 00:00:00,ENJ/USD,2.6173,2.7281,2.53,2.5977,31459.463158604987,12110.50666305
