https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ESS
1646524800000,2022-03-06 00:00:00,ESS/USD,0.00090124,0.0010726,0.000865,0.00094886,35756.08869256311,37683207.94697122
1646438400000,2022-03-05 00:00:00,ESS/USD,0.00088978,0.0010419,0.00085,0.00090123,7246.89309792233,8041113.91977889
1646352000000,2022-03-04 00:00:00,ESS/USD,0.00087251,0.0009359,0.000841,0.00088979,24129.31743649145,27117991.25242074
1646265600000,2022-03-03 00:00:00,ESS/USD,0.00089715,0.00096299,0.000841,0.0008725,4868.426659894208,5579858.6359819
1646179200000,2022-03-02 00:00:00,ESS/USD,0.00086513,0.000979,0.00086513,0.00089714,1566.5853834850811,1746199.45993388
1646092800000,2022-03-01 00:00:00,ESS/USD,0.0008708,0.00099,0.000835,0.00091061,5742.213447636177,6305897.63744762
1646006400000,2022-02-28 00:00:00,ESS/USD,0.00093191,0.0010037,0.0008215,0.0008708,5964.060767222447,6848944.38128439
1645920000000,2022-02-27 00:00:00,ESS/USD,0.0010195,0.0010399,0.00093189,0.0009319,1901.670689184268,2040638.1469946
1645833600000,2022-02-26 00:00:00,ESS/USD,0.0010057,0.001032,0.00095,0.0010197,1977.345951676858,1939144.7991339199
1645747200000,2022-02-25 00:00:00,ESS/USD,0.00096789,0.00104,0.00092009,0.00097305,2718.874556435447,2794177.64393962
1645660800000,2022-02-24 00:00:00,ESS/USD,0.0010438,0.0010864,0.000872,0.0009679,25442.38754508273,26286173.7215443
1645574400000,2022-02-23 00:00:00,ESS/USD,0.0011284,0.0011793,0.0010411,0.0010437,27570.76712331164,26416371.68085814
1645488000000,2022-02-22 00:00:00,ESS/USD,0.0011997,0.0011997,0.0010002,0.0011285,61690.02792288319,54665509.90064971
1645401600000,2022-02-21 00:00:00,ESS/USD,0.0012189,0.0012198,0.0011511,0.0011997,11325.576754724618,9440340.71411571
1645315200000,2022-02-20 00:00:00,ESS/USD,0.001166,0.0012488,0.0011487,0.001219,31306.436209042087,25682064.15836102
1645228800000,2022-02-19 00:00:00,ESS/USD,0.0011849,0.0013284,0.00112,0.0011987,49603.152573248175,41380789.6665122
1645142400000,2022-02-18 00:00:00,ESS/USD,0.0011195,0.001339,0.0010649,0.001185,40423.66564778193,34112798.01500584
1645056000000,2022-02-17 00:00:00,ESS/USD,0.0012151,0.00165,0.0010213,0.0011196,73170.76625526782,65354382.15011417
1644969600000,2022-02-16 00:00:00,ESS/USD,0.0013007,0.0013817,0.00117,0.001215,9592.504683655881,7895065.58325587
1644883200000,2022-02-15 00:00:00,ESS/USD,0.0012527,0.0013999,0.001165,0.0013999,23215.0326268331,16583350.68707272
1644796800000,2022-02-14 00:00:00,ESS/USD,0.0012481,0.0013099,0.0011511,0.0012528,17755.191790902485,14172407.24050326
1644710400000,2022-02-13 00:00:00,ESS/USD,0.0011463,0.0013445,0.0010404,0.0012482,140812.1961129768,112812206.4676949
1644624000000,2022-02-12 00:00:00,ESS/USD,0.0011,0.0011751,0.00107,0.0011464,62353.84829104812,54391005.13873702
1644537600000,2022-02-11 00:00:00,ESS/USD,0.0011874,0.0012173,0.0010887,0.0011297,9672.486638405702,8561995.78508073
1644451200000,2022-02-10 00:00:00,ESS/USD,0.0011974,0.0011999,0.0011405,0.0011875,2522.5202820418513,2124227.60592998
1644364800000,2022-02-09 00:00:00,ESS/USD,0.0011773,0.0012557,0.0011281,0.0011975,14710.239178610054,12284124.57503971
1644278400000,2022-02-08 00:00:00,ESS/USD,0.0011448,0.001211,0.0011114,0.0011774,25713.25985828339,21839018.05527721
1644192000000,2022-02-07 00:00:00,ESS/USD,0.0010787,0.0011876,0.0010787,0.001139,2476.0017010556808,2173838.19232281
1644105600000,2022-02-06 00:00:00,ESS/USD,0.0011502,0.0012254,0.0010787,0.0011229,28762.90275555721,25614839.037810322
1644019200000,2022-02-05 00:00:00,ESS/USD,0.0011465,0.0011987,0.0011182,0.0011919,10462.5732255459,8778062.94617493
1643932800000,2022-02-04 00:00:00,ESS/USD,0.001043,0.001267,0.001041,0.0011466,29918.66972150332,26093380.18620558
1643846400000,2022-02-03 00:00:00,ESS/USD,0.0012497,0.0012498,0.0010017,0.0010697,60333.08864471965,56401877.764531784
1643760000000,2022-02-02 00:00:00,ESS/USD,0.0012716,0.0012987,0.0011,0.0012498,14258.767277609339,11408839.23636529
1643673600000,2022-02-01 00:00:00,ESS/USD,0.0012705,0.0013236,0.0012109,0.0012717,43014.960748802405,33824770.58174287
1643587200000,2022-01-31 00:00:00,ESS/USD,0.001255,0.0013241,0.0012221,0.0012706,37958.13451300355,29874181.10577959
1643500800000,2022-01-30 00:00:00,ESS/USD,0.0012799,0.00133,0.0012421,0.0013141,33432.74422949923,25441552.56791662
1643414400000,2022-01-29 00:00:00,ESS/USD,0.0012646,0.00137,0.0012332,0.0012976,47732.027262888376,36784854.54908167
1643328000000,2022-01-28 00:00:00,ESS/USD,0.0013452,0.0014496,0.0012332,0.0013102,111994.38232920608,85478844.7024928
1643241600000,2022-01-27 00:00:00,ESS/USD,0.0013257,0.00142,0.001245,0.0013453,38125.519242298586,28339789.81810643
1643155200000,2022-01-26 00:00:00,ESS/USD,0.0012357,0.0014504,0.0012067,0.0013258,88485.22367864691,66741004.4340375
1643068800000,2022-01-25 00:00:00,ESS/USD,0.0013671,0.0013671,0.0012022,0.001266,12660.819555325495,10000647.35807701
1642982400000,2022-01-24 00:00:00,ESS/USD,0.0013774,0.0015527,0.0012659,0.0013672,90841.14726067247,66443203.08709221
1642896000000,2022-01-23 00:00:00,ESS/USD,0.0013136,0.0017926,0.0011371,0.0013775,193800.04145600545,140689685.26751757
1642809600000,2022-01-22 00:00:00,ESS/USD,0.00164,0.0016741,0.0012,0.0013101,112381.24899271267,85780664.82918301
1642723200000,2022-01-21 00:00:00,ESS/USD,0.0017271,0.0018099,0.001625,0.0016634,79901.42988540322,48035006.54406831
1642636800000,2022-01-20 00:00:00,ESS/USD,0.001783,0.0018233,0.00172,0.00176,56483.48752316076,32092890.63815952
1642550400000,2022-01-19 00:00:00,ESS/USD,0.0017769,0.0018745,0.001705,0.0017839,131590.2629423511,73765492.98859303
1642464000000,2022-01-18 00:00:00,ESS/USD,0.0018155,0.00191,0.0017227,0.0017772,87429.35297072327,49194999.42084361
1642377600000,2022-01-17 00:00:00,ESS/USD,0.001817,0.0019543,0.0017682,0.0018155,58749.62399301821,32360024.23190207
1642291200000,2022-01-16 00:00:00,ESS/USD,0.0018002,0.001967,0.0017484,0.0018083,86497.47186058854,47833585.05811455
1642204800000,2022-01-15 00:00:00,ESS/USD,0.001762,0.0019998,0.0017045,0.0018006,139319.77640862815,77374084.42109749
1642118400000,2022-01-14 00:00:00,ESS/USD,0.0017232,0.00181,0.0017001,0.0017621,34126.68804888578,19367055.24594846
1642032000000,2022-01-13 00:00:00,ESS/USD,0.0017102,0.0018499,0.0017,0.0017594,105166.77588687479,59774227.51328567
1641945600000,2022-01-12 00:00:00,ESS/USD,0.0017,0.0017741,0.001642,0.00172,76997.55909290127,44766022.72843097
1641859200000,2022-01-11 00:00:00,ESS/USD,0.00161,0.0018203,0.00158,0.001671,116419.91067112517,69670802.3166518
