https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MIM
1645833600000,2022-02-26 00:00:00,MIM/USD,0.99748,0.99886,0.99069,0.9927,110.816912359836,111.63182468
1645747200000,2022-02-25 00:00:00,MIM/USD,0.99805,0.99833,0.99,0.9918,279.348389215542,281.65798469
1645660800000,2022-02-24 00:00:00,MIM/USD,0.9986,1.0002,0.99,0.99807,4925.805869078022,4935.3310580200005
1645574400000,2022-02-23 00:00:00,MIM/USD,0.9982,1.0002,0.99287,0.99494,298.8925799695658,300.41266807
1645488000000,2022-02-22 00:00:00,MIM/USD,0.99728,1.0031,0.99,0.9992,3024.338136974312,3026.75954461
1645401600000,2022-02-21 00:00:00,MIM/USD,0.99766,1.0001,0.99103,0.9983,112.52576088326899,112.71738042999999
1645315200000,2022-02-20 00:00:00,MIM/USD,0.99686,1.0,0.99,0.99345,51.9978392373735,52.34067063
1645228800000,2022-02-19 00:00:00,MIM/USD,0.99746,0.99978,0.99128,0.99686,0.9656768834075999,0.96871866
1645142400000,2022-02-18 00:00:00,MIM/USD,0.99598,0.99978,0.99158,0.99978,149.42693548033918,149.45981663999999
1645056000000,2022-02-17 00:00:00,MIM/USD,0.99747,0.99961,0.99151,0.99159,427.19814430077327,430.82135187
1644969600000,2022-02-16 00:00:00,MIM/USD,0.99,0.9995,0.99,0.99749,65.92629470291409,66.09218609
1644883200000,2022-02-15 00:00:00,MIM/USD,0.99218,0.99969,0.99077,0.99959,84.1478922231259,84.18240700999999
1644796800000,2022-02-14 00:00:00,MIM/USD,0.99582,0.99978,0.9899,0.99978,550.2052059788928,550.3262777599999
1644710400000,2022-02-13 00:00:00,MIM/USD,0.9948,0.9967,0.98923,0.99588,719.5771775461873,722.5541004400001
1644624000000,2022-02-12 00:00:00,MIM/USD,0.9952,0.99981,0.98823,0.99981,438.1885440150246,438.27181566
1644537600000,2022-02-11 00:00:00,MIM/USD,0.99518,0.99987,0.97901,0.99484,1756.3168475482166,1765.42644802
1644451200000,2022-02-10 00:00:00,MIM/USD,0.99518,0.99518,0.98331,0.99518,103.1990900014322,103.69891879000001
1644364800000,2022-02-09 00:00:00,MIM/USD,0.99759,0.99958,0.96501,0.99518,1149.4377861148603,1155.00490978
1644278400000,2022-02-08 00:00:00,MIM/USD,0.9921,0.99965,0.98841,0.99949,137.3750467566722,137.44514378
1644192000000,2022-02-07 00:00:00,MIM/USD,0.98613,0.9993,0.9859,0.9993,5.048049729911999,5.0515858399999995
1644105600000,2022-02-06 00:00:00,MIM/USD,0.99808,0.99936,0.98565,0.99936,509.1046060693248,509.43064168
1644019200000,2022-02-05 00:00:00,MIM/USD,0.9839,0.99808,0.98361,0.99241,607.3334415978653,611.97835733
