https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REQ
1649462400000,2022-04-09 00:00:00,REQ/USD,0.23735,0.24018,0.23735,0.24018,99.1283658540732,412.72531374
1649376000000,2022-04-08 00:00:00,REQ/USD,0.25191,0.25972,0.2368,0.2368,2664.145867180288,11250.61599316
1649289600000,2022-04-07 00:00:00,REQ/USD,0.25105,0.25582,0.24591,0.25046,634.1211545342674,2531.82605819
1649203200000,2022-04-06 00:00:00,REQ/USD,0.27728,0.30133,0.24978,0.24978,222693.7785804813,891559.68684635
1649116800000,2022-04-05 00:00:00,REQ/USD,0.27561,0.3327,0.27561,0.27765,54059.52845115189,194703.8662026
1649030400000,2022-04-04 00:00:00,REQ/USD,0.26607,0.28139,0.25627,0.26677,43963.86154321115,164800.62054658
1648944000000,2022-04-03 00:00:00,REQ/USD,0.26135,0.28232,0.26135,0.27086,15365.102509600045,56727.10075168
1648857600000,2022-04-02 00:00:00,REQ/USD,0.26559,0.26559,0.25769,0.25808,2375.6227863819054,9204.98599807
1648771200000,2022-04-01 00:00:00,REQ/USD,0.24117,0.26328,0.24,0.26328,2420.4029051655602,9193.265364500001
1648684800000,2022-03-31 00:00:00,REQ/USD,0.26272,0.27443,0.25162,0.25162,23252.264622788833,92410.24013508
1648598400000,2022-03-30 00:00:00,REQ/USD,0.25981,0.26744,0.25541,0.26183,6768.979345049135,25852.57359756
1648512000000,2022-03-29 00:00:00,REQ/USD,0.26259,0.26847,0.2574,0.25848,2948.913600321211,11408.67223894
1648425600000,2022-03-28 00:00:00,REQ/USD,0.26538,0.28367,0.26173,0.26651,24010.72884375143,90093.16289727
1648339200000,2022-03-27 00:00:00,REQ/USD,0.26444,0.26637,0.25812,0.26637,10980.213977638676,41221.66151458
1648252800000,2022-03-26 00:00:00,REQ/USD,0.2742,0.27763,0.25942,0.26441,18557.239641307107,70183.57717676
1648166400000,2022-03-25 00:00:00,REQ/USD,0.2482,0.30615,0.2475,0.28257,62402.03079244186,220837.42362049
1648080000000,2022-03-24 00:00:00,REQ/USD,0.2429,0.27776,0.23309,0.25374,50101.00107765549,197450.15006564
1647993600000,2022-03-23 00:00:00,REQ/USD,0.22091,0.26313,0.22075,0.23912,63963.63325415037,267495.95706821
1647907200000,2022-03-22 00:00:00,REQ/USD,0.21935,0.22247,0.21844,0.2208,6728.860104208799,30474.909892249998
1647820800000,2022-03-21 00:00:00,REQ/USD,0.21226,0.22893,0.21226,0.21569,18271.361621986063,84711.21341734
1647734400000,2022-03-20 00:00:00,REQ/USD,0.21741,0.21811,0.21059,0.21059,4002.9945045272702,19008.47383317
1647648000000,2022-03-19 00:00:00,REQ/USD,0.21745,0.22341,0.21714,0.22179,977.0170964621719,4405.14494099
1647561600000,2022-03-18 00:00:00,REQ/USD,0.21358,0.22057,0.20728,0.21517,16379.744535934757,76124.66670974
