https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1648857600000,2022-04-02 00:00:00,OMG/USD,5.9091,6.1108,5.7768,6.026,715003.0509987229,118653.01211396
1648771200000,2022-04-01 00:00:00,OMG/USD,5.5096,6.0081,5.4328,5.9088,992675.4282517632,167999.497064
1648684800000,2022-03-31 00:00:00,OMG/USD,5.6932,6.0816,5.423,5.4978,637496.6946625477,115954.8718874
1648598400000,2022-03-30 00:00:00,OMG/USD,5.6529,5.8137,5.4362,5.68,566504.0029785928,99736.62024271
1648512000000,2022-03-29 00:00:00,OMG/USD,5.3294,5.9906,5.3248,5.6575,1321635.60613782,233607.70766908
1648425600000,2022-03-28 00:00:00,OMG/USD,5.4248,5.6359,5.2487,5.3225,803718.2473248724,151003.89804131
1648339200000,2022-03-27 00:00:00,OMG/USD,5.2378,5.4376,5.0777,5.4248,592766.2688246759,109269.70004879
1648252800000,2022-03-26 00:00:00,OMG/USD,5.1384,5.2486,5.025,5.2406,146773.94134125882,28007.08723071
1648166400000,2022-03-25 00:00:00,OMG/USD,5.2277,5.39,4.9832,5.1356,438361.35322581284,85357.37853918
1648080000000,2022-03-24 00:00:00,OMG/USD,5.2067,5.2982,4.9961,5.2265,361146.0443490145,69099.02312236
1647993600000,2022-03-23 00:00:00,OMG/USD,4.8087,5.3181,4.7823,5.2098,1060175.7293618764,203496.43544126
1647907200000,2022-03-22 00:00:00,OMG/USD,4.8078,4.981,4.6742,4.8074,504882.171135687,105021.87692634
1647820800000,2022-03-21 00:00:00,OMG/USD,4.8621,4.97,4.6406,4.8092,401695.2158986406,83526.41102442
1647734400000,2022-03-20 00:00:00,OMG/USD,4.716,5.2117,4.7146,4.8504,971299.3696566192,200251.39569038
1647648000000,2022-03-19 00:00:00,OMG/USD,4.2871,4.85,4.2845,4.714,1035012.0177162804,219561.31050409
1647561600000,2022-03-18 00:00:00,OMG/USD,4.129,4.4409,4.0574,4.2888,430639.28472250036,100410.2044214
1647475200000,2022-03-17 00:00:00,OMG/USD,4.1747,4.1837,4.0849,4.1275,230535.44322105087,55853.529550830004
1647388800000,2022-03-16 00:00:00,OMG/USD,4.0274,4.1846,3.9515,4.1749,418888.43368581583,100334.96219929
1647302400000,2022-03-15 00:00:00,OMG/USD,4.033,4.1,3.8827,4.0206,348152.4262472421,86592.1569535
1647216000000,2022-03-14 00:00:00,OMG/USD,3.9088,4.05,3.8274,4.0398,229525.1538646038,56815.96956894
1647129600000,2022-03-13 00:00:00,OMG/USD,4.0006,4.1077,3.8996,3.9197,981767.8969873051,250470.16276432
1647043200000,2022-03-12 00:00:00,OMG/USD,4.0343,4.2231,3.9875,3.9944,395836.5295943117,99097.86941576
1646956800000,2022-03-11 00:00:00,OMG/USD,4.3167,4.3275,3.9783,4.0242,532464.095447024,132315.51499603
