https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MOB
1652659200000,2022-05-16 00:00:00,MOB/USD,1.9791,1.9791,1.8079,1.8132,8968.394173907796,4946.16929953
1652572800000,2022-05-15 00:00:00,MOB/USD,1.9218,1.9804,1.8723,1.978,35039.09793133302,17714.407447589998
1652486400000,2022-05-14 00:00:00,MOB/USD,1.9116,1.9597,1.7877,1.9221,26215.375390579997,13638.92377638
1652400000000,2022-05-13 00:00:00,MOB/USD,1.7641,2.1624,1.7211,1.9095,171822.2859705154,89982.86775099
1652313600000,2022-05-12 00:00:00,MOB/USD,1.6431,1.9359,1.4767,1.758,65792.78260751681,37424.79101679
1652227200000,2022-05-11 00:00:00,MOB/USD,2.3745,2.4163,1.5445,1.6422,119039.52123750074,72487.83414779
1652140800000,2022-05-10 00:00:00,MOB/USD,2.4396,2.5443,2.3304,2.3739,40119.854313087526,16900.39778975
1652054400000,2022-05-09 00:00:00,MOB/USD,2.7912,3.0552,2.4353,2.4388,96012.30625093126,39368.66748029
1651968000000,2022-05-08 00:00:00,MOB/USD,2.896,2.896,2.6949,2.793,21887.91941581224,7836.70584168
1651881600000,2022-05-07 00:00:00,MOB/USD,2.735,3.4723,2.7211,2.8907,152382.9071373062,52714.88121815
1651795200000,2022-05-06 00:00:00,MOB/USD,2.8796,2.8805,2.6387,2.7313,47593.24613520463,17425.12581379
1651708800000,2022-05-05 00:00:00,MOB/USD,3.5541,3.6102,2.7986,2.8803,217598.52296620302,75547.17319939
1651622400000,2022-05-04 00:00:00,MOB/USD,3.4144,3.5742,3.3396,3.5592,53673.48064913271,15080.20921812
1651536000000,2022-05-03 00:00:00,MOB/USD,3.6582,3.9323,3.4054,3.412,66164.29327176021,19391.64515585
1651449600000,2022-05-02 00:00:00,MOB/USD,4.0667,4.1853,3.5091,3.6631,61943.605632005456,16910.15960034
1651363200000,2022-05-01 00:00:00,MOB/USD,4.4508,4.5535,3.8268,4.0788,129431.73290635289,31732.79712326
1651276800000,2022-04-30 00:00:00,MOB/USD,4.4155,6.0322,4.2748,4.4434,484487.1530962636,109035.23272635
1651190400000,2022-04-29 00:00:00,MOB/USD,3.5574,7.5307,3.5564,4.404,1184640.849662227,268992.01854274
1651104000000,2022-04-28 00:00:00,MOB/USD,3.5535,3.6474,3.5214,3.5527,10718.29221649702,3016.94266797
1651017600000,2022-04-27 00:00:00,MOB/USD,3.5176,3.5631,3.5083,3.5541,3911.150608953984,1100.46161024
1650931200000,2022-04-26 00:00:00,MOB/USD,3.5172,3.6492,3.5123,3.5166,12260.104887823363,3486.35184207
1650844800000,2022-04-25 00:00:00,MOB/USD,3.5797,3.5892,3.5121,3.5167,4089.297668523441,1162.82243823
1650758400000,2022-04-24 00:00:00,MOB/USD,3.4667,3.6113,3.4667,3.5806,11520.603428586935,3217.50640356
1650672000000,2022-04-23 00:00:00,MOB/USD,3.5036,3.5036,3.4667,3.4712,10258.323424906535,2955.26717703
1650585600000,2022-04-22 00:00:00,MOB/USD,3.6317,3.6317,3.4955,3.5009,27162.317136597918,7758.66695324
1650499200000,2022-04-21 00:00:00,MOB/USD,3.7423,3.7423,3.6184,3.6288,22783.669597168704,6278.56856183
1650412800000,2022-04-20 00:00:00,MOB/USD,3.8033,3.8033,3.7306,3.7431,29192.942920144094,7799.13518745
1650326400000,2022-04-19 00:00:00,MOB/USD,3.8469,3.8664,3.7897,3.7968,1289.0818074237602,339.51796445
1650240000000,2022-04-18 00:00:00,MOB/USD,3.8874,3.8874,3.7534,3.8523,45410.61834492662,11787.92366766
1650153600000,2022-04-17 00:00:00,MOB/USD,3.8511,3.9785,3.8508,3.888,3634.16458913712,934.71311449
1650067200000,2022-04-16 00:00:00,MOB/USD,4.0007,4.0024,3.8397,3.8456,97081.03346612633,25244.70393856
1649980800000,2022-04-15 00:00:00,MOB/USD,4.2272,4.2354,3.9953,4.0005,57892.80792540861,14471.39305722
1649894400000,2022-04-14 00:00:00,MOB/USD,4.2962,4.2962,4.221,4.2256,1883.9957858463201,445.85284595
1649808000000,2022-04-13 00:00:00,MOB/USD,4.3061,4.3236,4.2702,4.299,416.4472136727,96.8707173
1649721600000,2022-04-12 00:00:00,MOB/USD,4.2872,4.3473,4.259,4.2985,54831.771929354,12756.02464333
1649635200000,2022-04-11 00:00:00,MOB/USD,4.3717,4.3772,4.2797,4.2826,2565.8361294518263,599.13046501
1649548800000,2022-04-10 00:00:00,MOB/USD,4.4073,4.4124,4.3657,4.3717,1205.210535048507,275.68463871
1649462400000,2022-04-09 00:00:00,MOB/USD,4.4367,4.4422,4.394,4.4028,20791.205856470482,4722.26897803
1649376000000,2022-04-08 00:00:00,MOB/USD,4.499,4.4996,4.4164,4.4364,14761.750034309869,3327.41638137
1649289600000,2022-04-07 00:00:00,MOB/USD,4.5158,4.5168,4.4926,4.5037,1406.0538728389681,312.19971864
1649203200000,2022-04-06 00:00:00,MOB/USD,4.6751,4.6791,4.5125,4.5125,25535.489113336753,5658.83415254
1649116800000,2022-04-05 00:00:00,MOB/USD,4.767,4.7827,4.6798,4.6799,13572.785369698326,2900.2297847600003
1649030400000,2022-04-04 00:00:00,MOB/USD,4.8091,4.8156,4.7346,4.7739,8051.331516090963,1686.53124617
1648944000000,2022-04-03 00:00:00,MOB/USD,4.9136,4.9236,4.7783,4.8158,32484.177521166515,6745.33359383
1648857600000,2022-04-02 00:00:00,MOB/USD,4.9891,5.035,4.907,4.907,4153.584033767001,846.4609810000001
1648771200000,2022-04-01 00:00:00,MOB/USD,4.9343,5.0492,4.9107,4.9937,4245.897254418845,850.25076685
1648684800000,2022-03-31 00:00:00,MOB/USD,5.0151,5.0549,4.9381,4.9398,15563.045570153736,3150.54163532
1648598400000,2022-03-30 00:00:00,MOB/USD,5.0117,5.0671,5.0049,5.0085,467.194869426285,93.28039721
1648512000000,2022-03-29 00:00:00,MOB/USD,5.0462,5.0957,5.0113,5.0113,8070.505284780009,1610.46141416
1648425600000,2022-03-28 00:00:00,MOB/USD,5.0711,5.1588,5.0273,5.0451,3492.0468806345457,692.16603846
1648339200000,2022-03-27 00:00:00,MOB/USD,5.1175,5.1488,5.0333,5.0651,16593.22465397947,3275.99152119
1648252800000,2022-03-26 00:00:00,MOB/USD,5.1977,5.1978,5.1195,5.1242,13272.896105915703,2590.23771631
1648166400000,2022-03-25 00:00:00,MOB/USD,5.3912,5.4355,5.189,5.1981,28001.676099080516,5386.90600394
1648080000000,2022-03-24 00:00:00,MOB/USD,5.2846,5.4084,5.2735,5.4007,15167.87317629862,2808.50133803
1647993600000,2022-03-23 00:00:00,MOB/USD,5.2753,5.3013,5.2639,5.2785,1280.1620028726,242.5238236
1647907200000,2022-03-22 00:00:00,MOB/USD,5.2276,5.3194,5.2221,5.2756,8880.639827336816,1683.34214636
1647820800000,2022-03-21 00:00:00,MOB/USD,5.1591,5.2519,5.1211,5.223,12694.54878914646,2430.50905402
1647734400000,2022-03-20 00:00:00,MOB/USD,5.0507,5.1779,5.0424,5.1533,13037.75300051416,2529.9813712600003
1647648000000,2022-03-19 00:00:00,MOB/USD,5.1109,5.1179,5.0404,5.0469,2133.6246961648258,422.75945554
1647561600000,2022-03-18 00:00:00,MOB/USD,5.0568,5.1353,5.0293,5.1137,309.48504748632496,60.52076725
1647475200000,2022-03-17 00:00:00,MOB/USD,5.2181,5.2181,5.0524,5.0652,7116.4615842593275,1404.97148864
1647388800000,2022-03-16 00:00:00,MOB/USD,5.0398,5.2165,5.0143,5.1931,14464.026344681497,2785.23932616
1647302400000,2022-03-15 00:00:00,MOB/USD,5.0491,5.0795,5.033,5.0487,3615.52150567149,716.1292027
1647216000000,2022-03-14 00:00:00,MOB/USD,4.7829,5.1116,4.7665,5.0449,186782.09152395107,37023.94329401
1647129600000,2022-03-13 00:00:00,MOB/USD,4.7586,4.8885,4.7519,4.78,3027.6551765968,633.40066456
1647043200000,2022-03-12 00:00:00,MOB/USD,4.5848,4.7605,4.5848,4.7566,4266.142927417682,896.8891492700001
1646956800000,2022-03-11 00:00:00,MOB/USD,4.5623,4.6793,4.5199,4.5786,84685.52203737802,18495.94243598
1646870400000,2022-03-10 00:00:00,MOB/USD,4.7164,4.7185,4.5336,4.5689,24734.766000867927,5413.72452907
1646784000000,2022-03-09 00:00:00,MOB/USD,4.4603,4.7522,4.4528,4.7111,18748.305815738207,3979.60260146
1646697600000,2022-03-08 00:00:00,MOB/USD,4.4716,4.5237,4.4414,4.4576,3478.71949740448,780.4018973
1646611200000,2022-03-07 00:00:00,MOB/USD,4.4999,4.5315,4.4319,4.4686,15009.837261829663,3358.95745017
