https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UDC
1648771200000,2022-04-01 00:00:00,UDC/USD,1.0001,1.0005,0.99982,1.0001,97749.52631305378,97739.75233782
1648684800000,2022-03-31 00:00:00,UDC/USD,0.99986,1.0002,0.99975,1.0001,149657.0794854474,149642.11527392
1648598400000,2022-03-30 00:00:00,UDC/USD,0.99992,1.0,0.99975,0.99986,100657.44874713317,100671.54276312
1648512000000,2022-03-29 00:00:00,UDC/USD,0.99989,1.0,0.99944,0.99992,346006.24702867056,346033.92974305
1648425600000,2022-03-28 00:00:00,UDC/USD,0.9998,0.9999,0.9997,0.99989,630273.5965250727,630342.93424784
1648339200000,2022-03-27 00:00:00,UDC/USD,1.0,1.0001,0.9997,0.9998,410000.75382203475,410082.77037611
1648252800000,2022-03-26 00:00:00,UDC/USD,1.0001,1.0001,1.0,1.0001,40451.57783654832,40447.53308324
1648166400000,2022-03-25 00:00:00,UDC/USD,0.99986,1.0001,0.9997,1.0001,307834.71162172285,307803.9312286
1648080000000,2022-03-24 00:00:00,UDC/USD,0.99999,0.99999,0.9997,0.99985,331098.6584794906,331148.3307291
1647993600000,2022-03-23 00:00:00,UDC/USD,0.9999,1.0002,0.99971,0.99999,98802.67560633358,98803.66364297
1647907200000,2022-03-22 00:00:00,UDC/USD,1.0,1.0,0.99937,0.99981,607478.8441840212,607594.28709857
1647820800000,2022-03-21 00:00:00,UDC/USD,1.0,1.0,0.99976,0.9999,662026.0918409228,662092.30107103
1647734400000,2022-03-20 00:00:00,UDC/USD,1.0,1.0,0.99976,0.9999,93639.69766531285,93649.06257157
1647648000000,2022-03-19 00:00:00,UDC/USD,0.99962,1.0,0.99956,1.0,674094.26316873,674094.26316873
1647561600000,2022-03-18 00:00:00,UDC/USD,1.0002,1.0004,0.99949,0.9998,32780.93118822281,32787.48868596
1647475200000,2022-03-17 00:00:00,UDC/USD,1.0002,1.0005,1.0,1.0002,167030.48577395134,166997.08635668
1647388800000,2022-03-16 00:00:00,UDC/USD,1.0003,1.0006,1.0002,1.0002,50575.24653101086,50565.13350431
1647302400000,2022-03-15 00:00:00,UDC/USD,1.0004,1.0007,1.0003,1.0003,91301.16882159568,91273.78668559
1647216000000,2022-03-14 00:00:00,UDC/USD,1.0001,1.0007,0.99987,1.0004,95582.08595397264,95543.86840661
1647129600000,2022-03-13 00:00:00,UDC/USD,1.0001,1.0001,0.99981,1.0001,18017.065941011457,18015.26441457
1647043200000,2022-03-12 00:00:00,UDC/USD,1.0003,1.0004,0.9997,1.0001,28392.028261034207,28389.1893421
1646956800000,2022-03-11 00:00:00,UDC/USD,1.0004,1.0006,0.99939,1.0004,383200.7532557568,383047.53424206
1646870400000,2022-03-10 00:00:00,UDC/USD,1.0004,1.0008,0.99857,1.0004,1052073.4479689416,1051652.7868542
1646784000000,2022-03-09 00:00:00,UDC/USD,1.0004,1.0008,0.9998,1.0005,418742.1589368753,418532.89249063
1646697600000,2022-03-08 00:00:00,UDC/USD,1.0006,1.0007,1.0001,1.0004,38894.13531540274,38878.58388185
1646611200000,2022-03-07 00:00:00,UDC/USD,1.0005,1.0016,1.0004,1.0007,1258853.0357797926,1257972.45506125
1646524800000,2022-03-06 00:00:00,UDC/USD,1.0003,1.0009,1.0003,1.0006,171692.24708840737,171589.2935123
1646438400000,2022-03-05 00:00:00,UDC/USD,1.0005,1.0005,1.0003,1.0003,114486.14697625984,114451.81143283
1646352000000,2022-03-04 00:00:00,UDC/USD,1.0006,1.001,1.0004,1.0004,276108.148577411,275997.74947762
1646265600000,2022-03-03 00:00:00,UDC/USD,1.0004,1.0012,1.0002,1.0006,1458672.283589896,1457797.60502688
1646179200000,2022-03-02 00:00:00,UDC/USD,1.0004,1.0008,1.0002,1.0004,511941.46132133587,511736.76661469
1646092800000,2022-03-01 00:00:00,UDC/USD,1.0003,1.0008,1.0003,1.0004,284465.9376225175,284352.19674382
1646006400000,2022-02-28 00:00:00,UDC/USD,1.0004,1.0008,1.0002,1.0003,335031.1270064936,334930.64781215
1645920000000,2022-02-27 00:00:00,UDC/USD,1.0005,1.0008,1.0001,1.0004,69799.63252476409,69771.72383523
1645833600000,2022-02-26 00:00:00,UDC/USD,1.0002,1.0008,1.0001,1.0005,167385.79377254058,167302.14270119
1645747200000,2022-02-25 00:00:00,UDC/USD,1.0003,1.0008,1.0001,1.0001,748913.7149865404,748838.83110343
1645660800000,2022-02-24 00:00:00,UDC/USD,1.0005,1.0021,1.0002,1.0003,1056406.4844899976,1056089.65759272
1645574400000,2022-02-23 00:00:00,UDC/USD,1.0005,1.0008,0.9998,1.0005,2332259.6404126026,2331094.09336592
1645488000000,2022-02-22 00:00:00,UDC/USD,1.0003,1.0008,1.0001,1.0005,343658.49105855235,343486.74768471
1645401600000,2022-02-21 00:00:00,UDC/USD,1.0004,1.0007,0.99822,1.0003,2418831.4499120717,2418106.01810664
1645315200000,2022-02-20 00:00:00,UDC/USD,1.0004,1.0006,1.0004,1.0004,300442.33776644315,300322.20888289
1645228800000,2022-02-19 00:00:00,UDC/USD,1.0003,1.0007,1.0002,1.0004,64981.613065845406,64955.63081352
1645142400000,2022-02-18 00:00:00,UDC/USD,1.0004,1.0006,1.0002,1.0003,180801.4201672225,180747.19600842
1645056000000,2022-02-17 00:00:00,UDC/USD,1.0004,1.0006,1.0004,1.0004,187970.5211825249,187895.36303731
1644969600000,2022-02-16 00:00:00,UDC/USD,1.0005,1.0005,1.0004,1.0004,486916.6858035719,486721.99700477
1644883200000,2022-02-15 00:00:00,UDC/USD,1.0004,1.0006,1.0004,1.0005,527415.3076726033,527151.7318067
1644796800000,2022-02-14 00:00:00,UDC/USD,1.0005,1.0007,1.0001,1.0006,581467.365990364,581118.6947735
1644710400000,2022-02-13 00:00:00,UDC/USD,1.0004,1.0005,1.0004,1.0005,118527.84355477507,118468.60925015
1644624000000,2022-02-12 00:00:00,UDC/USD,1.0004,1.0006,1.0004,1.0004,231353.058586796,231260.55436505
1644537600000,2022-02-11 00:00:00,UDC/USD,1.0004,1.0006,1.0004,1.0004,2031476.0198201675,2030663.75431844
1644451200000,2022-02-10 00:00:00,UDC/USD,1.0004,1.0008,1.0004,1.0005,1059330.5868907587,1058801.18629761
1644364800000,2022-02-09 00:00:00,UDC/USD,1.0003,1.0008,0.99952,1.0005,524962.4333831908,524700.08334152
1644278400000,2022-02-08 00:00:00,UDC/USD,1.0004,1.0006,1.0001,1.0002,495887.3121199978,495788.1544891
1644192000000,2022-02-07 00:00:00,UDC/USD,1.0003,1.0008,1.0002,1.0003,458072.6880497072,457935.30745747
