https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FIL
1640649600000,2021-12-28 00:00:00,FIL/USD,39.127,39.727,35.842,36.223,1147837.866287628,31688.09503044
1640563200000,2021-12-27 00:00:00,FIL/USD,37.364,41.39,36.959,39.172,1550309.0375098425,39576.96920019
1640476800000,2021-12-26 00:00:00,FIL/USD,36.944,37.75,35.504,37.296,898921.728014063,24102.36293474
1640390400000,2021-12-25 00:00:00,FIL/USD,36.482,37.272,36.201,37.037,459002.2997927968,12393.07448748
1640304000000,2021-12-24 00:00:00,FIL/USD,37.286,37.736,36.054,36.442,1094388.5705928789,30030.96895321
1640217600000,2021-12-23 00:00:00,FIL/USD,35.627,38.033,35.133,37.324,1408699.380663133,37742.45473859
1640131200000,2021-12-22 00:00:00,FIL/USD,35.435,36.514,35.117,35.595,1982343.5453997944,55691.6293131
1640044800000,2021-12-21 00:00:00,FIL/USD,34.855,35.932,34.345,35.325,1094627.2654124978,30987.32527707
1639958400000,2021-12-20 00:00:00,FIL/USD,35.657,35.987,33.849,34.862,652052.695535066,18703.82351945
1639872000000,2021-12-19 00:00:00,FIL/USD,36.37,36.705,35.816,35.831,411677.1950935659,11489.41405748
1639785600000,2021-12-18 00:00:00,FIL/USD,35.762,36.783,35.32,36.353,1316768.7204890465,36221.73467084
1639699200000,2021-12-17 00:00:00,FIL/USD,37.269,39.113,35.451,35.701,1517500.1751078959,42505.81706697
1639612800000,2021-12-16 00:00:00,FIL/USD,38.189,38.526,37.062,37.222,210120.4012711761,5645.05940764
1639526400000,2021-12-15 00:00:00,FIL/USD,36.696,38.87,35.636,38.186,614673.395393718,16096.82594128
1639440000000,2021-12-14 00:00:00,FIL/USD,35.702,37.261,35.274,36.732,289595.99342947453,7884.02464961
1639353600000,2021-12-13 00:00:00,FIL/USD,39.711,40.026,35.337,35.898,733575.2339273146,20434.98896672
1639267200000,2021-12-12 00:00:00,FIL/USD,40.448,40.539,38.822,39.729,396860.0240367411,9989.17727697
1639180800000,2021-12-11 00:00:00,FIL/USD,39.882,40.535,38.723,40.399,593864.7277154418,14699.98583419
