https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICP
1642982400000,2022-01-24 00:00:00,ICP/USD,21.258,21.886,18.492,20.748,493470.9708380088,23784.0259706
1642896000000,2022-01-23 00:00:00,ICP/USD,20.542,22.136,20.105,21.305,138076.9771606938,6480.96583716
1642809600000,2022-01-22 00:00:00,ICP/USD,24.195,25.315,18.162,20.573,965603.9493763691,46935.49552211
1642723200000,2022-01-21 00:00:00,ICP/USD,24.922,25.468,22.364,24.261,814721.4538978809,33581.52812736
1642636800000,2022-01-20 00:00:00,ICP/USD,26.579,28.531,24.777,25.035,386826.19729708636,15451.41590961
1642550400000,2022-01-19 00:00:00,ICP/USD,29.495,29.608,26.224,26.532,400234.93780511734,15084.98936398
1642464000000,2022-01-18 00:00:00,ICP/USD,29.725,31.656,28.232,29.423,373150.9293594258,12682.2869646
1642377600000,2022-01-17 00:00:00,ICP/USD,31.234,31.301,28.665,29.646,338546.02768058685,11419.61909467
1642291200000,2022-01-16 00:00:00,ICP/USD,32.539,33.082,30.639,31.109,334508.3684387214,10752.78435304
1642204800000,2022-01-15 00:00:00,ICP/USD,32.519,33.946,31.806,32.59,253830.04953545582,7788.58697562
1642118400000,2022-01-14 00:00:00,ICP/USD,31.442,33.046,31.093,32.531,605941.3942715052,18626.58369775
1642032000000,2022-01-13 00:00:00,ICP/USD,35.043,35.046,31.248,31.385,514427.3142758392,16390.86551779
1641945600000,2022-01-12 00:00:00,ICP/USD,34.43,35.896,32.613,34.993,714673.8015620671,20423.33614043
1641859200000,2022-01-11 00:00:00,ICP/USD,34.367,37.017,33.679,34.417,682051.0400954584,19817.2716999
1641772800000,2022-01-10 00:00:00,ICP/USD,36.208,37.742,32.297,34.328,1306575.0871250501,38061.49752753
1641686400000,2022-01-09 00:00:00,ICP/USD,32.933,37.215,32.917,36.121,1119898.4691438298,31004.08264289
1641600000000,2022-01-08 00:00:00,ICP/USD,30.404,33.839,30.13,32.889,1201895.867188751,36544.00763747
1641513600000,2022-01-07 00:00:00,ICP/USD,30.613,32.337,27.069,30.205,1455049.0352497108,48172.456058589996
1641427200000,2022-01-06 00:00:00,ICP/USD,30.571,32.55,28.607,30.523,677170.6580446635,22185.58654276
1641340800000,2022-01-05 00:00:00,ICP/USD,33.941,37.847,29.223,30.637,1192187.7829374843,38913.33299401
1641254400000,2022-01-04 00:00:00,ICP/USD,29.289,35.5,27.862,33.821,1060367.4478125933,31352.33871892
1641168000000,2022-01-03 00:00:00,ICP/USD,27.263,29.377,26.537,29.273,482708.59426619636,16489.89151321
1641081600000,2022-01-02 00:00:00,ICP/USD,25.597,28.563,25.398,27.275,365535.35192009824,13401.84608323
1640995200000,2022-01-01 00:00:00,ICP/USD,24.468,25.971,24.468,25.614,122457.03750381079,4780.86349277
1640908800000,2021-12-31 00:00:00,ICP/USD,24.805,26.555,24.053,24.514,227879.31276880755,9295.88450554
1640822400000,2021-12-30 00:00:00,ICP/USD,23.823,26.012,23.285,24.808,182707.25443268425,7364.85224253
1640736000000,2021-12-29 00:00:00,ICP/USD,24.843,25.249,23.551,24.035,142822.10298763606,5942.25516903
1640649600000,2021-12-28 00:00:00,ICP/USD,28.205,28.205,24.408,24.804,593631.5579954089,23932.89622623
1640563200000,2021-12-27 00:00:00,ICP/USD,26.76,29.885,26.709,28.308,476392.5876214932,16828.9030529
1640476800000,2021-12-26 00:00:00,ICP/USD,27.251,27.883,25.884,26.712,433641.37105275836,16233.9536932
1640390400000,2021-12-25 00:00:00,ICP/USD,27.594,28.651,26.581,27.309,205540.0781381803,7526.45934081
1640304000000,2021-12-24 00:00:00,ICP/USD,26.94,28.628,26.477,27.444,667465.8818195375,24321.01303817
1640217600000,2021-12-23 00:00:00,ICP/USD,23.374,27.926,22.967,26.991,997560.5675935701,36959.00735777
1640131200000,2021-12-22 00:00:00,ICP/USD,23.091,24.184,22.867,23.423,309564.58172675397,13216.26528313
1640044800000,2021-12-21 00:00:00,ICP/USD,21.83,23.451,21.484,23.113,400916.3263913235,17345.92335012
1639958400000,2021-12-20 00:00:00,ICP/USD,22.571,22.977,20.938,21.765,230025.3187319535,10568.5880419
1639872000000,2021-12-19 00:00:00,ICP/USD,23.706,24.238,22.402,22.644,175541.00807477377,7752.2084470400005
1639785600000,2021-12-18 00:00:00,ICP/USD,23.287,24.038,22.868,23.683,134510.19533976584,5679.60964995
1639699200000,2021-12-17 00:00:00,ICP/USD,24.383,24.865,22.814,23.429,197999.76765286963,8451.05500247
1639612800000,2021-12-16 00:00:00,ICP/USD,25.913,26.454,24.282,24.354,56317.62078448506,2312.45876589
1639526400000,2021-12-15 00:00:00,ICP/USD,25.392,26.613,23.663,26.007,211474.818494206,8131.45762657
1639440000000,2021-12-14 00:00:00,ICP/USD,25.023,25.765,24.289,25.452,140032.87266840984,5501.84161042
1639353600000,2021-12-13 00:00:00,ICP/USD,28.579,28.981,24.309,25.04,280659.5327732784,11208.44779446
1639267200000,2021-12-12 00:00:00,ICP/USD,27.872,28.931,27.1,28.527,140425.67687426484,4922.55326092
