https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XTZ
1647907200000,2022-03-22 00:00:00,XTZ/USD,3.2386,3.3903,3.221,3.2997,1098516.2860179918,332913.98794375
1647820800000,2022-03-21 00:00:00,XTZ/USD,3.337,3.3402,3.1945,3.2418,869309.418602502,268156.40033392
1647734400000,2022-03-20 00:00:00,XTZ/USD,3.2639,3.4274,3.2016,3.3388,1214620.0369534343,363789.39647581
1647648000000,2022-03-19 00:00:00,XTZ/USD,3.1496,3.2907,3.1496,3.2609,451107.3090078054,138338.28360508
1647561600000,2022-03-18 00:00:00,XTZ/USD,3.0793,3.1732,3.016,3.1562,491381.6865442336,155687.75316654
1647475200000,2022-03-17 00:00:00,XTZ/USD,3.1022,3.1536,3.0676,3.0848,582069.1407826155,188689.42582424
1647388800000,2022-03-16 00:00:00,XTZ/USD,2.9708,3.1031,2.9287,3.1031,934080.1037153156,301015.14734147
1647302400000,2022-03-15 00:00:00,XTZ/USD,3.0006,3.0135,2.8864,2.9756,930938.3109882192,312857.34338897
1647216000000,2022-03-14 00:00:00,XTZ/USD,2.9042,3.0128,2.8636,3.0023,501530.7827844806,167048.85680461
1647129600000,2022-03-13 00:00:00,XTZ/USD,3.0255,3.0848,2.9063,2.9063,260849.03202064458,89752.96150454
1647043200000,2022-03-12 00:00:00,XTZ/USD,2.9874,3.0848,2.9842,3.0257,301957.7067927671,99797.63585047
1646956800000,2022-03-11 00:00:00,XTZ/USD,3.0542,3.1093,2.96,2.9868,645180.6271675059,216010.65594198
1646870400000,2022-03-10 00:00:00,XTZ/USD,3.1789,3.2377,2.9686,3.0559,1137855.0927675315,372346.96579323
1646784000000,2022-03-09 00:00:00,XTZ/USD,3.0107,3.189,3.0107,3.1776,409105.2857708303,128746.62820079
1646697600000,2022-03-08 00:00:00,XTZ/USD,2.9206,3.0429,2.9074,3.0099,534682.9671860826,177641.43898006
1646611200000,2022-03-07 00:00:00,XTZ/USD,2.9726,3.0748,2.8402,2.9323,886651.94363006,302374.22624904
1646524800000,2022-03-06 00:00:00,XTZ/USD,3.1407,3.1754,2.9606,2.9706,692002.0205733626,232950.25266726
1646438400000,2022-03-05 00:00:00,XTZ/USD,3.084,3.1656,2.9825,3.1449,877720.367351336,279093.25172544
1646352000000,2022-03-04 00:00:00,XTZ/USD,3.3936,3.4022,3.0444,3.0786,707840.1606819312,229922.74432597
1646265600000,2022-03-03 00:00:00,XTZ/USD,3.4984,3.5245,3.3083,3.3926,616489.6816776011,181715.99412769
1646179200000,2022-03-02 00:00:00,XTZ/USD,3.5012,3.652,3.3764,3.4984,1027178.5506317192,293613.80935048
1646092800000,2022-03-01 00:00:00,XTZ/USD,3.5392,3.6587,3.4243,3.4958,1466112.0394272152,419392.4250321
1646006400000,2022-02-28 00:00:00,XTZ/USD,3.116,3.5673,3.0357,3.5483,1776857.5732373658,500763.0620966
1645920000000,2022-02-27 00:00:00,XTZ/USD,3.4294,3.4566,3.0602,3.1142,1095176.974006452,351672.01014914
1645833600000,2022-02-26 00:00:00,XTZ/USD,3.2084,3.491,3.1983,3.4165,2256740.136812061,660541.52987328
1645747200000,2022-02-25 00:00:00,XTZ/USD,3.0354,3.2558,2.9681,3.2108,1498058.2812427396,466568.54405218
1645660800000,2022-02-24 00:00:00,XTZ/USD,2.9396,3.0706,2.567,3.0415,2538695.2125716456,834685.25811989
1645574400000,2022-02-23 00:00:00,XTZ/USD,3.0691,3.2273,2.935,2.9358,1238183.1659316674,421753.24134194
1645488000000,2022-02-22 00:00:00,XTZ/USD,2.9745,3.0799,2.82,3.0699,2600269.724662454,847020.98591565
1645401600000,2022-02-21 00:00:00,XTZ/USD,3.2769,3.4754,2.9555,2.9701,1717906.58799833,578400.25184281
1645315200000,2022-02-20 00:00:00,XTZ/USD,3.6038,3.6061,3.2252,3.2664,1400254.0291520667,428684.1872251
1645228800000,2022-02-19 00:00:00,XTZ/USD,3.6252,3.6984,3.4739,3.607,1372084.0834893803,380394.81105888
1645142400000,2022-02-18 00:00:00,XTZ/USD,3.68,3.8622,3.5958,3.6263,1398656.5504581283,385697.97050937
1645056000000,2022-02-17 00:00:00,XTZ/USD,4.0456,4.0544,3.6218,3.6722,1075953.2252032696,292999.62562041
1644969600000,2022-02-16 00:00:00,XTZ/USD,4.1542,4.1859,3.9512,4.0396,1307636.758771459,323704.51499442
1644883200000,2022-02-15 00:00:00,XTZ/USD,3.947,4.1862,3.9005,4.1473,1292729.0703622317,311703.77603796
1644796800000,2022-02-14 00:00:00,XTZ/USD,3.8512,3.9949,3.7367,3.948,1946418.3353195102,493013.76274557
1644710400000,2022-02-13 00:00:00,XTZ/USD,4.101,4.1293,3.8158,3.8512,1227483.6434637944,318727.57671993
1644624000000,2022-02-12 00:00:00,XTZ/USD,4.3076,4.4242,4.0507,4.1155,3417200.734329768,830324.56185877
1644537600000,2022-02-11 00:00:00,XTZ/USD,4.1238,4.465,4.0229,4.3073,3544941.332527688,823007.76182938
1644451200000,2022-02-10 00:00:00,XTZ/USD,4.4467,4.5796,4.1129,4.1338,3318588.579771746,802793.69581783
1644364800000,2022-02-09 00:00:00,XTZ/USD,4.4012,4.6007,4.3289,4.4465,3684881.482790016,828715.05291578
1644278400000,2022-02-08 00:00:00,XTZ/USD,4.1457,4.457,4.0147,4.399,3996744.5663165417,908557.52814652
1644192000000,2022-02-07 00:00:00,XTZ/USD,3.9272,4.1927,3.8404,4.1457,2452808.813659397,591651.30464322
1644105600000,2022-02-06 00:00:00,XTZ/USD,3.9401,4.0057,3.7752,3.9227,1305714.6489942463,332861.20503588
1644019200000,2022-02-05 00:00:00,XTZ/USD,4.0108,4.0791,3.8603,3.9433,1494546.263335804,379009.01867365
1643932800000,2022-02-04 00:00:00,XTZ/USD,3.8435,4.0309,3.6805,4.0136,6466279.908552618,1611092.26344245
1643846400000,2022-02-03 00:00:00,XTZ/USD,3.7534,3.9686,3.6095,3.8417,5589056.270611082,1454839.33430801
1643760000000,2022-02-02 00:00:00,XTZ/USD,3.7446,3.8967,3.5788,3.7534,5447794.890988108,1451429.34166039
1643673600000,2022-02-01 00:00:00,XTZ/USD,3.4906,3.7668,3.4784,3.7404,1888271.5474989407,504831.44783952
1643587200000,2022-01-31 00:00:00,XTZ/USD,3.2765,3.5304,3.1059,3.4901,2770260.691032321,793748.22814026
1643500800000,2022-01-30 00:00:00,XTZ/USD,3.0958,3.5097,3.0915,3.2713,5793012.224797522,1770859.3601313
1643414400000,2022-01-29 00:00:00,XTZ/USD,3.0241,3.1392,3.0063,3.0964,1458110.2253244617,470904.99461454
1643328000000,2022-01-28 00:00:00,XTZ/USD,2.9076,3.0491,2.8344,3.0256,2649503.259007653,875695.15435208
1643241600000,2022-01-27 00:00:00,XTZ/USD,2.9424,3.0511,2.741,2.9164,2136406.6691509173,732549.2624986001
1643155200000,2022-01-26 00:00:00,XTZ/USD,2.9241,3.23,2.86,2.9479,1425511.3925810028,483568.43603277
1643068800000,2022-01-25 00:00:00,XTZ/USD,2.9751,3.0123,2.8487,2.92,1484313.620266506,508326.58228305
1642982400000,2022-01-24 00:00:00,XTZ/USD,3.0792,3.0832,2.5425,2.969,4400332.389198199,1482092.41805261
1642896000000,2022-01-23 00:00:00,XTZ/USD,2.957,3.1583,2.8397,3.0754,3089183.87594511,1004481.9782614
1642809600000,2022-01-22 00:00:00,XTZ/USD,3.334,3.4358,2.71,2.9589,4983421.784027205,1684214.33101058
1642723200000,2022-01-21 00:00:00,XTZ/USD,3.7021,3.771,3.2662,3.3416,3560690.0862657516,1065564.42610299
