https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATO
1651363200000,2022-05-01 00:00:00,ATO/USD,17.868,18.676,17.595,18.026,1264910.971642935,70171.47296366
1651276800000,2022-04-30 00:00:00,ATO/USD,19.468,19.569,17.289,17.867,1212836.505315825,67881.37377936
1651190400000,2022-04-29 00:00:00,ATO/USD,20.74,20.875,19.247,19.443,1071793.3014285483,55124.89335126
1651104000000,2022-04-28 00:00:00,ATO/USD,21.446,21.467,20.459,20.74,903706.4533049449,43573.11732425
1651017600000,2022-04-27 00:00:00,ATO/USD,20.309,21.881,20.142,21.452,1067442.3811300816,49759.57398518
1650931200000,2022-04-26 00:00:00,ATO/USD,22.122,22.299,20.0,20.318,687943.6640949751,33858.827842059996
1650844800000,2022-04-25 00:00:00,ATO/USD,22.306,22.379,20.825,22.126,793204.4885468491,35849.43001658
1650758400000,2022-04-24 00:00:00,ATO/USD,23.217,23.308,22.308,22.308,266069.0997477599,11927.07099461
1650672000000,2022-04-23 00:00:00,ATO/USD,23.104,23.491,22.78,23.214,257159.64641527884,11077.78264906
1650585600000,2022-04-22 00:00:00,ATO/USD,23.296,23.858,22.916,23.097,480638.093501292,20809.54641301
1650499200000,2022-04-21 00:00:00,ATO/USD,24.294,24.973,22.95,23.325,400291.705131282,17161.48789416
1650412800000,2022-04-20 00:00:00,ATO/USD,24.644,25.099,24.059,24.299,441067.42011120234,18151.66962061
1650326400000,2022-04-19 00:00:00,ATO/USD,24.096,24.727,23.785,24.668,311780.5335553966,12639.06816748
1650240000000,2022-04-18 00:00:00,ATO/USD,23.217,24.148,22.474,24.087,326351.5415497016,13548.86625772
1650153600000,2022-04-17 00:00:00,ATO/USD,24.205,24.494,23.136,23.25,120440.60799230251,5180.24120397
1650067200000,2022-04-16 00:00:00,ATO/USD,24.098,24.435,23.868,24.173,105502.90084804514,4364.49347818
1649980800000,2022-04-15 00:00:00,ATO/USD,23.967,24.364,23.783,24.125,140803.09130508127,5836.39756705
1649894400000,2022-04-14 00:00:00,ATO/USD,24.662,25.146,23.79,23.949,338057.5792178578,14115.72839024
1649808000000,2022-04-13 00:00:00,ATO/USD,24.613,25.179,24.148,24.699,328666.3549270154,13306.86889862
1649721600000,2022-04-12 00:00:00,ATO/USD,23.904,25.455,23.707,24.644,694470.44402394,28180.10241941
1649635200000,2022-04-11 00:00:00,ATO/USD,26.462,26.584,23.342,23.843,1467131.142607817,61532.99260193
1649548800000,2022-04-10 00:00:00,ATO/USD,27.285,27.424,26.467,26.467,420452.1232345419,15885.90029979
1649462400000,2022-04-09 00:00:00,ATO/USD,26.969,27.432,26.62,27.3,233591.64069504902,8556.47035513
1649376000000,2022-04-08 00:00:00,ATO/USD,27.662,28.94,26.672,26.861,638778.2624583615,23780.88166704
1649289600000,2022-04-07 00:00:00,ATO/USD,26.858,27.894,26.311,27.669,674563.5061586535,24379.7573515
1649203200000,2022-04-06 00:00:00,ATO/USD,29.288,29.419,26.724,26.904,1857256.2706267643,69032.71894985
1649116800000,2022-04-05 00:00:00,ATO/USD,30.864,31.188,29.197,29.294,692187.7887204066,23628.99531373
1649030400000,2022-04-04 00:00:00,ATO/USD,31.979,32.509,30.087,30.863,1321962.583692713,42833.24964173
1648944000000,2022-04-03 00:00:00,ATO/USD,31.375,33.251,30.548,31.885,1901246.4058531867,59628.23916742
1648857600000,2022-04-02 00:00:00,ATO/USD,29.388,32.76,29.289,31.377,1507923.3508129728,48058.23854457
1648771200000,2022-04-01 00:00:00,ATO/USD,28.897,29.665,27.733,29.432,658037.3551217336,22357.8878473
1648684800000,2022-03-31 00:00:00,ATO/USD,30.04,31.305,28.433,28.871,1465397.91617307,50756.74261969
1648598400000,2022-03-30 00:00:00,ATO/USD,30.211,31.323,29.331,30.012,1218387.2386051295,40596.66928579
1648512000000,2022-03-29 00:00:00,ATO/USD,29.399,31.674,29.399,30.232,1435637.9456113721,47487.36258307
1648425600000,2022-03-28 00:00:00,ATO/USD,29.97,31.467,29.205,29.462,827023.8093583722,28070.86448165
1648339200000,2022-03-27 00:00:00,ATO/USD,28.777,29.961,28.127,29.944,433458.45397416485,14475.63632027
1648252800000,2022-03-26 00:00:00,ATO/USD,28.071,28.951,28.044,28.808,278439.288857158,9665.34604475
1648166400000,2022-03-25 00:00:00,ATO/USD,29.262,30.01,27.713,28.119,1054363.4164380245,37496.47627718
1648080000000,2022-03-24 00:00:00,ATO/USD,28.245,29.464,27.989,29.249,744456.8649990958,25452.38691918
1647993600000,2022-03-23 00:00:00,ATO/USD,27.993,28.351,27.243,28.229,776697.7465499152,27514.17855928
1647907200000,2022-03-22 00:00:00,ATO/USD,27.932,28.951,27.655,28.013,825188.4689443156,29457.34012581
1647820800000,2022-03-21 00:00:00,ATO/USD,27.833,28.375,27.592,27.949,594994.4473070626,21288.5773125
1647734400000,2022-03-20 00:00:00,ATO/USD,28.638,28.817,27.494,27.832,296990.6458451162,10670.83378288
1647648000000,2022-03-19 00:00:00,ATO/USD,28.678,29.392,28.339,28.632,393920.17164301686,13758.0389649
1647561600000,2022-03-18 00:00:00,ATO/USD,28.146,28.764,27.229,28.681,485372.92245750607,16923.1519981
1647475200000,2022-03-17 00:00:00,ATO/USD,28.944,29.008,28.138,28.177,1153476.5704667768,40936.81266518
1647388800000,2022-03-16 00:00:00,ATO/USD,26.915,29.102,26.602,28.986,542876.9797897387,18728.93741081
1647302400000,2022-03-15 00:00:00,ATO/USD,26.863,27.7,26.202,26.916,467360.6848765142,17363.67531864
1647216000000,2022-03-14 00:00:00,ATO/USD,26.202,27.158,25.797,26.905,756703.0055821575,28124.9955615
1647129600000,2022-03-13 00:00:00,ATO/USD,27.195,27.529,25.982,26.25,278317.44703770004,10602.56941096
1647043200000,2022-03-12 00:00:00,ATO/USD,27.459,28.218,27.215,27.215,197069.90392924665,7241.22373431
1646956800000,2022-03-11 00:00:00,ATO/USD,28.089,28.415,26.91,27.493,1194466.0941160233,43446.18972524
1646870400000,2022-03-10 00:00:00,ATO/USD,30.096,30.343,27.5,28.02,1263420.2881839823,45089.94604511
1646784000000,2022-03-09 00:00:00,ATO/USD,27.857,31.289,27.808,30.056,767655.9437210831,25540.85519434
1646697600000,2022-03-08 00:00:00,ATO/USD,28.372,29.307,27.4,27.859,930212.9620490087,33390.03417384
1646611200000,2022-03-07 00:00:00,ATO/USD,28.131,29.55,27.174,28.385,1659691.9604089607,58470.74019408
1646524800000,2022-03-06 00:00:00,ATO/USD,30.766,30.949,27.953,28.137,919779.0427296648,32689.30741478
1646438400000,2022-03-05 00:00:00,ATO/USD,30.491,31.678,29.563,30.921,872785.9840999384,28226.31816888
1646352000000,2022-03-04 00:00:00,ATO/USD,33.986,34.706,30.356,30.461,1778817.879472873,58396.56870992
1646265600000,2022-03-03 00:00:00,ATO/USD,32.26,34.449,31.288,34.152,1150651.6597068263,33692.07249083
1646179200000,2022-03-02 00:00:00,ATO/USD,31.169,32.811,29.845,32.242,1173026.5665576903,36381.94177029
1646092800000,2022-03-01 00:00:00,ATO/USD,31.368,33.009,30.298,31.158,1742146.064707189,55913.28277512
1646006400000,2022-02-28 00:00:00,ATO/USD,26.738,31.721,26.451,31.418,2142498.8565226546,68193.35592726
1645920000000,2022-02-27 00:00:00,ATO/USD,29.92,29.92,26.335,26.753,711084.6298529588,26579.62209296
1645833600000,2022-02-26 00:00:00,ATO/USD,27.243,30.367,27.179,29.899,962135.926381092,32179.53531493
1645747200000,2022-02-25 00:00:00,ATO/USD,24.943,27.491,24.337,27.262,629857.9758094772,23103.87997247
1645660800000,2022-02-24 00:00:00,ATO/USD,25.163,25.543,21.644,24.94,1879027.4285937196,75341.91774634
