https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AXS
1647734400000,2022-03-20 00:00:00,AXS/USD,52.05,52.405,49.221,49.807,102946.78915172946,2066.91407135
1647648000000,2022-03-19 00:00:00,AXS/USD,50.566,54.374,50.285,52.08,168822.7895056584,3241.60502123
1647561600000,2022-03-18 00:00:00,AXS/USD,50.105,51.449,48.543,50.5,44955.040297385,890.19881777
1647475200000,2022-03-17 00:00:00,AXS/USD,50.504,51.274,49.524,50.234,147757.52178719107,2941.38475509
1647388800000,2022-03-16 00:00:00,AXS/USD,46.862,50.786,46.396,50.443,156890.49252844712,3110.25300891
1647302400000,2022-03-15 00:00:00,AXS/USD,47.866,48.928,45.979,46.944,78385.8809578608,1669.77421945
1647216000000,2022-03-14 00:00:00,AXS/USD,45.164,48.007,44.779,47.913,72703.98021088209,1517.41657193
1647129600000,2022-03-13 00:00:00,AXS/USD,46.56,48.073,45.018,45.333,62167.17106306026,1371.34473922
1647043200000,2022-03-12 00:00:00,AXS/USD,45.905,48.59,45.905,46.63,84976.216932019,1822.3507812999999
1646956800000,2022-03-11 00:00:00,AXS/USD,46.794,48.28,45.279,45.915,184811.78185638433,4025.08508889
1646870400000,2022-03-10 00:00:00,AXS/USD,48.675,48.985,45.171,46.759,174907.85961236877,3740.62447042
1646784000000,2022-03-09 00:00:00,AXS/USD,46.42,49.431,46.285,48.611,276057.21796222817,5678.90432129
1646697600000,2022-03-08 00:00:00,AXS/USD,46.13,47.631,45.808,46.281,90340.9998901367,1952.01054191
1646611200000,2022-03-07 00:00:00,AXS/USD,48.953,50.155,45.75,46.183,317812.22439480654,6881.58466091
1646524800000,2022-03-06 00:00:00,AXS/USD,51.933,52.36,48.747,48.881,68504.70883166834,1401.45882514
1646438400000,2022-03-05 00:00:00,AXS/USD,49.854,53.028,48.995,51.829,41548.977462497576,801.65500902
1646352000000,2022-03-04 00:00:00,AXS/USD,53.389,53.404,49.065,49.64,54903.5300449292,1106.03404603
1646265600000,2022-03-03 00:00:00,AXS/USD,55.508,55.793,51.957,53.279,53043.7171015572,995.5839468
1646179200000,2022-03-02 00:00:00,AXS/USD,56.711,58.94,54.479,55.69,100853.680292712,1810.9836648
1646092800000,2022-03-01 00:00:00,AXS/USD,54.474,61.26,53.479,57.15,320672.5820874495,5611.06880293
1646006400000,2022-02-28 00:00:00,AXS/USD,47.86,56.972,47.221,54.389,434076.98561779584,7980.97015238
1645920000000,2022-02-27 00:00:00,AXS/USD,50.44,51.957,46.921,48.119,126234.57279253122,2623.38312917
1645833600000,2022-02-26 00:00:00,AXS/USD,51.242,52.759,50.018,50.368,55996.61636018176,1111.74984832
1645747200000,2022-02-25 00:00:00,AXS/USD,48.801,51.983,46.434,51.26,366191.9881183652,7143.81560902
1645660800000,2022-02-24 00:00:00,AXS/USD,48.894,49.929,42.082,48.803,289179.2242557287,5925.43950691
1645574400000,2022-02-23 00:00:00,AXS/USD,51.261,53.514,48.699,48.867,159125.87351255046,3256.30534947
1645488000000,2022-02-22 00:00:00,AXS/USD,47.335,51.269,46.076,50.95,213792.5049264635,4196.12374733
1645401600000,2022-02-21 00:00:00,AXS/USD,52.072,56.036,47.288,47.407,740311.5413326618,15616.08077568
1645315200000,2022-02-20 00:00:00,AXS/USD,54.88,54.919,49.742,52.103,521737.5990401074,10013.58077347
1645228800000,2022-02-19 00:00:00,AXS/USD,55.58,56.933,53.622,54.909,273828.4598633703,4986.95040637
1645142400000,2022-02-18 00:00:00,AXS/USD,56.352,58.022,53.885,55.741,529887.1878904881,9506.23756105
1645056000000,2022-02-17 00:00:00,AXS/USD,63.657,64.592,55.863,56.42,350896.62689505063,6219.36594993
1644969600000,2022-02-16 00:00:00,AXS/USD,63.339,66.211,61.934,63.425,409937.9755043355,6463.35002766
1644883200000,2022-02-15 00:00:00,AXS/USD,56.978,63.753,56.869,63.22,384173.9348582272,6076.77846976
1644796800000,2022-02-14 00:00:00,AXS/USD,58.253,58.253,55.118,56.884,220943.11322984335,3884.09945204
1644710400000,2022-02-13 00:00:00,AXS/USD,59.119,60.595,57.035,58.085,76520.04836095375,1317.38053475
1644624000000,2022-02-12 00:00:00,AXS/USD,59.33,61.626,56.851,59.129,210541.04738414017,3560.7070538
1644537600000,2022-02-11 00:00:00,AXS/USD,63.207,64.964,56.841,58.909,505485.7392278982,8580.78967947
1644451200000,2022-02-10 00:00:00,AXS/USD,67.54,68.332,62.565,63.416,384138.33382555295,6057.43556556
1644364800000,2022-02-09 00:00:00,AXS/USD,66.988,68.125,63.141,67.573,276226.13056709286,4087.81807182
1644278400000,2022-02-08 00:00:00,AXS/USD,68.432,69.281,62.252,66.712,611808.2615179336,9170.88771912
1644192000000,2022-02-07 00:00:00,AXS/USD,68.325,72.005,66.831,68.153,2786316.4775317954,40883.25499291
1644105600000,2022-02-06 00:00:00,AXS/USD,56.888,68.814,56.888,68.281,4977540.17187167,72897.88040409
1644019200000,2022-02-05 00:00:00,AXS/USD,51.372,59.34,50.857,56.787,1465807.2170284071,25812.37284992
1643932800000,2022-02-04 00:00:00,AXS/USD,48.247,51.575,47.588,51.168,391312.6230336835,7647.60442139
1643846400000,2022-02-03 00:00:00,AXS/USD,49.031,49.223,46.191,48.358,339762.8019741507,7025.98953584
1643760000000,2022-02-02 00:00:00,AXS/USD,53.509,54.113,48.275,49.083,636898.960318103,12975.95828124
1643673600000,2022-02-01 00:00:00,AXS/USD,52.411,54.879,51.997,53.401,351778.91706269834,6587.49680835
1643587200000,2022-01-31 00:00:00,AXS/USD,53.505,54.522,49.786,52.319,596201.0080379377,11395.49700946
1643500800000,2022-01-30 00:00:00,AXS/USD,49.487,62.0,49.341,53.37,3269394.6526676896,61259.03415154
1643414400000,2022-01-29 00:00:00,AXS/USD,46.891,50.101,46.31,49.598,281575.3025057863,5677.15033884
1643328000000,2022-01-28 00:00:00,AXS/USD,47.447,48.332,44.667,46.952,532983.5587966027,11351.66891286
1643241600000,2022-01-27 00:00:00,AXS/USD,49.314,52.958,41.653,47.358,4155055.4070729828,87737.13854202
1643155200000,2022-01-26 00:00:00,AXS/USD,50.815,55.595,48.583,49.574,812682.9682330893,16393.33054087
1643068800000,2022-01-25 00:00:00,AXS/USD,51.207,51.919,44.605,50.78,3868509.933000236,76181.76315479
1642982400000,2022-01-24 00:00:00,AXS/USD,54.679,54.679,44.479,51.207,1164772.1569663228,22746.34633871
1642896000000,2022-01-23 00:00:00,AXS/USD,50.1,54.785,49.793,54.785,987992.1948082462,18033.99096118
1642809600000,2022-01-22 00:00:00,AXS/USD,58.365,59.342,47.693,50.211,1595725.7876057434,31780.40245376
1642723200000,2022-01-21 00:00:00,AXS/USD,69.061,69.261,57.064,58.348,1069274.9703685364,18325.82042861
1642636800000,2022-01-20 00:00:00,AXS/USD,71.975,75.928,68.773,69.17,379180.0402062995,5481.85687735
1642550400000,2022-01-19 00:00:00,AXS/USD,73.856,74.128,70.636,71.783,271585.8190833619,3783.42809695
1642464000000,2022-01-18 00:00:00,AXS/USD,76.713,77.236,72.213,73.896,1001802.2208733383,13556.92081944
1642377600000,2022-01-17 00:00:00,AXS/USD,80.387,83.454,75.092,76.622,1043637.6787026153,13620.60085488
1642291200000,2022-01-16 00:00:00,AXS/USD,75.449,82.399,74.569,80.179,1360882.1407305726,16973.04956074
1642204800000,2022-01-15 00:00:00,AXS/USD,73.827,76.153,73.053,75.47,365220.7611675992,4839.28396936
1642118400000,2022-01-14 00:00:00,AXS/USD,73.193,75.587,71.038,73.606,647513.2845729954,8797.01769656
1642032000000,2022-01-13 00:00:00,AXS/USD,78.371,78.674,72.944,72.996,544640.364350045,7461.23574374
1641945600000,2022-01-12 00:00:00,AXS/USD,73.217,79.2,72.171,78.15,1659138.1460129835,21230.17461309
1641859200000,2022-01-11 00:00:00,AXS/USD,68.134,73.384,67.598,72.65,1043113.2932831731,14358.06322482
1641772800000,2022-01-10 00:00:00,AXS/USD,71.773,73.14,65.27,68.305,828611.223953668,12131.04785819
1641686400000,2022-01-09 00:00:00,AXS/USD,70.29,74.13,69.098,71.96,2088266.2985657675,29019.82071381
1641600000000,2022-01-08 00:00:00,AXS/USD,73.641,75.755,67.861,70.34,1414093.6206513701,20103.69093903
1641513600000,2022-01-07 00:00:00,AXS/USD,79.12,79.139,70.498,73.489,2086234.391080749,28388.38997783
1641427200000,2022-01-06 00:00:00,AXS/USD,79.732,80.994,75.583,79.122,1390861.3046531726,17578.69245789
1641340800000,2022-01-05 00:00:00,AXS/USD,92.79,94.94,74.654,80.108,1897784.2151264544,23690.32075606
1641254400000,2022-01-04 00:00:00,AXS/USD,94.43,96.736,92.89,92.989,605226.5590037182,6508.58229472
1641168000000,2022-01-03 00:00:00,AXS/USD,96.246,97.881,92.24,94.32,526431.9432519288,5581.33951709
1641081600000,2022-01-02 00:00:00,AXS/USD,94.201,96.619,93.31,96.436,290228.9276731457,3009.54962538
1640995200000,2022-01-01 00:00:00,AXS/USD,93.79,95.139,91.441,94.18,353137.6518407554,3749.60343853
1640908800000,2021-12-31 00:00:00,AXS/USD,95.309,97.99,91.277,93.19,923596.8670947324,9910.90103117
1640822400000,2021-12-30 00:00:00,AXS/USD,93.8,96.51,92.022,95.123,304329.4616335729,3199.3257323
1640736000000,2021-12-29 00:00:00,AXS/USD,99.89,100.57,92.969,93.74,632753.7077916948,6750.09289302
1640649600000,2021-12-28 00:00:00,AXS/USD,107.0,107.52,98.889,99.94,2143570.279896472,21448.57194213
1640563200000,2021-12-27 00:00:00,AXS/USD,107.73,111.57,106.35,107.11,609661.4202376741,5691.91877731
1640476800000,2021-12-26 00:00:00,AXS/USD,109.05,109.05,105.73,107.68,342818.33838226565,3183.67699092
1640390400000,2021-12-25 00:00:00,AXS/USD,104.49,110.48,103.77,109.6,1285930.8358387118,11732.94558247
1640304000000,2021-12-24 00:00:00,AXS/USD,107.6,109.55,103.91,104.58,893545.3472402646,8544.13221687
1640217600000,2021-12-23 00:00:00,AXS/USD,101.68,107.82,99.752,107.26,503961.3798522162,4698.50251587
1640131200000,2021-12-22 00:00:00,AXS/USD,97.3,104.08,96.072,101.61,1316957.202907651,12960.90151469
1640044800000,2021-12-21 00:00:00,AXS/USD,93.218,97.91,92.214,97.28,540697.5221519873,5558.15709449
1639958400000,2021-12-20 00:00:00,AXS/USD,95.09,95.888,89.65,92.63,210427.467523027,2271.6988829
1639872000000,2021-12-19 00:00:00,AXS/USD,96.161,98.56,94.718,95.51,255233.0714839381,2672.31778331
1639785600000,2021-12-18 00:00:00,AXS/USD,94.006,97.448,92.649,96.27,268532.13269231305,2789.36462753
1639699200000,2021-12-17 00:00:00,AXS/USD,98.159,99.116,91.646,94.678,460063.16527626803,4859.24042836
1639612800000,2021-12-16 00:00:00,AXS/USD,101.71,103.85,97.5,97.899,310933.725275813,3176.06640799
1639526400000,2021-12-15 00:00:00,AXS/USD,96.16,103.16,92.058,101.68,767471.2986319632,7547.90812974
1639440000000,2021-12-14 00:00:00,AXS/USD,92.841,97.25,92.221,96.21,439779.554521389,4571.0378809
1639353600000,2021-12-13 00:00:00,AXS/USD,104.1,104.84,91.084,93.21,1104209.369851727,11846.46893951
1639267200000,2021-12-12 00:00:00,AXS/USD,103.21,105.8,100.81,104.34,256204.703468589,2455.47923585
1639180800000,2021-12-11 00:00:00,AXS/USD,97.571,103.84,95.782,102.96,530492.7791746439,5152.41627015
1639094400000,2021-12-10 00:00:00,AXS/USD,103.71,106.34,97.363,97.363,864722.7357963122,8881.43068513
1639008000000,2021-12-09 00:00:00,AXS/USD,113.37,115.24,102.96,103.91,1071942.5505431718,10316.06727498
1638921600000,2021-12-08 00:00:00,AXS/USD,105.76,121.66,105.13,113.0,4805518.5387058295,42526.71273191
