https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ALG
1644105600000,2022-02-06 00:00:00,ALG/USD,1.0054,1.0295,0.97331,1.0254,1031275.9881341083,1005730.435083
1644019200000,2022-02-05 00:00:00,ALG/USD,0.99819,1.0448,0.98254,1.0027,1462651.0574988362,1458712.53365796
1643932800000,2022-02-04 00:00:00,ALG/USD,0.933,0.99991,0.927,0.99809,1490959.5331256331,1493812.71541207
1643846400000,2022-02-03 00:00:00,ALG/USD,0.92281,0.9411,0.90212,0.93556,1877925.9460001017,2007274.72957384
1643760000000,2022-02-02 00:00:00,ALG/USD,0.96761,1.0304,0.92193,0.9237,2654334.0306780445,2873588.86075354
1643673600000,2022-02-01 00:00:00,ALG/USD,0.94795,0.9913,0.94763,0.96708,1511803.0348279318,1563265.74309047
1643587200000,2022-01-31 00:00:00,ALG/USD,0.9457,0.97088,0.90459,0.94981,1511968.093799321,1591863.73464095
1643500800000,2022-01-30 00:00:00,ALG/USD,0.96862,0.99039,0.93043,0.94602,1355563.8934610654,1432912.51079371
1643414400000,2022-01-29 00:00:00,ALG/USD,0.9579,1.0072,0.95595,0.96784,1106125.4881515363,1142880.5258633
1643328000000,2022-01-28 00:00:00,ALG/USD,0.9366,0.98569,0.9227,0.95861,1973716.4713269393,2058935.82512903
1643241600000,2022-01-27 00:00:00,ALG/USD,0.92149,0.95642,0.87776,0.9372,1694705.7726552326,1808264.80223563
1643155200000,2022-01-26 00:00:00,ALG/USD,0.92291,0.99396,0.89367,0.92294,2009079.396238982,2176825.57505253
1643068800000,2022-01-25 00:00:00,ALG/USD,0.91361,0.94964,0.86861,0.92168,1656392.0726635356,1797144.42394707
1642982400000,2022-01-24 00:00:00,ALG/USD,0.99007,0.99007,0.8187,0.91344,4351308.639520218,4763650.20091108
1642896000000,2022-01-23 00:00:00,ALG/USD,0.95196,1.0049,0.9265,0.9914,2902556.175472778,2927734.6938398
1642809600000,2022-01-22 00:00:00,ALG/USD,1.0325,1.0618,0.79778,0.95231,6334787.880231694,6652022.8499456
1642723200000,2022-01-21 00:00:00,ALG/USD,1.1618,1.196,1.0007,1.0325,5183495.22470807,5020334.35807077
1642636800000,2022-01-20 00:00:00,ALG/USD,1.2675,1.3272,1.1553,1.1614,1778567.809435047,1531399.87035909
1642550400000,2022-01-19 00:00:00,ALG/USD,1.3196,1.3223,1.2268,1.2659,1837920.1722590115,1451868.37211392
1642464000000,2022-01-18 00:00:00,ALG/USD,1.342,1.3612,1.2788,1.3199,1696442.8376110916,1285281.3376855
1642377600000,2022-01-17 00:00:00,ALG/USD,1.4319,1.4436,1.3386,1.3414,2039676.5596761596,1520558.04359338
1642291200000,2022-01-16 00:00:00,ALG/USD,1.3786,1.4484,1.3667,1.4295,1487118.3656102289,1040306.65660037
1642204800000,2022-01-15 00:00:00,ALG/USD,1.3841,1.4164,1.3584,1.3779,1215378.711851617,882051.46371407
1642118400000,2022-01-14 00:00:00,ALG/USD,1.3625,1.4112,1.3262,1.3833,2150891.390593705,1554898.7136512
1642032000000,2022-01-13 00:00:00,ALG/USD,1.4981,1.4981,1.3428,1.3587,1787803.1120590293,1315818.87985503
1641945600000,2022-01-12 00:00:00,ALG/USD,1.4466,1.5035,1.4397,1.4996,1470673.3828367593,980710.44467642
1641859200000,2022-01-11 00:00:00,ALG/USD,1.3636,1.4519,1.3502,1.4454,1627590.5800994644,1126048.5541023
1641772800000,2022-01-10 00:00:00,ALG/USD,1.3997,1.4535,1.3029,1.3632,2202680.3307928434,1615815.9703586
1641686400000,2022-01-09 00:00:00,ALG/USD,1.3851,1.4406,1.3694,1.4002,1474521.5962385263,1053079.27170299
1641600000000,2022-01-08 00:00:00,ALG/USD,1.4449,1.4679,1.3178,1.3832,2110072.839606232,1525500.89618727
1641513600000,2022-01-07 00:00:00,ALG/USD,1.5662,1.5679,1.3969,1.4447,3466200.0196003444,2399252.45352
1641427200000,2022-01-06 00:00:00,ALG/USD,1.5533,1.6042,1.4847,1.5639,3802391.120848863,2431351.82610708
1641340800000,2022-01-05 00:00:00,ALG/USD,1.6768,1.8008,1.4521,1.5551,3261123.09881804,2097050.41400427
1641254400000,2022-01-04 00:00:00,ALG/USD,1.7977,1.848,1.6592,1.6753,2190347.6058869124,1307436.04481998
1641168000000,2022-01-03 00:00:00,ALG/USD,1.673,1.8351,1.6274,1.7889,3088599.328465054,1726535.48463584
1641081600000,2022-01-02 00:00:00,ALG/USD,1.7434,1.7832,1.6615,1.6748,843777.6369726183,503807.99914773
1640995200000,2022-01-01 00:00:00,ALG/USD,1.6565,1.7687,1.6362,1.74,846608.5519111038,486556.63902937
1640908800000,2021-12-31 00:00:00,ALG/USD,1.7314,1.7871,1.63,1.6626,1708099.7482366532,1027366.62350334
1640822400000,2021-12-30 00:00:00,ALG/USD,1.5845,1.765,1.525,1.7299,2917534.9097783193,1686533.85153958
1640736000000,2021-12-29 00:00:00,ALG/USD,1.4685,1.6412,1.408,1.5832,1505896.9900906056,951172.93462014
1640649600000,2021-12-28 00:00:00,ALG/USD,1.6623,1.664,1.4532,1.4662,1739981.6927961526,1186728.74969046
1640563200000,2021-12-27 00:00:00,ALG/USD,1.6086,1.7252,1.5814,1.6624,1661068.6666386914,999199.14980672
1640476800000,2021-12-26 00:00:00,ALG/USD,1.5766,1.644,1.5476,1.6065,1561458.863724094,971963.18937074
1640390400000,2021-12-25 00:00:00,ALG/USD,1.5691,1.5992,1.5324,1.5773,1650567.4835446372,1046451.20366743
