https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1643760000000,2022-02-02 00:00:00,ZEC/USD,98.973,103.72,97.497,98.507,1287684.864648624,13072.01381271
1643673600000,2022-02-01 00:00:00,ZEC/USD,94.492,99.633,94.179,98.935,249717.63076296568,2524.05752022
1643587200000,2022-01-31 00:00:00,ZEC/USD,93.202,95.035,88.3,94.635,329330.24275647197,3480.00467857
1643500800000,2022-01-30 00:00:00,ZEC/USD,96.197,98.008,91.575,92.983,364404.22068011336,3919.04133745
1643414400000,2022-01-29 00:00:00,ZEC/USD,91.368,97.101,90.698,96.274,678057.9205508017,7043.00143913
1643328000000,2022-01-28 00:00:00,ZEC/USD,88.619,91.896,86.386,91.327,598540.0311234791,6553.81246645
1643241600000,2022-01-27 00:00:00,ZEC/USD,89.997,90.741,82.662,88.849,669888.0128588098,7539.62355073
1643155200000,2022-01-26 00:00:00,ZEC/USD,90.445,100.26,86.586,89.711,1546444.686171174,17238.07210009
1643068800000,2022-01-25 00:00:00,ZEC/USD,94.31,96.711,89.214,90.528,965947.3226442394,10670.14981712
1642982400000,2022-01-24 00:00:00,ZEC/USD,97.5,97.999,81.475,94.322,2088291.638067347,22140.02712058
1642896000000,2022-01-23 00:00:00,ZEC/USD,94.481,98.236,91.034,97.558,1854469.6612145503,19008.89379871
1642809600000,2022-01-22 00:00:00,ZEC/USD,102.21,104.3,83.426,94.518,3686543.3091076426,39003.61104877
1642723200000,2022-01-21 00:00:00,ZEC/USD,118.79,120.5,100.56,102.32,2297881.1334430175,22457.79059268
1642636800000,2022-01-20 00:00:00,ZEC/USD,126.03,131.96,118.78,118.78,1211109.1769902827,10196.23823026
1642550400000,2022-01-19 00:00:00,ZEC/USD,131.92,132.49,125.63,125.79,981268.7601780987,7800.84871753
1642464000000,2022-01-18 00:00:00,ZEC/USD,138.77,140.79,128.57,131.82,1734826.863862716,13160.5739938
1642377600000,2022-01-17 00:00:00,ZEC/USD,141.49,142.92,134.75,138.85,1409410.2015412494,10150.59561787
1642291200000,2022-01-16 00:00:00,ZEC/USD,144.54,145.98,140.1,141.36,889239.6494323777,6290.60306616
