https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMN
1647302400000,2022-03-15 00:00:00,OMN/USD,2.7503,3.3039,2.75,3.3,3504.3341801489996,1061.91944853
1647216000000,2022-03-14 00:00:00,OMN/USD,3.098,3.098,2.75,2.75,10.95377877,3.98319228
1647129600000,2022-03-13 00:00:00,OMN/USD,2.9557,2.9557,2.2022,2.75,586.014810645,213.09629478000002
1646956800000,2022-03-11 00:00:00,OMN/USD,2.7501,2.7501,2.7501,2.7501,35.72044547305801,12.98878058
1646870400000,2022-03-10 00:00:00,OMN/USD,3.0861,3.0861,2.798,2.9187,39.968235149958,13.69384834
1646784000000,2022-03-09 00:00:00,OMN/USD,2.75,3.1,2.1411,2.7689,3788.705349792969,1368.30703521
1646697600000,2022-03-08 00:00:00,OMN/USD,3.117,3.117,2.75,2.75,1121.15077151,407.69118964
1646611200000,2022-03-07 00:00:00,OMN/USD,2.8196,2.8196,2.8196,2.8196,2.25568,0.8
1646524800000,2022-03-06 00:00:00,OMN/USD,2.1,2.7969,2.1,2.1411,739.677716190972,345.46621652000005
1646438400000,2022-03-05 00:00:00,OMN/USD,2.6,2.6,2.6,2.6,9.35064,3.5964
1646179200000,2022-03-02 00:00:00,OMN/USD,2.6158,2.6158,2.6,2.6,49.4,19.0
1646092800000,2022-03-01 00:00:00,OMN/USD,2.5,2.6204,2.5,2.6204,52.408,20.0
1646006400000,2022-02-28 00:00:00,OMN/USD,2.4697,2.4738,2.0657,2.0657,72.81563026592401,35.249857320000004
1645920000000,2022-02-27 00:00:00,OMN/USD,2.1731,2.1731,2.173,2.173,48.188052514,22.175818
1645833600000,2022-02-26 00:00:00,OMN/USD,2.3155,2.4097,2.3155,2.4097,55.4231,23.0
1645747200000,2022-02-25 00:00:00,OMN/USD,2.4045,2.4045,2.05,2.3988,1167.751764169932,486.80663839
1645660800000,2022-02-24 00:00:00,OMN/USD,2.5159,2.5159,2.4042,2.4042,89.40261541176599,37.18601423
1645315200000,2022-02-20 00:00:00,OMN/USD,2.87,2.87,2.5001,2.5001,1960.497663469868,784.16769868
1645228800000,2022-02-19 00:00:00,OMN/USD,3.2608,3.273,2.8671,2.8671,300.85083990841804,104.93210558
1645142400000,2022-02-18 00:00:00,OMN/USD,3.273,3.273,3.2608,3.273,17.4615024585,5.3350145
1645056000000,2022-02-17 00:00:00,OMN/USD,2.8085,3.29,2.807,3.2608,271.915276343104,83.38913038
1644969600000,2022-02-16 00:00:00,OMN/USD,2.83,3.295,2.8085,2.8085,135.278396704145,48.16749037
