https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PLU
1647216000000,2022-03-14 00:00:00,PLU/USD,7.0842,7.0842,6.8449,7.0205,8861.73196254775,1262.2650755
1647129600000,2022-03-13 00:00:00,PLU/USD,7.044,7.2823,6.76,7.0682,4878.033914007657,690.13807108
1647043200000,2022-03-12 00:00:00,PLU/USD,6.9266,7.6076,6.8499,7.044,17439.83297530884,2475.84227361
1646956800000,2022-03-11 00:00:00,PLU/USD,7.2221,7.3958,6.8839,6.9265,9142.620945963155,1319.94816227
1646870400000,2022-03-10 00:00:00,PLU/USD,7.5853,7.9679,7.0996,7.2216,12113.583194390903,1677.40988069
1646784000000,2022-03-09 00:00:00,PLU/USD,7.4413,7.7484,7.3534,7.5853,17142.989035258335,2260.02782161
1646697600000,2022-03-08 00:00:00,PLU/USD,7.3236,7.6948,7.2979,7.4685,9501.92572443972,1272.26695112
1646611200000,2022-03-07 00:00:00,PLU/USD,7.4883,7.7944,7.184,7.2763,16377.75742921713,2250.83592337
1646524800000,2022-03-06 00:00:00,PLU/USD,7.9416,7.9925,7.4068,7.6185,17784.24450501258,2334.34987268
1646438400000,2022-03-05 00:00:00,PLU/USD,8.2334,8.6026,7.8746,7.9259,18898.79706781604,2384.43546699
1646352000000,2022-03-04 00:00:00,PLU/USD,8.0167,9.0483,7.9767,8.2333,59719.82611225494,7253.44954177
1646265600000,2022-03-03 00:00:00,PLU/USD,8.3247,8.4329,7.9767,8.0161,10074.577445929464,1256.79288506
1646179200000,2022-03-02 00:00:00,PLU/USD,8.2281,8.3949,7.854,8.3269,4214.976176226119,506.18791822000003
1646092800000,2022-03-01 00:00:00,PLU/USD,8.2811,8.504,8.0304,8.2282,36442.62134109713,4428.9907077
1646006400000,2022-02-28 00:00:00,PLU/USD,7.7565,8.7721,7.7198,8.2562,52386.630220672996,6345.12611379
1645920000000,2022-02-27 00:00:00,PLU/USD,7.8712,8.2503,7.7373,7.7571,13598.119444514905,1752.99009224
