https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1651017600000,2022-04-27 00:00:00,GRT/USD,0.33881,0.37194,0.33666,0.36761,105676.39064344573,287468.75940112
1650931200000,2022-04-26 00:00:00,GRT/USD,0.36162,0.40345,0.33635,0.33784,254706.60520521898,753926.7262764
1650844800000,2022-04-25 00:00:00,GRT/USD,0.35723,0.35783,0.32659,0.35783,168196.82032703672,470046.72701293
1650758400000,2022-04-24 00:00:00,GRT/USD,0.35405,0.36242,0.3476,0.35729,42551.630356869115,119095.4976542
1650672000000,2022-04-23 00:00:00,GRT/USD,0.35562,0.35885,0.34662,0.35267,54069.50925763783,153314.73972166
1650585600000,2022-04-22 00:00:00,GRT/USD,0.35304,0.36648,0.34944,0.35329,63882.762831200926,180822.4485018
1650499200000,2022-04-21 00:00:00,GRT/USD,0.36343,0.39276,0.35128,0.35409,180034.9300406598,508443.98328295
1650412800000,2022-04-20 00:00:00,GRT/USD,0.36088,0.38081,0.35566,0.36146,113136.42935421442,312998.47660658
1650326400000,2022-04-19 00:00:00,GRT/USD,0.36274,0.36937,0.35786,0.3622,48055.29332561221,132676.12734846
1650240000000,2022-04-18 00:00:00,GRT/USD,0.34868,0.36205,0.33131,0.36076,26526.99297220894,73530.85977439
1650153600000,2022-04-17 00:00:00,GRT/USD,0.36207,0.37031,0.34707,0.34894,25118.300971270866,71984.58466003
1650067200000,2022-04-16 00:00:00,GRT/USD,0.36778,0.37031,0.35676,0.36277,3083.497264423438,8499.86841366
1649980800000,2022-04-15 00:00:00,GRT/USD,0.36389,0.37024,0.35976,0.36967,14342.399962019012,38797.84662542
1649894400000,2022-04-14 00:00:00,GRT/USD,0.38483,0.3901,0.35835,0.36348,18143.50366183752,49916.09899262
1649808000000,2022-04-13 00:00:00,GRT/USD,0.37216,0.38629,0.36262,0.38389,44249.12351092792,115265.111128
1649721600000,2022-04-12 00:00:00,GRT/USD,0.35131,0.3746,0.34846,0.37389,69598.08326543181,186145.88051414
1649635200000,2022-04-11 00:00:00,GRT/USD,0.38284,0.38618,0.34314,0.34852,76322.96919792403,218991.64810606
1649548800000,2022-04-10 00:00:00,GRT/USD,0.40599,0.40959,0.38462,0.38462,63770.117850989125,165800.31680877
1649462400000,2022-04-09 00:00:00,GRT/USD,0.39493,0.40768,0.39209,0.40601,58661.15534206657,144482.04561973
1649376000000,2022-04-08 00:00:00,GRT/USD,0.43097,0.43208,0.389,0.39348,111194.4459060308,282592.37040264
1649289600000,2022-04-07 00:00:00,GRT/USD,0.41267,0.43517,0.40765,0.43314,66837.2524787826,154308.6588142
1649203200000,2022-04-06 00:00:00,GRT/USD,0.4554,0.46326,0.4116,0.41255,141223.73249675025,342319.07040783
1649116800000,2022-04-05 00:00:00,GRT/USD,0.4962,0.49938,0.45861,0.45861,88222.48145850621,192369.29299079
1649030400000,2022-04-04 00:00:00,GRT/USD,0.5145,0.51606,0.46981,0.49398,125882.01701140504,254832.2138779
1648944000000,2022-04-03 00:00:00,GRT/USD,0.52161,0.53158,0.49565,0.51634,149925.61315407397,290362.18994088
1648857600000,2022-04-02 00:00:00,GRT/USD,0.48355,0.54865,0.48355,0.51622,354059.2176931686,685868.84989572
1648771200000,2022-04-01 00:00:00,GRT/USD,0.47401,0.49459,0.4422,0.48381,258795.19595216136,534910.80372907
