https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1642982400000,2022-01-24 00:00:00,XLM/USD,0.201,0.20106,0.17229,0.19806,4222879.072357942,21321211.10955237
1642896000000,2022-01-23 00:00:00,XLM/USD,0.19267,0.20117,0.18815,0.20098,1983723.678150332,9870254.14543901
1642809600000,2022-01-22 00:00:00,XLM/USD,0.20284,0.20806,0.16807,0.19246,3055448.568515977,15875758.95519057
1642723200000,2022-01-21 00:00:00,XLM/USD,0.23152,0.23384,0.19858,0.20319,1976428.0636567606,9726994.75198957
1642636800000,2022-01-20 00:00:00,XLM/USD,0.24561,0.25267,0.23043,0.23171,900087.650013003,3884543.82639076
1642550400000,2022-01-19 00:00:00,XLM/USD,0.25398,0.25561,0.24354,0.24566,777755.3531146086,3165982.87517141
1642464000000,2022-01-18 00:00:00,XLM/USD,0.25611,0.25774,0.24824,0.2542,1564025.1154102855,6152734.52167697
1642377600000,2022-01-17 00:00:00,XLM/USD,0.25977,0.25977,0.25,0.25611,1202969.6781132175,4697082.02769598
1642291200000,2022-01-16 00:00:00,XLM/USD,0.25926,0.26252,0.25468,0.25862,854579.5869877131,3304383.21470773
1642204800000,2022-01-15 00:00:00,XLM/USD,0.26436,0.26968,0.25663,0.25913,2496775.890247295,9635225.138915969
1642118400000,2022-01-14 00:00:00,XLM/USD,0.26916,0.29622,0.26154,0.26474,4155272.7353380304,15695674.00218339
1642032000000,2022-01-13 00:00:00,XLM/USD,0.28242,0.2902,0.26891,0.26933,2131219.328026679,7913040.98327954
1641945600000,2022-01-12 00:00:00,XLM/USD,0.2629,0.29157,0.2629,0.28228,2298106.2661371445,8141229.51019252
1641859200000,2022-01-11 00:00:00,XLM/USD,0.25297,0.2638,0.2481,0.26318,2488601.530784886,9455891.52209471
1641772800000,2022-01-10 00:00:00,XLM/USD,0.26114,0.26408,0.23882,0.25332,2575198.0956025366,10165790.68215118
1641686400000,2022-01-09 00:00:00,XLM/USD,0.25477,0.26394,0.25354,0.26122,1332889.8785782685,5102556.76662686
1641600000000,2022-01-08 00:00:00,XLM/USD,0.25705,0.2645,0.24703,0.25478,1969011.0507919772,7728279.49914427
1641513600000,2022-01-07 00:00:00,XLM/USD,0.2676,0.2684,0.25118,0.25629,3229118.6844092673,12599472.02157426
1641427200000,2022-01-06 00:00:00,XLM/USD,0.26596,0.27211,0.25848,0.2679,1868645.4721131884,6975160.403558
1641340800000,2022-01-05 00:00:00,XLM/USD,0.27914,0.29475,0.2548,0.26631,2886485.0545157576,10838815.8706611
1641254400000,2022-01-04 00:00:00,XLM/USD,0.29076,0.29106,0.2782,0.2793,2200456.611100534,7878469.78553718
1641168000000,2022-01-03 00:00:00,XLM/USD,0.29243,0.29748,0.28587,0.2903,3432655.9138809177,11824512.27654467
1641081600000,2022-01-02 00:00:00,XLM/USD,0.27714,0.29225,0.27577,0.29167,1494096.3948583717,5122557.66742679
1640995200000,2022-01-01 00:00:00,XLM/USD,0.26652,0.27715,0.26619,0.27653,1736841.0121221393,6280841.18223028
1640908800000,2021-12-31 00:00:00,XLM/USD,0.26812,0.27677,0.25931,0.26658,1965322.3722613782,7372354.91132635
1640822400000,2021-12-30 00:00:00,XLM/USD,0.26676,0.27535,0.26116,0.26814,2085739.4061438106,7778546.30470579
1640736000000,2021-12-29 00:00:00,XLM/USD,0.27418,0.27962,0.26487,0.26645,1943120.3782027985,7292626.67743591
1640649600000,2021-12-28 00:00:00,XLM/USD,0.29926,0.29948,0.2735,0.27409,2202091.256929226,8034190.43718934
1640563200000,2021-12-27 00:00:00,XLM/USD,0.29196,0.30615,0.29138,0.29869,836694.0081682813,2801211.98623416
1640476800000,2021-12-26 00:00:00,XLM/USD,0.29005,0.29478,0.28561,0.29181,914837.5397406264,3135045.19975541
