https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1648252800000,2022-03-26 00:00:00,UTK/USD,0.25051,0.25597,0.24724,0.25464,22645.061426376542,88929.71028266
1648166400000,2022-03-25 00:00:00,UTK/USD,0.26062,0.26364,0.25003,0.25039,29285.24823587868,116958.53762482
1648080000000,2022-03-24 00:00:00,UTK/USD,0.25494,0.26581,0.25175,0.26129,26090.77475712459,99853.70567999
1647993600000,2022-03-23 00:00:00,UTK/USD,0.24709,0.25632,0.24337,0.25513,19160.11491902976,75099.41958621
1647907200000,2022-03-22 00:00:00,UTK/USD,0.24034,0.2477,0.24034,0.24662,12712.45759232221,51546.74232553
1647820800000,2022-03-21 00:00:00,UTK/USD,0.23463,0.24152,0.23077,0.24067,9659.253433315038,40134.84619319
1647734400000,2022-03-20 00:00:00,UTK/USD,0.24109,0.24379,0.23336,0.23619,2611.175100811305,11055.40074013
1647648000000,2022-03-19 00:00:00,UTK/USD,0.23848,0.24724,0.23632,0.24172,1071.9466596956188,4434.66266629
1647561600000,2022-03-18 00:00:00,UTK/USD,0.23342,0.24167,0.22926,0.23858,918.2772204958188,3848.92790886
1647475200000,2022-03-17 00:00:00,UTK/USD,0.24153,0.24468,0.23312,0.2333,1001.2730766873141,4291.78344058
1647388800000,2022-03-16 00:00:00,UTK/USD,0.22714,0.24602,0.22534,0.24354,3561.894564671223,14625.50120995
1647302400000,2022-03-15 00:00:00,UTK/USD,0.23908,0.24079,0.22714,0.22714,4203.546414395621,18506.411967930002
1647216000000,2022-03-14 00:00:00,UTK/USD,0.23879,0.2437,0.23205,0.23859,3330.145707488721,13957.6080619
1647129600000,2022-03-13 00:00:00,UTK/USD,0.24913,0.25239,0.23855,0.2388,2770.372280857572,11601.22395669
1647043200000,2022-03-12 00:00:00,UTK/USD,0.24696,0.25546,0.24472,0.24901,2268.9059063636714,9111.70598114
1646956800000,2022-03-11 00:00:00,UTK/USD,0.24419,0.259,0.2389,0.2485,2705.44643448758,10887.10838828
1646870400000,2022-03-10 00:00:00,UTK/USD,0.24963,0.25187,0.23731,0.24306,1338.1748033305175,5505.53280396
1646784000000,2022-03-09 00:00:00,UTK/USD,0.23572,0.26497,0.23572,0.24988,1996.1027667665155,7988.24542487
1646697600000,2022-03-08 00:00:00,UTK/USD,0.23341,0.24581,0.2331,0.23552,2914.003577176986,12372.63747103
1646611200000,2022-03-07 00:00:00,UTK/USD,0.24346,0.2481,0.22841,0.23359,2653.2007077825674,11358.36597364
1646524800000,2022-03-06 00:00:00,UTK/USD,0.25522,0.25775,0.24265,0.24265,1319.702513641682,5438.70807188
1646438400000,2022-03-05 00:00:00,UTK/USD,0.22723,0.26138,0.22375,0.2558,7507.234268266505,29348.06203388
