https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume VEE
1644537600000,2022-02-11 00:00:00,VEE/USD,0.0053761,0.0059876,0.0053761,0.0059876,24.299011243103347,4058.22219973
1644451200000,2022-02-10 00:00:00,VEE/USD,0.0059001,0.0061081,0.0053761,0.0053761,552.8941448516525,102842.9800137
1644364800000,2022-02-09 00:00:00,VEE/USD,0.0061198,0.0061198,0.0061,0.0061,33.955625651728006,5566.4960084800005
1644278400000,2022-02-08 00:00:00,VEE/USD,0.00551,0.0061198,0.00525,0.0061198,544.5417031074741,88980.31032182
1644192000000,2022-02-07 00:00:00,VEE/USD,0.0050645,0.0061375,0.0050645,0.0052652,262.49048645264963,49853.84913254
1644105600000,2022-02-06 00:00:00,VEE/USD,0.0063,0.0063335,0.0050645,0.0061629,681.4842089617005,110578.495345
1644019200000,2022-02-05 00:00:00,VEE/USD,0.0051643,0.0057499,0.0051643,0.0057499,153.1703734980691,26638.78910904
1643932800000,2022-02-04 00:00:00,VEE/USD,0.0059899,0.006,0.0059899,0.006,25.464000000000002,4244.0
1643846400000,2022-02-03 00:00:00,VEE/USD,0.0059512,0.0059512,0.005,0.0058262,378.411668390799,64949.99629103
1643760000000,2022-02-02 00:00:00,VEE/USD,0.00624,0.0063348,0.00624,0.0063348,13.453959006892008,2123.81748546
1643673600000,2022-02-01 00:00:00,VEE/USD,0.0059504,0.0059506,0.0059503,0.0059503,68.08919688044011,11442.985543660001
1643587200000,2022-01-31 00:00:00,VEE/USD,0.0061,0.0062829,0.00595,0.0059508,136.14640697271005,22878.67294695
1643500800000,2022-01-30 00:00:00,VEE/USD,0.006262,0.0066989,0.0061001,0.0061001,216.0411416,35416.0
1643414400000,2022-01-29 00:00:00,VEE/USD,0.0053735,0.0053735,0.005373,0.005373,26.81127,4990.0
1643328000000,2022-01-28 00:00:00,VEE/USD,0.006364,0.006364,0.006364,0.006364,47.340875975612,7438.855433
1643241600000,2022-01-27 00:00:00,VEE/USD,0.0058337,0.0065453,0.0053711,0.0064713,556.3749519273391,85975.76250944
1643155200000,2022-01-26 00:00:00,VEE/USD,0.0055767,0.00965,0.0054611,0.006,2900.30408073294,483384.01345549
1643068800000,2022-01-25 00:00:00,VEE/USD,0.00534,0.0064355,0.0051077,0.0053374,1151.1625805133763,215678.52896792002
1642982400000,2022-01-24 00:00:00,VEE/USD,0.005512,0.005512,0.005407,0.005472,78.27771457227456,14305.13789698
1642896000000,2022-01-23 00:00:00,VEE/USD,0.005274,0.005407,0.0052,0.0052001,489.1914373619551,94073.46731062
1642809600000,2022-01-22 00:00:00,VEE/USD,0.0060397,0.0060397,0.004354,0.0052999,1686.0809504307058,318134.48375077
1642723200000,2022-01-21 00:00:00,VEE/USD,0.00694,0.00751,0.0050065,0.007,4315.858336699071,616551.19095701
1642636800000,2022-01-20 00:00:00,VEE/USD,0.0067173,0.00759,0.0064352,0.0067604,723.8888671234744,107077.8159759
1642550400000,2022-01-19 00:00:00,VEE/USD,0.0068678,0.0068678,0.00636,0.0064207,85.89185651158684,13377.3352612
1642464000000,2022-01-18 00:00:00,VEE/USD,0.0073834,0.0073834,0.0062,0.0067901,1461.0826148428073,215178.36480211
1642377600000,2022-01-17 00:00:00,VEE/USD,0.0084748,0.0084748,0.006174,0.006174,697.0228377829291,112896.4751835
1642291200000,2022-01-16 00:00:00,VEE/USD,0.0083995,0.0083995,0.0083995,0.0083995,2.721438,324.0
1642204800000,2022-01-15 00:00:00,VEE/USD,0.0078802,0.0083574,0.0078802,0.0083574,137.0809222015318,16402.34070423
1642118400000,2022-01-14 00:00:00,VEE/USD,0.0080002,0.0087356,0.0066533,0.0068047,7578.256163867494,1113679.68666767
1642032000000,2022-01-13 00:00:00,VEE/USD,0.0082025,0.009,0.0080009,0.0080009,113.78470340648758,14221.48800841
1641945600000,2022-01-12 00:00:00,VEE/USD,0.0082063,0.0093377,0.0080002,0.0085866,153.70183298008018,17900.19716536
1641859200000,2022-01-11 00:00:00,VEE/USD,0.0072,0.0095021,0.0070022,0.0094194,1509.1881063303665,160221.25680302
1641772800000,2022-01-10 00:00:00,VEE/USD,0.008039,0.008039,0.0066812,0.0069377,679.3927240537494,97927.65960674999
1641686400000,2022-01-09 00:00:00,VEE/USD,0.0076007,0.0076007,0.0076007,0.0076007,5.865151879233571,771.65943653
1641600000000,2022-01-08 00:00:00,VEE/USD,0.0077,0.0080594,0.0076008,0.007601,248.8761623823564,32742.555240409998
1641513600000,2022-01-07 00:00:00,VEE/USD,0.0080994,0.0080995,0.0076792,0.0077388,255.7909006338965,33053.04448156
1641427200000,2022-01-06 00:00:00,VEE/USD,0.0087521,0.0087521,0.0080994,0.0084676,121.21533601802459,14315.19391776
1641340800000,2022-01-05 00:00:00,VEE/USD,0.0076566,0.008899,0.0076566,0.0088878,381.25002734128316,42895.88282154
1641254400000,2022-01-04 00:00:00,VEE/USD,0.009563,0.009563,0.0076,0.00889,1358.5589655157255,152818.78127286
1641168000000,2022-01-03 00:00:00,VEE/USD,0.009393,0.009393,0.00911,0.00911,106.4432346455231,11684.218951210001
1641081600000,2022-01-02 00:00:00,VEE/USD,0.0096896,0.00977,0.0091901,0.009682,584.8345566254517,60404.312809899995
1640995200000,2022-01-01 00:00:00,VEE/USD,0.0094063,0.0094063,0.0094063,0.0094063,3.069353220863372,326.30824244
1640908800000,2021-12-31 00:00:00,VEE/USD,0.0094083,0.0094083,0.0094083,0.0094083,4.008244244906022,426.03278434
1640822400000,2021-12-30 00:00:00,VEE/USD,0.0095,0.00973,0.008322,0.00973,412.54269748287965,42399.04393452
1640736000000,2021-12-29 00:00:00,VEE/USD,0.00992,0.010799,0.0091033,0.00979,126.5955499832716,12931.108272039999
1640649600000,2021-12-28 00:00:00,VEE/USD,0.01105,0.01105,0.0091033,0.00992,204.632348987072,20628.2609866
1640563200000,2021-12-27 00:00:00,VEE/USD,0.0096977,0.011691,0.0091002,0.011691,2919.2510116362496,249700.71094314
1640476800000,2021-12-26 00:00:00,VEE/USD,0.0093774,0.0096977,0.0093774,0.0096977,168.41530018677483,17366.51991573
1640390400000,2021-12-25 00:00:00,VEE/USD,0.0093774,0.0096977,0.0093773,0.0096587,58.949724228695395,6103.27727631
1640304000000,2021-12-24 00:00:00,VEE/USD,0.0096977,0.0096977,0.0091259,0.0091259,996.6281718218517,109208.7544047
1640217600000,2021-12-23 00:00:00,VEE/USD,0.009774,0.009774,0.0091001,0.0091006,39.36982435080737,4326.06908894
1640131200000,2021-12-22 00:00:00,VEE/USD,0.0093995,0.0097741,0.0082022,0.00836,3967.2478059657474,474551.17296241
1640044800000,2021-12-21 00:00:00,VEE/USD,0.0084393,0.0094675,0.0080204,0.0082011,577.142859449075,70373.83515005
1639958400000,2021-12-20 00:00:00,VEE/USD,0.0082411,0.0088229,0.007011,0.0088229,704.2765153117057,79823.6991592
1639872000000,2021-12-19 00:00:00,VEE/USD,0.0078221,0.0085467,0.00772,0.00799,1125.7895452916214,140899.81793387
1639785600000,2021-12-18 00:00:00,VEE/USD,0.0082067,0.0088229,0.0078221,0.0088229,821.5118951356899,93111.32338978
1639699200000,2021-12-17 00:00:00,VEE/USD,0.0088229,0.0088229,0.0082341,0.0082341,235.75048209280615,28630.99574851
1639612800000,2021-12-16 00:00:00,VEE/USD,0.008,0.0088743,0.007027,0.0088229,1297.549835872501,147066.13878345
1639526400000,2021-12-15 00:00:00,VEE/USD,0.0082,0.0093,0.0067109,0.0077461,1080.3071384046298,139464.65168338
1639440000000,2021-12-14 00:00:00,VEE/USD,0.0083,0.00962,0.00751,0.0083574,1798.7755451844641,215231.4769168
