https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LEO
1643587200000,2022-01-31 00:00:00,LEO/USD,3.5921,3.72,3.3547,3.7199,542099.2864690197,145729.53210275
1643500800000,2022-01-30 00:00:00,LEO/USD,3.487,3.5895,3.4696,3.587,128498.03915958344,35823.261544349996
1643414400000,2022-01-29 00:00:00,LEO/USD,3.4679,3.49,3.3634,3.4878,455214.08024123154,130516.10764414001
1643328000000,2022-01-28 00:00:00,LEO/USD,3.4852,3.49,3.3997,3.4691,234640.63061604163,67637.32109655
1643241600000,2022-01-27 00:00:00,LEO/USD,3.594,3.6,3.4453,3.4851,195680.00650435095,56147.60164826
1643155200000,2022-01-26 00:00:00,LEO/USD,3.5151,3.6226,3.393,3.594,401285.18794250424,111654.19809196
1643068800000,2022-01-25 00:00:00,LEO/USD,3.5477,3.5636,3.3545,3.525,325710.0376923315,92400.01069286
1642982400000,2022-01-24 00:00:00,LEO/USD,3.5571,3.6295,3.4717,3.5476,479748.1168261031,135231.73887307
1642896000000,2022-01-23 00:00:00,LEO/USD,3.6015,3.6907,3.5356,3.5571,320521.513831388,90107.53530443
1642809600000,2022-01-22 00:00:00,LEO/USD,3.5346,3.6162,3.3789,3.6015,438413.0916239067,121730.6932178
1642723200000,2022-01-21 00:00:00,LEO/USD,3.7088,3.811,3.52,3.5345,720700.0560474173,203904.38705543
1642636800000,2022-01-20 00:00:00,LEO/USD,3.6568,3.7111,3.643,3.7088,133047.1509964158,35873.36901327
1642550400000,2022-01-19 00:00:00,LEO/USD,3.676,3.6848,3.4655,3.6546,375190.34629472723,102662.49282951
1642464000000,2022-01-18 00:00:00,LEO/USD,3.7699,3.8445,3.6572,3.6709,228957.95287365324,62371.0678236
1642377600000,2022-01-17 00:00:00,LEO/USD,3.7853,3.8849,3.7407,3.7699,184187.3955737913,48857.36904793
1642291200000,2022-01-16 00:00:00,LEO/USD,3.7698,3.8694,3.7407,3.7853,188006.61918184144,49667.56113963
1642204800000,2022-01-15 00:00:00,LEO/USD,3.7699,3.8657,3.7577,3.7698,376488.2719002749,99869.56122348
1642118400000,2022-01-14 00:00:00,LEO/USD,3.8032,3.8897,3.7653,3.7699,455820.43202675355,120910.4835743
1642032000000,2022-01-13 00:00:00,LEO/USD,3.8595,3.8731,3.8029,3.8032,191917.2544712738,50462.04629556
1641945600000,2022-01-12 00:00:00,LEO/USD,3.7323,3.8597,3.7323,3.8595,217809.8816592072,56434.74068123
1641859200000,2022-01-11 00:00:00,LEO/USD,3.7419,3.7742,3.7323,3.7323,411817.21781538066,110338.72352581
1641772800000,2022-01-10 00:00:00,LEO/USD,3.7652,3.8299,3.72,3.7419,375402.5639737569,100324.05034174
1641686400000,2022-01-09 00:00:00,LEO/USD,3.7737,3.8597,3.7545,3.7652,241943.92788085208,64257.92199109
1641600000000,2022-01-08 00:00:00,LEO/USD,3.5714,3.7745,3.5639,3.7737,433396.6892499049,114846.61982932
1641513600000,2022-01-07 00:00:00,LEO/USD,3.7699,3.8529,3.5361,3.5714,499755.8602406334,139932.76032946
1641427200000,2022-01-06 00:00:00,LEO/USD,3.7957,3.8529,3.7568,3.77,600822.065923612,159369.2482556
1641340800000,2022-01-05 00:00:00,LEO/USD,3.7792,3.84,3.7569,3.7977,489780.8223730673,128967.74952552
1641254400000,2022-01-04 00:00:00,LEO/USD,3.791,3.8326,3.7583,3.7795,259159.21356340777,68569.70857611
1641168000000,2022-01-03 00:00:00,LEO/USD,3.7845,3.82,3.7434,3.7914,291064.2945754711,76769.60873964
1641081600000,2022-01-02 00:00:00,LEO/USD,3.7989,3.8326,3.7845,3.7845,143089.1471963538,37809.2607204
1640995200000,2022-01-01 00:00:00,LEO/USD,3.7698,3.8292,3.7607,3.7989,197204.13071473275,51910.8506975
1640908800000,2021-12-31 00:00:00,LEO/USD,3.8089,3.8292,3.7256,3.7613,583521.6137973302,155138.2803279
1640822400000,2021-12-30 00:00:00,LEO/USD,3.7411,3.8089,3.7314,3.8078,576383.1643857947,151369.07515778
1640736000000,2021-12-29 00:00:00,LEO/USD,3.6,3.7412,3.5979,3.7411,366222.3076162833,97891.61145553
1640649600000,2021-12-28 00:00:00,LEO/USD,3.4605,3.6071,3.4021,3.6,460781.929847268,127994.98051313
1640563200000,2021-12-27 00:00:00,LEO/USD,3.4826,3.6351,3.4512,3.4608,459376.72939364467,132737.15019465
1640476800000,2021-12-26 00:00:00,LEO/USD,3.5513,3.5731,3.4655,3.4826,317797.90925271076,91253.06071691
1640390400000,2021-12-25 00:00:00,LEO/USD,3.581,3.703,3.5454,3.5524,354832.96780377376,99885.42050551
1640304000000,2021-12-24 00:00:00,LEO/USD,3.6045,3.6452,3.5601,3.5814,278293.2122917454,77705.14667218
1640217600000,2021-12-23 00:00:00,LEO/USD,3.5992,3.72,3.5585,3.6067,518946.1293899417,143883.91864861
1640131200000,2021-12-22 00:00:00,LEO/USD,3.6026,3.72,3.59,3.5995,463771.2191366607,128843.23354262
1640044800000,2021-12-21 00:00:00,LEO/USD,3.5742,3.72,3.5742,3.601,335272.09849069297,93105.275893
1639958400000,2021-12-20 00:00:00,LEO/USD,3.4761,3.6366,3.4761,3.5742,307692.79908404005,86087.18009178
1639872000000,2021-12-19 00:00:00,LEO/USD,3.516,3.6167,3.4541,3.4774,333629.8275677055,95942.3211502
