https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MNA
1647302400000,2022-03-15 00:00:00,MNA/USD,2.3108,2.3232,2.2303,2.2741,77968.14935996849,34285.27741083
1647216000000,2022-03-14 00:00:00,MNA/USD,2.2526,2.3202,2.229,2.3088,195786.65100689637,84800.17801754
1647129600000,2022-03-13 00:00:00,MNA/USD,2.3082,2.4434,2.2328,2.2546,139187.50668094034,61734.90050605
1647043200000,2022-03-12 00:00:00,MNA/USD,2.3041,2.3569,2.3041,2.3117,26606.60836156217,11509.54205198
1646956800000,2022-03-11 00:00:00,MNA/USD,2.3745,2.4076,2.3,2.3081,46854.448350595216,20300.00795052
1646870400000,2022-03-10 00:00:00,MNA/USD,2.5021,2.5104,2.3387,2.3707,57035.00962615857,24058.29907882
1646784000000,2022-03-09 00:00:00,MNA/USD,2.3987,2.5439,2.388,2.4973,285366.91865288717,114270.17925475
1646697600000,2022-03-08 00:00:00,MNA/USD,2.3513,2.4394,2.3503,2.3935,227074.80994953302,94871.44764969
1646611200000,2022-03-07 00:00:00,MNA/USD,2.4141,2.5215,2.3084,2.3619,84672.73271838456,35849.41475862
1646524800000,2022-03-06 00:00:00,MNA/USD,2.558,2.5932,2.4148,2.4196,85147.98242882287,35190.93338933
1646438400000,2022-03-05 00:00:00,MNA/USD,2.4741,2.5734,2.4147,2.5593,66090.63346853132,25823.71487068
1646352000000,2022-03-04 00:00:00,MNA/USD,2.6319,2.6404,2.4402,2.4786,158623.99262879224,63997.41492326
1646265600000,2022-03-03 00:00:00,MNA/USD,2.7566,2.7674,2.5953,2.6364,196726.6537780972,74619.42564789
1646179200000,2022-03-02 00:00:00,MNA/USD,2.8341,2.8541,2.7134,2.7515,264486.3931474351,96124.4387234
1646092800000,2022-03-01 00:00:00,MNA/USD,2.851,2.9228,2.7422,2.838,261497.86938915026,92141.60302648
1646006400000,2022-02-28 00:00:00,MNA/USD,2.5508,2.8654,2.456,2.8472,566752.0847032377,199055.94433241
1645920000000,2022-02-27 00:00:00,MNA/USD,2.6811,2.751,2.5219,2.5602,412034.89235754695,160938.55650244
1645833600000,2022-02-26 00:00:00,MNA/USD,2.742,2.8339,2.6552,2.6801,194492.80867088746,72569.23572661
1645747200000,2022-02-25 00:00:00,MNA/USD,2.5965,2.7791,2.5287,2.7412,300737.93542009295,109710.32227495
1645660800000,2022-02-24 00:00:00,MNA/USD,2.5539,2.6845,2.2058,2.5901,803024.8081236655,310036.21795439
1645574400000,2022-02-23 00:00:00,MNA/USD,2.6333,2.8125,2.554,2.5623,209089.75381676963,81602.37045497
1645488000000,2022-02-22 00:00:00,MNA/USD,2.4865,2.65,2.3878,2.648,188469.46964885865,71174.27101543
1645401600000,2022-02-21 00:00:00,MNA/USD,2.6868,2.9548,2.4547,2.4811,396840.72429891385,159945.47752969
1645315200000,2022-02-20 00:00:00,MNA/USD,2.8865,2.8865,2.6196,2.6965,374018.8986643909,138705.32121802
1645228800000,2022-02-19 00:00:00,MNA/USD,2.9673,3.034,2.8189,2.8919,521290.0164554003,180258.65917058
1645142400000,2022-02-18 00:00:00,MNA/USD,3.0765,3.1775,2.9203,2.9722,393711.3945786922,132464.63716395
1645056000000,2022-02-17 00:00:00,MNA/USD,3.2722,3.3798,3.0105,3.0704,407482.74441551947,132713.24401235
1644969600000,2022-02-16 00:00:00,MNA/USD,3.3356,3.4,3.1701,3.2674,221900.00714481756,67913.32776667
1644883200000,2022-02-15 00:00:00,MNA/USD,2.8486,3.3357,2.8377,3.3356,621534.1993922703,186333.55300164
1644796800000,2022-02-14 00:00:00,MNA/USD,2.828,2.8842,2.7238,2.8421,307628.5611477001,108239.87936656
1644710400000,2022-02-13 00:00:00,MNA/USD,2.9089,2.9738,2.76,2.8266,546529.6580666797,193352.31658766
1644624000000,2022-02-12 00:00:00,MNA/USD,2.9154,3.0166,2.8302,2.9123,221643.91361434193,76106.14071845
1644537600000,2022-02-11 00:00:00,MNA/USD,3.1389,3.2736,2.8644,2.9165,172064.21925608354,58996.81784882
1644451200000,2022-02-10 00:00:00,MNA/USD,3.3452,3.3639,3.092,3.1393,254955.18618462177,81214.02420432
1644364800000,2022-02-09 00:00:00,MNA/USD,3.4918,3.5436,3.2582,3.3395,270720.3495377163,81066.13251616
1644278400000,2022-02-08 00:00:00,MNA/USD,3.2989,3.4881,3.1178,3.4751,515908.4190679958,148458.58221864
1644192000000,2022-02-07 00:00:00,MNA/USD,3.3241,3.4527,3.2296,3.2848,473912.7966574366,144274.47535845
1644105600000,2022-02-06 00:00:00,MNA/USD,3.0221,3.3901,3.0221,3.3024,701803.7404675846,212513.24505438
1644019200000,2022-02-05 00:00:00,MNA/USD,2.8089,3.1007,2.7809,3.0196,577321.9241515531,191191.52343077
1643932800000,2022-02-04 00:00:00,MNA/USD,2.6855,2.8182,2.3401,2.8114,590996.6964730991,210214.37592413
1643846400000,2022-02-03 00:00:00,MNA/USD,2.5464,2.6791,2.4453,2.677,329149.8529241718,122954.74520888
1643760000000,2022-02-02 00:00:00,MNA/USD,2.6887,2.7419,2.5,2.5407,270693.3877293999,106542.8376941
1643673600000,2022-02-01 00:00:00,MNA/USD,2.8279,2.8863,2.6601,2.6884,526226.8235500065,195739.77962729
1643587200000,2022-01-31 00:00:00,MNA/USD,2.5081,2.85,2.3671,2.8251,1209442.3377291285,428106.02730138
1643500800000,2022-01-30 00:00:00,MNA/USD,2.3685,2.565,2.3605,2.5074,403205.69436519523,160806.29112435
1643414400000,2022-01-29 00:00:00,MNA/USD,2.2769,2.4107,2.2769,2.3627,87385.68322169309,36985.51793359
1643328000000,2022-01-28 00:00:00,MNA/USD,2.2426,2.3109,2.1709,2.2861,300877.1632074524,131611.54945429
1643241600000,2022-01-27 00:00:00,MNA/USD,2.1562,2.3461,2.0377,2.2513,301906.7055028859,134103.27610842
1643155200000,2022-01-26 00:00:00,MNA/USD,2.1069,2.36,2.0686,2.1636,203823.90979101832,94205.9113473
1643068800000,2022-01-25 00:00:00,MNA/USD,2.0734,2.1709,2.0122,2.104,258935.8428924921,123068.36639377
