https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRA
1645142400000,2022-02-18 00:00:00,XRA/USD,0.01599,0.016108,0.014166,0.01424,4940.909209421649,346973.96133579
1645056000000,2022-02-17 00:00:00,XRA/USD,0.014949,0.016199,0.01475,0.016047,4033.549748405023,251358.49370007
1644969600000,2022-02-16 00:00:00,XRA/USD,0.013927,0.014806,0.01373,0.014806,2788.7999434952944,188356.06804642
1644883200000,2022-02-15 00:00:00,XRA/USD,0.013774,0.014006,0.01364,0.013867,2678.6470688477084,193167.02018084
1644796800000,2022-02-14 00:00:00,XRA/USD,0.01378,0.014008,0.013641,0.013772,2700.9174896005857,196116.57635787
1644710400000,2022-02-13 00:00:00,XRA/USD,0.013672,0.013978,0.01364,0.013766,2602.3800826297,189044.0275047
1644624000000,2022-02-12 00:00:00,XRA/USD,0.013796,0.014096,0.013661,0.01367,3383.1940147536156,247490.41805074
1644537600000,2022-02-11 00:00:00,XRA/USD,0.016199,0.0162,0.013397,0.013793,14468.69385791047,1048988.1721098
1644451200000,2022-02-10 00:00:00,XRA/USD,0.01588,0.0162,0.015475,0.0162,4422.436880847462,272989.93091651
1644364800000,2022-02-09 00:00:00,XRA/USD,0.015762,0.015882,0.01559,0.015876,3572.7117804934314,225038.53492652
1644278400000,2022-02-08 00:00:00,XRA/USD,0.016078,0.0161,0.015649,0.015762,3290.0717677702505,208734.40983189
1644192000000,2022-02-07 00:00:00,XRA/USD,0.015945,0.016083,0.015896,0.016078,2822.577752183291,175555.27753348
1644105600000,2022-02-06 00:00:00,XRA/USD,0.015935,0.016093,0.015822,0.016067,3412.5739423471896,212396.46121536
1644019200000,2022-02-05 00:00:00,XRA/USD,0.015524,0.0161,0.015509,0.015939,3405.2938278382276,213645.38727889
1643932800000,2022-02-04 00:00:00,XRA/USD,0.013829,0.0162,0.013829,0.015562,4495.539437471181,288879.28527639003
1643846400000,2022-02-03 00:00:00,XRA/USD,0.013807,0.013868,0.013664,0.013828,2758.8992039268887,199515.41827646
1643760000000,2022-02-02 00:00:00,XRA/USD,0.013506,0.013828,0.013506,0.013809,2757.518545445603,199689.95187527
1643673600000,2022-02-01 00:00:00,XRA/USD,0.013952,0.014062,0.013501,0.013503,2709.1294854778416,200631.67336724
1643587200000,2022-01-31 00:00:00,XRA/USD,0.013627,0.014079,0.01351,0.013952,2441.241699811694,174974.31908054
1643500800000,2022-01-30 00:00:00,XRA/USD,0.013537,0.013709,0.013509,0.013608,2622.7743347595538,192737.67892119
