https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CCD
1648425600000,2022-03-28 00:00:00,CCD/USD,0.04193,0.04358,0.0407,0.04268,765134.0232134665,17927226.41081224
1648339200000,2022-03-27 00:00:00,CCD/USD,0.03926,0.04722,0.03926,0.04191,355896.1666456039,8491915.21464099
1648252800000,2022-03-26 00:00:00,CCD/USD,0.03316,0.039232,0.033081,0.039232,544584.5832696694,13881132.32233048
1648166400000,2022-03-25 00:00:00,CCD/USD,0.032,0.03316,0.0317,0.03314,452620.7040013808,13657836.57215995
1648080000000,2022-03-24 00:00:00,CCD/USD,0.03205,0.03212,0.03149,0.03202,445752.75189683464,13921072.82625967
1647993600000,2022-03-23 00:00:00,CCD/USD,0.03348,0.0335,0.031751,0.03206,460062.68998429045,14350052.71317188
1647907200000,2022-03-22 00:00:00,CCD/USD,0.03335,0.03441,0.03283,0.03347,488608.6467813741,14598405.93909095
1647820800000,2022-03-21 00:00:00,CCD/USD,0.03359,0.0339,0.03315,0.0334,479863.56600605143,14367172.63491172
1647734400000,2022-03-20 00:00:00,CCD/USD,0.03465,0.03472,0.0331,0.03354,476988.6140012508,14221485.21172483
1647648000000,2022-03-19 00:00:00,CCD/USD,0.03377,0.03607,0.03375,0.03464,537086.4213177481,15504804.31055855
1647561600000,2022-03-18 00:00:00,CCD/USD,0.03485,0.03485,0.0331,0.03376,504504.06429390376,14943840.76699952
1647475200000,2022-03-17 00:00:00,CCD/USD,0.03439,0.035268,0.03386,0.03483,470957.2931902965,13521599.00058273
1647388800000,2022-03-16 00:00:00,CCD/USD,0.03428,0.03537,0.03399,0.03439,480683.66147952067,13977425.45738647
1647302400000,2022-03-15 00:00:00,CCD/USD,0.03475,0.03476,0.03385,0.03429,495172.54924107966,14440727.59524875
1647216000000,2022-03-14 00:00:00,CCD/USD,0.03511,0.035151,0.0341,0.03472,584860.9598665248,16845073.72887456
1647129600000,2022-03-13 00:00:00,CCD/USD,0.03528,0.0353,0.03469,0.03511,527879.4950851537,15035018.37325986
1647043200000,2022-03-12 00:00:00,CCD/USD,0.03757,0.03757,0.035,0.03528,598558.1258008288,16965933.27099855
1646956800000,2022-03-11 00:00:00,CCD/USD,0.03821,0.0395,0.03747,0.03757,551101.2397331994,14668651.57660898
1646870400000,2022-03-10 00:00:00,CCD/USD,0.0401,0.0401,0.0378,0.0382,530536.3375353231,13888385.79935401
1646784000000,2022-03-09 00:00:00,CCD/USD,0.03443,0.04186,0.03427,0.0401,760840.7328519585,18973584.36039797
