https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNG
1648944000000,2022-04-03 00:00:00,PNG/USD,0.22919,0.23091,0.22918,0.23091,102.83914304875829,445.36461412999995
1648857600000,2022-04-02 00:00:00,PNG/USD,0.20443,0.23052,0.20438,0.23052,4543.244954438924,19708.68017716
1648771200000,2022-04-01 00:00:00,PNG/USD,0.20893,0.21066,0.201,0.20925,3299.6784417655276,15769.07260103
1648684800000,2022-03-31 00:00:00,PNG/USD,0.20817,0.21102,0.20817,0.21066,722.2933109421311,3428.71599232
1648598400000,2022-03-30 00:00:00,PNG/USD,0.19879,0.20819,0.19822,0.20817,1826.7057736759782,8775.06736646
1648512000000,2022-03-29 00:00:00,PNG/USD,0.20711,0.21102,0.19695,0.19883,2455.3704254728477,12349.09432919
1648425600000,2022-03-28 00:00:00,PNG/USD,0.19127,0.20713,0.19127,0.20712,3235.4635551013466,15621.20295047
1648339200000,2022-03-27 00:00:00,PNG/USD,0.19178,0.19318,0.19127,0.19277,118.2337489921438,613.34102294
1648080000000,2022-03-24 00:00:00,PNG/USD,0.19918,0.20054,0.18999,0.18999,2213.3398935008995,11649.77048003
1647993600000,2022-03-23 00:00:00,PNG/USD,0.20571,0.2118,0.19695,0.19884,1707.745879995067,8588.54294908
1647907200000,2022-03-22 00:00:00,PNG/USD,0.20868,0.20868,0.20359,0.20868,26.4837911089452,126.91101739
1647820800000,2022-03-21 00:00:00,PNG/USD,0.20868,0.20868,0.20543,0.20868,101.4969085612428,486.37583171
1647734400000,2022-03-20 00:00:00,PNG/USD,0.21398,0.23,0.20359,0.20359,61574.311583273484,302442.71124944
1647648000000,2022-03-19 00:00:00,PNG/USD,0.20356,0.21933,0.20356,0.21933,1903.9125404336276,8680.584235780001
1647561600000,2022-03-18 00:00:00,PNG/USD,0.18953,0.20356,0.18953,0.20356,1383.6659080580475,6797.33694271
1647475200000,2022-03-17 00:00:00,PNG/USD,0.18426,0.19367,0.18426,0.19367,1371.9853707125992,7084.13988079
1647388800000,2022-03-16 00:00:00,PNG/USD,0.18735,0.18735,0.181,0.18426,782.1847602707347,4245.00575421
1647302400000,2022-03-15 00:00:00,PNG/USD,0.176,0.18735,0.176,0.18735,1370.6648877712873,7316.06558725
1647216000000,2022-03-14 00:00:00,PNG/USD,0.18122,0.18123,0.176,0.176,261.66204770112,1486.71618012
1647129600000,2022-03-13 00:00:00,PNG/USD,0.19211,0.19211,0.17681,0.17681,1844.558239824328,10432.4316488
1647043200000,2022-03-12 00:00:00,PNG/USD,0.21572,0.21572,0.19052,0.19691,3087.2099150446506,15678.27898555
1646956800000,2022-03-11 00:00:00,PNG/USD,0.21727,0.21944,0.21221,0.21572,1077.4470984300272,4994.65556476
1646870400000,2022-03-10 00:00:00,PNG/USD,0.2298,0.2298,0.21756,0.21756,2052.6730431934357,9434.97445851
1646697600000,2022-03-08 00:00:00,PNG/USD,0.23728,0.23728,0.23,0.2321,1168.1705341134839,5033.04840204
1646611200000,2022-03-07 00:00:00,PNG/USD,0.24263,0.24263,0.235,0.235,1493.37706818975,6354.79603485
1646524800000,2022-03-06 00:00:00,PNG/USD,0.24973,0.24973,0.243,0.24506,1231.7571932713788,5026.34943798
1646438400000,2022-03-05 00:00:00,PNG/USD,0.25488,0.25488,0.25015,0.25223,1253.3229861578714,4968.96874344
1646352000000,2022-03-04 00:00:00,PNG/USD,0.26504,0.26504,0.2547,0.25472,2193.23711258496,8610.384393
1646265600000,2022-03-03 00:00:00,PNG/USD,0.28263,0.3006,0.26504,0.26769,7262.925804480369,27131.85327984
1646179200000,2022-03-02 00:00:00,PNG/USD,0.28804,0.29042,0.27983,0.28263,1616.8515752526048,5720.73585696
1646092800000,2022-03-01 00:00:00,PNG/USD,0.27668,0.29081,0.27668,0.29081,2926.447741695319,10063.091852739999
1646006400000,2022-02-28 00:00:00,PNG/USD,0.27088,0.27668,0.27088,0.27668,797.5333154034184,2882.51162138
1645920000000,2022-02-27 00:00:00,PNG/USD,0.28681,0.28681,0.2682,0.2682,3042.0934910133838,11342.63046612
1645833600000,2022-02-26 00:00:00,PNG/USD,0.28602,0.29241,0.28602,0.28894,1269.6204204402989,4394.06250585
1645747200000,2022-02-25 00:00:00,PNG/USD,0.28602,0.28602,0.28602,0.28602,7.1815116412746,25.10842473
1645660800000,2022-02-24 00:00:00,PNG/USD,0.30464,0.30768,0.27445,0.28602,7330.8038604986305,25630.38899552
1645574400000,2022-02-23 00:00:00,PNG/USD,0.28651,0.31593,0.28651,0.30768,6383.279485388467,20746.48818704
1645488000000,2022-02-22 00:00:00,PNG/USD,0.28951,0.28951,0.27674,0.28602,3662.6091319634925,12805.43015161
1645401600000,2022-02-21 00:00:00,PNG/USD,0.32604,0.32604,0.29,0.29241,6931.91375283439,23706.14463539
1645315200000,2022-02-20 00:00:00,PNG/USD,0.3402,0.34359,0.32604,0.32929,2278.540513016287,6919.5557503
1645228800000,2022-02-19 00:00:00,PNG/USD,0.343,0.34359,0.3402,0.34359,152.8520475413763,444.86756757
1645142400000,2022-02-18 00:00:00,PNG/USD,0.36386,0.36712,0.34019,0.343,3710.19346761259,10816.89057613
1645056000000,2022-02-17 00:00:00,PNG/USD,0.39907,0.39907,0.36386,0.36712,4621.258730923557,12587.86971814
1644969600000,2022-02-16 00:00:00,PNG/USD,0.39975,0.39975,0.39975,0.39975,3.7929766710224997,9.48837191
