https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICE
1656028800000,2022-06-24 00:00:00,ICE/USD,0.33376,0.35031,0.29711,0.31962,4082.199841827391,12772.04130476
1655942400000,2022-06-23 00:00:00,ICE/USD,0.29608,0.33934,0.28588,0.32154,8393.850818077413,26105.15275884
1655856000000,2022-06-22 00:00:00,ICE/USD,0.43859,0.43859,0.28487,0.2963,4132.943349735737,13948.50944899
1655769600000,2022-06-21 00:00:00,ICE/USD,0.35177,0.43859,0.33108,0.43859,15849.00356976239,36136.26295575
1655683200000,2022-06-20 00:00:00,ICE/USD,0.33767,0.368,0.31461,0.33861,9441.404186865495,27882.82740281
1655596800000,2022-06-19 00:00:00,ICE/USD,0.29868,0.34608,0.27172,0.33678,2367.4242137732986,7029.58671469
1655510400000,2022-06-18 00:00:00,ICE/USD,0.33214,0.35202,0.2705,0.29872,4092.256366780779,13699.30492361
1655424000000,2022-06-17 00:00:00,ICE/USD,0.34418,0.53165,0.31661,0.33195,12040.237216261146,36271.23728351
1655337600000,2022-06-16 00:00:00,ICE/USD,0.38694,0.42467,0.32584,0.3437,5683.106142342,16535.07751627
1655251200000,2022-06-15 00:00:00,ICE/USD,0.3999,0.42138,0.32207,0.37195,4281.45276925507,11510.82879219
1655164800000,2022-06-14 00:00:00,ICE/USD,0.36406,0.47635,0.35253,0.38356,53052.091819982976,138314.97502342
1655078400000,2022-06-13 00:00:00,ICE/USD,0.42246,0.42246,0.33759,0.36414,17728.16966401862,48685.0377987
1654992000000,2022-06-12 00:00:00,ICE/USD,0.47734,0.49305,0.391,0.42254,20811.37647230629,49253.03278342
1654905600000,2022-06-11 00:00:00,ICE/USD,0.49982,0.52466,0.4447,0.46739,2825.204805687364,6044.64110419
1654819200000,2022-06-10 00:00:00,ICE/USD,0.57337,0.59733,0.49001,0.49978,5371.771556917192,10748.27235367
1654732800000,2022-06-09 00:00:00,ICE/USD,0.65024,0.67271,0.5262,0.59737,9298.220954290222,15565.26265847
1654646400000,2022-06-08 00:00:00,ICE/USD,0.84863,0.84863,0.65024,0.65024,3119.207436465818,4797.00946799
1654560000000,2022-06-07 00:00:00,ICE/USD,0.87449,0.98799,0.66775,0.84871,23614.391857042272,27823.86428467
1654473600000,2022-06-06 00:00:00,ICE/USD,0.77348,1.0895,0.67578,0.91144,17959.494732247265,19704.52770588
1654387200000,2022-06-05 00:00:00,ICE/USD,0.64719,0.7868,0.64001,0.77348,9157.311631779514,11839.10590032
1654300800000,2022-06-04 00:00:00,ICE/USD,0.63524,0.66859,0.61407,0.64478,2068.5632344623095,3208.16904132
1654214400000,2022-06-03 00:00:00,ICE/USD,0.62081,0.66344,0.59538,0.6363,2346.944404875903,3688.42433581
1654128000000,2022-06-02 00:00:00,ICE/USD,0.5394,0.66297,0.53132,0.62077,1495.0124086354149,2408.31935924
1654041600000,2022-06-01 00:00:00,ICE/USD,0.60263,0.62273,0.52909,0.54217,1227.2439763139532,2263.5778009
1653955200000,2022-05-31 00:00:00,ICE/USD,0.59128,0.66348,0.591,0.61868,5467.7353453388005,8837.74381803
1653868800000,2022-05-30 00:00:00,ICE/USD,0.52413,0.62231,0.52413,0.62231,8060.923529416674,12953.22834185
1653782400000,2022-05-29 00:00:00,ICE/USD,0.49566,0.55911,0.49138,0.52409,1119.9658528784985,2136.97237665
1653696000000,2022-05-28 00:00:00,ICE/USD,0.48396,0.56665,0.47834,0.49479,1602.6479293497282,3239.04672558
1653609600000,2022-05-27 00:00:00,ICE/USD,0.53813,0.53813,0.47027,0.48392,1440.7420086588209,2977.23179174
1653523200000,2022-05-26 00:00:00,ICE/USD,0.54554,0.55056,0.4801,0.53821,3935.906243656605,7312.95636212
1653436800000,2022-05-25 00:00:00,ICE/USD,0.54565,0.57823,0.52179,0.54558,2362.080869360062,4329.48581209
1653350400000,2022-05-24 00:00:00,ICE/USD,0.59437,0.59437,0.52672,0.54567,1086.341161127372,1990.83908063
1653264000000,2022-05-23 00:00:00,ICE/USD,0.54848,0.63029,0.53476,0.58015,8665.139675066042,14936.03322428
1653177600000,2022-05-22 00:00:00,ICE/USD,0.52593,0.56999,0.5185,0.54852,10284.92589118774,18750.32066504
1653091200000,2022-05-21 00:00:00,ICE/USD,0.48765,0.56999,0.47275,0.52589,9812.8892479174,18659.58517545
1653004800000,2022-05-20 00:00:00,ICE/USD,0.48237,0.51272,0.46191,0.47324,1067.9533203828673,2256.6843892800002
1652918400000,2022-05-19 00:00:00,ICE/USD,0.45135,0.52126,0.4387,0.48606,3932.7904637646675,8091.1625391200005
1652832000000,2022-05-18 00:00:00,ICE/USD,0.56288,0.56999,0.44556,0.46944,8886.414266173671,18929.81907416
1652745600000,2022-05-17 00:00:00,ICE/USD,0.49556,0.57247,0.49556,0.54277,5998.271979410137,11051.22239514
1652659200000,2022-05-16 00:00:00,ICE/USD,0.54528,0.5764,0.441,0.49554,19856.68510358053,40070.80175885
1652572800000,2022-05-15 00:00:00,ICE/USD,0.52574,0.57494,0.492,0.56094,10922.590874416963,19471.94151677
1652486400000,2022-05-14 00:00:00,ICE/USD,0.50333,0.53263,0.4326,0.49925,3848.4505063887455,7708.46370834
1652400000000,2022-05-13 00:00:00,ICE/USD,0.47684,0.56477,0.46444,0.49021,17673.058012441612,36052.01446817
1652313600000,2022-05-12 00:00:00,ICE/USD,0.57056,0.58748,0.38893,0.47686,132676.89542594468,278230.2886087
1652227200000,2022-05-11 00:00:00,ICE/USD,0.82002,0.92986,0.54299,0.57054,32867.3771899209,57607.48972889
1652140800000,2022-05-10 00:00:00,ICE/USD,0.91536,1.0525,0.82001,0.82002,6725.916688984669,8202.13737346
1652054400000,2022-05-09 00:00:00,ICE/USD,1.2,1.2362,0.88245,1.0112,20273.14536977728,20048.60103815
1651968000000,2022-05-08 00:00:00,ICE/USD,1.2057,1.2926,1.133,1.2,4140.084659736,3450.07054978
1651881600000,2022-05-07 00:00:00,ICE/USD,1.2076,1.3847,1.1719,1.205,6119.78452505245,5078.65935689
1651795200000,2022-05-06 00:00:00,ICE/USD,1.2058,1.2685,1.1611,1.2476,2698.413127192332,2162.88323757
1651708800000,2022-05-05 00:00:00,ICE/USD,1.31,1.3693,1.2005,1.2309,2706.7536645587793,2199.00370831
1651622400000,2022-05-04 00:00:00,ICE/USD,1.3619,1.5593,1.2846,1.3685,9201.37422113707,6723.69325622
1651536000000,2022-05-03 00:00:00,ICE/USD,1.3729,1.4871,1.339,1.3617,7973.671977189558,5855.67450774
1651449600000,2022-05-02 00:00:00,ICE/USD,1.2309,1.4573,1.2252,1.4211,3369.740805594225,2371.22004475
1651363200000,2022-05-01 00:00:00,ICE/USD,1.1501,1.3094,1.0788,1.2303,4825.836819546714,3922.48786438
1651276800000,2022-04-30 00:00:00,ICE/USD,1.4623,1.5164,1.1311,1.1499,8205.626558721042,7135.94795958
1651190400000,2022-04-29 00:00:00,ICE/USD,1.74,1.7549,1.4192,1.5062,20203.059154256545,13413.26460912
1651104000000,2022-04-28 00:00:00,ICE/USD,1.7892,2.0005,1.74,1.7407,9615.483583716023,5523.9177248900005
1651017600000,2022-04-27 00:00:00,ICE/USD,1.8502,1.9339,1.789,1.8366,7752.012673183056,4220.84976216
1650931200000,2022-04-26 00:00:00,ICE/USD,1.9646,2.0551,1.8501,1.8502,4472.173106009862,2417.12955681
1650844800000,2022-04-25 00:00:00,ICE/USD,2.089,2.1461,1.8501,1.9634,5143.95973993554,2619.9244881
1650758400000,2022-04-24 00:00:00,ICE/USD,1.936,2.2539,1.9002,2.0882,5083.467998291506,2434.37793233
1650672000000,2022-04-23 00:00:00,ICE/USD,1.9416,2.0466,1.9237,1.9358,3929.4429239218016,2029.88063019
1650585600000,2022-04-22 00:00:00,ICE/USD,1.9914,2.0517,1.9192,1.9424,4947.337146604192,2547.02283083
1650499200000,2022-04-21 00:00:00,ICE/USD,2.1329,2.3431,1.9905,1.9912,11704.8302812774,5878.27957075
1650412800000,2022-04-20 00:00:00,ICE/USD,2.0304,2.1982,2.0301,2.1329,18711.206953931953,8772.66020626
1650326400000,2022-04-19 00:00:00,ICE/USD,1.8855,2.1506,1.8048,2.0304,10418.4078520464,5131.209541
1650240000000,2022-04-18 00:00:00,ICE/USD,1.9585,2.0611,1.845,1.9762,6332.853034601102,3204.56079071
1650153600000,2022-04-17 00:00:00,ICE/USD,1.9658,2.0887,1.8905,1.9575,4430.89469106675,2263.5477349
1650067200000,2022-04-16 00:00:00,ICE/USD,1.8423,1.9843,1.8002,1.966,4320.01305438688,2197.36167568
1649980800000,2022-04-15 00:00:00,ICE/USD,1.7501,1.9606,1.6572,1.8421,7110.693869165861,3860.10198641
1649894400000,2022-04-14 00:00:00,ICE/USD,1.7901,1.8474,1.6991,1.7501,8958.905754754802,5119.08219802
1649808000000,2022-04-13 00:00:00,ICE/USD,1.6803,1.844,1.6651,1.8141,3865.635729431001,2130.88348461
1649721600000,2022-04-12 00:00:00,ICE/USD,1.6578,1.8617,1.6098,1.6801,3995.4449289051568,2378.09947557
1649635200000,2022-04-11 00:00:00,ICE/USD,1.9228,1.9914,1.6107,1.6133,3661.608410895747,2269.63888359
1649548800000,2022-04-10 00:00:00,ICE/USD,1.8565,1.9931,1.818,1.9226,7947.459951394841,4133.7043334
1649462400000,2022-04-09 00:00:00,ICE/USD,1.8,1.953,1.7036,1.8144,5721.964113013344,3153.63983301
1649376000000,2022-04-08 00:00:00,ICE/USD,1.7655,1.8478,1.7611,1.8,3955.275078012,2197.37504334
1649289600000,2022-04-07 00:00:00,ICE/USD,1.752,1.8916,1.75,1.7913,5732.595510905192,3200.24312561
1649203200000,2022-04-06 00:00:00,ICE/USD,2.02,2.0802,1.75,1.752,15557.98938692472,8880.13092861
1649116800000,2022-04-05 00:00:00,ICE/USD,2.1002,2.1562,2.02,2.02,4622.7194808706,2288.47499053
1649030400000,2022-04-04 00:00:00,ICE/USD,2.0745,2.25,2.02,2.1002,6263.3958530293285,2982.28542664
1648944000000,2022-04-03 00:00:00,ICE/USD,2.0435,2.175,2.01,2.0745,8196.862917009239,3951.24748952
1648857600000,2022-04-02 00:00:00,ICE/USD,2.1866,2.3271,2.0434,2.0435,17819.413448396732,8720.04572958
1648771200000,2022-04-01 00:00:00,ICE/USD,2.194,2.25,2.1021,2.1862,4618.493200916787,2112.56664574
1648684800000,2022-03-31 00:00:00,ICE/USD,2.2593,2.2894,2.194,2.2115,6085.989947262516,2751.97374961
1648598400000,2022-03-30 00:00:00,ICE/USD,2.3723,2.42,2.192,2.2127,16850.949759675597,7615.56006674
1648512000000,2022-03-29 00:00:00,ICE/USD,2.3802,2.4803,2.2667,2.3732,11503.599145880009,4847.29443194
1648425600000,2022-03-28 00:00:00,ICE/USD,2.1635,2.5526,2.1635,2.4152,13891.555826500777,5751.72069663
1648339200000,2022-03-27 00:00:00,ICE/USD,2.08,2.4075,2.0352,2.1846,14954.813742708906,6845.56154111
1648252800000,2022-03-26 00:00:00,ICE/USD,2.0656,2.223,1.999,2.08,5579.3100952368,2682.36062271
1648166400000,2022-03-25 00:00:00,ICE/USD,2.2023,2.3224,2.0487,2.0621,12928.959906775477,6269.80258318
1648080000000,2022-03-24 00:00:00,ICE/USD,2.1617,2.3696,2.1352,2.2023,19158.069762776595,8699.11899504
1647993600000,2022-03-23 00:00:00,ICE/USD,2.36,2.4412,2.161,2.161,8895.72322092415,4116.48460015
1647907200000,2022-03-22 00:00:00,ICE/USD,2.2725,2.518,2.2704,2.3598,13686.703837345387,5799.94229907
1647820800000,2022-03-21 00:00:00,ICE/USD,2.3189,2.402,2.13,2.353,29152.45522497256,12389.483733519999
1647734400000,2022-03-20 00:00:00,ICE/USD,2.6063,2.6769,2.2356,2.3183,18176.381263479972,7840.39221131
1647648000000,2022-03-19 00:00:00,ICE/USD,2.7251,2.7963,2.6042,2.6085,6678.522041894745,2560.29213797
1647561600000,2022-03-18 00:00:00,ICE/USD,2.6129,2.8923,2.4986,2.7266,56158.57926881187,20596.55954992
1647475200000,2022-03-17 00:00:00,ICE/USD,2.4881,3.2004,2.4283,2.6127,49867.939582999286,19086.7453527
1647388800000,2022-03-16 00:00:00,ICE/USD,1.39,2.6076,1.39,2.4881,113990.44630518761,45814.25437289
1647302400000,2022-03-15 00:00:00,ICE/USD,1.1811,1.4749,1.1731,1.39,28665.954798932198,20622.98906398
1647216000000,2022-03-14 00:00:00,ICE/USD,1.25,1.2626,1.18,1.1809,43292.66735261554,36660.73956526
1647129600000,2022-03-13 00:00:00,ICE/USD,1.2913,1.3356,1.25,1.25,4663.2272016874995,3730.58176135
1647043200000,2022-03-12 00:00:00,ICE/USD,1.2627,1.3558,1.2603,1.2919,7746.788680189926,5996.43059075
1646956800000,2022-03-11 00:00:00,ICE/USD,1.4429,1.4734,1.26,1.2625,36993.546825269244,29301.81926754
1646870400000,2022-03-10 00:00:00,ICE/USD,1.61,1.651,1.4001,1.4431,11381.298741967288,7886.70136648
1646784000000,2022-03-09 00:00:00,ICE/USD,1.5102,1.6835,1.51,1.61,32822.8039656447,20386.834761269998
1646697600000,2022-03-08 00:00:00,ICE/USD,1.5683,1.6199,1.51,1.5102,16123.762421461459,10676.57424279
1646611200000,2022-03-07 00:00:00,ICE/USD,1.7471,1.836,1.511,1.525,27126.011355948245,17787.54843013
1646524800000,2022-03-06 00:00:00,ICE/USD,2.0593,2.0973,1.63,1.7538,42343.44503783307,24143.82771002
1646438400000,2022-03-05 00:00:00,ICE/USD,2.0192,2.0838,2.01,2.0111,7179.095867122452,3569.73589932
1646352000000,2022-03-04 00:00:00,ICE/USD,2.2001,2.3193,2.014,2.084,31147.26731310116,14945.90562049
1646265600000,2022-03-03 00:00:00,ICE/USD,2.3609,2.4697,2.2,2.2001,16831.51259752216,7650.33980161
1646179200000,2022-03-02 00:00:00,ICE/USD,2.2868,2.4278,2.2,2.3607,13275.253114528248,5623.43928264
1646092800000,2022-03-01 00:00:00,ICE/USD,2.2702,2.5181,2.222,2.3412,34081.66704960473,14557.34967094
1646006400000,2022-02-28 00:00:00,ICE/USD,2.2925,2.4107,2.1454,2.2702,44155.3729860088,19449.99250551
1645920000000,2022-02-27 00:00:00,ICE/USD,2.6415,2.71,2.2925,2.2925,16079.010729048401,7013.74513808
1645833600000,2022-02-26 00:00:00,ICE/USD,2.6781,2.7962,2.5999,2.7117,6116.292023579352,2255.51942456
1645747200000,2022-02-25 00:00:00,ICE/USD,2.5147,2.7962,2.4712,2.6783,29383.831905868978,10971.07564719
1645660800000,2022-02-24 00:00:00,ICE/USD,2.9,2.9761,2.1152,2.5166,84223.79075772538,33467.29347442
1645574400000,2022-02-23 00:00:00,ICE/USD,2.8907,3.0943,2.8002,2.9,22673.659826504998,7818.50338845
1645488000000,2022-02-22 00:00:00,ICE/USD,3.0267,3.1269,2.6967,2.8238,31611.759516843336,11194.75866451
1645401600000,2022-02-21 00:00:00,ICE/USD,3.0941,3.424,2.984,3.0267,25750.46999104642,8507.77083657
