https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FTM
1641513600000,2022-01-07 00:00:00,FTM/USD,2.8889,2.8896,2.5655,2.6006,9789022.61110872,3764140.04887669
1641427200000,2022-01-06 00:00:00,FTM/USD,2.935,3.0274,2.6494,2.8996,11344944.271990178,3912589.41646785
1641340800000,2022-01-05 00:00:00,FTM/USD,2.8847,3.1581,2.5977,2.9305,13122574.990581606,4477930.384092
1641254400000,2022-01-04 00:00:00,FTM/USD,2.8722,3.0637,2.8073,2.8843,7611981.7503357865,2639108.88268758
1641168000000,2022-01-03 00:00:00,FTM/USD,2.4824,2.8711,2.3727,2.8686,5676976.418160233,1979005.93256649
1641081600000,2022-01-02 00:00:00,FTM/USD,2.5857,2.5971,2.4513,2.4864,1679083.2406249421,675306.96614581
1640995200000,2022-01-01 00:00:00,FTM/USD,2.2636,2.5982,2.2531,2.5856,2976728.140187349,1151271.71263434
1640908800000,2021-12-31 00:00:00,FTM/USD,2.1111,2.34,2.083,2.2493,2185054.827840677,971437.7041038
1640822400000,2021-12-30 00:00:00,FTM/USD,2.1246,2.2217,2.042,2.1145,1888810.9668348143,893266.00465113
1640736000000,2021-12-29 00:00:00,FTM/USD,2.2366,2.3598,2.1,2.1262,1166206.8148691216,548493.46950857
1640649600000,2021-12-28 00:00:00,FTM/USD,2.191,2.36,2.0778,2.2253,2313404.403507179,1039592.14645539
1640563200000,2021-12-27 00:00:00,FTM/USD,2.3477,2.4456,2.1844,2.199,1358236.132670561,617660.81522081
1640476800000,2021-12-26 00:00:00,FTM/USD,2.1153,2.3864,2.097,2.3398,2051189.8294246488,876651.77768384
1640390400000,2021-12-25 00:00:00,FTM/USD,2.08,2.1747,1.9771,2.1158,4113430.4347142437,1944148.99079036
1640304000000,2021-12-24 00:00:00,FTM/USD,1.8585,2.2384,1.8393,2.0822,3316772.8642096617,1592917.52195258
1640217600000,2021-12-23 00:00:00,FTM/USD,1.6016,1.9087,1.5772,1.8652,2126010.1602608752,1139829.5948214
