https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1649289600000,2022-04-07 00:00:00,DOT/USD,19.856,20.655,19.475,20.41,1582149.945876786,77518.3706946
1649203200000,2022-04-06 00:00:00,DOT/USD,21.768,21.807,19.76,19.849,3879953.5863268846,195473.50427361
1649116800000,2022-04-05 00:00:00,DOT/USD,22.902,23.104,21.7,21.785,2141153.3902121396,98285.67317935
1649030400000,2022-04-04 00:00:00,DOT/USD,23.216,23.226,21.61,22.892,3256719.0288024107,142264.50414129
1648944000000,2022-04-03 00:00:00,DOT/USD,22.592,23.567,22.532,23.186,3799271.9109318033,163860.60169636
1648857600000,2022-04-02 00:00:00,DOT/USD,22.05,23.832,21.995,22.569,3442929.356576796,152551.25865465
1648771200000,2022-04-01 00:00:00,DOT/USD,21.369,22.173,20.623,22.082,2052324.4349762907,92941.05764769
1648684800000,2022-03-31 00:00:00,DOT/USD,22.444,23.08,21.1,21.343,2658827.4182458,124576.08669099
1648598400000,2022-03-30 00:00:00,DOT/USD,22.447,22.987,21.656,22.432,3033843.255208458,135246.22214731
1648512000000,2022-03-29 00:00:00,DOT/USD,21.97,22.949,21.85,22.447,2006867.9925385353,89404.73081207
1648425600000,2022-03-28 00:00:00,DOT/USD,22.462,23.348,21.803,21.973,3358530.0294638677,152848.04211823
1648339200000,2022-03-27 00:00:00,DOT/USD,20.915,22.462,20.725,22.448,2794246.2359271087,124476.40038877
1648252800000,2022-03-26 00:00:00,DOT/USD,20.548,21.036,20.257,20.918,1653544.7178459298,79048.89176049
1648166400000,2022-03-25 00:00:00,DOT/USD,21.25,21.362,20.192,20.541,2511755.0133994124,122280.07465067
1648080000000,2022-03-24 00:00:00,DOT/USD,21.02,21.488,20.266,21.246,5190103.996603868,244286.17135479
1647993600000,2022-03-23 00:00:00,DOT/USD,20.215,21.127,19.827,21.008,5858019.103665475,278847.06319809
1647907200000,2022-03-22 00:00:00,DOT/USD,18.745,20.465,18.681,20.216,5668816.384705143,280412.36568585
1647820800000,2022-03-21 00:00:00,DOT/USD,18.652,19.061,18.405,18.753,2845387.8626837526,151729.74258432
1647734400000,2022-03-20 00:00:00,DOT/USD,19.397,19.456,18.332,18.651,2381241.9758918234,127673.68912615
1647648000000,2022-03-19 00:00:00,DOT/USD,18.968,19.794,18.863,19.413,3837397.69960619,197671.5448208
1647561600000,2022-03-18 00:00:00,DOT/USD,18.765,19.204,18.14,18.971,2942481.6081631165,155104.19103701
1647475200000,2022-03-17 00:00:00,DOT/USD,19.059,19.357,18.653,18.761,2315934.7335740095,123444.09858611
1647388800000,2022-03-16 00:00:00,DOT/USD,17.819,19.199,17.71,19.059,2931662.828566909,153820.39081625
1647302400000,2022-03-15 00:00:00,DOT/USD,17.71,18.057,17.068,17.812,3521234.7172859507,197688.90171154
1647216000000,2022-03-14 00:00:00,DOT/USD,17.213,17.852,17.017,17.708,2601457.2985530393,146908.58925644
1647129600000,2022-03-13 00:00:00,DOT/USD,18.144,18.382,17.129,17.202,2408292.5618196754,140000.73025344
1647043200000,2022-03-12 00:00:00,DOT/USD,17.699,18.731,17.683,18.135,2470838.5895671705,136246.95834393
1646956800000,2022-03-11 00:00:00,DOT/USD,16.967,18.486,16.703,17.711,4744045.366723271,267858.69610543
1646870400000,2022-03-10 00:00:00,DOT/USD,17.87,17.946,16.709,16.978,2712901.6759419004,159789.23759818
1646784000000,2022-03-09 00:00:00,DOT/USD,16.973,18.084,16.898,17.866,2472988.207717975,138418.68396496
