https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZMT
1644624000000,2022-02-12 00:00:00,ZMT/USD,3.0432,3.0627,2.85,2.9832,215029.15437713556,72080.03297705
1644537600000,2022-02-11 00:00:00,ZMT/USD,3.1631,3.1706,3.0257,3.0432,66774.38449786522,21942.16104688
1644451200000,2022-02-10 00:00:00,ZMT/USD,3.167,3.32,3.0778,3.1732,295159.77156606613,93016.44131037
1644364800000,2022-02-09 00:00:00,ZMT/USD,3.1544,3.2368,3.0532,3.1668,166382.58624447422,52539.65714427
1644278400000,2022-02-08 00:00:00,ZMT/USD,3.3282,3.3774,3.0231,3.1544,248782.93292344137,78868.54328032
1644192000000,2022-02-07 00:00:00,ZMT/USD,3.1689,3.3982,3.1489,3.3282,418475.9101023321,125736.40709763
1644105600000,2022-02-06 00:00:00,ZMT/USD,3.0604,3.235,2.9974,3.1689,201655.24011427944,63635.72221095
1644019200000,2022-02-05 00:00:00,ZMT/USD,2.9534,3.11,2.94,3.0409,170386.03861450276,56031.45075948
1643932800000,2022-02-04 00:00:00,ZMT/USD,2.7954,2.9997,2.7353,2.965,445615.7134717747,150291.97756215
1643846400000,2022-02-03 00:00:00,ZMT/USD,2.8199,2.8775,2.7548,2.7954,102526.22684891192,36676.76427306
1643760000000,2022-02-02 00:00:00,ZMT/USD,2.844,3.0745,2.6795,2.8199,147985.92672326358,52479.13994229
1643673600000,2022-02-01 00:00:00,ZMT/USD,2.845,2.86,2.7492,2.844,83303.05595690555,29290.80729849
1643587200000,2022-01-31 00:00:00,ZMT/USD,2.8284,2.845,2.7548,2.844,123554.23160499647,43443.82264592
1643500800000,2022-01-30 00:00:00,ZMT/USD,2.84,2.854,2.7548,2.8284,33893.47202424373,11983.26687323
1643414400000,2022-01-29 00:00:00,ZMT/USD,2.8264,2.8775,2.774,2.84,215698.0688424804,75950.02424031
1643328000000,2022-01-28 00:00:00,ZMT/USD,2.7697,2.845,2.7353,2.8264,229790.289180647,81301.40432375
1643241600000,2022-01-27 00:00:00,ZMT/USD,2.836,2.8775,2.7536,2.7536,161721.28287982143,58730.8552004
1643155200000,2022-01-26 00:00:00,ZMT/USD,2.8379,2.955,2.717,2.836,185160.5122243773,65289.32024837
1643068800000,2022-01-25 00:00:00,ZMT/USD,2.7923,2.8775,2.7169,2.8379,173519.4478921602,61143.60896866
