https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1643328000000,2022-01-28 00:00:00,SOL/USD,89.638,93.645,87.301,91.5,13362670.765845165,146040.11765951
1643241600000,2022-01-27 00:00:00,SOL/USD,92.166,94.719,85.799,89.694,16529804.090904042,184291.07956947
1643155200000,2022-01-26 00:00:00,SOL/USD,94.75,104.38,89.353,92.117,20787473.52912322,225663.81372736
1643068800000,2022-01-25 00:00:00,SOL/USD,92.056,99.95,87.573,94.689,13722637.535569543,144923.24911626
1642982400000,2022-01-24 00:00:00,SOL/USD,99.937,99.937,80.868,92.022,39274462.36791366,426794.27058653
1642896000000,2022-01-23 00:00:00,SOL/USD,94.65,104.77,93.324,99.998,16913348.955665413,169136.8722941
1642809600000,2022-01-22 00:00:00,SOL/USD,112.38,114.12,87.891,94.642,38648719.760001235,408367.52984934
1642723200000,2022-01-21 00:00:00,SOL/USD,127.51,128.79,106.31,112.33,30634103.268802024,272715.2432013
1642636800000,2022-01-20 00:00:00,SOL/USD,135.51,144.0,126.12,127.65,7515601.2469489025,58876.62551468
1642550400000,2022-01-19 00:00:00,SOL/USD,141.37,142.73,132.82,135.36,5430633.168774961,40119.92589225
1642464000000,2022-01-18 00:00:00,SOL/USD,140.0,142.69,134.39,141.2,5313395.183708823,37630.27750502
1642377600000,2022-01-17 00:00:00,SOL/USD,148.19,148.27,137.14,139.85,4925219.706872797,35217.87420002
1642291200000,2022-01-16 00:00:00,SOL/USD,147.7,151.99,146.16,147.92,6295889.979334617,42562.80407879
1642204800000,2022-01-15 00:00:00,SOL/USD,146.37,149.57,144.04,147.69,4958827.732316843,33575.92072799
1642118400000,2022-01-14 00:00:00,SOL/USD,146.15,150.61,142.08,146.23,6609180.994153648,45197.16196508
1642032000000,2022-01-13 00:00:00,SOL/USD,151.49,157.79,145.55,145.97,11669167.222379643,79942.2293785
1641945600000,2022-01-12 00:00:00,SOL/USD,140.2,153.3,138.25,151.43,13104566.41052543,86538.77309995
1641859200000,2022-01-11 00:00:00,SOL/USD,135.89,143.46,133.63,140.34,5067669.805199169,36109.94588285
1641772800000,2022-01-10 00:00:00,SOL/USD,140.8,143.84,130.01,135.9,10278621.326795805,75633.71101395
1641686400000,2022-01-09 00:00:00,SOL/USD,142.14,145.7,137.93,140.7,14414172.880828895,102446.14698528
1641600000000,2022-01-08 00:00:00,SOL/USD,136.41,148.0,133.06,142.12,26639086.411030717,187440.79940213
1641513600000,2022-01-07 00:00:00,SOL/USD,150.27,150.72,133.05,136.38,28070898.622063115,205828.55713494
1641427200000,2022-01-06 00:00:00,SOL/USD,154.48,154.71,146.23,150.24,16655056.675792815,110856.34102631
1641340800000,2022-01-05 00:00:00,SOL/USD,168.02,171.29,145.01,154.3,15889025.291328354,102974.88847264
1641254400000,2022-01-04 00:00:00,SOL/USD,170.16,173.88,166.44,167.87,7321256.074831026,43612.65309365
1641168000000,2022-01-03 00:00:00,SOL/USD,176.37,176.37,166.71,169.99,5283194.133529374,31079.44075257
1641081600000,2022-01-02 00:00:00,SOL/USD,179.19,179.49,174.42,176.51,4245399.668760242,24051.89320016
1640995200000,2022-01-01 00:00:00,SOL/USD,170.03,179.14,170.03,179.08,4169912.3591001583,23285.19298135
1640908800000,2021-12-31 00:00:00,SOL/USD,172.55,177.69,167.61,170.03,7626898.848024148,44856.1950716
1640822400000,2021-12-30 00:00:00,SOL/USD,170.54,175.74,168.24,172.58,7340511.151303186,42533.96193825
1640736000000,2021-12-29 00:00:00,SOL/USD,177.29,180.64,170.02,170.68,14537627.263578637,85174.75546976
1640649600000,2021-12-28 00:00:00,SOL/USD,195.55,195.76,176.27,177.14,32695067.2214622,184571.9048293
1640563200000,2021-12-27 00:00:00,SOL/USD,198.24,204.75,194.76,195.69,16112826.21812434,82338.5263331
1640476800000,2021-12-26 00:00:00,SOL/USD,193.13,200.52,190.32,197.94,15362334.447042465,77611.06621725
1640390400000,2021-12-25 00:00:00,SOL/USD,190.49,195.3,189.34,193.27,15771786.332587361,81604.9378206
1640304000000,2021-12-24 00:00:00,SOL/USD,190.24,197.62,184.15,190.28,30534795.199457828,160472.96194796
1640217600000,2021-12-23 00:00:00,SOL/USD,178.38,193.55,175.84,190.07,12344381.125009226,64946.49931609
1640131200000,2021-12-22 00:00:00,SOL/USD,179.75,187.57,177.15,178.47,9935432.421361154,55670.04214356
1640044800000,2021-12-21 00:00:00,SOL/USD,174.08,182.65,170.32,179.84,9256983.994655475,51473.44303078
1639958400000,2021-12-20 00:00:00,SOL/USD,180.04,181.31,168.56,173.83,8957326.740693945,51529.23396821
1639872000000,2021-12-19 00:00:00,SOL/USD,182.98,189.7,178.32,180.34,6583959.643198269,36508.59289785
1639785600000,2021-12-18 00:00:00,SOL/USD,175.99,184.3,171.08,182.84,12962641.017445043,70896.08957255
1639699200000,2021-12-17 00:00:00,SOL/USD,176.95,182.49,168.4,175.28,19521613.37907632,111373.87824667
1639612800000,2021-12-16 00:00:00,SOL/USD,178.81,189.04,174.66,176.99,15802400.966796856,89284.14580935
1639526400000,2021-12-15 00:00:00,SOL/USD,161.48,182.72,156.79,178.57,26850318.319947504,150362.98549559
1639440000000,2021-12-14 00:00:00,SOL/USD,154.93,163.39,149.76,161.31,11701660.424422285,72541.44457518
1639353600000,2021-12-13 00:00:00,SOL/USD,172.9,172.9,148.28,155.16,17785082.504514452,114624.14607189
1639267200000,2021-12-12 00:00:00,SOL/USD,172.24,176.93,167.87,172.9,4371339.862648668,25282.47462492
1639180800000,2021-12-11 00:00:00,SOL/USD,167.5,173.76,161.56,172.18,13154250.549682017,76398.24921409
1639094400000,2021-12-10 00:00:00,SOL/USD,181.69,184.89,167.14,167.61,16274465.170133775,97097.22075135
1639008000000,2021-12-09 00:00:00,SOL/USD,194.79,196.79,178.92,181.35,9724255.021085786,53621.47792162
1638921600000,2021-12-08 00:00:00,SOL/USD,190.31,196.29,183.65,194.76,11152075.7617431,57260.60670437
