https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SAN
1646352000000,2022-03-04 00:00:00,SAN/USD,0.20876,0.21596,0.19464,0.19464,1329.0420165913104,6828.206003859999
1646265600000,2022-03-03 00:00:00,SAN/USD,0.21253,0.21253,0.20874,0.20875,402.97333883291253,1930.41120399
1646179200000,2022-03-02 00:00:00,SAN/USD,0.2183,0.2183,0.21253,0.21529,634.948117024938,2949.2689722
1646092800000,2022-03-01 00:00:00,SAN/USD,0.19536,0.21832,0.19534,0.21597,5538.831438758623,25646.300128529998
1646006400000,2022-02-28 00:00:00,SAN/USD,0.18712,0.199,0.1837,0.19275,2627.0211253650527,13629.16277751
1645920000000,2022-02-27 00:00:00,SAN/USD,0.19601,0.202,0.18098,0.1871,5260.502253231747,28115.99280188
1645833600000,2022-02-26 00:00:00,SAN/USD,0.19001,0.20375,0.18464,0.18968,3281.7072108769335,17301.28221677
1645747200000,2022-02-25 00:00:00,SAN/USD,0.18427,0.20375,0.17633,0.18939,6219.893821973911,32841.72248785
1645660800000,2022-02-24 00:00:00,SAN/USD,0.20399,0.20999,0.17617,0.17801,10425.473597808634,58566.7861233
1645574400000,2022-02-23 00:00:00,SAN/USD,0.19539,0.20462,0.19538,0.20296,1158.9315755703497,5710.14769201
1645488000000,2022-02-22 00:00:00,SAN/USD,0.22135,0.22196,0.19841,0.19841,5173.936948194964,26076.99686606
1645401600000,2022-02-21 00:00:00,SAN/USD,0.20906,0.22589,0.20902,0.20902,1619.22970048322,7746.769211
1645315200000,2022-02-20 00:00:00,SAN/USD,0.21047,0.22494,0.20902,0.20905,424.3795197454305,2030.0383628099999
1645228800000,2022-02-19 00:00:00,SAN/USD,0.211,0.211,0.20901,0.20901,5908.86175339349,28270.71314001
1645142400000,2022-02-18 00:00:00,SAN/USD,0.22999,0.23001,0.21,0.21001,2291.398448978889,10910.90161887
1645056000000,2022-02-17 00:00:00,SAN/USD,0.23254,0.23283,0.21662,0.21662,823.2284747180313,3800.33457076
1644969600000,2022-02-16 00:00:00,SAN/USD,0.23276,0.23283,0.21661,0.22225,10115.054711928791,45512.05719653
1644883200000,2022-02-15 00:00:00,SAN/USD,0.22441,0.23395,0.22441,0.23281,1253.4340527770946,5383.93562466
1644796800000,2022-02-14 00:00:00,SAN/USD,0.2328,0.2328,0.22,0.22441,67.1445440245228,299.20477708
1644710400000,2022-02-13 00:00:00,SAN/USD,0.22042,0.22042,0.22,0.22008,495.9268170753288,2253.39338911
1644624000000,2022-02-12 00:00:00,SAN/USD,0.23781,0.23781,0.22041,0.22041,748.8353672997866,3397.46548387
1644537600000,2022-02-11 00:00:00,SAN/USD,0.2305,0.23789,0.22802,0.22802,892.6638988871032,3914.84913116
1644451200000,2022-02-10 00:00:00,SAN/USD,0.23703,0.24997,0.22999,0.2305,1947.0043774867204,8446.87365504
1644364800000,2022-02-09 00:00:00,SAN/USD,0.24704,0.24834,0.23003,0.23702,9458.883262269423,39907.53211657
1644278400000,2022-02-08 00:00:00,SAN/USD,0.2369,0.24999,0.23653,0.24702,1888.963054418379,7647.00451145
1644192000000,2022-02-07 00:00:00,SAN/USD,0.22319,0.30257,0.20797,0.24752,47619.90061260577,192388.0923263
1644105600000,2022-02-06 00:00:00,SAN/USD,0.22448,0.22448,0.2184,0.22319,860.3752274314714,3854.90043206
1644019200000,2022-02-05 00:00:00,SAN/USD,0.225,0.225,0.22144,0.22475,488.77851515669755,2174.76536221
1643932800000,2022-02-04 00:00:00,SAN/USD,0.19999,0.2488,0.19803,0.21928,6271.125682970995,28598.71252723
1643846400000,2022-02-03 00:00:00,SAN/USD,0.20779,0.20779,0.18666,0.18666,1211.0652976543595,6488.08152606
1643760000000,2022-02-02 00:00:00,SAN/USD,0.208,0.215,0.19573,0.20782,3819.1973103228584,18377.42907479
1643673600000,2022-02-01 00:00:00,SAN/USD,0.198,0.23599,0.16,0.20553,33734.11022419121,164132.2932136
1643587200000,2022-01-31 00:00:00,SAN/USD,0.19501,0.19998,0.18498,0.1871,16387.883221984743,87588.90017095
1643500800000,2022-01-30 00:00:00,SAN/USD,0.2049,0.20492,0.19501,0.2,743.208201084,3716.04100542
1643414400000,2022-01-29 00:00:00,SAN/USD,0.20355,0.20884,0.1907,0.20001,6680.291394019808,33399.78698075
1643328000000,2022-01-28 00:00:00,SAN/USD,0.19605,0.19605,0.19604,0.19604,277.9650433593384,1417.89962946
1643241600000,2022-01-27 00:00:00,SAN/USD,0.19805,0.20883,0.19605,0.19605,845.9989487431171,4315.22034554
1643155200000,2022-01-26 00:00:00,SAN/USD,0.20001,0.20885,0.19604,0.20884,1399.2372975129435,6700.04451979
1643068800000,2022-01-25 00:00:00,SAN/USD,0.21159,0.21209,0.19409,0.2,3149.3462157760005,15746.73107888
1642982400000,2022-01-24 00:00:00,SAN/USD,0.2,0.22227,0.18396,0.21159,8051.809179231561,38053.82664224
1642896000000,2022-01-23 00:00:00,SAN/USD,0.208,0.21,0.19326,0.2,4803.341728202001,24016.708641010002
1642809600000,2022-01-22 00:00:00,SAN/USD,0.23221,0.23599,0.2,0.21,12754.250459558998,60734.5259979
1642723200000,2022-01-21 00:00:00,SAN/USD,0.25225,0.25998,0.23221,0.23222,4499.043771705658,19374.05809881
1642636800000,2022-01-20 00:00:00,SAN/USD,0.26913,0.27481,0.24881,0.25225,5175.163839651402,20516.01125729
1642550400000,2022-01-19 00:00:00,SAN/USD,0.29793,0.29793,0.255,0.26998,2338.507234852797,8661.77952016
1642464000000,2022-01-18 00:00:00,SAN/USD,0.29822,0.339,0.26971,0.27455,19370.479454703334,70553.55838537
1642377600000,2022-01-17 00:00:00,SAN/USD,0.29767,0.3021,0.284,0.284,3149.63805010972,11090.274824330001
1642291200000,2022-01-16 00:00:00,SAN/USD,0.28316,0.339,0.28316,0.29666,3293.8106942248505,11102.98218238
1642204800000,2022-01-15 00:00:00,SAN/USD,0.282,0.31,0.27511,0.28205,6800.778810318276,24111.9617455
1642118400000,2022-01-14 00:00:00,SAN/USD,0.30435,0.30436,0.28148,0.28148,557.5991250575021,1980.95468615
1642032000000,2022-01-13 00:00:00,SAN/USD,0.291,0.30435,0.291,0.29124,467.4409339946976,1605.00252024
1641945600000,2022-01-12 00:00:00,SAN/USD,0.30435,0.30436,0.27956,0.285,633.6384664223999,2223.29286464
1641859200000,2022-01-11 00:00:00,SAN/USD,0.27437,0.30436,0.27,0.27513,215.3528924618745,782.73140865
1641772800000,2022-01-10 00:00:00,SAN/USD,0.26444,0.315,0.24,0.26984,15085.244108299354,55904.403010300004
1641686400000,2022-01-09 00:00:00,SAN/USD,0.26296,0.291,0.25564,0.291,4149.565839404369,14259.67642407
