https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZIL
1650067200000,2022-04-16 00:00:00,ZIL/USD,0.1112,0.11283,0.10904,0.11072,4862.943318901939,43921.09211436
1649980800000,2022-04-15 00:00:00,ZIL/USD,0.11271,0.11401,0.10823,0.11089,24044.938957874707,216835.95416967
1649894400000,2022-04-14 00:00:00,ZIL/USD,0.11118,0.1277,0.1097,0.11327,113589.93461797555,1002824.53092589
1649808000000,2022-04-13 00:00:00,ZIL/USD,0.10732,0.1118,0.10318,0.1116,23222.52596097299,208087.15018793
1649721600000,2022-04-12 00:00:00,ZIL/USD,0.10901,0.11244,0.10382,0.10625,36914.8983787125,347434.337682
1649635200000,2022-04-11 00:00:00,ZIL/USD,0.11961,0.13054,0.10872,0.1107,149895.73431486308,1354071.67402767
1649548800000,2022-04-10 00:00:00,ZIL/USD,0.12078,0.12558,0.1179,0.11907,22997.761361110555,193144.8841951
1649462400000,2022-04-09 00:00:00,ZIL/USD,0.11892,0.12099,0.115,0.12035,108840.54112854016,904366.7729833
1649376000000,2022-04-08 00:00:00,ZIL/USD,0.13318,0.13466,0.11892,0.11942,68795.35343789427,576078.99378575
1649289600000,2022-04-07 00:00:00,ZIL/USD,0.13215,0.13528,0.1213,0.13328,111427.86687468785,836043.41892773
1649203200000,2022-04-06 00:00:00,ZIL/USD,0.12473,0.14296,0.12357,0.13249,427538.4942530518,3226949.16033702
1649116800000,2022-04-05 00:00:00,ZIL/USD,0.14226,0.14359,0.1234,0.12429,398871.87203470705,3209203.25074187
1649030400000,2022-04-04 00:00:00,ZIL/USD,0.15353,0.16357,0.13526,0.14057,415985.5400305259,2959276.80181067
1648944000000,2022-04-03 00:00:00,ZIL/USD,0.16672,0.17425,0.14851,0.15118,317185.79001551785,2098067.13861303
1648857600000,2022-04-02 00:00:00,ZIL/USD,0.18383,0.20681,0.16302,0.16623,473336.41625294765,2847478.89221529
1648771200000,2022-04-01 00:00:00,ZIL/USD,0.17936,0.23,0.17727,0.18244,703462.7937994968,3855858.33040724
1648684800000,2022-03-31 00:00:00,ZIL/USD,0.17935,0.22,0.17333,0.17944,1532002.995674641,8537689.45427241
1648598400000,2022-03-30 00:00:00,ZIL/USD,0.10228,0.18445,0.098556,0.18021,2246143.5196747785,12464033.73661161
1648512000000,2022-03-29 00:00:00,ZIL/USD,0.09952,0.10733,0.096669,0.10223,317092.20053404383,3101752.91532861
1648425600000,2022-03-28 00:00:00,ZIL/USD,0.10674,0.12015,0.09771,0.09834,452154.67329768103,4597871.39818671
1648339200000,2022-03-27 00:00:00,ZIL/USD,0.096702,0.12313,0.085286,0.10635,785531.5306623279,7386286.13692833
1648252800000,2022-03-26 00:00:00,ZIL/USD,0.048321,0.096079,0.048321,0.095709,755147.9118431564,7890040.76777687
1648166400000,2022-03-25 00:00:00,ZIL/USD,0.049001,0.050608,0.047048,0.047489,12802.204199657455,269582.5180496
1648080000000,2022-03-24 00:00:00,ZIL/USD,0.048543,0.04982,0.047529,0.049568,18929.826144490224,381896.10523907
1647993600000,2022-03-23 00:00:00,ZIL/USD,0.045296,0.049852,0.044827,0.049007,89726.87269932727,1830899.11031745
1647907200000,2022-03-22 00:00:00,ZIL/USD,0.043293,0.046125,0.043153,0.045454,46879.829162747454,1031368.61800386
1647820800000,2022-03-21 00:00:00,ZIL/USD,0.042368,0.043877,0.041342,0.043814,11624.699328982952,265319.28901682
1647734400000,2022-03-20 00:00:00,ZIL/USD,0.044266,0.044742,0.042124,0.04277,20457.897475418,478323.53227538
1647648000000,2022-03-19 00:00:00,ZIL/USD,0.042617,0.044313,0.04261,0.04406,25499.983179464554,578755.85972457
1647561600000,2022-03-18 00:00:00,ZIL/USD,0.041084,0.042362,0.040414,0.042224,1300.18230040691,30792.49479933
1647475200000,2022-03-17 00:00:00,ZIL/USD,0.041264,0.042235,0.041164,0.041436,14218.009529600486,343131.80639059
1647388800000,2022-03-16 00:00:00,ZIL/USD,0.040435,0.041182,0.039195,0.041001,2949.8709999065804,71946.3183802
1647302400000,2022-03-15 00:00:00,ZIL/USD,0.038835,0.039912,0.038199,0.039784,1809.8083544331375,45490.859502139996
1647216000000,2022-03-14 00:00:00,ZIL/USD,0.038247,0.039606,0.03811,0.038457,8551.59201549229,222367.63178335
1647129600000,2022-03-13 00:00:00,ZIL/USD,0.040481,0.041103,0.038534,0.038703,17481.140973148733,451674.05558092997
1647043200000,2022-03-12 00:00:00,ZIL/USD,0.040514,0.041648,0.040442,0.041037,6863.729207354159,167257.09012243
1646956800000,2022-03-11 00:00:00,ZIL/USD,0.041369,0.041836,0.040016,0.040599,12653.259604822555,311664.31697388
1646870400000,2022-03-10 00:00:00,ZIL/USD,0.041679,0.044039,0.039202,0.042037,66229.56524497991,1575506.46442372
1646784000000,2022-03-09 00:00:00,ZIL/USD,0.039673,0.041867,0.039673,0.04157,40491.25537702549,974049.92487432
1646697600000,2022-03-08 00:00:00,ZIL/USD,0.038202,0.039673,0.038202,0.038989,5501.1494069916425,141094.90899976
1646611200000,2022-03-07 00:00:00,ZIL/USD,0.0375,0.039904,0.036893,0.038381,27165.875917831818,707794.89637664
1646524800000,2022-03-06 00:00:00,ZIL/USD,0.039792,0.039792,0.037894,0.038128,3687.827231592846,96722.28366536
1646438400000,2022-03-05 00:00:00,ZIL/USD,0.038043,0.040031,0.038043,0.040031,25150.28755566778,628270.27942514
1646352000000,2022-03-04 00:00:00,ZIL/USD,0.040033,0.0413,0.038701,0.038701,2748.5078503861855,71019.03956968
1646265600000,2022-03-03 00:00:00,ZIL/USD,0.042854,0.043651,0.041459,0.041899,6378.370645841381,152232.04959167
1646179200000,2022-03-02 00:00:00,ZIL/USD,0.043292,0.043692,0.042124,0.042762,4752.38359016851,111135.67162828
1646092800000,2022-03-01 00:00:00,ZIL/USD,0.04354,0.045433,0.043273,0.043623,9086.711847802511,208300.93867461
1646006400000,2022-02-28 00:00:00,ZIL/USD,0.03903,0.043118,0.038369,0.043118,11070.01453019174,256737.6624656
1645920000000,2022-02-27 00:00:00,ZIL/USD,0.040508,0.041339,0.03846,0.038842,7364.637739423663,189605.00848112
1645833600000,2022-02-26 00:00:00,ZIL/USD,0.04119,0.042217,0.04059,0.040635,17312.213303395125,426041.91715012
1645747200000,2022-02-25 00:00:00,ZIL/USD,0.038079,0.041157,0.03801,0.040945,5420.703010329438,132389.86470459
1645660800000,2022-02-24 00:00:00,ZIL/USD,0.039113,0.039113,0.033272,0.037718,53960.048546561346,1430617.96878311
1645574400000,2022-02-23 00:00:00,ZIL/USD,0.040628,0.042122,0.039219,0.039527,5720.681045472806,144728.4399391
1645488000000,2022-02-22 00:00:00,ZIL/USD,0.039698,0.040133,0.038378,0.039892,5439.992493731986,136368.00595939
1645401600000,2022-02-21 00:00:00,ZIL/USD,0.044359,0.045015,0.039652,0.039652,4825.193351776029,121688.52395279
1645315200000,2022-02-20 00:00:00,ZIL/USD,0.046099,0.046099,0.042972,0.043937,2014.1453309219307,45841.66718078
1645228800000,2022-02-19 00:00:00,ZIL/USD,0.046681,0.047017,0.045,0.045861,733.3124379672846,15989.892020829999
