https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TSD
1648166400000,2022-03-25 00:00:00,TSD/USD,0.99976,1.0,0.99896,0.9998,3239.909377172266,3240.55748867
1648080000000,2022-03-24 00:00:00,TSD/USD,1.0001,1.0003,0.99883,0.99951,9871.516067803825,9876.35548199
1647993600000,2022-03-23 00:00:00,TSD/USD,1.0,1.0004,0.99905,0.99981,6951.245794961296,6952.56678265
1647907200000,2022-03-22 00:00:00,TSD/USD,1.0,1.0004,0.99914,1.0,4472.37868891,4472.37868891
1647820800000,2022-03-21 00:00:00,TSD/USD,1.0002,1.0009,0.99912,1.0001,4855.003658860704,4854.51820704
1647734400000,2022-03-20 00:00:00,TSD/USD,1.0,1.0013,0.99897,0.9996,201322.42207285354,201402.98326616
1647648000000,2022-03-19 00:00:00,TSD/USD,1.0005,1.0208,0.99992,1.0011,1966.340784645084,1964.18018644
1647561600000,2022-03-18 00:00:00,TSD/USD,1.0007,1.0026,1.0,1.0002,57276.221244748216,57264.76829109
1647475200000,2022-03-17 00:00:00,TSD/USD,1.0008,1.0015,1.0006,1.0007,1983.4544267258877,1982.06697984
1647388800000,2022-03-16 00:00:00,TSD/USD,1.0009,1.0015,1.0007,1.0008,2125.5220199492637,2123.82296158
1647302400000,2022-03-15 00:00:00,TSD/USD,1.0008,1.0015,1.0008,1.0014,1915.1362101650461,1912.45876789
1647216000000,2022-03-14 00:00:00,TSD/USD,1.0006,1.0015,1.0005,1.0008,1965.2648553902159,1963.69390027
1647129600000,2022-03-13 00:00:00,TSD/USD,1.0007,1.0021,1.0004,1.0006,2338.641757068052,2337.23941342
1647043200000,2022-03-12 00:00:00,TSD/USD,1.0007,1.0027,1.0006,1.0021,1943.10408795305,1939.0321205
1646956800000,2022-03-11 00:00:00,TSD/USD,1.001,1.0029,1.0005,1.0021,2689.82093160429,2684.1841449
1646870400000,2022-03-10 00:00:00,TSD/USD,1.0007,1.0033,1.0006,1.0006,1784.5552928610439,1783.48520174
1646784000000,2022-03-09 00:00:00,TSD/USD,1.0008,1.0028,1.0007,1.0007,1993.9280630127969,1992.53328971
1646697600000,2022-03-08 00:00:00,TSD/USD,1.0008,1.0033,1.0006,1.0008,2616.853959960192,2614.76215024
1646611200000,2022-03-07 00:00:00,TSD/USD,1.001,1.003,1.0008,1.0008,1919.0346390808559,1917.50063857
1646524800000,2022-03-06 00:00:00,TSD/USD,1.001,1.003,1.0009,1.0023,2061.445381745997,2056.71493739
