https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EUT
1647734400000,2022-03-20 00:00:00,EUT/USD,1.1037,1.105,1.1011,1.1019678,99438.98771035808,90237.65277929
1647648000000,2022-03-19 00:00:00,EUT/USD,1.1037,1.1053,1.1019,1.1037,153244.9024329329,138846.51846782
1647561600000,2022-03-18 00:00:00,EUT/USD,1.10839603,1.11073326,1.0974,1.1033,173476.07923682395,157233.82510362
1647475200000,2022-03-17 00:00:00,EUT/USD,1.1014,1.11169112,1.1001,1.107,60094.67100487821,54286.06233503
1647388800000,2022-03-16 00:00:00,EUT/USD,1.0958,1.1037,1.0932,1.1013,312355.0929818989,283623.98345764
1647302400000,2022-03-15 00:00:00,EUT/USD,1.094,1.10113151,1.0914,1.09653192,360265.0581874017,328549.54025178
1647216000000,2022-03-14 00:00:00,EUT/USD,1.09159112,1.0978,1.0876,1.0943,328353.5472844716,300058.07117287
1647129600000,2022-03-13 00:00:00,EUT/USD,1.0903,1.09259907,1.0889,1.09229104,161403.3210403255,147765.8564702
1647043200000,2022-03-12 00:00:00,EUT/USD,1.0898,1.0909,1.0879,1.0905,34581.31883454569,31711.43405277
1646956800000,2022-03-11 00:00:00,EUT/USD,1.1002,1.1012,1.08741083,1.09,395259.2900593152,362623.20188928
1646870400000,2022-03-10 00:00:00,EUT/USD,1.1058,1.1119,1.0957,1.0995,1123570.6473036841,1021892.3577114
1646784000000,2022-03-09 00:00:00,EUT/USD,1.0873,1.1081,1.0872,1.1056,434771.6322972406,393244.9640894
1646697600000,2022-03-08 00:00:00,EUT/USD,1.0846,1.0944,1.0831,1.0885,314439.8475657421,288874.45803008
1646611200000,2022-03-07 00:00:00,EUT/USD,1.0851,1.0919,1.0791,1.0863,384981.70514630043,354397.22465829
1646524800000,2022-03-06 00:00:00,EUT/USD,1.09378336,1.09408989,1.0836,1.0851,1234141.602532058,1137352.87303664
1646438400000,2022-03-05 00:00:00,EUT/USD,1.094068,1.0942,1.0928,1.0937,178804.0027772414,163485.41901549
1646352000000,2022-03-04 00:00:00,EUT/USD,1.1076,1.1076,1.0906,1.0942,1467806.0126248382,1341442.16105359
1646265600000,2022-03-03 00:00:00,EUT/USD,1.1121,1.11243248,1.1045,1.108,365421.74393275386,329803.01798985
1646179200000,2022-03-02 00:00:00,EUT/USD,1.1133,1.114,1.1059,1.1116,658391.7460861068,592291.9630137701
1646092800000,2022-03-01 00:00:00,EUT/USD,1.1204,1.12180286,1.108,1.1122,580959.6491295926,522351.77947275
1646006400000,2022-02-28 00:00:00,EUT/USD,1.1171,1.1235,1.11303494,1.12,933898.7197922369,833838.14267164
1645920000000,2022-02-27 00:00:00,EUT/USD,1.12490756,1.126,1.1112,1.11680281,2509459.425912176,2247003.14454991
1645833600000,2022-02-26 00:00:00,EUT/USD,1.12506538,1.1266,1.123,1.12491884,1682746.445259554,1495882.5342987
1645747200000,2022-02-25 00:00:00,EUT/USD,1.1193,1.1264,1.11494818,1.1256,832660.3482758418,739747.99953433
1645660800000,2022-02-24 00:00:00,EUT/USD,1.1281,1.1295,1.1113,1.11897088,1320282.1360279322,1179907.50217551
1645574400000,2022-02-23 00:00:00,EUT/USD,1.1324,1.1349,1.12762699,1.12810221,431866.9865650319,382826.11516649
1645488000000,2022-02-22 00:00:00,EUT/USD,1.1303,1.1355714,1.1279,1.13200365,1632175.2261226692,1441846.25740621
1645401600000,2022-02-21 00:00:00,EUT/USD,1.13193026,1.1374,1.1286,1.12998208,642104.5733093295,568243.14710312
1645315200000,2022-02-20 00:00:00,EUT/USD,1.13206009,1.1331,1.13063652,1.13193026,170669.17768475905,150777.11385219
1645228800000,2022-02-19 00:00:00,EUT/USD,1.1322,1.1325,1.1302,1.1324677,108533.72800920841,95838.25482105
1645142400000,2022-02-18 00:00:00,EUT/USD,1.13502055,1.13737154,1.13012478,1.13224125,244335.58704255783,215798.16761009
1645056000000,2022-02-17 00:00:00,EUT/USD,1.13549451,1.13748499,1.13079184,1.13583896,844511.4834715927,743513.39689175
1644969600000,2022-02-16 00:00:00,EUT/USD,1.1362,1.1391,1.1335,1.13533527,2728441.40746111,2403203.247144
1644883200000,2022-02-15 00:00:00,EUT/USD,1.1309993,1.1367,1.1309993,1.1358,4410078.642177557,3882795.0714717
1644796800000,2022-02-14 00:00:00,EUT/USD,1.1366,1.1368,1.1288,1.1305,170733.52173348088,151024.78702652
1644710400000,2022-02-13 00:00:00,EUT/USD,1.1356,1.1446,1.13389612,1.1371,994256.3224953003,874378.96622575
1644624000000,2022-02-12 00:00:00,EUT/USD,1.1358,1.13857161,1.1349,1.13562077,546816.1581059671,481512.99496395
1644537600000,2022-02-11 00:00:00,EUT/USD,1.1412,1.1417,1.1333,1.1355,192512.36797348747,169539.73401452
1644451200000,2022-02-10 00:00:00,EUT/USD,1.1421,1.14989799,1.1378,1.1418,733678.6201137126,642563.1635257599
1644364800000,2022-02-09 00:00:00,EUT/USD,1.14214256,1.1444257,1.1407,1.1422,32852.40134046919,28762.3895469
1644278400000,2022-02-08 00:00:00,EUT/USD,1.1436,1.1481,1.1399,1.14188827,405676.22974495386,355267.88426065
1644192000000,2022-02-07 00:00:00,EUT/USD,1.1456,1.14619642,1.14173287,1.14411933,93404.6733751723,81638.92605081
1644105600000,2022-02-06 00:00:00,EUT/USD,1.1449,1.1469,1.1447,1.1457,58788.87669567552,51312.62694918
1644019200000,2022-02-05 00:00:00,EUT/USD,1.1452,1.1452,1.1445,1.1451,34860.32651634344,30443.04123338
1643932800000,2022-02-04 00:00:00,EUT/USD,1.14457804,1.1481,1.141,1.1452,1290741.5429250298,1127088.31900544
1643846400000,2022-02-03 00:00:00,EUT/USD,1.1297,1.1454,1.1276,1.14457804,1301600.4315954745,1137188.01698788
1643760000000,2022-02-02 00:00:00,EUT/USD,1.1274,1.13976128,1.1265,1.1299,2631291.8191153724,2328782.91805945
1643673600000,2022-02-01 00:00:00,EUT/USD,1.123,1.128,1.1229,1.12726371,272510.4479929005,241745.07311417
1643587200000,2022-01-31 00:00:00,EUT/USD,1.1157,1.1248,1.1138,1.12368133,210459.03886043205,187294.23835887
1643500800000,2022-01-30 00:00:00,EUT/USD,1.1148,1.1175,1.03198332,1.1151,5536636.651624299,4965148.10476576
1643414400000,2022-01-29 00:00:00,EUT/USD,1.1165,1.12649521,1.1138,1.1149014,1946066.0663368749,1745505.08801664
1643328000000,2022-01-28 00:00:00,EUT/USD,1.11601347,1.12020455,1.1132,1.11657358,1557675.8862499965,1395049.92250488
1643241600000,2022-01-27 00:00:00,EUT/USD,1.124,1.1243,1.1131,1.11612491,660393.8974042009,591684.57892782
1643155200000,2022-01-26 00:00:00,EUT/USD,1.13078519,1.1314,1.1232,1.1237257,694305.1205168599,617859.9639724
1643068800000,2022-01-25 00:00:00,EUT/USD,1.1327,1.1406,1.1267,1.1309,1017573.8041271075,899791.14344956
1642982400000,2022-01-24 00:00:00,EUT/USD,1.1331,1.1412,1.1185,1.13282497,4180828.9105383456,3690622.13603779
1642896000000,2022-01-23 00:00:00,EUT/USD,1.1349,1.137,1.1323,1.1344,2774501.35092079,2445787.50962693
1642809600000,2022-01-22 00:00:00,EUT/USD,1.1349,1.1388,1.1326,1.1347,6771961.336739197,5968063.22088587
1642723200000,2022-01-21 00:00:00,EUT/USD,1.13298459,1.1404,1.13159001,1.1347,5122344.799110827,4514272.31789092
1642636800000,2022-01-20 00:00:00,EUT/USD,1.1359,1.14837912,1.1005,1.13264527,1815380.378215908,1602779.28694825
1642550400000,2022-01-19 00:00:00,EUT/USD,1.13678462,1.14619485,1.13305431,1.13584028,2775142.9489234993,2443251.04311629
1642464000000,2022-01-18 00:00:00,EUT/USD,1.1418,1.1491,1.13441029,1.1366,2238541.9947599852,1969507.29787083
1642377600000,2022-01-17 00:00:00,EUT/USD,1.1445,1.1469,1.1416,1.142,1252575.2288335362,1096825.94468786
1642291200000,2022-01-16 00:00:00,EUT/USD,1.1444,1.1495,1.1402,1.14459137,1411236.4036357533,1232960.8982075
1642204800000,2022-01-15 00:00:00,EUT/USD,1.146,1.17177219,1.1387,1.14503599,2017963.0422076874,1762357.74231663
1642118400000,2022-01-14 00:00:00,EUT/USD,1.14896562,1.1511,1.14157934,1.14355189,764516.5484238567,668545.56851273
1642032000000,2022-01-13 00:00:00,EUT/USD,1.14517397,1.1503,1.1441,1.1473,777935.1510737365,678057.3093992299
1641945600000,2022-01-12 00:00:00,EUT/USD,1.1371,1.1483,1.1332,1.1456,1803927.6852329962,1574657.54646735
1641859200000,2022-01-11 00:00:00,EUT/USD,1.1347,1.1398,1.1315,1.1376,754632.228499773,663354.63124101
1641772800000,2022-01-10 00:00:00,EUT/USD,1.1368,1.1377,1.13,1.1349,527273.563730954,464599.13977527
1641686400000,2022-01-09 00:00:00,EUT/USD,1.1387,1.14480486,1.1365,1.1375,273549.080750218,240482.70835184
1641600000000,2022-01-08 00:00:00,EUT/USD,1.1362,1.1404,1.136,1.13889678,632361.7254490345,555240.59471749
1641513600000,2022-01-07 00:00:00,EUT/USD,1.1311,1.1418,1.127,1.1379,2057300.1426554006,1807979.73693242
1641427200000,2022-01-06 00:00:00,EUT/USD,1.1333,1.135,1.1299,1.1314,448686.6613779778,396576.50820044003
1641340800000,2022-01-05 00:00:00,EUT/USD,1.1317,1.1372,1.1317,1.1333,1053488.5279149304,929576.04157322
1641254400000,2022-01-04 00:00:00,EUT/USD,1.13451858,1.1368,1.1305,1.1333,320648.2274104219,282933.22810414
1641168000000,2022-01-03 00:00:00,EUT/USD,1.1427,1.1453,1.132,1.13519652,144784.25372999298,127541.13598762
1641081600000,2022-01-02 00:00:00,EUT/USD,1.14,1.1461,1.1396,1.14471223,94774.8159997519,82793.573368
1640995200000,2022-01-01 00:00:00,EUT/USD,1.1382,1.1415,1.1382,1.1408,129619.61560402489,113621.68268235
1640908800000,2021-12-31 00:00:00,EUT/USD,1.1392,1.14229769,1.133,1.13816885,825481.266764789,725271.35737794
1640822400000,2021-12-30 00:00:00,EUT/USD,1.1419,1.1422,1.1335,1.1386,401692.27782448503,352794.90411425
1640736000000,2021-12-29 00:00:00,EUT/USD,1.1354,1.143,1.1261,1.1407,447835.0651141098,392596.70826169
1640649600000,2021-12-28 00:00:00,EUT/USD,1.1344,1.13670684,1.1321,1.1352,326894.0163479868,287961.60707187
