https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1653004800000,2022-05-20 00:00:00,GNO/USD,217.39,219.13,205.1,209.43,7781.0387756751,37.15341057
1652918400000,2022-05-19 00:00:00,GNO/USD,207.54,218.2,203.3,218.04,4069.4971994304,18.66399376
1652832000000,2022-05-18 00:00:00,GNO/USD,231.68,232.73,207.1,207.15,5470.6424984115,26.40908761
1652745600000,2022-05-17 00:00:00,GNO/USD,224.32,235.53,221.26,231.52,3038.7325100384,13.12514042
1652659200000,2022-05-16 00:00:00,GNO/USD,239.97,239.97,219.94,224.18,4484.4368034114,20.00373273
1652572800000,2022-05-15 00:00:00,GNO/USD,228.56,240.22,221.34,240.09,11465.149526590201,47.75354878
1652486400000,2022-05-14 00:00:00,GNO/USD,223.04,230.5,217.3,228.78,20023.043318487,87.52095165
1652400000000,2022-05-13 00:00:00,GNO/USD,220.51,243.28,217.72,223.47,28933.463248922697,129.47359040999999
1652313600000,2022-05-12 00:00:00,GNO/USD,234.82,241.46,201.43,220.97,39616.718587855605,179.28550748
1652227200000,2022-05-11 00:00:00,GNO/USD,253.14,266.58,197.53,234.78,30672.4133204034,130.64321203
1652140800000,2022-05-10 00:00:00,GNO/USD,241.54,267.64,237.76,254.22,36364.0394339394,143.04161527
1652054400000,2022-05-09 00:00:00,GNO/USD,278.02,279.01,241.45,242.92,59667.6751647688,245.62685314
1651968000000,2022-05-08 00:00:00,GNO/USD,290.97,290.97,270.58,277.58,29404.655237780597,105.93218257
1651881600000,2022-05-07 00:00:00,GNO/USD,296.15,297.12,286.48,291.42,26174.8232594424,89.81821172
1651795200000,2022-05-06 00:00:00,GNO/USD,300.98,301.28,288.39,296.57,45614.8442719382,153.80801926
1651708800000,2022-05-05 00:00:00,GNO/USD,319.4,320.37,300.02,301.35,20890.095714358504,69.32170471
1651622400000,2022-05-04 00:00:00,GNO/USD,307.02,320.64,305.32,319.48,29232.8917697264,91.50147668
1651536000000,2022-05-03 00:00:00,GNO/USD,317.3,318.35,306.56,307.17,4407.6470568624,14.34921072
