https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CRV
1649116800000,2022-04-05 00:00:00,CRV/USD,2.9157,2.9618,2.7987,2.8088,50454.03298705259,17962.84284643
1649030400000,2022-04-04 00:00:00,CRV/USD,2.9428,2.9926,2.7504,2.9147,74433.93185522624,25537.424728179998
1648944000000,2022-04-03 00:00:00,CRV/USD,2.9016,3.046,2.8349,2.9495,74106.5445622817,25125.12105858
1648857600000,2022-04-02 00:00:00,CRV/USD,2.793,2.9583,2.7793,2.886,124178.80244877901,43027.9980765
1648771200000,2022-04-01 00:00:00,CRV/USD,2.6369,2.833,2.5522,2.8024,89001.99382387756,31759.20419065
1648684800000,2022-03-31 00:00:00,CRV/USD,2.8043,2.9403,2.5981,2.6326,159990.1272667463,60772.66856596
1648598400000,2022-03-30 00:00:00,CRV/USD,2.8039,2.9082,2.687,2.8113,121833.78800333198,43337.17070513
1648512000000,2022-03-29 00:00:00,CRV/USD,2.5934,2.881,2.5934,2.8129,155022.70585835507,55111.34624706
1648425600000,2022-03-28 00:00:00,CRV/USD,2.6133,2.7236,2.5464,2.58,145935.9432933252,56564.31910594
1648339200000,2022-03-27 00:00:00,CRV/USD,2.414,2.6504,2.3914,2.6136,97137.72453188786,37166.25517749
1648252800000,2022-03-26 00:00:00,CRV/USD,2.2828,2.4153,2.2794,2.4063,22719.642917272857,9441.7333322
1648166400000,2022-03-25 00:00:00,CRV/USD,2.3847,2.4274,2.2607,2.2795,49921.142406029074,21900.04053785
1648080000000,2022-03-24 00:00:00,CRV/USD,2.3798,2.4311,2.3337,2.38,55684.3738958766,23396.79575457
1647993600000,2022-03-23 00:00:00,CRV/USD,2.2637,2.3927,2.236,2.3843,36741.36567195715,15409.70753343
1647907200000,2022-03-22 00:00:00,CRV/USD,2.1975,2.3252,2.1815,2.2684,67431.07187133601,29726.27044231
1647820800000,2022-03-21 00:00:00,CRV/USD,2.1486,2.2376,2.1084,2.1988,83328.63311590812,37897.32268324
1647734400000,2022-03-20 00:00:00,CRV/USD,2.2927,2.2977,2.1237,2.1455,63360.31116025373,29531.72275006
1647648000000,2022-03-19 00:00:00,CRV/USD,2.2476,2.3242,2.2281,2.2878,80024.67271945697,34978.87609033
1647561600000,2022-03-18 00:00:00,CRV/USD,2.1248,2.2569,2.0808,2.2445,54946.805107364205,24480.64384378
1647475200000,2022-03-17 00:00:00,CRV/USD,2.0897,2.1795,2.0392,2.1274,35209.02175537976,16550.25935667
1647388800000,2022-03-16 00:00:00,CRV/USD,1.9597,2.0963,1.913,2.0948,24845.33893807879,11860.48259408
1647302400000,2022-03-15 00:00:00,CRV/USD,1.9535,2.0008,1.8728,1.9555,42560.21813061658,21764.36621356
1647216000000,2022-03-14 00:00:00,CRV/USD,1.9217,1.9958,1.9011,1.9523,29614.185933922883,15168.87052908
1647129600000,2022-03-13 00:00:00,CRV/USD,1.9719,2.0325,1.8978,1.9206,8455.309371766027,4402.43120471
1647043200000,2022-03-12 00:00:00,CRV/USD,1.9656,2.0585,1.9656,1.9773,30886.279839287614,15620.43182081
1646956800000,2022-03-11 00:00:00,CRV/USD,2.0448,2.1015,1.945,1.9694,56873.785976396626,28878.73767462
1646870400000,2022-03-10 00:00:00,CRV/USD,2.1541,2.1671,1.9617,2.0495,38224.03774233321,18650.42095259
