https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CLO
1649289600000,2022-04-07 00:00:00,CLO/USD,0.007007,0.0070399,0.0069504,0.0070232,39160.59104599273,5575890.05666829
1649203200000,2022-04-06 00:00:00,CLO/USD,0.00741,0.00741,0.0069584,0.0070155,40610.02719173742,5788614.80888567
1649116800000,2022-04-05 00:00:00,CLO/USD,0.0076004,0.0076202,0.0073758,0.0073981,51453.81480251293,6955003.96081601
1649030400000,2022-04-04 00:00:00,CLO/USD,0.007681,0.00795,0.0074046,0.0076005,55060.31858138444,7244302.16188204
1648944000000,2022-04-03 00:00:00,CLO/USD,0.0077437,0.0078965,0.0076387,0.0076534,35581.623597364975,4649126.34872932
1648857600000,2022-04-02 00:00:00,CLO/USD,0.007863,0.0079631,0.0076123,0.0077059,46847.64550000266,6079451.52415716
1648771200000,2022-04-01 00:00:00,CLO/USD,0.0076514,0.008,0.0074197,0.0079137,73883.61402201247,9336165.63958862
1648684800000,2022-03-31 00:00:00,CLO/USD,0.0079049,0.00805,0.0074001,0.0076567,70227.65067324127,9172052.01630484
1648598400000,2022-03-30 00:00:00,CLO/USD,0.00759,0.0080238,0.0074011,0.0079555,73409.68238815862,9227538.48132218
1648512000000,2022-03-29 00:00:00,CLO/USD,0.00742,0.00779,0.0074033,0.0075381,40156.39513971757,5327124.22755304
1648425600000,2022-03-28 00:00:00,CLO/USD,0.0075817,0.00779,0.00742,0.0074205,42234.17908571599,5691554.3542505205
1648339200000,2022-03-27 00:00:00,CLO/USD,0.0073377,0.00785,0.0072112,0.0075907,78301.56183555115,10315459.94908917
1648252800000,2022-03-26 00:00:00,CLO/USD,0.0074417,0.00775,0.0072002,0.0073363,45113.676023693406,6149377.20972335
1648166400000,2022-03-25 00:00:00,CLO/USD,0.007149,0.008,0.007,0.0074412,93160.96111774146,12519615.26605137
1648080000000,2022-03-24 00:00:00,CLO/USD,0.0070864,0.0074,0.0070501,0.0071533,59221.411018938044,8278893.79991585
1647993600000,2022-03-23 00:00:00,CLO/USD,0.0072362,0.007548,0.007025,0.0070707,61552.12265693534,8705237.48100405
1647907200000,2022-03-22 00:00:00,CLO/USD,0.0069216,0.0078,0.0069,0.0072225,50826.19224155948,7037202.11028861
1647820800000,2022-03-21 00:00:00,CLO/USD,0.0070147,0.00765,0.0068282,0.006966,34947.4997451561,5016867.60625267
1647734400000,2022-03-20 00:00:00,CLO/USD,0.0070442,0.0078,0.0069,0.0070183,54615.32311428221,7781845.04998108
1647648000000,2022-03-19 00:00:00,CLO/USD,0.0069723,0.0070971,0.0066111,0.0070116,36972.95874569814,5273112.94792888
1647561600000,2022-03-18 00:00:00,CLO/USD,0.0066135,0.0071,0.0063411,0.0070006,38100.81182538519,5442506.61734497
1647475200000,2022-03-17 00:00:00,CLO/USD,0.0064603,0.0069943,0.0062211,0.006671,56692.63638695702,8498371.51655779
1647388800000,2022-03-16 00:00:00,CLO/USD,0.0066119,0.006668,0.00632,0.0064612,29605.874086839296,4582101.48065983
1647302400000,2022-03-15 00:00:00,CLO/USD,0.0064392,0.006668,0.0060211,0.0066141,34789.35998211397,5259878.13642279
1647216000000,2022-03-14 00:00:00,CLO/USD,0.0064392,0.0066669,0.006,0.0064125,49169.49640113565,7667757.72337398
