https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BMI
1644105600000,2022-02-06 00:00:00,BMI/USD,0.12318,0.15,0.122,0.12214,49.4148309112404,404.57533086
1644019200000,2022-02-05 00:00:00,BMI/USD,0.14078,0.1671,0.14,0.14,749.2891261604001,5352.06518686
1643932800000,2022-02-04 00:00:00,BMI/USD,0.1096,0.14078,0.1096,0.14078,1002.6033947752748,7121.77436266
1643846400000,2022-02-03 00:00:00,BMI/USD,0.11986,0.13,0.1096,0.1096,396.526768181536,3617.94496516
1643760000000,2022-02-02 00:00:00,BMI/USD,0.12419,0.14146,0.10656,0.10858,673.0128274282062,6198.31301739
1643673600000,2022-02-01 00:00:00,BMI/USD,0.12001,0.12001,0.12,0.12,53.96723299919999,449.72694165999997
1643587200000,2022-01-31 00:00:00,BMI/USD,0.14116,0.16282,0.098179,0.12,8254.1663791236,68784.71982603
1643414400000,2022-01-29 00:00:00,BMI/USD,0.14868,0.14868,0.14868,0.14868,1.78416,12.0
1643328000000,2022-01-28 00:00:00,BMI/USD,0.14175,0.14636,0.096693,0.12728,3398.3272003719726,26699.61659626
1643241600000,2022-01-27 00:00:00,BMI/USD,0.14246,0.14246,0.13764,0.13815,567.9435952940084,4111.06475059
1643155200000,2022-01-26 00:00:00,BMI/USD,0.13727,0.14819,0.13727,0.1419,713.527347799794,5028.38159126
1643068800000,2022-01-25 00:00:00,BMI/USD,0.13427,0.13658,0.13427,0.13623,570.6944557475701,4189.198089609999
1642982400000,2022-01-24 00:00:00,BMI/USD,0.14394,0.14621,0.11337,0.13419,4860.1344202126575,36218.30553851
1642896000000,2022-01-23 00:00:00,BMI/USD,0.14728,0.14824,0.14258,0.14258,1850.0419564595813,12975.466099450001
1642809600000,2022-01-22 00:00:00,BMI/USD,0.16095,0.16151,0.14822,0.15053,474.03910196499146,3149.13374055
1642723200000,2022-01-21 00:00:00,BMI/USD,0.18581,0.18596,0.16321,0.16426,2587.5980913410126,15753.062774510001
1642636800000,2022-01-20 00:00:00,BMI/USD,0.18138,0.18876,0.1795,0.18623,7861.260122658457,42212.64094216
1642550400000,2022-01-19 00:00:00,BMI/USD,0.19656,0.19656,0.18121,0.18782,8481.9288022753,45159.88074899
1642464000000,2022-01-18 00:00:00,BMI/USD,0.20699,0.20952,0.19259,0.20383,1338.2193641628098,6565.36998559
1642377600000,2022-01-17 00:00:00,BMI/USD,0.21572,0.21572,0.19137,0.19137,3476.863264244942,18168.27749514
1642291200000,2022-01-16 00:00:00,BMI/USD,0.21475,0.21886,0.21475,0.21886,424.722659754544,1940.6134504
1642204800000,2022-01-15 00:00:00,BMI/USD,0.1924,0.21404,0.18684,0.21336,5258.442609161515,24645.86899682
1642118400000,2022-01-14 00:00:00,BMI/USD,0.20283,0.21589,0.19813,0.20914,17600.20631661656,84155.14161144
1642032000000,2022-01-13 00:00:00,BMI/USD,0.22442,0.22702,0.20785,0.21069,7449.903963247204,35359.55177392
1641945600000,2022-01-12 00:00:00,BMI/USD,0.19787,0.22647,0.19787,0.22465,1238.4532169502081,5512.81200512
1641859200000,2022-01-11 00:00:00,BMI/USD,0.19082,0.19785,0.18898,0.19753,13464.301850589096,68163.32633316
1641772800000,2022-01-10 00:00:00,BMI/USD,0.20662,0.3587,0.18684,0.19086,1836.7405249958258,9623.49641096
1641686400000,2022-01-09 00:00:00,BMI/USD,0.2122,0.2123,0.20001,0.20858,6678.7919162549915,32020.289175640002
1641600000000,2022-01-08 00:00:00,BMI/USD,0.22092,0.22104,0.21015,0.211,1453.6921904921298,6889.53644783
1641513600000,2022-01-07 00:00:00,BMI/USD,0.2349,0.2349,0.2193,0.22467,1204.1998741720322,5359.8605696
1641427200000,2022-01-06 00:00:00,BMI/USD,0.24075,0.24075,0.23526,0.23558,525.0774424914108,2228.87105226
1641340800000,2022-01-05 00:00:00,BMI/USD,0.25714,0.25824,0.24,0.24694,2464.487402255193,9980.10610778
1641254400000,2022-01-04 00:00:00,BMI/USD,0.25681,0.25681,0.25681,0.25681,1.28405,5.0
1641168000000,2022-01-03 00:00:00,BMI/USD,0.25937,0.25941,0.25478,0.25704,275.7929616291024,1072.95736706
1641081600000,2022-01-02 00:00:00,BMI/USD,0.25592,0.26478,0.25592,0.25967,5943.848696050394,22890.00922729
1640995200000,2022-01-01 00:00:00,BMI/USD,0.25405,0.2579,0.25405,0.2579,5263.923504112629,20410.71540951
