https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAT
1652745600000,2022-05-17 00:00:00,DAT/USD,0.030587,0.0325,0.0304,0.0324,888.084,27410.0
1652659200000,2022-05-16 00:00:00,DAT/USD,0.032,0.032,0.0297,0.0297,184.84834500000002,6223.85
1652572800000,2022-05-15 00:00:00,DAT/USD,0.0292,0.0338,0.0284,0.032,818.1419718918401,25566.93662162
1652486400000,2022-05-14 00:00:00,DAT/USD,0.0304,0.0313,0.0281,0.0287,579.436690996548,20189.43174204
1652400000000,2022-05-13 00:00:00,DAT/USD,0.025413,0.041558,0.025413,0.0308,1447.98821280652,47012.6043119
1652313600000,2022-05-12 00:00:00,DAT/USD,0.02695,0.028849,0.023,0.0251,6104.2912662290755,243198.85522825
1652227200000,2022-05-11 00:00:00,DAT/USD,0.0415,0.041529,0.02599,0.02601,5154.634022782802,198178.93205624
1652140800000,2022-05-10 00:00:00,DAT/USD,0.041,0.054,0.041,0.0415,5389.42487874354,129865.65972876
1652054400000,2022-05-09 00:00:00,DAT/USD,0.0502,0.0502,0.041,0.041,4621.74186781492,112725.41141012
1651968000000,2022-05-08 00:00:00,DAT/USD,0.051252,0.051252,0.0485,0.049214,1705.4574826565595,34653.90910425
1651881600000,2022-05-07 00:00:00,DAT/USD,0.055976,0.055976,0.05126,0.05126,3048.5446178139036,59472.1930904
1651795200000,2022-05-06 00:00:00,DAT/USD,0.063,0.063,0.055976,0.055976,2180.1641465003313,38948.19469952
1651708800000,2022-05-05 00:00:00,DAT/USD,0.064,0.064,0.064,0.064,1.28,20.0
1651622400000,2022-05-04 00:00:00,DAT/USD,0.065296,0.0671,0.061,0.0671,2242.311637281672,33417.46106232
1651536000000,2022-05-03 00:00:00,DAT/USD,0.061093,0.061093,0.06,0.06,1204.8497999999997,20080.829999999998
1651363200000,2022-05-01 00:00:00,DAT/USD,0.065295,0.065295,0.063,0.0652,42.178248893124,646.90565787
1651276800000,2022-04-30 00:00:00,DAT/USD,0.068243,0.070595,0.06012,0.06012,1071.109188883782,17816.18743985
1651190400000,2022-04-29 00:00:00,DAT/USD,0.0699,0.0699,0.06332,0.06491,3158.3907799999997,48658.0
1651104000000,2022-04-28 00:00:00,DAT/USD,0.0666,0.0666,0.0666,0.0666,26.573666400000004,399.004
1651017600000,2022-04-27 00:00:00,DAT/USD,0.067926,0.0699,0.0652,0.0686,180.66625886210997,2633.61893385
1650931200000,2022-04-26 00:00:00,DAT/USD,0.069745,0.0699,0.0658,0.0658,1207.69060391364,18353.9605458
1650844800000,2022-04-25 00:00:00,DAT/USD,0.0665,0.0685,0.065,0.0685,312.18280634542003,4557.41323132
1650758400000,2022-04-24 00:00:00,DAT/USD,0.070301,0.07284,0.065,0.0696,2562.110707342272,36811.93545032
1650672000000,2022-04-23 00:00:00,DAT/USD,0.073388,0.073388,0.070456,0.070456,804.5686910037039,11419.44889014
1650585600000,2022-04-22 00:00:00,DAT/USD,0.0725,0.0754,0.0703,0.0749,443.029297384219,5914.94389031
1650499200000,2022-04-21 00:00:00,DAT/USD,0.0783,0.0783,0.076357,0.076357,24.43424,320.0
1650412800000,2022-04-20 00:00:00,DAT/USD,0.074,0.0788,0.0714,0.0744,954.0181798221839,12822.82499761
1650326400000,2022-04-19 00:00:00,DAT/USD,0.0712,0.0763,0.0712,0.076,61.90731999999999,814.5699999999999
1650240000000,2022-04-18 00:00:00,DAT/USD,0.0738,0.0752,0.07058,0.0752,697.911443589104,9280.73728177
1650153600000,2022-04-17 00:00:00,DAT/USD,0.0738,0.0738,0.0738,0.0738,503.86441063761,6827.4310384499995
1650067200000,2022-04-16 00:00:00,DAT/USD,0.073926,0.07882,0.073926,0.07882,21.2353063382936,269.41520348
1649980800000,2022-04-15 00:00:00,DAT/USD,0.073762,0.073762,0.0717,0.0725,19.515549999999998,269.18
1649894400000,2022-04-14 00:00:00,DAT/USD,0.0772,0.0772,0.0729,0.0729,51.75900000000001,710.0
1649808000000,2022-04-13 00:00:00,DAT/USD,0.07058,0.0712,0.07058,0.0712,441.789713354704,6204.91170442
1649721600000,2022-04-12 00:00:00,DAT/USD,0.07289,0.07293,0.07289,0.07293,752.56467,10319.0
1649635200000,2022-04-11 00:00:00,DAT/USD,0.079699,0.080064,0.072,0.072,3161.6227093795196,43911.42651916
1649548800000,2022-04-10 00:00:00,DAT/USD,0.08262,0.082621,0.08255,0.08255,66.53529999999999,806.0
1649462400000,2022-04-09 00:00:00,DAT/USD,0.08151,0.08151,0.08151,0.08151,7.0305716396487,86.25409937
1649376000000,2022-04-08 00:00:00,DAT/USD,0.0851,0.089989,0.0801,0.0801,4627.352015686998,57769.68808598
1649289600000,2022-04-07 00:00:00,DAT/USD,0.08005,0.094229,0.078002,0.086,6272.083644005959,72931.20516286
1649203200000,2022-04-06 00:00:00,DAT/USD,0.08967,0.08967,0.076,0.0784,6136.216415004144,78268.06651791
1649116800000,2022-04-05 00:00:00,DAT/USD,0.10096,0.10096,0.08967,0.08967,2581.76956932803,28791.898843850002
1649030400000,2022-04-04 00:00:00,DAT/USD,0.10277,0.131,0.0912,0.0912,36721.78686832963,402651.17180186
1648944000000,2022-04-03 00:00:00,DAT/USD,0.0867,0.12535,0.08282,0.1005,17953.39482200679,178640.74449758
1648857600000,2022-04-02 00:00:00,DAT/USD,0.087001,0.09763,0.084,0.0845,5649.407960588861,66856.89894188
1648771200000,2022-04-01 00:00:00,DAT/USD,0.0831,0.0878,0.080234,0.086975,2817.349124944723,32392.63150267
1648684800000,2022-03-31 00:00:00,DAT/USD,0.0862,0.0866,0.0831,0.0831,741.6287134073999,8924.533254
1648598400000,2022-03-30 00:00:00,DAT/USD,0.082111,0.0866,0.078511,0.0812,1754.2565234213318,21604.14437711
1648512000000,2022-03-29 00:00:00,DAT/USD,0.08278,0.0866,0.082037,0.082114,2547.969802232973,31029.66366555
1648425600000,2022-03-28 00:00:00,DAT/USD,0.081581,0.0866,0.07918,0.082181,11241.423346601236,136788.59282074
1648339200000,2022-03-27 00:00:00,DAT/USD,0.080745,0.082888,0.074402,0.079,1984.5610240518902,25121.02562091
1648252800000,2022-03-26 00:00:00,DAT/USD,0.07551,0.086846,0.074403,0.077094,1346.8903929470068,17470.7550905
1648166400000,2022-03-25 00:00:00,DAT/USD,0.077,0.086999,0.075463,0.0763,1300.0488843878902,17038.6485503
1648080000000,2022-03-24 00:00:00,DAT/USD,0.076698,0.078999,0.074401,0.0765,1486.9375886208152,19437.09266171
1647993600000,2022-03-23 00:00:00,DAT/USD,0.074356,0.0756,0.074006,0.0756,161.601707786148,2137.58872733
1647907200000,2022-03-22 00:00:00,DAT/USD,0.07415,0.07415,0.074,0.074,44.31119999999999,598.8
1647820800000,2022-03-21 00:00:00,DAT/USD,0.073928,0.078999,0.073928,0.078999,416.8286481939479,5276.37879206
1647734400000,2022-03-20 00:00:00,DAT/USD,0.073566,0.078,0.07298,0.075376,2930.3638211452385,38876.61617949
1647648000000,2022-03-19 00:00:00,DAT/USD,0.070915,0.074749,0.07056,0.073928,3471.6103282258714,46959.34325595
1647561600000,2022-03-18 00:00:00,DAT/USD,0.070165,0.071581,0.069685,0.071581,595.2112903854,8315.2134
1647475200000,2022-03-17 00:00:00,DAT/USD,0.070967,0.071188,0.070967,0.071188,727.434578,10218.5
1647388800000,2022-03-16 00:00:00,DAT/USD,0.069896,0.07068,0.06988,0.070291,785.28990977125,11171.98375
1647302400000,2022-03-15 00:00:00,DAT/USD,0.069895,0.070791,0.069895,0.070327,1519.71219180425,21609.2282026
1647216000000,2022-03-14 00:00:00,DAT/USD,0.070231,0.074523,0.069426,0.070486,5572.214321000827,79054.19971343
1647129600000,2022-03-13 00:00:00,DAT/USD,0.070696,0.071231,0.070231,0.071054,386.93011793615005,5445.578263519999
1647043200000,2022-03-12 00:00:00,DAT/USD,0.070224,0.070565,0.070224,0.070235,506.31752874096907,7208.9062254
1646956800000,2022-03-11 00:00:00,DAT/USD,0.070188,0.072711,0.066982,0.069966,969.154479072,13851.792
1646870400000,2022-03-10 00:00:00,DAT/USD,0.071,0.071,0.068855,0.069946,286.83219743538643,4100.76626877
1646784000000,2022-03-09 00:00:00,DAT/USD,0.072482,0.074039,0.072482,0.073757,22289.9180922527,302207.493421
1646697600000,2022-03-08 00:00:00,DAT/USD,0.071573,0.072873,0.071194,0.071194,978.8215193269165,13748.65184323
1646611200000,2022-03-07 00:00:00,DAT/USD,0.071148,0.078973,0.07088,0.07088,563.6191512774992,7951.73746159
1646524800000,2022-03-06 00:00:00,DAT/USD,0.071285,0.071346,0.069914,0.070708,457.7627939492084,6473.98871343
1646438400000,2022-03-05 00:00:00,DAT/USD,0.074219,0.078977,0.065,0.072822,10725.508616118868,147283.90618383
1646352000000,2022-03-04 00:00:00,DAT/USD,0.071868,0.09,0.069525,0.074443,10567.145054308221,141949.47885373
1646265600000,2022-03-03 00:00:00,DAT/USD,0.073804,0.073804,0.070673,0.070673,2570.6666518450074,36374.09833805
1646179200000,2022-03-02 00:00:00,DAT/USD,0.075776,0.075867,0.074537,0.074537,634.8156560749508,8516.78570475
1646092800000,2022-03-01 00:00:00,DAT/USD,0.074745,0.077869,0.071001,0.075417,2284.847861029316,30296.1913233
1646006400000,2022-02-28 00:00:00,DAT/USD,0.06863,0.075103,0.06863,0.074882,1457.0070361429027,19457.37341608
1645920000000,2022-02-27 00:00:00,DAT/USD,0.074562,0.077848,0.069038,0.069038,3520.717617221569,50996.80780471
1645833600000,2022-02-26 00:00:00,DAT/USD,0.077654,0.07922,0.077117,0.077117,843.4042981183999,10936.68449393
1645747200000,2022-02-25 00:00:00,DAT/USD,0.0761,0.077157,0.07422,0.07506,2714.9578098796023,36170.501064209995
1645660800000,2022-02-24 00:00:00,DAT/USD,0.0831,0.0831,0.067169,0.07615,21826.5146296911,286625.27419161
1645574400000,2022-02-23 00:00:00,DAT/USD,0.0843,0.092291,0.082001,0.08328,2016.5010453340392,24213.50918989
1645488000000,2022-02-22 00:00:00,DAT/USD,0.079475,0.097101,0.079475,0.086706,22316.97584924499,257386.75350316
1645401600000,2022-02-21 00:00:00,DAT/USD,0.078601,0.09,0.075417,0.080075,4949.247010448799,61807.64296533
1645315200000,2022-02-20 00:00:00,DAT/USD,0.0804,0.0804,0.075244,0.07637,9142.066115291915,119707.55683242
1645228800000,2022-02-19 00:00:00,DAT/USD,0.08294,0.08294,0.081009,0.081009,307.54606592100913,3796.44318435
1645142400000,2022-02-18 00:00:00,DAT/USD,0.084638,0.084638,0.080938,0.081802,3232.8446254684036,39520.361671700004
1645056000000,2022-02-17 00:00:00,DAT/USD,0.092604,0.092682,0.0851,0.0851,1255.533976877762,14753.630750620001
1644969600000,2022-02-16 00:00:00,DAT/USD,0.08837,0.095851,0.086417,0.093429,4739.866676518229,50732.28522748
1644883200000,2022-02-15 00:00:00,DAT/USD,0.08745,0.089085,0.087449,0.089085,1275.1261840235481,14313.59021186
1644796800000,2022-02-14 00:00:00,DAT/USD,0.084905,0.085608,0.08489,0.085608,1215.5402773999808,14198.90988459
1644710400000,2022-02-13 00:00:00,DAT/USD,0.084875,0.091255,0.083738,0.0885,3999.5468238313197,45192.61947832
1644624000000,2022-02-12 00:00:00,DAT/USD,0.084123,0.086078,0.0811,0.084048,1255.6044783524333,14939.13571236
1644537600000,2022-02-11 00:00:00,DAT/USD,0.097046,0.0983,0.084123,0.084123,2249.264234594636,26737.80339021
1644451200000,2022-02-10 00:00:00,DAT/USD,0.087367,0.096748,0.0871,0.091744,3563.6750392106674,38843.68502802
1644364800000,2022-02-09 00:00:00,DAT/USD,0.0876,0.089631,0.0876,0.088758,1220.1587506121377,13747.02844377
1644278400000,2022-02-08 00:00:00,DAT/USD,0.08989,0.091,0.08415,0.087593,13706.201971968068,156475.99662037
1644192000000,2022-02-07 00:00:00,DAT/USD,0.087336,0.09955,0.08668,0.089941,11190.212882098913,124417.26111672
1644105600000,2022-02-06 00:00:00,DAT/USD,0.082667,0.09726,0.082315,0.087336,17646.827701056747,202056.74293598
1644019200000,2022-02-05 00:00:00,DAT/USD,0.081923,0.083802,0.080062,0.08097,4261.974520545772,52636.46437626
1643932800000,2022-02-04 00:00:00,DAT/USD,0.078319,0.081027,0.076912,0.080958,1437.4341016831986,17755.30647599
1643846400000,2022-02-03 00:00:00,DAT/USD,0.074005,0.076682,0.074004,0.076262,2933.979248392467,38472.3617056
1643760000000,2022-02-02 00:00:00,DAT/USD,0.076907,0.078504,0.07411,0.074151,5517.1097327267735,74403.71313572
1643673600000,2022-02-01 00:00:00,DAT/USD,0.07405,0.080518,0.07405,0.078925,4365.516683987112,55312.2164585
1643587200000,2022-01-31 00:00:00,DAT/USD,0.073121,0.07415,0.07147,0.07409,906.2039656575275,12231.12384475
1643500800000,2022-01-30 00:00:00,DAT/USD,0.076787,0.079689,0.072659,0.0769,1980.539876711061,25754.74482069
1643414400000,2022-01-29 00:00:00,DAT/USD,0.076948,0.079999,0.071464,0.073187,1549.830378629824,21176.30697569
1643328000000,2022-01-28 00:00:00,DAT/USD,0.07151,0.079729,0.07151,0.079729,333.7756075913779,4186.3764451
1643241600000,2022-01-27 00:00:00,DAT/USD,0.069153,0.0802,0.065921,0.073133,5295.053513884251,72403.06720474
1643155200000,2022-01-26 00:00:00,DAT/USD,0.069222,0.077,0.06695,0.071041,2501.7091067057127,35215.00410616
1643068800000,2022-01-25 00:00:00,DAT/USD,0.06968,0.078655,0.064001,0.074999,5555.777250329038,74078.01771129
1642982400000,2022-01-24 00:00:00,DAT/USD,0.077325,0.077389,0.06237,0.06968,4956.812917661613,71136.80995496
1642896000000,2022-01-23 00:00:00,DAT/USD,0.072171,0.078178,0.071665,0.077283,3814.9539717530615,49363.43014315
1642809600000,2022-01-22 00:00:00,DAT/USD,0.078108,0.078544,0.06914,0.071105,11362.151263868576,159793.98444369
1642723200000,2022-01-21 00:00:00,DAT/USD,0.09,0.091147,0.0764,0.078108,7534.115956737526,96457.67343598
1642636800000,2022-01-20 00:00:00,DAT/USD,0.095672,0.097831,0.0931,0.095447,1365.096826312866,14302.1449214
1642550400000,2022-01-19 00:00:00,DAT/USD,0.097318,0.097681,0.095055,0.097681,299.152728736999,3062.5477701600003
