https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GTX
1651795200000,2022-05-06 00:00:00,GTX/USD,6.3351,6.3551,6.2277,6.3551,4731.8358723,744.573
1651708800000,2022-05-05 00:00:00,GTX/USD,6.5329,6.5685,6.2815,6.3351,4399.1798413880515,694.41363852
1651622400000,2022-05-04 00:00:00,GTX/USD,6.305,6.5415,6.3048,6.5157,4148.19303906,636.6458
1651536000000,2022-05-03 00:00:00,GTX/USD,6.2466,6.3252,6.2466,6.3049,3390.09239933,537.6917
1651449600000,2022-05-02 00:00:00,GTX/USD,6.2368,6.3571,6.2362,6.2364,4166.4515304,668.086
1651363200000,2022-05-01 00:00:00,GTX/USD,6.2837,6.2914,5.9353,6.2368,12640.41631328,2026.7471
1651276800000,2022-04-30 00:00:00,GTX/USD,6.4167,6.4728,6.3041,6.3041,3567.9793881600003,565.9776
1651190400000,2022-04-29 00:00:00,GTX/USD,6.2029,6.6057,6.1926,6.4377,33118.2648225,5144.425
1651104000000,2022-04-28 00:00:00,GTX/USD,6.1304,6.2348,6.1304,6.1899,4346.4419327099995,702.1829
1651017600000,2022-04-27 00:00:00,GTX/USD,6.1352,6.2173,6.1109,6.1304,5255.91560512,857.3528
1650931200000,2022-04-26 00:00:00,GTX/USD,6.3279,6.3531,6.1247,6.1352,5743.782215759999,936.2013
1650844800000,2022-04-25 00:00:00,GTX/USD,6.421,6.421,6.1613,6.3119,10011.389800649999,1586.1135
1650758400000,2022-04-24 00:00:00,GTX/USD,6.4304,6.522,6.2934,6.431,16307.47483522349,2535.76035379
1650672000000,2022-04-23 00:00:00,GTX/USD,6.4924,6.5167,6.4227,6.4303,1846.2613057,287.119
1650585600000,2022-04-22 00:00:00,GTX/USD,6.4553,6.4976,6.4015,6.4757,3567.25396489,550.8677
1650499200000,2022-04-21 00:00:00,GTX/USD,6.5278,6.5864,6.4519,6.4554,14149.52541492,2191.8898
1650412800000,2022-04-20 00:00:00,GTX/USD,6.5271,6.6415,6.4838,6.5276,11590.180052279999,1775.5653
1650326400000,2022-04-19 00:00:00,GTX/USD,6.5724,6.5921,6.3882,6.527,8863.1686426,1357.9238
1650240000000,2022-04-18 00:00:00,GTX/USD,6.4216,6.6071,6.2998,6.5726,5503.33459722,837.3147
1650153600000,2022-04-17 00:00:00,GTX/USD,6.5156,6.5969,6.4211,6.4215,3338.1982765207354,519.84711929
1650067200000,2022-04-16 00:00:00,GTX/USD,6.5725,6.5925,6.4431,6.5156,8515.674185200001,1306.967
1649980800000,2022-04-15 00:00:00,GTX/USD,6.5839,6.6588,6.5524,6.5726,8806.65368766,1339.9041
1649894400000,2022-04-14 00:00:00,GTX/USD,6.5609,6.8028,6.5609,6.5839,12005.24522394,1823.4246
1649808000000,2022-04-13 00:00:00,GTX/USD,6.3905,6.6013,6.3899,6.5609,4342.62927529708,661.8953612
1649721600000,2022-04-12 00:00:00,GTX/USD,6.313,6.5312,6.3099,6.3905,5111.178560665296,799.80886639
1649635200000,2022-04-11 00:00:00,GTX/USD,6.6922,6.7695,6.2773,6.313,9646.93704269234,1528.10661218
