https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DVF
1652400000000,2022-05-13 00:00:00,DVF/USD,2.5169,2.6811,2.5159,2.5159,45986.32112495979,18278.2785981
1652313600000,2022-05-12 00:00:00,DVF/USD,2.8484,2.9518,2.436,2.5231,391673.83419563243,155235.16079253
1652227200000,2022-05-11 00:00:00,DVF/USD,3.1738,3.2254,2.8545,2.8545,150496.58885201818,52722.5744796
1652140800000,2022-05-10 00:00:00,DVF/USD,3.1151,3.2325,3.0965,3.1766,39636.27245734008,12477.57742786
1652054400000,2022-05-09 00:00:00,DVF/USD,3.4616,3.4903,3.1102,3.1201,227989.5957775083,73071.2463631
1651968000000,2022-05-08 00:00:00,DVF/USD,3.576,3.5801,3.4828,3.4909,44026.6042641247,12611.82052311
1651881600000,2022-05-07 00:00:00,DVF/USD,3.6527,3.6569,3.5863,3.601,34335.64412203926,9535.03030326
1651795200000,2022-05-06 00:00:00,DVF/USD,3.7121,3.7121,3.6291,3.6563,24247.377621360556,6631.6707111999995
1651708800000,2022-05-05 00:00:00,DVF/USD,3.8576,3.8959,3.701,3.7207,50662.23003220873,13616.31683076
1651622400000,2022-05-04 00:00:00,DVF/USD,4.0301,4.0301,3.8318,3.8537,74743.052520943,19395.14039
1651536000000,2022-05-03 00:00:00,DVF/USD,4.0959,4.0959,3.9999,4.0256,58068.48113634598,14424.80155414
1651449600000,2022-05-02 00:00:00,DVF/USD,4.1667,4.1718,4.0914,4.1222,42423.021808454,10291.35457
1651363200000,2022-05-01 00:00:00,DVF/USD,4.1061,4.1696,4.1048,4.1641,25486.092848327,6120.43247
1651276800000,2022-04-30 00:00:00,DVF/USD,4.1967,4.2066,4.1048,4.1048,47205.156653312,11499.98944
1651190400000,2022-04-29 00:00:00,DVF/USD,4.2394,4.2435,4.1752,4.1928,58207.37575516193,13882.69790001
1651104000000,2022-04-28 00:00:00,DVF/USD,4.2959,4.3147,4.2431,4.3147,55190.306230813,12791.22679
1651017600000,2022-04-27 00:00:00,DVF/USD,4.4086,4.4545,4.2638,4.2959,62554.44423383078,14561.4293242
1650931200000,2022-04-26 00:00:00,DVF/USD,4.6982,4.7071,4.3912,4.4046,134594.5576139712,30557.725472000002
1650844800000,2022-04-25 00:00:00,DVF/USD,4.5811,4.6937,4.5503,4.6937,20433.3841749796,4353.363908
1650758400000,2022-04-24 00:00:00,DVF/USD,4.7455,4.7715,4.6621,4.6621,34272.657598112,7351.33472
1650672000000,2022-04-23 00:00:00,DVF/USD,4.7561,4.7714,4.7518,4.7564,3231.2508272,679.348
1650585600000,2022-04-22 00:00:00,DVF/USD,4.7673,4.8169,4.7673,4.7899,10249.627902527001,2139.84173
1650499200000,2022-04-21 00:00:00,DVF/USD,4.864,4.9061,4.7629,4.7629,8988.754733374,1887.24406
1650412800000,2022-04-20 00:00:00,DVF/USD,4.9499,4.978,4.8409,4.8603,9619.036255019999,1979.1034
1650326400000,2022-04-19 00:00:00,DVF/USD,4.9423,4.9755,4.9343,4.9755,6725.920704,1351.808
1650240000000,2022-04-18 00:00:00,DVF/USD,4.8999,4.9386,4.8144,4.9386,14063.092269252,2847.58682
1650153600000,2022-04-17 00:00:00,DVF/USD,4.9474,4.9582,4.9341,4.9582,3560.0768476,718.018
1650067200000,2022-04-16 00:00:00,DVF/USD,4.9256,4.9574,4.9228,4.9574,2274.4204182,458.793
1649980800000,2022-04-15 00:00:00,DVF/USD,4.9185,4.9277,4.9114,4.9114,1395.1466744020001,284.06293
1649894400000,2022-04-14 00:00:00,DVF/USD,4.9882,4.9953,4.9048,4.9139,9206.1965639,1873.501
1649808000000,2022-04-13 00:00:00,DVF/USD,4.9174,4.9834,4.9174,4.9834,7610.9275504,1527.256
1649721600000,2022-04-12 00:00:00,DVF/USD,4.8593,4.9549,4.8593,4.9083,16539.6801171,3369.737
1649635200000,2022-04-11 00:00:00,DVF/USD,4.999,4.999,4.8478,4.8725,22591.699019,4636.5724
1649548800000,2022-04-10 00:00:00,DVF/USD,5.0703,5.0787,5.0639,5.0639,1619.8453958999999,319.881
1649462400000,2022-04-09 00:00:00,DVF/USD,5.0077,5.0464,5.0077,5.0464,3827.5934720000005,758.48
1649376000000,2022-04-08 00:00:00,DVF/USD,5.0492,5.083,5.0008,5.0008,52945.27782426959,10587.361587
1649289600000,2022-04-07 00:00:00,DVF/USD,4.9197,5.0581,4.9197,5.0521,63990.062288040004,12666.0324
1649203200000,2022-04-06 00:00:00,DVF/USD,5.0278,5.0505,4.9293,4.9293,43603.482798819,8845.77583
1649116800000,2022-04-05 00:00:00,DVF/USD,5.0995,5.0995,5.0312,5.0312,34780.817618688,6913.02624
1649030400000,2022-04-04 00:00:00,DVF/USD,5.03,5.0995,5.0088,5.0995,36693.510741265,7195.51147
1648944000000,2022-04-03 00:00:00,DVF/USD,4.95,5.0596,4.95,5.0526,15538.0026477186,3075.248911
1648857600000,2022-04-02 00:00:00,DVF/USD,4.9659,4.9955,4.9659,4.9955,6569.831825,1315.15
1648771200000,2022-04-01 00:00:00,DVF/USD,4.8285,4.9955,4.8092,4.9955,36029.859366095,7212.46309
1648684800000,2022-03-31 00:00:00,DVF/USD,4.8605,4.8789,4.789,4.8223,18141.170518583003,3761.93321
1648598400000,2022-03-30 00:00:00,DVF/USD,4.9877,4.9899,4.8317,4.8632,68499.477866464,14085.26852
1648512000000,2022-03-29 00:00:00,DVF/USD,4.9356,5.04,4.9356,4.9878,14832.179835345001,2973.6917750000002
1648425600000,2022-03-28 00:00:00,DVF/USD,4.9108,4.9822,4.9108,4.9822,11681.675103815798,2344.682089
1648339200000,2022-03-27 00:00:00,DVF/USD,4.8616,4.9177,4.8283,4.911,7133.668394846999,1452.589777
1648252800000,2022-03-26 00:00:00,DVF/USD,4.8516,4.8606,4.8516,4.8606,886.4399144573999,182.372529
1648166400000,2022-03-25 00:00:00,DVF/USD,4.8474,4.9012,4.8452,4.8512,8341.774233600001,1719.528
1648080000000,2022-03-24 00:00:00,DVF/USD,4.8604,4.888,4.792,4.8239,39901.061400903,8271.53577
1647993600000,2022-03-23 00:00:00,DVF/USD,4.8656,4.8722,4.7582,4.8559,41873.647007409,8623.25151
