https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume JST
1654300800000,2022-06-04 00:00:00,JST/USD,0.04237,0.04238,0.040759,0.042046,29629.49199030517,704692.28916675
1654214400000,2022-06-03 00:00:00,JST/USD,0.044485,0.045536,0.041788,0.04234,18577.003748153486,438757.76448166
1654128000000,2022-06-02 00:00:00,JST/USD,0.04234,0.045578,0.041736,0.04438,40490.26608232398,912353.9000073
1654041600000,2022-06-01 00:00:00,JST/USD,0.044637,0.047749,0.041749,0.042279,43672.00564921415,1032947.93276128
1653955200000,2022-05-31 00:00:00,JST/USD,0.04384,0.044705,0.042001,0.044705,22484.997340304526,502963.81479263003
1653868800000,2022-05-30 00:00:00,JST/USD,0.041034,0.04394,0.040867,0.043835,11488.843064321727,262092.9180865
1653782400000,2022-05-29 00:00:00,JST/USD,0.04061,0.041106,0.03971,0.041077,20046.364266240365,488019.18996617
1653696000000,2022-05-28 00:00:00,JST/USD,0.03981,0.041184,0.039601,0.040647,5586.267034401387,137433.68598916
1653609600000,2022-05-27 00:00:00,JST/USD,0.041472,0.04179,0.039237,0.0398,7835.20421984315,196864.42763425
1653523200000,2022-05-26 00:00:00,JST/USD,0.04422,0.04452,0.040384,0.041385,19820.71715770375,478934.81110798003
1653436800000,2022-05-25 00:00:00,JST/USD,0.043463,0.044856,0.0422,0.04415,36702.806061785035,831320.63560102
1653350400000,2022-05-24 00:00:00,JST/USD,0.040977,0.045813,0.04078,0.04334,12939.056747140254,298547.68682834
1653264000000,2022-05-23 00:00:00,JST/USD,0.042549,0.045713,0.040611,0.041163,8381.13096246157,203608.36096644
1653177600000,2022-05-22 00:00:00,JST/USD,0.040043,0.04293,0.03975,0.042772,13018.818597158905,304377.12983164
1653091200000,2022-05-21 00:00:00,JST/USD,0.039126,0.040923,0.038526,0.04009,3843.791651089015,95879.06338461
1653004800000,2022-05-20 00:00:00,JST/USD,0.040516,0.04079,0.03841,0.03906,21277.00185174015,544726.10987558
1652918400000,2022-05-19 00:00:00,JST/USD,0.03919,0.04066,0.03777,0.04064,7058.333117715082,173679.45663669
1652832000000,2022-05-18 00:00:00,JST/USD,0.042835,0.04327,0.0388,0.03917,11394.120748197953,290888.96472295
1652745600000,2022-05-17 00:00:00,JST/USD,0.041398,0.04315,0.04082,0.042869,18834.390247809228,439347.55295923
1652659200000,2022-05-16 00:00:00,JST/USD,0.043699,0.046613,0.04018,0.041342,28726.703951138956,694855.20659714
1652572800000,2022-05-15 00:00:00,JST/USD,0.041934,0.04378,0.040141,0.04378,47831.39166539284,1092539.78221546
1652486400000,2022-05-14 00:00:00,JST/USD,0.040902,0.043879,0.038848,0.041933,41341.841389532405,985902.30581004
1652400000000,2022-05-13 00:00:00,JST/USD,0.036852,0.043945,0.036129,0.040856,21481.6858528963,525790.23528726
1652313600000,2022-05-12 00:00:00,JST/USD,0.043396,0.044828,0.035443,0.036877,60129.50871963804,1630542.30874632
1652227200000,2022-05-11 00:00:00,JST/USD,0.054174,0.055056,0.040832,0.042856,192259.95367219092,4486185.21729025
1652140800000,2022-05-10 00:00:00,JST/USD,0.052632,0.05847,0.050696,0.054184,136557.2054738508,2520249.62117693
1652054400000,2022-05-09 00:00:00,JST/USD,0.063877,0.063997,0.052593,0.052654,88290.4580354656,1676804.38400626
1651968000000,2022-05-08 00:00:00,JST/USD,0.062137,0.065218,0.061022,0.063503,77546.89952968492,1221153.32393249
1651881600000,2022-05-07 00:00:00,JST/USD,0.063447,0.068805,0.060496,0.062059,95039.7266624954,1531441.47766634
1651795200000,2022-05-06 00:00:00,JST/USD,0.059817,0.063919,0.05794,0.06352,73188.84641417715,1152217.35538692
1651708800000,2022-05-05 00:00:00,JST/USD,0.068244,0.069909,0.057881,0.059819,57668.091214792694,964043.05011439
1651622400000,2022-05-04 00:00:00,JST/USD,0.062032,0.068459,0.060189,0.068253,51793.80999218674,758850.30683174
1651536000000,2022-05-03 00:00:00,JST/USD,0.06218,0.063804,0.059575,0.062108,31128.800828258198,501204.36704222
1651449600000,2022-05-02 00:00:00,JST/USD,0.061699,0.063069,0.059238,0.06218,40469.204660798125,650839.57318749
1651363200000,2022-05-01 00:00:00,JST/USD,0.057113,0.062881,0.054301,0.061788,65586.13575224605,1061470.44332631
1651276800000,2022-04-30 00:00:00,JST/USD,0.063216,0.063817,0.056613,0.057185,52365.35215516656,915718.32045408
1651190400000,2022-04-29 00:00:00,JST/USD,0.063586,0.068586,0.062635,0.063372,92505.250110516,1459718.0160089
