https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FCL
1649462400000,2022-04-09 00:00:00,FCL/USD,0.11355,0.11356,0.10915,0.11124,8209.013580613408,73795.51942299
1649376000000,2022-04-08 00:00:00,FCL/USD,0.11966,0.12081,0.11082,0.11257,17687.24754605006,157122.21325442
1649289600000,2022-04-07 00:00:00,FCL/USD,0.11772,0.12323,0.11486,0.1196,24095.862493984994,201470.42219051
1649203200000,2022-04-06 00:00:00,FCL/USD,0.12935,0.13397,0.11649,0.11778,17672.408953013302,150045.92420626
1649116800000,2022-04-05 00:00:00,FCL/USD,0.12979,0.14105,0.12963,0.1337,7581.09399577171,56702.27371557
1649030400000,2022-04-04 00:00:00,FCL/USD,0.13685,0.13811,0.12895,0.13362,5031.825807489525,37657.72943788
1648944000000,2022-04-03 00:00:00,FCL/USD,0.14142,0.14439,0.1333,0.13838,9285.582707044394,67102.05742914
1648857600000,2022-04-02 00:00:00,FCL/USD,0.12929,0.14507,0.12424,0.14134,58498.000202176496,413881.42211813
1648771200000,2022-04-01 00:00:00,FCL/USD,0.11829,0.12864,0.11536,0.12728,27026.420437897672,212338.3126799
1648684800000,2022-03-31 00:00:00,FCL/USD,0.13307,0.13588,0.11538,0.11909,13605.864091355954,114248.58587082
1648598400000,2022-03-30 00:00:00,FCL/USD,0.14052,0.1418,0.13031,0.13313,48169.72980135709,361824.75626348
1648512000000,2022-03-29 00:00:00,FCL/USD,0.12251,0.14263,0.12251,0.13819,46470.06244308055,336276.59340821
1648425600000,2022-03-28 00:00:00,FCL/USD,0.071415,0.14567,0.070162,0.1285,32521.239917458417,253083.57912419
1648339200000,2022-03-27 00:00:00,FCL/USD,0.070313,0.071941,0.066571,0.070781,4439.467651849406,62721.17731947
1648252800000,2022-03-26 00:00:00,FCL/USD,0.071379,0.073342,0.068573,0.069849,2015.3162199668786,28852.47061471
1648166400000,2022-03-25 00:00:00,FCL/USD,0.08276,0.085212,0.06888,0.071362,35094.92321400981,491787.27073246
1648080000000,2022-03-24 00:00:00,FCL/USD,0.061708,0.103,0.059651,0.084166,53502.344375927634,635676.45338887
1647993600000,2022-03-23 00:00:00,FCL/USD,0.05969,0.063472,0.058151,0.06132,18331.834890544567,298953.60225937
1647907200000,2022-03-22 00:00:00,FCL/USD,0.05582,0.060269,0.055743,0.05967,4252.517371136256,71267.25944589
1647820800000,2022-03-21 00:00:00,FCL/USD,0.055359,0.056879,0.053883,0.05586,14216.882489427904,254509.17453326
1647734400000,2022-03-20 00:00:00,FCL/USD,0.057909,0.058498,0.054001,0.055339,11589.167179884538,209421.33359628
1647648000000,2022-03-19 00:00:00,FCL/USD,0.0604,0.061169,0.05698,0.057351,2898.5662224775124,50540.81397844
1647561600000,2022-03-18 00:00:00,FCL/USD,0.05865,0.060379,0.05341,0.05894,16811.8992969577,285237.51776311
