https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FTT
1644364800000,2022-02-09 00:00:00,FTT/USD,45.92,48.227,45.92,47.911,27854.117366026607,581.37207251
1644278400000,2022-02-08 00:00:00,FTT/USD,47.658,48.551,45.436,45.84,27481.639858588802,599.51221332
1644192000000,2022-02-07 00:00:00,FTT/USD,46.736,48.478,46.507,47.276,30089.703929614763,636.46890451
1644105600000,2022-02-06 00:00:00,FTT/USD,46.112,46.442,45.158,45.627,11374.132220429701,249.2851211
1644019200000,2022-02-05 00:00:00,FTT/USD,45.919,46.935,45.105,46.495,55851.08355137865,1201.22773527
1643932800000,2022-02-04 00:00:00,FTT/USD,43.302,45.41,42.739,45.41,44189.5179407189,973.12305529
1643846400000,2022-02-03 00:00:00,FTT/USD,42.784,42.87,40.928,42.717,47440.435386933445,1110.57507285
1643760000000,2022-02-02 00:00:00,FTT/USD,45.352,46.18,42.438,42.838,49988.49914356958,1166.91953741
1643673600000,2022-02-01 00:00:00,FTT/USD,43.646,50.77,42.8,45.163,814377.5846745031,18031.96387916
1643587200000,2022-01-31 00:00:00,FTT/USD,40.545,43.72,39.708,43.5,102210.818012115,2349.67397729
1643500800000,2022-01-30 00:00:00,FTT/USD,41.611,41.741,40.853,40.908,14652.145283206199,358.17310265
1643414400000,2022-01-29 00:00:00,FTT/USD,40.182,41.933,40.182,41.55,32718.368129480994,787.4456830199999
1643328000000,2022-01-28 00:00:00,FTT/USD,38.553,40.124,37.791,39.9,95190.75941852399,2385.7333187599997
1643241600000,2022-01-27 00:00:00,FTT/USD,36.224,39.944,35.219,37.899,331872.6185730412,8756.76452078
1643155200000,2022-01-26 00:00:00,FTT/USD,36.02,38.692,35.48,36.116,233874.40015650017,6475.64514776
1643068800000,2022-01-25 00:00:00,FTT/USD,35.105,37.143,34.574,36.569,366773.1990180954,10029.62069015
1642982400000,2022-01-24 00:00:00,FTT/USD,34.611,36.264,31.462,35.636,313009.7458927292,8783.52637481
1642896000000,2022-01-23 00:00:00,FTT/USD,33.488,36.398,33.488,35.841,270402.41514693265,7544.49973904
1642809600000,2022-01-22 00:00:00,FTT/USD,38.382,38.922,31.709,33.411,420601.75771221955,12588.72101141
1642723200000,2022-01-21 00:00:00,FTT/USD,45.297,45.622,37.647,38.526,147231.19224553052,3821.60598675
1642636800000,2022-01-20 00:00:00,FTT/USD,47.358,49.595,45.227,45.227,43212.0215814469,955.4474447
1642550400000,2022-01-19 00:00:00,FTT/USD,45.112,46.915,43.357,46.07,37091.2215671104,805.10574272
1642464000000,2022-01-18 00:00:00,FTT/USD,44.482,45.111,42.972,45.0,67129.26009075,1491.76133535
1642377600000,2022-01-17 00:00:00,FTT/USD,46.593,46.593,43.905,44.14,96608.2079536494,2188.67711721
1642291200000,2022-01-16 00:00:00,FTT/USD,45.891,46.569,45.224,46.287,59377.733674967516,1282.8166369599999
1642204800000,2022-01-15 00:00:00,FTT/USD,44.792,47.374,44.571,46.164,293925.6351657878,6366.98802456
1642118400000,2022-01-14 00:00:00,FTT/USD,41.062,44.569,41.062,44.569,210533.18986734533,4723.75843899
1642032000000,2022-01-13 00:00:00,FTT/USD,41.4,42.189,40.692,40.867,186797.46886644483,4570.86326049
1641945600000,2022-01-12 00:00:00,FTT/USD,39.85,41.5,39.601,41.5,86517.81637630501,2084.76665967
1641859200000,2022-01-11 00:00:00,FTT/USD,38.064,39.709,37.742,39.709,251513.59514971744,6333.91914049
1641772800000,2022-01-10 00:00:00,FTT/USD,37.375,38.25,35.351,38.147,85051.20842827029,2229.56480007
1641686400000,2022-01-09 00:00:00,FTT/USD,35.512,37.648,35.486,37.176,151674.21765301345,4079.89610644
1641600000000,2022-01-08 00:00:00,FTT/USD,35.867,36.311,34.036,35.262,91855.68542035038,2604.94825649
1641513600000,2022-01-07 00:00:00,FTT/USD,38.246,38.246,34.796,35.572,129325.98315840765,3635.61180587
1641427200000,2022-01-06 00:00:00,FTT/USD,38.155,39.227,36.715,38.891,269210.6440171329,6922.1836419
1641340800000,2022-01-05 00:00:00,FTT/USD,41.236,42.596,37.223,38.304,156722.3046455069,4091.53886397
1641254400000,2022-01-04 00:00:00,FTT/USD,40.089,43.763,39.562,42.018,94229.19703277621,2242.59119979
1641168000000,2022-01-03 00:00:00,FTT/USD,39.935,40.838,39.648,40.25,22287.735626135,553.73256214
1641081600000,2022-01-02 00:00:00,FTT/USD,40.039,40.405,39.721,39.91,5821.022788942399,145.85374063999998
1640995200000,2022-01-01 00:00:00,FTT/USD,38.501,40.031,38.501,40.031,1409.11410693913,35.20057223
1640908800000,2021-12-31 00:00:00,FTT/USD,39.052,39.851,38.1,38.165,72570.23624967465,1901.48660421
1640822400000,2021-12-30 00:00:00,FTT/USD,38.439,40.431,38.407,38.89,1156098.639761925,29727.40138241
1640736000000,2021-12-29 00:00:00,FTT/USD,40.174,40.365,38.353,38.353,17210.63510709795,448.74286515
1640649600000,2021-12-28 00:00:00,FTT/USD,42.074,42.074,39.651,40.211,31675.3524868051,787.7285441
1640563200000,2021-12-27 00:00:00,FTT/USD,43.105,43.507,42.894,42.894,5023.88806039992,117.12332868
1640476800000,2021-12-26 00:00:00,FTT/USD,42.539,42.539,42.369,42.369,373.36606687422005,8.812246380000001
1640390400000,2021-12-25 00:00:00,FTT/USD,42.973,43.237,42.695,43.237,48730.47923360145,1127.05505085
1640304000000,2021-12-24 00:00:00,FTT/USD,42.929,43.518,42.6,42.6,10595.0366493,248.7097805
1640217600000,2021-12-23 00:00:00,FTT/USD,41.122,43.091,41.122,43.091,3888.30990066632,90.23484952
1640131200000,2021-12-22 00:00:00,FTT/USD,42.181,42.521,41.086,41.697,19783.33647673068,474.45467244
1640044800000,2021-12-21 00:00:00,FTT/USD,40.734,42.544,40.647,41.915,28412.8684768538,677.86874572
1639958400000,2021-12-20 00:00:00,FTT/USD,39.776,40.186,38.861,40.186,7188.41298151538,178.87853933
1639872000000,2021-12-19 00:00:00,FTT/USD,39.983,40.579,39.693,39.693,12301.77501595017,309.92303469
1639785600000,2021-12-18 00:00:00,FTT/USD,37.43,40.216,37.392,39.976,11319.90937516096,283.16763496
1639699200000,2021-12-17 00:00:00,FTT/USD,38.511,38.59,36.396,37.605,9121.024083646049,242.54817401
1639612800000,2021-12-16 00:00:00,FTT/USD,39.313,39.313,38.405,38.405,1672.9197480208502,43.55994657
1639526400000,2021-12-15 00:00:00,FTT/USD,38.796,39.266,37.646,39.266,11260.18162268754,286.76670969
1639440000000,2021-12-14 00:00:00,FTT/USD,37.541,39.117,37.437,38.637,11303.100108777779,292.54600794
1639353600000,2021-12-13 00:00:00,FTT/USD,41.429,41.983,37.233,37.795,17869.2374372041,472.79368798
1639267200000,2021-12-12 00:00:00,FTT/USD,40.598,41.095,40.468,41.095,7042.176397301299,171.36333854
1639180800000,2021-12-11 00:00:00,FTT/USD,38.462,40.008,38.303,39.76,5358.046886667999,134.75973055
1639094400000,2021-12-10 00:00:00,FTT/USD,40.123,40.891,38.624,38.723,16402.54574920635,423.58664745
1639008000000,2021-12-09 00:00:00,FTT/USD,44.226,44.226,39.948,40.426,47180.8377327922,1167.0914197
1638921600000,2021-12-08 00:00:00,FTT/USD,42.469,43.91,40.803,43.837,511609.2228570546,11670.71703942
