https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KSM
1650240000000,2022-04-18 00:00:00,KSM/USD,168.89,168.89,155.54,167.42,34998.28447928339,209.04482427
1650153600000,2022-04-17 00:00:00,KSM/USD,174.61,178.98,169.21,169.21,23640.4355550873,139.71062913
1650067200000,2022-04-16 00:00:00,KSM/USD,166.31,176.08,166.31,174.46,35226.467241622806,201.91715718
1649980800000,2022-04-15 00:00:00,KSM/USD,160.9,167.64,158.51,166.38,26713.592438682,160.5577139
1649894400000,2022-04-14 00:00:00,KSM/USD,161.03,167.06,156.39,161.07,31581.932264582698,196.07581961
1649808000000,2022-04-13 00:00:00,KSM/USD,153.77,161.88,151.2,159.93,47341.5337319607,296.01409199
1649721600000,2022-04-12 00:00:00,KSM/USD,153.12,159.27,148.69,153.82,23418.8541824844,152.24843442
1649635200000,2022-04-11 00:00:00,KSM/USD,169.95,169.95,150.26,152.28,78143.2630654392,513.15512914
1649548800000,2022-04-10 00:00:00,KSM/USD,178.24,179.72,169.51,169.64,25641.928985266397,151.15496926
1649462400000,2022-04-09 00:00:00,KSM/USD,172.02,178.72,170.81,178.49,25269.5463532317,141.57401733
1649376000000,2022-04-08 00:00:00,KSM/USD,181.38,193.19,171.13,172.07,37901.0908500687,220.26553641
1649289600000,2022-04-07 00:00:00,KSM/USD,174.23,183.46,171.1,181.57,71315.4532152739,392.77112527
1649203200000,2022-04-06 00:00:00,KSM/USD,179.59,181.25,167.2,174.55,73015.48188754352,418.30697157000003
1649116800000,2022-04-05 00:00:00,KSM/USD,189.08,194.69,179.38,179.7,65661.760121256,365.39655048
1649030400000,2022-04-04 00:00:00,KSM/USD,201.76,201.76,183.29,189.07,89661.454596161,474.2235923
1648944000000,2022-04-03 00:00:00,KSM/USD,201.63,204.54,195.83,201.59,31126.5503177159,154.40523001
1648857600000,2022-04-02 00:00:00,KSM/USD,189.7,206.65,189.41,201.37,70508.315322068,350.1430964
1648771200000,2022-04-01 00:00:00,KSM/USD,188.63,195.48,178.27,189.43,50018.879270302205,264.04940754
1648684800000,2022-03-31 00:00:00,KSM/USD,188.35,200.57,182.2,188.43,102989.48456436749,546.56628225
1648598400000,2022-03-30 00:00:00,KSM/USD,183.78,193.24,175.95,188.17,85317.03179961149,453.40400595
1648512000000,2022-03-29 00:00:00,KSM/USD,168.48,186.66,168.34,183.96,52138.60208217361,283.42358166
1648425600000,2022-03-28 00:00:00,KSM/USD,173.78,181.75,164.17,168.22,107792.29725101759,640.78169808
1648339200000,2022-03-27 00:00:00,KSM/USD,164.63,174.75,163.57,174.08,29148.5255974912,167.44327664
1648252800000,2022-03-26 00:00:00,KSM/USD,166.61,170.39,163.86,164.28,34089.44828703,207.50820725
1648166400000,2022-03-25 00:00:00,KSM/USD,162.87,167.5,158.34,166.47,66220.2950660859,397.79116397
1648080000000,2022-03-24 00:00:00,KSM/USD,161.78,165.24,156.68,163.0,49555.381045430004,304.02074261
1647993600000,2022-03-23 00:00:00,KSM/USD,158.19,169.82,156.78,161.83,33298.2488652191,205.76066777
1647907200000,2022-03-22 00:00:00,KSM/USD,155.37,160.45,153.83,158.33,26903.517763478103,169.92053157
1647820800000,2022-03-21 00:00:00,KSM/USD,151.89,160.35,144.99,155.23,79829.8395426759,514.26811533
1647734400000,2022-03-20 00:00:00,KSM/USD,146.63,152.91,142.08,152.33,43505.9530592548,285.60331556
1647648000000,2022-03-19 00:00:00,KSM/USD,147.98,152.95,144.44,146.75,18412.5123848175,125.46856821
1647561600000,2022-03-18 00:00:00,KSM/USD,132.93,149.12,131.31,148.56,58567.8108728544,394.23674524
1647475200000,2022-03-17 00:00:00,KSM/USD,130.66,136.23,128.49,133.1,47525.298842977994,357.06460438
1647388800000,2022-03-16 00:00:00,KSM/USD,125.46,130.88,121.85,130.64,48055.746520334396,367.84864146
1647302400000,2022-03-15 00:00:00,KSM/USD,120.36,125.6,115.89,125.6,46802.69660962399,372.63293479
1647216000000,2022-03-14 00:00:00,KSM/USD,117.27,120.97,116.41,120.5,27853.031401605,231.14548881
1647129600000,2022-03-13 00:00:00,KSM/USD,123.7,125.3,117.06,117.55,3052.77154867,25.9699834
1647043200000,2022-03-12 00:00:00,KSM/USD,123.88,127.51,123.51,123.72,2444.7475351944,19.76032602
1646956800000,2022-03-11 00:00:00,KSM/USD,126.52,131.91,121.34,123.75,18368.567505337498,148.43286873
1646870400000,2022-03-10 00:00:00,KSM/USD,135.38,139.88,123.0,126.69,40013.825133294595,315.84043834
1646784000000,2022-03-09 00:00:00,KSM/USD,122.35,136.91,122.35,135.28,24607.6508870984,181.90161803
1646697600000,2022-03-08 00:00:00,KSM/USD,120.61,127.64,119.44,122.38,21062.290572896,172.1056592
1646611200000,2022-03-07 00:00:00,KSM/USD,119.59,127.37,115.17,120.59,16769.2504985452,139.06004228
1646524800000,2022-03-06 00:00:00,KSM/USD,122.54,124.35,117.47,119.74,7625.923520098199,63.68735193
1646438400000,2022-03-05 00:00:00,KSM/USD,120.9,123.93,116.73,122.72,10192.0824840848,83.05151959
1646352000000,2022-03-04 00:00:00,KSM/USD,131.86,132.37,119.19,120.61,8415.258096376601,69.77247406000001
1646265600000,2022-03-03 00:00:00,KSM/USD,138.42,143.02,130.87,131.96,19818.352610984,150.1845454
1646179200000,2022-03-02 00:00:00,KSM/USD,138.68,140.5,133.53,138.56,15471.801597049602,111.66138566000001
1646092800000,2022-03-01 00:00:00,KSM/USD,130.1,142.54,128.22,138.62,39934.442432931406,288.08571947
1646006400000,2022-02-28 00:00:00,KSM/USD,117.63,130.03,115.26,129.99,18970.885627243202,145.94111568
1645920000000,2022-02-27 00:00:00,KSM/USD,124.78,126.78,115.55,117.77,15223.385887759601,129.26369948
1645833600000,2022-02-26 00:00:00,KSM/USD,124.88,129.75,122.55,124.92,9656.8413235776,77.30420528
1645747200000,2022-02-25 00:00:00,KSM/USD,117.8,126.35,114.1,124.75,22633.9059048825,181.43411547
1645660800000,2022-02-24 00:00:00,KSM/USD,123.39,125.09,105.48,118.05,64768.334245089,548.65170898
1645574400000,2022-02-23 00:00:00,KSM/USD,129.98,135.09,123.07,123.67,21883.5959488363,176.95153189
1645488000000,2022-02-22 00:00:00,KSM/USD,126.05,133.2,122.74,129.91,34331.1684288276,264.26886636
1645401600000,2022-02-21 00:00:00,KSM/USD,139.27,144.29,125.69,126.06,52700.759436534,418.0609189
1645315200000,2022-02-20 00:00:00,KSM/USD,151.48,151.48,136.35,139.17,27382.767366591597,196.75768748
1645228800000,2022-02-19 00:00:00,KSM/USD,149.89,154.02,146.4,151.31,24258.823417189302,160.32531503
1645142400000,2022-02-18 00:00:00,KSM/USD,155.07,159.67,147.91,150.01,39516.6697145297,263.42690297
1645056000000,2022-02-17 00:00:00,KSM/USD,167.02,169.93,155.22,155.72,29285.0454990324,188.06219817
1644969600000,2022-02-16 00:00:00,KSM/USD,176.16,178.04,166.84,166.84,51946.0705835752,311.35261678
1644883200000,2022-02-15 00:00:00,KSM/USD,167.38,177.91,166.71,176.22,15026.818976829,85.27306195
1644796800000,2022-02-14 00:00:00,KSM/USD,163.21,168.38,159.37,167.2,22446.934443471997,134.25200026
1644710400000,2022-02-13 00:00:00,KSM/USD,166.8,171.64,160.87,163.54,28107.484290755998,171.8691714
1644624000000,2022-02-12 00:00:00,KSM/USD,164.7,172.4,161.02,166.54,30547.425335798802,183.42395422
1644537600000,2022-02-11 00:00:00,KSM/USD,179.14,183.78,161.28,165.29,45630.00002167939,276.06025786
1644451200000,2022-02-10 00:00:00,KSM/USD,192.11,193.62,178.64,179.28,44271.1286667432,246.93846869
1644364800000,2022-02-09 00:00:00,KSM/USD,192.71,195.22,185.18,192.08,33304.282924326406,173.38756208
1644278400000,2022-02-08 00:00:00,KSM/USD,198.61,204.92,185.25,192.5,44628.07120695,231.83413614
1644192000000,2022-02-07 00:00:00,KSM/USD,195.61,202.77,193.28,198.42,24081.8228173572,121.36792066
1644105600000,2022-02-06 00:00:00,KSM/USD,184.81,198.64,180.81,195.6,44532.746433768,227.67252778
1644019200000,2022-02-05 00:00:00,KSM/USD,180.25,188.85,179.25,185.02,20699.4045466692,111.87657846
1643932800000,2022-02-04 00:00:00,KSM/USD,163.02,181.78,162.46,180.34,60160.13536429939,333.59285441
1643846400000,2022-02-03 00:00:00,KSM/USD,162.79,163.46,156.11,162.93,28891.5486323106,177.32491642
1643760000000,2022-02-02 00:00:00,KSM/USD,171.2,177.62,160.76,162.45,43495.6463793675,267.74790015
1643673600000,2022-02-01 00:00:00,KSM/USD,159.76,175.25,158.97,170.61,37393.8092484792,219.17712472
1643587200000,2022-01-31 00:00:00,KSM/USD,163.5,165.0,155.17,159.81,31445.3938887186,196.76737306
1643500800000,2022-01-30 00:00:00,KSM/USD,170.99,173.96,161.93,163.19,19165.4131407744,117.44232576
1643414400000,2022-01-29 00:00:00,KSM/USD,168.56,174.04,167.74,171.32,11059.5022559564,64.55464777
1643328000000,2022-01-28 00:00:00,KSM/USD,164.31,169.42,159.3,168.9,37783.23549449701,223.70180873
1643241600000,2022-01-27 00:00:00,KSM/USD,165.22,168.23,156.27,164.61,46054.740378666604,279.78093906
1643155200000,2022-01-26 00:00:00,KSM/USD,173.65,180.48,162.5,165.51,57333.7679368041,346.40666991
1643068800000,2022-01-25 00:00:00,KSM/USD,175.05,180.73,170.07,173.51,32494.2942375897,187.27620447
1642982400000,2022-01-24 00:00:00,KSM/USD,191.4,191.4,162.49,174.66,134043.9402943512,767.45643132
1642896000000,2022-01-23 00:00:00,KSM/USD,190.14,198.24,181.19,191.78,60133.887883603005,313.55661635
1642809600000,2022-01-22 00:00:00,KSM/USD,213.99,217.62,173.66,190.59,188926.0124220738,991.26928182
1642723200000,2022-01-21 00:00:00,KSM/USD,239.41,241.0,211.45,214.11,121798.90991121752,568.86137925
1642636800000,2022-01-20 00:00:00,KSM/USD,243.67,257.06,238.91,239.64,93319.5515586444,389.41558821
1642550400000,2022-01-19 00:00:00,KSM/USD,253.58,254.13,241.44,243.66,18612.2407004922,76.38611467
1642464000000,2022-01-18 00:00:00,KSM/USD,259.38,260.68,248.8,253.4,27987.050122472,110.44613308
1642377600000,2022-01-17 00:00:00,KSM/USD,277.9,278.02,255.79,259.13,37606.0495793129,145.12426033
