https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1651968000000,2022-05-08 00:00:00,MKR/USD,1267.2,1277.4,1173.3,1190.8,71831.641322064,60.322171080000004
1651881600000,2022-05-07 00:00:00,MKR/USD,1336.0,1349.7,1237.9,1266.0,36726.0802353,29.00954205
1651795200000,2022-05-06 00:00:00,MKR/USD,1378.4,1398.9,1309.8,1333.9,22538.977115901,16.89705159
1651708800000,2022-05-05 00:00:00,MKR/USD,1496.7,1513.4,1357.0,1379.6,51439.74738927999,37.285986799999996
1651622400000,2022-05-04 00:00:00,MKR/USD,1400.1,1512.6,1397.7,1494.8,34787.742148175996,23.27250612
1651536000000,2022-05-03 00:00:00,MKR/USD,1488.1,1508.3,1388.7,1402.1,17279.146658136997,12.32376197
1651449600000,2022-05-02 00:00:00,MKR/USD,1450.9,1498.5,1412.8,1484.1,16481.106781397997,11.10511878
1651363200000,2022-05-01 00:00:00,MKR/USD,1457.5,1522.2,1408.9,1452.8,39507.386482687994,27.19396096
1651276800000,2022-04-30 00:00:00,MKR/USD,1562.5,1589.1,1383.9,1458.7,143446.00546463102,98.33825013
1651190400000,2022-04-29 00:00:00,MKR/USD,1640.6,1656.3,1514.6,1558.9,124460.47020670201,79.83864918
1651104000000,2022-04-28 00:00:00,MKR/USD,1668.2,1693.4,1604.8,1637.4,143968.75627593603,87.92522064
1651017600000,2022-04-27 00:00:00,MKR/USD,1623.0,1685.9,1604.1,1671.9,31866.104146773003,19.05981467
1650931200000,2022-04-26 00:00:00,MKR/USD,1754.7,1805.3,1616.0,1623.2,42907.738013248,26.43404264
1650844800000,2022-04-25 00:00:00,MKR/USD,1731.4,1798.4,1654.3,1754.8,51579.8962992,29.393604
1650758400000,2022-04-24 00:00:00,MKR/USD,1719.8,1786.3,1718.8,1731.0,46389.23088312,26.79909352
1650672000000,2022-04-23 00:00:00,MKR/USD,1730.6,1787.1,1715.7,1719.8,43531.894679526,25.31218437
1650585600000,2022-04-22 00:00:00,MKR/USD,1726.0,1817.1,1717.1,1730.2,59630.01851459801,34.46423449
