https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAL
1645056000000,2022-02-17 00:00:00,BAL/USD,15.269,15.372,13.483,13.615,41412.1541561651,3041.65656674
1644969600000,2022-02-16 00:00:00,BAL/USD,15.798,15.968,14.895,15.242,85292.44255536277,5595.88259778
1644883200000,2022-02-15 00:00:00,BAL/USD,13.992,15.827,13.992,15.769,117874.52825672862,7475.07947598
1644796800000,2022-02-14 00:00:00,BAL/USD,13.742,14.29,13.406,14.005,83102.7796158885,5933.7936177
1644710400000,2022-02-13 00:00:00,BAL/USD,13.652,14.941,13.46,13.785,52079.837277764855,3778.00778221
1644624000000,2022-02-12 00:00:00,BAL/USD,13.441,14.026,13.091,13.671,39773.01886961382,2909.29843242
1644537600000,2022-02-11 00:00:00,BAL/USD,14.525,14.735,13.221,13.416,41000.94971022648,3056.12326403
1644451200000,2022-02-10 00:00:00,BAL/USD,15.127,15.548,14.321,14.566,63818.074859594926,4381.30405462
1644364800000,2022-02-09 00:00:00,BAL/USD,14.742,15.349,14.264,15.133,73941.74401481837,4886.12595089
1644278400000,2022-02-08 00:00:00,BAL/USD,14.953,15.282,14.465,14.753,54239.253762107684,3676.48978256
1644192000000,2022-02-07 00:00:00,BAL/USD,14.69,15.257,14.371,14.905,102279.80634654585,6862.11381057
1644105600000,2022-02-06 00:00:00,BAL/USD,13.91,14.671,13.91,14.671,122734.28654330177,8365.77510349
1644019200000,2022-02-05 00:00:00,BAL/USD,13.512,14.046,13.44,13.896,45398.72176396416,3267.03524496
1643932800000,2022-02-04 00:00:00,BAL/USD,12.184,13.54,12.11,13.54,139588.78681726658,10309.36387129
1643846400000,2022-02-03 00:00:00,BAL/USD,11.709,12.101,11.387,12.093,99585.91108612469,8235.0046379
1643760000000,2022-02-02 00:00:00,BAL/USD,12.517,12.681,11.61,11.717,56769.697453598055,4845.07104665
1643673600000,2022-02-01 00:00:00,BAL/USD,12.171,12.769,12.147,12.512,54855.435575869444,4384.22598912
1643587200000,2022-01-31 00:00:00,BAL/USD,12.167,12.272,11.526,12.196,76989.45673411731,6312.68093917
1643500800000,2022-01-30 00:00:00,BAL/USD,12.459,12.544,11.899,12.148,79824.96644632616,6571.03773842
1643414400000,2022-01-29 00:00:00,BAL/USD,11.882,12.669,11.86,12.507,63919.93750292832,5110.73298976
1643328000000,2022-01-28 00:00:00,BAL/USD,11.524,11.962,11.344,11.894,66730.1359456613,5610.40322395
1643241600000,2022-01-27 00:00:00,BAL/USD,11.709,12.22,11.134,11.501,27908.376444183898,2426.6043339
1643155200000,2022-01-26 00:00:00,BAL/USD,12.091,12.833,11.548,11.729,32976.28015685888,2811.51676672
1643068800000,2022-01-25 00:00:00,BAL/USD,11.792,12.276,11.49,12.061,28231.92925527569,2340.76189829
