https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BNT
1649980800000,2022-04-15 00:00:00,BNT/USD,2.2799,2.3089,2.2631,2.301,3676.6965018568203,1597.86897082
1649894400000,2022-04-14 00:00:00,BNT/USD,2.3282,2.3282,2.2391,2.2775,672.021221047525,295.06969091
1649808000000,2022-04-13 00:00:00,BNT/USD,2.2411,2.3302,2.2316,2.3235,529.56383662956,227.91643496
1649721600000,2022-04-12 00:00:00,BNT/USD,2.2467,2.3107,2.2295,2.2601,1911.792667715247,845.88853047
1649635200000,2022-04-11 00:00:00,BNT/USD,2.4783,2.4783,2.2574,2.2621,1291.0437013276292,570.72795249
1649548800000,2022-04-10 00:00:00,BNT/USD,2.5484,2.5721,2.5239,2.5239,218.04852433796097,86.39348799
1649462400000,2022-04-09 00:00:00,BNT/USD,2.5395,2.5424,2.515,2.5387,284.363994844476,112.01165748
1649376000000,2022-04-08 00:00:00,BNT/USD,2.5666,2.9127,2.4383,2.4951,2541.039321253266,1018.41181566
1649289600000,2022-04-07 00:00:00,BNT/USD,2.4916,2.5729,2.4916,2.5329,1608.021582036933,634.85395477
1649203200000,2022-04-06 00:00:00,BNT/USD,2.6175,2.6735,2.5384,2.5532,2880.4144255621795,1128.1585561499999
1649116800000,2022-04-05 00:00:00,BNT/USD,2.7864,2.7864,2.6894,2.6996,1091.091466930028,404.16782743
1649030400000,2022-04-04 00:00:00,BNT/USD,2.7879,2.7879,2.6708,2.7686,1823.926895400788,658.79032558
1648944000000,2022-04-03 00:00:00,BNT/USD,2.7451,2.8462,2.7422,2.808,1928.0781944891999,686.63753365
1648857600000,2022-04-02 00:00:00,BNT/USD,2.7629,2.7896,2.721,2.7502,1401.593639967558,509.63335029
1648771200000,2022-04-01 00:00:00,BNT/USD,2.6958,2.7489,2.5986,2.7143,4579.942983433346,1687.33853422
1648684800000,2022-03-31 00:00:00,BNT/USD,2.7809,2.8238,2.6895,2.6895,1921.99155265788,714.62783144
1648598400000,2022-03-30 00:00:00,BNT/USD,2.7389,2.7943,2.712,2.7683,4141.947054020689,1496.2059943
1648512000000,2022-03-29 00:00:00,BNT/USD,2.7284,2.8367,2.7064,2.7629,5533.4301254582215,2002.76163649
1648425600000,2022-03-28 00:00:00,BNT/USD,2.7261,2.8055,2.7156,2.7164,3582.150233461752,1318.71235218
1648339200000,2022-03-27 00:00:00,BNT/USD,2.6052,2.7191,2.5792,2.7191,1009.825083173814,371.38210554
1648252800000,2022-03-26 00:00:00,BNT/USD,2.5674,2.5912,2.5468,2.5912,1307.237497134648,504.49116129
1648166400000,2022-03-25 00:00:00,BNT/USD,2.5908,2.6254,2.5501,2.5576,9374.988725152383,3665.54141584
1648080000000,2022-03-24 00:00:00,BNT/USD,2.5091,2.5993,2.5007,2.5979,6891.1349411567135,2652.57898347
1647993600000,2022-03-23 00:00:00,BNT/USD,2.4536,2.4802,2.4246,2.4726,4111.236377084069,1662.71793945
1647907200000,2022-03-22 00:00:00,BNT/USD,2.3634,2.4872,2.3634,2.4509,1947.7294629908447,794.69968705
1647820800000,2022-03-21 00:00:00,BNT/USD,2.356,2.436,2.3452,2.3674,239.59663554415403,101.20665521000001
1647734400000,2022-03-20 00:00:00,BNT/USD,2.4021,2.4021,2.3248,2.349,417.6498237516,177.79898839999998
1647648000000,2022-03-19 00:00:00,BNT/USD,2.4109,2.4246,2.376,2.396,6398.952905315719,2670.6815130699997
1647561600000,2022-03-18 00:00:00,BNT/USD,2.3088,2.3938,2.2906,2.3787,221.74625755103398,93.22161582
1647475200000,2022-03-17 00:00:00,BNT/USD,2.2986,2.3415,2.2936,2.3192,385.195355598248,166.08975319
1647388800000,2022-03-16 00:00:00,BNT/USD,2.2087,2.2986,2.1955,2.2862,216.470439384024,94.68569652
1647302400000,2022-03-15 00:00:00,BNT/USD,2.1484,2.214,2.1208,2.1944,215.67853046375998,98.2858779
1647216000000,2022-03-14 00:00:00,BNT/USD,2.1049,2.1716,2.1049,2.1427,2193.095885145004,1023.51980452
1647129600000,2022-03-13 00:00:00,BNT/USD,2.151,2.1873,2.1087,2.1087,588.6397655423009,279.14817923
1647043200000,2022-03-12 00:00:00,BNT/USD,2.1774,2.2099,2.1616,2.1822,455.92235322254396,208.92784952
1646956800000,2022-03-11 00:00:00,BNT/USD,2.2001,2.231,2.1391,2.163,137.13282984765,63.39936655
1646870400000,2022-03-10 00:00:00,BNT/USD,2.2825,2.2825,2.1633,2.1951,1950.352748167725,888.50291475
1646784000000,2022-03-09 00:00:00,BNT/USD,2.1995,2.3326,2.1995,2.2946,2397.578000343218,1044.87841033
1646697600000,2022-03-08 00:00:00,BNT/USD,2.1511,2.2014,2.1314,2.1398,343.27524368074603,160.42398527
1646611200000,2022-03-07 00:00:00,BNT/USD,2.1481,2.2071,2.093,2.1032,904.1336774984801,429.8847839
1646524800000,2022-03-06 00:00:00,BNT/USD,2.2691,2.2691,2.1878,2.1907,2245.043861075766,1024.80661938
1646438400000,2022-03-05 00:00:00,BNT/USD,2.2022,2.2611,2.1904,2.2497,1415.2772009418688,629.09596877
1646352000000,2022-03-04 00:00:00,BNT/USD,2.3885,2.3885,2.209,2.209,1695.61591998942,767.59435038
1646265600000,2022-03-03 00:00:00,BNT/USD,2.4371,2.4438,2.3714,2.3866,128.037281057998,53.64840403
1646179200000,2022-03-02 00:00:00,BNT/USD,2.4478,2.4942,2.4325,2.4521,1127.479617088398,459.80164638
1646092800000,2022-03-01 00:00:00,BNT/USD,2.4595,2.4915,2.4156,2.4724,504.21651962332004,203.9380843
1646006400000,2022-02-28 00:00:00,BNT/USD,2.1612,2.4365,2.1612,2.4362,2171.146221018138,891.20196249
1645920000000,2022-02-27 00:00:00,BNT/USD,2.2506,2.2922,2.1771,2.1895,1769.4018210302547,808.13054169
1645833600000,2022-02-26 00:00:00,BNT/USD,2.2931,2.3443,2.2799,2.2879,2590.037776056119,1132.05899561
1645747200000,2022-02-25 00:00:00,BNT/USD,2.2041,2.2786,2.1777,2.2574,334.589192192038,148.21883237
1645660800000,2022-02-24 00:00:00,BNT/USD,2.0244,2.2433,1.9776,2.213,983.7066560653901,444.51272303
1645574400000,2022-02-23 00:00:00,BNT/USD,2.2572,2.3007,2.2012,2.2012,628.5980980068559,285.57064238
1645488000000,2022-02-22 00:00:00,BNT/USD,2.217,2.2335,2.1993,2.2025,10538.004260109026,4784.56493081
1645401600000,2022-02-21 00:00:00,BNT/USD,2.3444,2.3444,2.2056,2.2056,2373.530215327776,1076.13810996
1645315200000,2022-02-20 00:00:00,BNT/USD,2.3045,2.3045,2.2558,2.2998,288.860450782542,125.60242228999999
1645228800000,2022-02-19 00:00:00,BNT/USD,2.4039,2.4221,2.3406,2.3735,169.121065453085,71.25387211
1645142400000,2022-02-18 00:00:00,BNT/USD,2.4599,2.502,2.3963,2.4364,5861.83154830458,2405.93972595
1645056000000,2022-02-17 00:00:00,BNT/USD,2.6715,2.6878,2.4616,2.4616,590.0633709570319,239.70725177
1644969600000,2022-02-16 00:00:00,BNT/USD,2.7311,2.7311,2.6267,2.6919,462.45129655490996,171.7936389
1644883200000,2022-02-15 00:00:00,BNT/USD,2.6275,2.6903,2.6133,2.6775,197.883702032625,73.90614455
1644796800000,2022-02-14 00:00:00,BNT/USD,2.5029,2.5596,2.4905,2.4905,1317.4223247970551,528.97905031
1644710400000,2022-02-13 00:00:00,BNT/USD,2.5706,2.591,2.5289,2.5289,151.441618798756,59.88438404
1644624000000,2022-02-12 00:00:00,BNT/USD,2.5729,2.6028,2.5436,2.6028,169.671072600972,65.18790249
1644537600000,2022-02-11 00:00:00,BNT/USD,2.6772,2.757,2.5463,2.5463,1489.037190325145,584.78466415
1644451200000,2022-02-10 00:00:00,BNT/USD,2.8088,2.8918,2.6847,2.7338,1213.952056571388,444.05298726
1644364800000,2022-02-09 00:00:00,BNT/USD,2.7395,2.8362,2.7395,2.8226,1686.757491576322,597.58998497
1644278400000,2022-02-08 00:00:00,BNT/USD,2.8343,2.8687,2.717,2.7723,791.8707190543499,285.6367345
1644192000000,2022-02-07 00:00:00,BNT/USD,2.7182,2.868,2.7182,2.833,421.51925311977004,148.78900569
1644105600000,2022-02-06 00:00:00,BNT/USD,2.6925,2.6925,2.6589,2.671,483.50763631135993,181.02120416
1644019200000,2022-02-05 00:00:00,BNT/USD,2.6341,2.7399,2.6272,2.6689,3425.7576559463914,1283.5841192799999
