https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OXY
1644019200000,2022-02-05 00:00:00,OXY/USD,0.6913,0.73769,0.66482,0.72956,20436.41086375278,28011.9673005
1643932800000,2022-02-04 00:00:00,OXY/USD,0.62452,0.69072,0.62348,0.6892,25375.710416413756,36819.08069706
1643846400000,2022-02-03 00:00:00,OXY/USD,0.64906,0.68697,0.59937,0.6244,24910.80315495814,39895.58480935
1643760000000,2022-02-02 00:00:00,OXY/USD,0.72138,0.72556,0.63224,0.64585,39931.01987477059,61827.08039757
1643673600000,2022-02-01 00:00:00,OXY/USD,0.57501,0.73599,0.5748,0.72201,42665.30961939938,59092.40816526
1643587200000,2022-01-31 00:00:00,OXY/USD,0.49529,0.58388,0.46506,0.57496,55932.485929166105,97280.65592244
1643500800000,2022-01-30 00:00:00,OXY/USD,0.51534,0.52795,0.48498,0.49447,34663.02611199586,70101.37341395
1643414400000,2022-01-29 00:00:00,OXY/USD,0.48278,0.60414,0.48278,0.5173,144957.17197694528,280218.774361
1643328000000,2022-01-28 00:00:00,OXY/USD,0.42765,0.49002,0.42645,0.48248,167506.67729364152,347178.4888361
1643241600000,2022-01-27 00:00:00,OXY/USD,0.4365,0.49069,0.40265,0.42759,205125.4333226275,479724.58037519
1643155200000,2022-01-26 00:00:00,OXY/USD,0.41558,0.49475,0.39558,0.43813,222158.07054904086,507059.7095589
1643068800000,2022-01-25 00:00:00,OXY/USD,0.30273,0.46445,0.30273,0.41646,231497.58032573745,555869.90425428
1642982400000,2022-01-24 00:00:00,OXY/USD,0.25909,0.32291,0.21254,0.30179,140192.62477968415,464537.0117621
1642896000000,2022-01-23 00:00:00,OXY/USD,0.2768,0.293,0.25279,0.25909,102523.20962090803,395705.00451931
1642809600000,2022-01-22 00:00:00,OXY/USD,0.37712,0.38016,0.2525,0.27737,135967.27837681407,490201.81842598
1642723200000,2022-01-21 00:00:00,OXY/USD,0.41086,0.41263,0.36801,0.37668,89624.77293613728,237933.45262859
1642636800000,2022-01-20 00:00:00,OXY/USD,0.43698,0.45098,0.41009,0.41274,20838.234113746174,50487.55660645
1642550400000,2022-01-19 00:00:00,OXY/USD,0.45617,0.45841,0.43385,0.43564,58199.955549443504,133596.44557305
