https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume YFI
1649894400000,2022-04-14 00:00:00,YFI/USD,19388.0,19578.0,18686.0,18832.0,135705.76219552002,7.20612586
1649808000000,2022-04-13 00:00:00,YFI/USD,18788.0,19504.0,18600.0,19401.0,104716.57272726,5.3974832600000004
1649721600000,2022-04-12 00:00:00,YFI/USD,18537.0,19419.0,18354.0,18818.0,119008.98453271999,6.32421004
1649635200000,2022-04-11 00:00:00,YFI/USD,20173.0,20185.0,18248.0,18489.0,418753.38919302,22.64878518
1649548800000,2022-04-10 00:00:00,YFI/USD,20650.0,20910.0,20032.0,20139.0,137973.21056064,6.85104576
1649462400000,2022-04-09 00:00:00,YFI/USD,20553.0,20674.0,20215.0,20674.0,93925.30369157999,4.54316067
1649376000000,2022-04-08 00:00:00,YFI/USD,21242.0,21900.0,20458.0,20542.0,147139.78667221998,7.16287541
1649289600000,2022-04-07 00:00:00,YFI/USD,21697.0,22011.0,21037.0,21279.0,213587.61416277,10.03748363
1649203200000,2022-04-06 00:00:00,YFI/USD,23520.0,23520.0,21602.0,21722.0,722987.1403231199,33.28363596
1649116800000,2022-04-05 00:00:00,YFI/USD,23849.0,24442.0,23337.0,23531.0,310150.28526064,13.18049744
1649030400000,2022-04-04 00:00:00,YFI/USD,25252.0,25412.0,23005.0,23849.0,446377.36147829995,18.7168167
1648944000000,2022-04-03 00:00:00,YFI/USD,23321.0,25411.0,22827.0,25220.0,557118.7785722,22.09035601
1648857600000,2022-04-02 00:00:00,YFI/USD,23428.0,23968.0,22832.0,23326.0,671847.0858425001,28.80249875
1648771200000,2022-04-01 00:00:00,YFI/USD,22237.0,23576.0,21561.0,23479.0,233470.28156766,9.94379154
1648684800000,2022-03-31 00:00:00,YFI/USD,24020.0,24289.0,22118.0,22217.0,410060.36627413,18.45705389
1648598400000,2022-03-30 00:00:00,YFI/USD,23330.0,24571.0,22650.0,24029.0,512472.65196516993,21.32725673
1648512000000,2022-03-29 00:00:00,YFI/USD,22227.0,23856.0,21987.0,23379.0,543981.00513942,23.26793298
1648425600000,2022-03-28 00:00:00,YFI/USD,22245.0,23980.0,22000.0,22254.0,1231877.30107176,55.35532044
1648339200000,2022-03-27 00:00:00,YFI/USD,21149.0,22271.0,20703.0,22248.0,224924.16683736,10.10986007
1648252800000,2022-03-26 00:00:00,YFI/USD,20573.0,21234.0,20450.0,21136.0,336519.32502288,15.92161833
1648166400000,2022-03-25 00:00:00,YFI/USD,21211.0,21736.0,20410.0,20599.0,880161.31090058,42.72835142
1648080000000,2022-03-24 00:00:00,YFI/USD,20461.0,21367.0,20209.0,21187.0,647320.18032704,30.55270592
1647993600000,2022-03-23 00:00:00,YFI/USD,20307.0,20554.0,19938.0,20455.0,224541.18696599998,10.9773252
1647907200000,2022-03-22 00:00:00,YFI/USD,20346.0,21033.0,19927.0,20313.0,464782.36462443,22.88103011
1647820800000,2022-03-21 00:00:00,YFI/USD,19944.0,20571.0,19702.0,20367.0,257369.83118558998,12.63660977
1647734400000,2022-03-20 00:00:00,YFI/USD,20746.0,20828.0,19593.0,19923.0,192246.46651740003,9.6494738
1647648000000,2022-03-19 00:00:00,YFI/USD,20566.0,21003.0,20286.0,20675.0,289117.4537895,13.98391554
1647561600000,2022-03-18 00:00:00,YFI/USD,19406.0,20789.0,19019.0,20566.0,388299.02362342004,18.88062937
1647475200000,2022-03-17 00:00:00,YFI/USD,19226.0,19741.0,18917.0,19402.0,199241.55490714,10.26912457
1647388800000,2022-03-16 00:00:00,YFI/USD,18523.0,19224.0,18287.0,19223.0,388931.78343855997,20.23262672
1647302400000,2022-03-15 00:00:00,YFI/USD,18533.0,18742.0,17856.0,18513.0,342450.33271416,18.49783032
1647216000000,2022-03-14 00:00:00,YFI/USD,18060.0,18758.0,17908.0,18563.0,89245.29203384001,4.80769768
1647129600000,2022-03-13 00:00:00,YFI/USD,18355.0,18715.0,17838.0,18051.0,87504.67346478,4.84763578
1647043200000,2022-03-12 00:00:00,YFI/USD,18511.0,18941.0,18333.0,18374.0,264364.69895248,14.38797752
1646956800000,2022-03-11 00:00:00,YFI/USD,19072.0,19318.0,18289.0,18522.0,209885.20340886,11.33167063
1646870400000,2022-03-10 00:00:00,YFI/USD,20429.0,20429.0,18776.0,19038.0,315327.5619813,16.56306135
1646784000000,2022-03-09 00:00:00,YFI/USD,19379.0,20549.0,19263.0,20396.0,548169.6746106,26.87633235
1646697600000,2022-03-08 00:00:00,YFI/USD,18412.0,21177.0,18332.0,19319.0,1270436.67167812,65.76099548
1646611200000,2022-03-07 00:00:00,YFI/USD,18247.0,19904.0,17777.0,18403.0,470718.209423,25.578340999999998
1646524800000,2022-03-06 00:00:00,YFI/USD,20241.0,20318.0,17419.0,18221.0,1258522.28657757,69.06988017
1646438400000,2022-03-05 00:00:00,YFI/USD,19874.0,20587.0,19499.0,20276.0,246641.8778038,12.16422755
1646352000000,2022-03-04 00:00:00,YFI/USD,21715.0,21942.0,19674.0,19884.0,312900.80414604,15.73631081
1646265600000,2022-03-03 00:00:00,YFI/USD,22311.0,22661.0,20979.0,21704.0,484156.22040951997,22.30723463
1646179200000,2022-03-02 00:00:00,YFI/USD,21741.0,22465.0,21089.0,22346.0,254710.79921363998,11.39849634
1646092800000,2022-03-01 00:00:00,YFI/USD,21577.0,22371.0,21094.0,21741.0,267974.17444941,12.32575201
1646006400000,2022-02-28 00:00:00,YFI/USD,19408.0,21591.0,19036.0,21577.0,374804.72070668,17.37056684
1645920000000,2022-02-27 00:00:00,YFI/USD,20879.0,21058.0,19172.0,19412.0,177819.24199392,9.16027416
1645833600000,2022-02-26 00:00:00,YFI/USD,20176.0,21408.0,20141.0,20890.0,424944.55192470003,20.34200823
1645747200000,2022-02-25 00:00:00,YFI/USD,19487.0,20343.0,18899.0,20191.0,423356.60383460997,20.96758971
1645660800000,2022-02-24 00:00:00,YFI/USD,20357.0,20612.0,17182.0,19431.0,574404.2099980201,29.56122742
1645574400000,2022-02-23 00:00:00,YFI/USD,20672.0,21288.0,20237.0,20330.0,155574.4560958,7.65245726
1645488000000,2022-02-22 00:00:00,YFI/USD,19688.0,21027.0,19237.0,20607.0,249113.63247258,12.08878694
1645401600000,2022-02-21 00:00:00,YFI/USD,20740.0,21920.0,19632.0,19688.0,313764.31022128003,15.93683006
1645315200000,2022-02-20 00:00:00,YFI/USD,21697.0,21711.0,20154.0,20684.0,275843.95817512,13.33610318
1645228800000,2022-02-19 00:00:00,YFI/USD,21950.0,22231.0,21376.0,21709.0,117990.24897632001,5.43508448
1645142400000,2022-02-18 00:00:00,YFI/USD,22451.0,23044.0,21753.0,21992.0,246500.49752848,11.20864394
1645056000000,2022-02-17 00:00:00,YFI/USD,23727.0,23984.0,22110.0,22422.0,442382.9287677,19.72986035
1644969600000,2022-02-16 00:00:00,YFI/USD,24508.0,24508.0,23170.0,23725.0,415773.35210125,17.52469345
