https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DGB
1650153600000,2022-04-17 00:00:00,DGB/USD,0.024667,0.025096,0.023189,0.023313,2339.118174798666,100335.35687378999
1650067200000,2022-04-16 00:00:00,DGB/USD,0.024651,0.025536,0.024046,0.024687,1489.679461860663,60342.66868638
1649980800000,2022-04-15 00:00:00,DGB/USD,0.024651,0.025432,0.024051,0.024792,1476.3224503249241,59548.34020349
1649894400000,2022-04-14 00:00:00,DGB/USD,0.02608,0.026578,0.024359,0.024652,26220.371702000648,1063620.46495216
1649808000000,2022-04-13 00:00:00,DGB/USD,0.025474,0.026409,0.02473,0.025813,3586.81281964251,138953.73725032
1649721600000,2022-04-12 00:00:00,DGB/USD,0.024334,0.026361,0.02393,0.025411,2024.8456805085343,79683.82513512
1649635200000,2022-04-11 00:00:00,DGB/USD,0.027271,0.027275,0.023687,0.024177,2369.5076960970705,98006.68801328
1649548800000,2022-04-10 00:00:00,DGB/USD,0.028396,0.028997,0.02703,0.027412,2555.56178782455,93227.84867301
1649462400000,2022-04-09 00:00:00,DGB/USD,0.026806,0.028416,0.026806,0.028412,1395.167668154676,49104.87357999
1649376000000,2022-04-08 00:00:00,DGB/USD,0.02955,0.029999,0.026543,0.027202,3867.626349911363,142181.69068125
1649289600000,2022-04-07 00:00:00,DGB/USD,0.028001,0.029998,0.027167,0.029615,2835.007370913105,95728.76484596
1649203200000,2022-04-06 00:00:00,DGB/USD,0.032502,0.032502,0.02785,0.028001,8132.387472080065,290432.03714439
1649116800000,2022-04-05 00:00:00,DGB/USD,0.034416,0.035759,0.032501,0.032502,2994.888202693708,92144.73579145
1649030400000,2022-04-04 00:00:00,DGB/USD,0.034493,0.035549,0.032372,0.034397,3183.8582346585376,92562.09072473
1648944000000,2022-04-03 00:00:00,DGB/USD,0.035483,0.03561,0.033702,0.034718,8253.86560141751,237740.23853383
1648857600000,2022-04-02 00:00:00,DGB/USD,0.034363,0.037667,0.034005,0.035295,11711.059555087179,331805.05893433
1648771200000,2022-04-01 00:00:00,DGB/USD,0.032606,0.035509,0.030379,0.034209,11573.564283757738,338319.28100084
1648684800000,2022-03-31 00:00:00,DGB/USD,0.033853,0.037996,0.031654,0.032521,8759.010347382266,269333.97950193
1648598400000,2022-03-30 00:00:00,DGB/USD,0.033061,0.036229,0.031917,0.033868,9493.763583512573,280316.62877974997
1648512000000,2022-03-29 00:00:00,DGB/USD,0.034219,0.036,0.03224,0.033279,13197.73365534022,396578.43250519
1648425600000,2022-03-28 00:00:00,DGB/USD,0.038012,0.041884,0.033929,0.034,70464.65490743547,2072489.85021869
1648339200000,2022-03-27 00:00:00,DGB/USD,0.024371,0.042899,0.024221,0.038012,144641.4520095979,3805152.37318736
1648252800000,2022-03-26 00:00:00,DGB/USD,0.023286,0.024391,0.023022,0.024215,3059.3169841184267,126339.74743417
1648166400000,2022-03-25 00:00:00,DGB/USD,0.023459,0.024626,0.022479,0.023238,4872.391785453303,209673.45664228
1648080000000,2022-03-24 00:00:00,DGB/USD,0.022378,0.023558,0.022185,0.023524,3147.766620580693,133810.85787199
1647993600000,2022-03-23 00:00:00,DGB/USD,0.021036,0.022542,0.020608,0.022386,2771.424514169231,123801.68472122
1647907200000,2022-03-22 00:00:00,DGB/USD,0.021447,0.022206,0.021012,0.021173,1541.4570361885892,72802.95830485
1647820800000,2022-03-21 00:00:00,DGB/USD,0.020409,0.021645,0.019812,0.021396,1176.7082923116118,54996.648547
1647734400000,2022-03-20 00:00:00,DGB/USD,0.021905,0.021984,0.020224,0.020409,7117.173766003785,348727.2167183
1647648000000,2022-03-19 00:00:00,DGB/USD,0.020564,0.022033,0.020417,0.021916,1477.176370026009,67401.73252537
1647561600000,2022-03-18 00:00:00,DGB/USD,0.019846,0.020553,0.019202,0.020545,2899.273216163119,141118.19012719
1647475200000,2022-03-17 00:00:00,DGB/USD,0.020038,0.020381,0.019657,0.019697,927.7013399116954,47098.6109515
1647388800000,2022-03-16 00:00:00,DGB/USD,0.019058,0.02017,0.018679,0.020054,1629.5173340953154,81256.47422436
1647302400000,2022-03-15 00:00:00,DGB/USD,0.019339,0.019473,0.018276,0.019216,843.9943531464323,43921.43802802
1647216000000,2022-03-14 00:00:00,DGB/USD,0.01842,0.01958,0.018337,0.019105,1070.4055548496744,56027.50875947
1647129600000,2022-03-13 00:00:00,DGB/USD,0.019683,0.019893,0.01825,0.018648,803.0588255262923,43064.07258292
1647043200000,2022-03-12 00:00:00,DGB/USD,0.018928,0.020328,0.018928,0.01971,1044.1594978927126,52976.12876168
1646956800000,2022-03-11 00:00:00,DGB/USD,0.020071,0.020828,0.018928,0.019058,1509.03406240179,79181.13455776
1646870400000,2022-03-10 00:00:00,DGB/USD,0.02067,0.021024,0.019327,0.020122,1295.4447832288874,64379.52406465
1646784000000,2022-03-09 00:00:00,DGB/USD,0.018565,0.020832,0.018488,0.020696,2200.207607272202,106310.76571667
1646697600000,2022-03-08 00:00:00,DGB/USD,0.018,0.018922,0.017868,0.018619,1941.8875976544705,104296.02006845
1646611200000,2022-03-07 00:00:00,DGB/USD,0.017901,0.019127,0.01736,0.017945,1688.5499635586336,94095.84639502
1646524800000,2022-03-06 00:00:00,DGB/USD,0.019018,0.0192,0.017822,0.017906,744.8165737422839,41595.92168783
1646438400000,2022-03-05 00:00:00,DGB/USD,0.018554,0.019287,0.018065,0.019089,916.4705683181277,48010.40223784
1646352000000,2022-03-04 00:00:00,DGB/USD,0.020224,0.020236,0.018259,0.018549,1196.0972412051979,64483.11182302
1646265600000,2022-03-03 00:00:00,DGB/USD,0.021296,0.021465,0.019855,0.020226,1600.854344693437,79148.34098158
1646179200000,2022-03-02 00:00:00,DGB/USD,0.022389,0.022558,0.02101,0.021299,2378.415810918142,111667.95675469
1646092800000,2022-03-01 00:00:00,DGB/USD,0.021817,0.022729,0.021182,0.022317,1430.2551252812816,64088.14470051
1646006400000,2022-02-28 00:00:00,DGB/USD,0.019687,0.02194,0.019349,0.02194,9605.309921128357,437798.99367039
1645920000000,2022-02-27 00:00:00,DGB/USD,0.020628,0.021362,0.019178,0.019729,3176.8948427017876,161026.65328713
1645833600000,2022-02-26 00:00:00,DGB/USD,0.020865,0.021502,0.020471,0.020621,1135.0234995031412,55042.11723501
1645747200000,2022-02-25 00:00:00,DGB/USD,0.018994,0.021047,0.018974,0.020813,4861.4291933525665,233576.57201521
1645660800000,2022-02-24 00:00:00,DGB/USD,0.019032,0.019457,0.016195,0.019257,3600.7719324152904,186985.09281899
1645574400000,2022-02-23 00:00:00,DGB/USD,0.020067,0.020744,0.018893,0.01907,1424.9738305834646,74723.32619735
1645488000000,2022-02-22 00:00:00,DGB/USD,0.018857,0.020113,0.01825,0.019897,1465.1344923667614,73635.9497596
1645401600000,2022-02-21 00:00:00,DGB/USD,0.020347,0.021267,0.018564,0.018708,2269.316875030628,121301.9497023
1645315200000,2022-02-20 00:00:00,DGB/USD,0.021425,0.021544,0.018626,0.020357,33608.122338509784,1650936.8933786799
1645228800000,2022-02-19 00:00:00,DGB/USD,0.021735,0.022645,0.021117,0.021465,11003.164800045324,512609.58770301996
1645142400000,2022-02-18 00:00:00,DGB/USD,0.021714,0.022886,0.021237,0.021668,4698.290865181638,216830.85034067
1645056000000,2022-02-17 00:00:00,DGB/USD,0.024219,0.024548,0.021438,0.021824,5906.8452163018555,270658.23021911
1644969600000,2022-02-16 00:00:00,DGB/USD,0.024772,0.024899,0.023676,0.024212,25900.99245816224,1069758.48579887
1644883200000,2022-02-15 00:00:00,DGB/USD,0.023458,0.025021,0.023384,0.02477,2096.564596117011,84641.2836543
1644796800000,2022-02-14 00:00:00,DGB/USD,0.022968,0.023752,0.022285,0.023436,1792.6497805997062,76491.28608123
1644710400000,2022-02-13 00:00:00,DGB/USD,0.023856,0.024458,0.022661,0.022951,1948.150640186931,84883.03952712
1644624000000,2022-02-12 00:00:00,DGB/USD,0.023966,0.024786,0.02318,0.023975,4847.374595447529,202184.55038363
1644537600000,2022-02-11 00:00:00,DGB/USD,0.026199,0.02723,0.023381,0.023835,6896.359153242394,289337.49331833
1644451200000,2022-02-10 00:00:00,DGB/USD,0.027946,0.028599,0.026012,0.0263,4599.596757534169,174889.61055263
1644364800000,2022-02-09 00:00:00,DGB/USD,0.02629,0.02817,0.025708,0.027664,2644.7185281062143,95601.45055329
1644278400000,2022-02-08 00:00:00,DGB/USD,0.026179,0.026945,0.024548,0.026342,6821.252246960675,258949.67151168
1644192000000,2022-02-07 00:00:00,DGB/USD,0.024382,0.026427,0.023885,0.026243,4172.0063120131745,158975.96738228
1644105600000,2022-02-06 00:00:00,DGB/USD,0.024176,0.024465,0.023342,0.024465,3722.4585344212824,152154.44653265
1644019200000,2022-02-05 00:00:00,DGB/USD,0.023055,0.02529,0.022961,0.024237,7043.852409558513,290623.93900064
1643932800000,2022-02-04 00:00:00,DGB/USD,0.021197,0.02323,0.021132,0.023106,2147.8749216768533,92957.45354786
1643846400000,2022-02-03 00:00:00,DGB/USD,0.02122,0.021315,0.020408,0.021315,2369.747655945603,111177.46450601
