https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAX
1649548800000,2022-04-10 00:00:00,WAX/USD,0.29975,0.3005,0.2931,0.2931,1309.045257197412,4466.20695052
1649462400000,2022-04-09 00:00:00,WAX/USD,0.2953,0.30811,0.2931,0.29975,2239.3806920258126,7470.82799675
1649376000000,2022-04-08 00:00:00,WAX/USD,0.30811,0.30887,0.2931,0.2931,2291.3484860278772,7817.63386567
1649289600000,2022-04-07 00:00:00,WAX/USD,0.29826,0.31042,0.29163,0.30811,5770.201997462474,18727.7335934
1649203200000,2022-04-06 00:00:00,WAX/USD,0.34475,0.34475,0.29604,0.29826,11314.733034723116,37935.80444821
1649116800000,2022-04-05 00:00:00,WAX/USD,0.35701,0.35879,0.34475,0.34475,3282.1967809049997,9520.51278
1649030400000,2022-04-04 00:00:00,WAX/USD,0.37063,0.38286,0.34475,0.35969,11366.525109355654,31600.89273918
1648944000000,2022-04-03 00:00:00,WAX/USD,0.37811,0.37811,0.3633,0.37063,5558.465846528729,14997.34464703
1648857600000,2022-04-02 00:00:00,WAX/USD,0.36878,0.39253,0.36878,0.37882,7036.107566003198,18573.74892034
1648771200000,2022-04-01 00:00:00,WAX/USD,0.34647,0.38095,0.32879,0.36878,14253.98604149615,38651.73285291
1648684800000,2022-03-31 00:00:00,WAX/USD,0.35969,0.3744,0.32379,0.34647,7609.260500415795,21962.24925799
1648598400000,2022-03-30 00:00:00,WAX/USD,0.35433,0.36238,0.34561,0.35701,2909.471542926175,8149.55195352
1648512000000,2022-03-29 00:00:00,WAX/USD,0.34132,0.3781,0.34132,0.35433,5806.029841817091,16385.93921434
1648425600000,2022-03-28 00:00:00,WAX/USD,0.34907,0.36331,0.33877,0.33877,3166.034048835631,9345.6742003
1648339200000,2022-03-27 00:00:00,WAX/USD,0.3247,0.36878,0.3247,0.34712,8883.517190244409,25592.06381149
1648252800000,2022-03-26 00:00:00,WAX/USD,0.3112,0.32713,0.30888,0.32713,1277.0379868042046,3903.7629896500002
1648166400000,2022-03-25 00:00:00,WAX/USD,0.30811,0.31827,0.30811,0.3112,3894.6732719116076,12515.01694059
1648080000000,2022-03-24 00:00:00,WAX/USD,0.29456,0.31511,0.29456,0.30581,4635.271868722835,15157.35871529
