https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SNX
1648339200000,2022-03-27 00:00:00,SNX/USD,5.1177,5.4269,5.109,5.4119,106568.06901850562,19691.43351106
1648252800000,2022-03-26 00:00:00,SNX/USD,5.05,5.2629,5.023,5.1243,86340.48937919851,16849.22611463
1648166400000,2022-03-25 00:00:00,SNX/USD,5.2689,5.4185,4.989,5.0583,88436.82753908586,17483.50780679
1648080000000,2022-03-24 00:00:00,SNX/USD,5.3727,5.521,5.161,5.2789,128804.25405175776,24399.82838314
1647993600000,2022-03-23 00:00:00,SNX/USD,5.1745,5.38,4.9993,5.38,83014.0242857312,15430.11603824
1647907200000,2022-03-22 00:00:00,SNX/USD,4.9638,5.372,4.9231,5.171,58085.51150559876,11232.93589356
1647820800000,2022-03-21 00:00:00,SNX/USD,5.2126,5.354,4.9522,4.9674,95483.53372555159,19222.03440946
1647734400000,2022-03-20 00:00:00,SNX/USD,5.1764,5.483,4.9151,5.2004,92366.15660566642,17761.356166
1647648000000,2022-03-19 00:00:00,SNX/USD,5.0296,5.621,5.0168,5.1688,109146.5984457285,21116.4290446
1647561600000,2022-03-18 00:00:00,SNX/USD,4.396,5.22,4.352,5.0235,118946.90594459111,23678.09414643
1647475200000,2022-03-17 00:00:00,SNX/USD,4.217,4.5857,4.1561,4.3844,59779.458782583155,13634.58142108
1647388800000,2022-03-16 00:00:00,SNX/USD,3.9479,4.3016,3.8654,4.2129,50434.78676006693,11971.51291511
1647302400000,2022-03-15 00:00:00,SNX/USD,3.9684,4.0714,3.8007,3.9423,39538.29886301944,10029.24659793
1647216000000,2022-03-14 00:00:00,SNX/USD,3.8917,4.0244,3.8767,3.9721,23004.810412248975,5791.59900613
1647129600000,2022-03-13 00:00:00,SNX/USD,4.1799,4.2841,3.8507,3.8988,14180.108019088644,3637.04422363
1647043200000,2022-03-12 00:00:00,SNX/USD,4.1678,4.3415,4.1145,4.1799,12511.474498741582,2993.24732619
