https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAS
1649462400000,2022-04-09 00:00:00,PAS/USD,0.0021141,0.0021141,0.0021033,0.0021141,9498.267113139993,4492818.27403623
1649376000000,2022-04-08 00:00:00,PAS/USD,0.0020989,0.0021141,0.0020989,0.0021117,2519.3163709867836,1193027.594349
1649289600000,2022-04-07 00:00:00,PAS/USD,0.0017563,0.0021141,0.0017563,0.0017715,2311.768013342379,1304977.71004368
1649203200000,2022-04-06 00:00:00,PAS/USD,0.0019997,0.0019997,0.0017563,0.0017563,16.859489806753682,9599.43620495
1649030400000,2022-04-04 00:00:00,PAS/USD,0.00208,0.00208,0.00199,0.00199,57.777636235420005,29033.988058000003
1648944000000,2022-04-03 00:00:00,PAS/USD,0.00199,0.00199,0.00199,0.00199,151.4684475794936,76114.79777864
1648857600000,2022-04-02 00:00:00,PAS/USD,0.00199,0.0020991,0.0018003,0.002099,331.402462581927,157885.88022007002
1648684800000,2022-03-31 00:00:00,PAS/USD,0.00199,0.00199,0.0017567,0.0017567,102.92765121572519,58591.47903212
1648598400000,2022-03-30 00:00:00,PAS/USD,0.0017611,0.0017611,0.0017611,0.0017611,7.0444,4000.0
1648512000000,2022-03-29 00:00:00,PAS/USD,0.0019986,0.0019986,0.0019986,0.0019986,97.29216615977215,48680.159191319995
1648425600000,2022-03-28 00:00:00,PAS/USD,0.0019887,0.0021099,0.0017563,0.0020888,1563.1885856860076,748366.80662869
1648339200000,2022-03-27 00:00:00,PAS/USD,0.0017123,0.0020237,0.0017123,0.0017503,659.7558515666306,376938.7256851
1648252800000,2022-03-26 00:00:00,PAS/USD,0.0017433,0.0017433,0.0017123,0.0017123,868.397653825,507152.75
1648166400000,2022-03-25 00:00:00,PAS/USD,0.00191,0.0020789,0.00174,0.0017433,97.35203437488757,55843.53489066
1648080000000,2022-03-24 00:00:00,PAS/USD,0.00174,0.00174,0.00174,0.00174,1.92796714356,1108.027094
1647993600000,2022-03-23 00:00:00,PAS/USD,0.0018153,0.0020889,0.0017146,0.0018999,115.65139859772647,60872.360965169995
1647907200000,2022-03-22 00:00:00,PAS/USD,0.00185,0.0021099,0.0017072,0.0018111,1516.463125159479,837316.06491054
1647820800000,2022-03-21 00:00:00,PAS/USD,0.0016833,0.0017003,0.0016833,0.0017003,41.35748741564698,24323.641366609998
1647734400000,2022-03-20 00:00:00,PAS/USD,0.0018678,0.0021078,0.0016828,0.0016828,16232.449773483862,9646095.65811972
1647648000000,2022-03-19 00:00:00,PAS/USD,0.0018398,0.00187,0.0016902,0.0016902,190.3480378442183,112618.64740516999
1647561600000,2022-03-18 00:00:00,PAS/USD,0.0017722,0.0018481,0.0016902,0.0018398,158.1324081385904,85950.868648
1647475200000,2022-03-17 00:00:00,PAS/USD,0.0021078,0.0021078,0.0016828,0.0016833,9780.994563767956,5810606.88158258
1647388800000,2022-03-16 00:00:00,PAS/USD,0.0017408,0.0021078,0.0017408,0.0021078,240.268122,113990.0
1647302400000,2022-03-15 00:00:00,PAS/USD,0.0017303,0.0021057,0.0017303,0.0021057,291.04984366474,138219.99509177
1647129600000,2022-03-13 00:00:00,PAS/USD,0.0017123,0.0017123,0.0017123,0.0017123,62.699452176164385,36617.09523808
1647043200000,2022-03-12 00:00:00,PAS/USD,0.0020378,0.0021057,0.0017103,0.0017123,925.5705489321878,540542.28168673
1646956800000,2022-03-11 00:00:00,PAS/USD,0.002,0.0020999,0.0017022,0.0020489,338.8443156189231,165378.64982133
1646870400000,2022-03-10 00:00:00,PAS/USD,0.00174,0.0019125,0.00174,0.0019125,595.6382888771142,311444.85692921
1646784000000,2022-03-09 00:00:00,PAS/USD,0.0016896,0.001766,0.0016896,0.00176,20433.465896141795,11609923.80462602
1646697600000,2022-03-08 00:00:00,PAS/USD,0.0016896,0.0016896,0.0016896,0.0016896,13.8923956571136,8222.298566
1646524800000,2022-03-06 00:00:00,PAS/USD,0.0016915,0.0016915,0.001689,0.001689,53.367018264984,31596.813656
1646438400000,2022-03-05 00:00:00,PAS/USD,0.0016915,0.0016915,0.0016915,0.0016915,930.3165425000001,549995.0
1646352000000,2022-03-04 00:00:00,PAS/USD,0.0016932,0.0016932,0.0016915,0.0016915,538.8278640522946,318550.31868300005
1646265600000,2022-03-03 00:00:00,PAS/USD,0.0016932,0.0016932,0.0016932,0.0016932,531.4279712856207,313860.12950958
1646179200000,2022-03-02 00:00:00,PAS/USD,0.0017013,0.0017013,0.0017013,0.0017013,51.039,30000.0
1646092800000,2022-03-01 00:00:00,PAS/USD,0.0016932,0.0016932,0.0016932,0.0016932,235.68042982031764,139192.31621800002
1646006400000,2022-02-28 00:00:00,PAS/USD,0.0016949,0.0016949,0.0016932,0.0016932,1842.7950801455997,1088350.508
1645833600000,2022-02-26 00:00:00,PAS/USD,0.0017013,0.0017013,0.0016949,0.0017013,411.3158380536018,241765.613386
1645747200000,2022-02-25 00:00:00,PAS/USD,0.0016949,0.0017013,0.0016949,0.0017013,300.2525525337663,176484.19005099998
1645660800000,2022-02-24 00:00:00,PAS/USD,0.0016966,0.0016966,0.0016949,0.0016949,2182.2908580337307,1287563.19430865
1645574400000,2022-02-23 00:00:00,PAS/USD,0.0016966,0.0016966,0.0016966,0.0016966,21.0059235608,12381.188
