https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RRT
1652745600000,2022-05-17 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,335.670735,447.56098
1652659200000,2022-05-16 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,1758.9552244575002,2345.2736326100003
1652572800000,2022-05-15 00:00:00,RRT/USD,0.75,0.75,0.75,0.75,178.04358942,237.39145256
1652486400000,2022-05-14 00:00:00,RRT/USD,0.75001,0.75001,0.75,0.75,642.75,857.0
1652400000000,2022-05-13 00:00:00,RRT/USD,0.70499,0.8921,0.70499,0.721,2808.89187838637,3895.82784797
1652313600000,2022-05-12 00:00:00,RRT/USD,0.89,0.89,0.7,0.70499,78283.59218072555,111042.13135041
1652227200000,2022-05-11 00:00:00,RRT/USD,0.88,0.89,0.88,0.88,12307.038824150399,13985.27139108
1652140800000,2022-05-10 00:00:00,RRT/USD,0.8899,0.8899,0.88,0.88,1854.822523884,2107.75286805
1652054400000,2022-05-09 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,713.3930606616001,810.67393257
1651968000000,2022-05-08 00:00:00,RRT/USD,0.8899,0.8899,0.88,0.88,476.18906356559995,541.12393587
1651881600000,2022-05-07 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,176.0,200.0
1651795200000,2022-05-06 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,477.59273144,542.719013
1651708800000,2022-05-05 00:00:00,RRT/USD,0.8802,0.8802,0.88,0.88,1936.0,2200.0
1651622400000,2022-05-04 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,226.46728368000004,257.34918600000003
1651536000000,2022-05-03 00:00:00,RRT/USD,0.88,0.89,0.88,0.89,263.2199751523,295.75278106999997
1651449600000,2022-05-02 00:00:00,RRT/USD,0.8891,0.8891,0.88,0.88,5005.7929054056,5688.40102887
1651363200000,2022-05-01 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,227.04,258.0
1651276800000,2022-04-30 00:00:00,RRT/USD,0.88,0.8891,0.88,0.88,1960.64,2228.0
1651017600000,2022-04-27 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,88.0,100.0
1650931200000,2022-04-26 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,510.0832,579.64
1650844800000,2022-04-25 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,9745.886230959999,11074.870717
1650758400000,2022-04-24 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,87.824,99.8
1650672000000,2022-04-23 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,918.4498832960002,1043.6930492000001
1650585600000,2022-04-22 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,64.022816,72.7532
1650499200000,2022-04-21 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,982.7488,1116.76
1650412800000,2022-04-20 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,202.48690088,230.098751
1650326400000,2022-04-19 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,3955.16,4494.5
1650067200000,2022-04-16 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,249.58735999999996,283.62199999999996
1649894400000,2022-04-14 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,247.76728415999997,281.55373199999997
1649721600000,2022-04-12 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,3852.81152256,4378.194912
1649635200000,2022-04-11 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,274205.447912,311597.0999
1649548800000,2022-04-10 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,5368.54952392,6100.624459
1649462400000,2022-04-09 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,1941.6661572,2206.438815
1649376000000,2022-04-08 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,1027.2349708192,1167.31246684
1649289600000,2022-04-07 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,88.0,100.0
1649203200000,2022-04-06 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,3306.678695408,3757.5894266
1649116800000,2022-04-05 00:00:00,RRT/USD,0.88,0.88,0.88,0.88,1584.0,1800.0
1649030400000,2022-04-04 00:00:00,RRT/USD,0.9,0.9,0.88,0.88,19560.8434468304,22228.23118958
1648944000000,2022-04-03 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,1067.957264853,1186.61918317
1648857600000,2022-04-02 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,12640.711573638,14045.23508182
1648771200000,2022-04-01 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,1573.246686438,1748.05187382
1648684800000,2022-03-31 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,2713.6419561000002,3015.157729
1648598400000,2022-03-30 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,1259.362537443,1399.29170827
1648512000000,2022-03-29 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,9219.249673200002,10243.610748000001
1648425600000,2022-03-28 00:00:00,RRT/USD,0.90748,0.90748,0.9,0.9,354.4956,393.884
1648339200000,2022-03-27 00:00:00,RRT/USD,0.9,0.90773,0.9,0.9,1356.927420042,1507.69713338
1648252800000,2022-03-26 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,63.09022860000001,70.100254
1648166400000,2022-03-25 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,1945.4957261999998,2161.661918
1648080000000,2022-03-24 00:00:00,RRT/USD,0.90748,0.90748,0.9,0.9,11372.160251700001,12635.733613
1647993600000,2022-03-23 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,3494.6339940000003,3882.92666
1647907200000,2022-03-22 00:00:00,RRT/USD,0.9,0.90748,0.9,0.9,141387.9018111,157097.668679
1647820800000,2022-03-21 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,2250.0,2500.0
1647734400000,2022-03-20 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,271.8486279,302.054031
1647648000000,2022-03-19 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,5922.2878245,6580.319805
1647561600000,2022-03-18 00:00:00,RRT/USD,0.9,0.9,0.9,0.9,3239.39145294,3599.3238366
1647475200000,2022-03-17 00:00:00,RRT/USD,0.905,0.905,0.9,0.9,21901.273837911,24334.74870879
1647388800000,2022-03-16 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,90.5,100.0
1647302400000,2022-03-15 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,30365.61432093655,33553.16499551
1647216000000,2022-03-14 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,26260.17678846,29016.769932
1647129600000,2022-03-13 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,89.11351109430001,98.46796806
1647043200000,2022-03-12 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,373.1297012763,412.29801246
1646870400000,2022-03-10 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,1902.7396717008,2102.47477536
1646784000000,2022-03-09 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,17646.462119574,19498.8531708
1646697600000,2022-03-08 00:00:00,RRT/USD,0.90899,0.90899,0.905,0.905,6805.5405299522,7519.934287239999
1646611200000,2022-03-07 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,4299.86288755,4751.22971
1646524800000,2022-03-06 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,1335.0719625891002,1475.21763822
1646438400000,2022-03-05 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,10608.89373879,11722.534518
1646352000000,2022-03-04 00:00:00,RRT/USD,0.90874,0.90874,0.905,0.905,175.27760083500002,193.676907
1646179200000,2022-03-02 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,12224.548166245,13507.788029
1646092800000,2022-03-01 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,7547.36661067,8339.631614
1646006400000,2022-02-28 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,3782.971696815,4180.079223
1645920000000,2022-02-27 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,248.90100789,275.028738
1645833600000,2022-02-26 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,65946.08216089306,72868.59907281
1645747200000,2022-02-25 00:00:00,RRT/USD,0.90874,0.90874,0.905,0.905,771.0600000000001,852.0
1645660800000,2022-02-24 00:00:00,RRT/USD,0.905,0.91,0.905,0.905,27975.315295715,30911.950603
1645574400000,2022-02-23 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,68768.60850255,75987.41271
1645488000000,2022-02-22 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,2840.40400006235,3138.56795587
1645401600000,2022-02-21 00:00:00,RRT/USD,0.905,0.91248,0.905,0.905,41029.2537777923,45336.19201966
1645315200000,2022-02-20 00:00:00,RRT/USD,0.91,0.91,0.905,0.905,131.35467383,145.143286
1645228800000,2022-02-19 00:00:00,RRT/USD,0.905,0.91699,0.905,0.91699,11258.06007479818,12277.189582
1645142400000,2022-02-18 00:00:00,RRT/USD,0.905,0.905,0.905,0.905,10123.8714319065,11186.5982673
1645056000000,2022-02-17 00:00:00,RRT/USD,0.9062,0.9062,0.905,0.905,48403.04739245855,53484.03026791
1644969600000,2022-02-16 00:00:00,RRT/USD,0.91396,0.91396,0.905,0.91396,13238.231407052182,14484.47569593
1644883200000,2022-02-15 00:00:00,RRT/USD,0.905,0.91396,0.905,0.905,17454.74336975675,19287.00924835
1644796800000,2022-02-14 00:00:00,RRT/USD,0.91735,0.93024,0.905,0.905,28553.61978473955,31550.961088109998
1644710400000,2022-02-13 00:00:00,RRT/USD,0.95,0.95444,0.91735,0.91735,2850822.993806998,3107672.09222979
1644624000000,2022-02-12 00:00:00,RRT/USD,0.948,0.95,0.90005,0.95,1584906.6739806181,1668322.8147164402
1644537600000,2022-02-11 00:00:00,RRT/USD,0.90251,0.95,0.9,0.94075,602889.207013472,640860.17221735
1644451200000,2022-02-10 00:00:00,RRT/USD,0.88,0.9499,0.88,0.90933,939201.1046903041,1032849.57572092
1644364800000,2022-02-09 00:00:00,RRT/USD,0.9,0.953,0.70002,0.88,1528660.8788312753,1737114.63503554
1644278400000,2022-02-08 00:00:00,RRT/USD,0.31343,0.94339,0.2726,0.90001,2939093.462524205,3265623.11810336
1644192000000,2022-02-07 00:00:00,RRT/USD,0.29973,0.3175,0.25,0.31343,22561.340873103163,71982.07214722
1644105600000,2022-02-06 00:00:00,RRT/USD,0.29357,0.2998,0.275,0.28704,13758.221261543616,47931.3728454
1644019200000,2022-02-05 00:00:00,RRT/USD,0.28579,0.31,0.27964,0.28444,9095.749996169367,31977.74573256
1643932800000,2022-02-04 00:00:00,RRT/USD,0.17056,0.3,0.16955,0.28518,234385.34646386106,821885.63876801
1643846400000,2022-02-03 00:00:00,RRT/USD,0.16372,0.17575,0.15652,0.17499,7118.936974931596,40681.96454044
1643760000000,2022-02-02 00:00:00,RRT/USD,0.17071,0.17799,0.15161,0.159,10395.22047092862,65378.74510018
1643673600000,2022-02-01 00:00:00,RRT/USD,0.07749,0.17799,0.07749,0.1705,50980.426480857066,299005.43390532
