https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTT
1647907200000,2022-03-22 00:00:00,BTT/USD,1.81e-06,1.86e-06,1.8e-06,1.85e-06,2527.2366859832127,1366073884.3152502
1647820800000,2022-03-21 00:00:00,BTT/USD,1.8e-06,1.83e-06,1.79e-06,1.81e-06,2153.657767536055,1189866169.9094226
1647734400000,2022-03-20 00:00:00,BTT/USD,1.85e-06,1.86e-06,1.78e-06,1.8e-06,3122.625759917113,1734792088.8428407
1647648000000,2022-03-19 00:00:00,BTT/USD,1.84e-06,1.87e-06,1.81e-06,1.85e-06,704.2122680268014,380655280.01448727
1647561600000,2022-03-18 00:00:00,BTT/USD,1.81e-06,1.86e-06,1.8e-06,1.84e-06,8926.342502700614,4851273099.293812
1647475200000,2022-03-17 00:00:00,BTT/USD,1.81e-06,1.82e-06,1.8e-06,1.81e-06,233.70821595587446,129120561.3015881
1647388800000,2022-03-16 00:00:00,BTT/USD,1.75e-06,1.82e-06,1.74e-06,1.81e-06,6149.660101361586,3397602265.9456277
1647302400000,2022-03-15 00:00:00,BTT/USD,1.73e-06,1.76e-06,1.7e-06,1.75e-06,5327.61029961669,3044348742.6381087
1647216000000,2022-03-14 00:00:00,BTT/USD,1.73e-06,1.74e-06,1.7e-06,1.73e-06,2639.4874812651074,1525715307.0896575
1647129600000,2022-03-13 00:00:00,BTT/USD,1.76e-06,1.79e-06,1.73e-06,1.73e-06,3459.7616371829195,1999862218.024809
1647043200000,2022-03-12 00:00:00,BTT/USD,1.76e-06,1.77e-06,1.74e-06,1.77e-06,1890.5553378724262,1068110360.3799018
1646956800000,2022-03-11 00:00:00,BTT/USD,1.79e-06,1.8e-06,1.74e-06,1.76e-06,6290.279833930193,3574022632.914882
1646870400000,2022-03-10 00:00:00,BTT/USD,1.83e-06,1.85e-06,1.76e-06,1.79e-06,10953.499501687773,6119273464.63004
1646784000000,2022-03-09 00:00:00,BTT/USD,1.78e-06,1.87e-06,1.78e-06,1.83e-06,6354.47216743414,3472389162.5323167
1646697600000,2022-03-08 00:00:00,BTT/USD,1.75e-06,1.86e-06,1.74e-06,1.78e-06,6400.265849938744,3595654971.8756995
1646611200000,2022-03-07 00:00:00,BTT/USD,1.77e-06,1.9e-06,1.73e-06,1.75e-06,1977.7170828688527,1130124047.35363
