https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANT
1647648000000,2022-03-19 00:00:00,ANT/USD,4.7918,5.0112,4.6981,4.9904,10147.052726861391,2033.3145092299999
1647561600000,2022-03-18 00:00:00,ANT/USD,4.4844,4.6924,4.4132,4.6924,566.848954095296,120.80149904
1647475200000,2022-03-17 00:00:00,ANT/USD,4.7205,4.7699,4.5498,4.5498,13033.506407347872,2864.63282064
1647388800000,2022-03-16 00:00:00,ANT/USD,4.4316,4.692,4.387,4.6898,6459.105569820665,1377.26674268
1647302400000,2022-03-15 00:00:00,ANT/USD,4.455,4.455,4.2139,4.4018,3499.5280859247277,795.02205596
1647216000000,2022-03-14 00:00:00,ANT/USD,4.2316,4.3928,4.2,4.3924,6846.369701852969,1558.68538882
1647129600000,2022-03-13 00:00:00,ANT/USD,4.4039,4.4706,4.3304,4.3317,1539.1637506035718,355.32556516
1647043200000,2022-03-12 00:00:00,ANT/USD,4.445,4.5284,4.3303,4.3303,13424.196370653264,3100.06151321
1646956800000,2022-03-11 00:00:00,ANT/USD,4.5038,4.5074,4.3767,4.4331,7434.63850051883,1677.07439501
1646870400000,2022-03-10 00:00:00,ANT/USD,4.599,4.6,4.3521,4.4498,10152.11627049878,2281.4769811
1646784000000,2022-03-09 00:00:00,ANT/USD,4.4645,4.9362,4.4645,4.761,15936.532924421432,3347.30790263
1646697600000,2022-03-08 00:00:00,ANT/USD,4.477,4.64,4.3,4.3469,14878.960719092493,3422.89004097
1646611200000,2022-03-07 00:00:00,ANT/USD,4.5148,4.7396,4.2768,4.2776,14292.01097225355,3341.12843002
1646524800000,2022-03-06 00:00:00,ANT/USD,4.8785,4.8785,4.568,4.6973,9502.368762136983,2022.94270371
1646438400000,2022-03-05 00:00:00,ANT/USD,4.712,4.9471,4.6605,4.831,10856.544505558722,2247.26650912
1646352000000,2022-03-04 00:00:00,ANT/USD,4.9533,5.1778,4.6851,4.7168,16579.098093751425,3514.90376818
1646265600000,2022-03-03 00:00:00,ANT/USD,5.3017,5.3017,4.8873,5.0723,12476.1039783708,2459.654196
1646179200000,2022-03-02 00:00:00,ANT/USD,5.4903,5.5607,5.2346,5.2346,5898.740460804086,1126.87511191
1646092800000,2022-03-01 00:00:00,ANT/USD,5.4465,5.85,5.3086,5.6606,29562.88692524479,5222.57126899
1646006400000,2022-02-28 00:00:00,ANT/USD,4.8,5.4142,4.7429,5.4016,25918.766899189508,4798.34991469
1645920000000,2022-02-27 00:00:00,ANT/USD,5.3009,5.4975,4.8311,4.8311,30242.26617359343,6259.91309921
1645833600000,2022-02-26 00:00:00,ANT/USD,5.5,5.75,5.4,5.4053,16741.965046828846,3097.32393148
1645747200000,2022-02-25 00:00:00,ANT/USD,4.9096,5.489,4.9096,5.3724,36221.98011709965,6742.23440494
1645660800000,2022-02-24 00:00:00,ANT/USD,4.8639,4.9577,4.108,4.9577,59894.77220823222,12081.16106425
1645574400000,2022-02-23 00:00:00,ANT/USD,4.8369,5.0971,4.7204,4.8533,16932.32050818746,3488.82626423
1645488000000,2022-02-22 00:00:00,ANT/USD,4.5018,4.925,4.4036,4.7614,7215.287538584203,1515.37101243
1645401600000,2022-02-21 00:00:00,ANT/USD,4.904,5.1477,4.452,4.452,13239.47532014016,2973.82644208
1645315200000,2022-02-20 00:00:00,ANT/USD,5.414,5.4426,4.7732,4.8595,11322.3573777369,2329.9428702
1645228800000,2022-02-19 00:00:00,ANT/USD,5.3817,5.4324,5.1607,5.3406,5573.605304002752,1043.62904992
1645142400000,2022-02-18 00:00:00,ANT/USD,5.3377,5.7123,5.3377,5.4838,6084.552858940948,1109.55046846
1645056000000,2022-02-17 00:00:00,ANT/USD,5.9983,5.9983,5.2447,5.3201,15718.196953862802,2954.49276402
1644969600000,2022-02-16 00:00:00,ANT/USD,6.4061,6.4061,5.8615,6.0297,21530.904740174494,3570.80862069
1644883200000,2022-02-15 00:00:00,ANT/USD,5.9857,6.3657,5.9857,6.3657,17705.850939126205,2781.44602151
1644796800000,2022-02-14 00:00:00,ANT/USD,5.7366,5.9117,5.488,5.6008,26003.332716220142,4642.78901518
1644710400000,2022-02-13 00:00:00,ANT/USD,6.1131,6.3264,5.7862,5.828,8425.11846458212,1445.62773929
1644624000000,2022-02-12 00:00:00,ANT/USD,6.084,6.4544,5.9052,6.3072,16876.312072182434,2675.72172631
1644537600000,2022-02-11 00:00:00,ANT/USD,6.8715,6.8715,6.0,6.0877,13337.499700720886,2190.89306318
1644451200000,2022-02-10 00:00:00,ANT/USD,7.6123,7.7331,7.005,7.1047,8984.063196589586,1264.52393438
