https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SGB
1646784000000,2022-03-09 00:00:00,SGB/USD,0.073061,0.07591,0.068718,0.07169,53284.9760707026,743269.2993542
1646697600000,2022-03-08 00:00:00,SGB/USD,0.07484,0.07652,0.069831,0.072452,32044.482166195023,442285.6810881
1646611200000,2022-03-07 00:00:00,SGB/USD,0.076746,0.078049,0.06617,0.07493,42311.31744636575,564677.93202143
1646524800000,2022-03-06 00:00:00,SGB/USD,0.078613,0.083351,0.076025,0.076699,68125.51426591529,888219.06760082
1646438400000,2022-03-05 00:00:00,SGB/USD,0.074822,0.079409,0.074559,0.07833,17571.023386227505,224320.4823979
1646352000000,2022-03-04 00:00:00,SGB/USD,0.080311,0.08285,0.074367,0.074916,10245.637557303045,136761.67383874
1646265600000,2022-03-03 00:00:00,SGB/USD,0.077553,0.085711,0.071,0.080017,36382.74520266188,454687.69389832
1646179200000,2022-03-02 00:00:00,SGB/USD,0.086012,0.08651,0.076372,0.0776,15184.983109273471,195682.77202672
1646092800000,2022-03-01 00:00:00,SGB/USD,0.08969,0.08969,0.082021,0.086002,32230.694289314986,374766.79948507
1646006400000,2022-02-28 00:00:00,SGB/USD,0.082439,0.0966,0.08111,0.089643,23300.25583941947,259922.75849112
1645920000000,2022-02-27 00:00:00,SGB/USD,0.080891,0.10008,0.077722,0.082439,59929.98640518975,726961.58863147
1645833600000,2022-02-26 00:00:00,SGB/USD,0.090148,0.11747,0.077492,0.080906,100471.18092533339,1241826.08119711
1645747200000,2022-02-25 00:00:00,SGB/USD,0.061913,0.095632,0.061041,0.08993,69788.81176746216,776034.82450197
1645660800000,2022-02-24 00:00:00,SGB/USD,0.058243,0.064,0.047622,0.061913,46088.22101110781,744402.96886127
1645574400000,2022-02-23 00:00:00,SGB/USD,0.054439,0.060522,0.054438,0.058164,13116.063713389716,225501.40487913
1645488000000,2022-02-22 00:00:00,SGB/USD,0.060687,0.061882,0.053788,0.054407,43511.170651059874,799734.78874152
1645401600000,2022-02-21 00:00:00,SGB/USD,0.064379,0.068321,0.060049,0.060543,38406.45476942252,634366.56210334
1645315200000,2022-02-20 00:00:00,SGB/USD,0.061983,0.067387,0.060295,0.064168,29389.405769285066,458007.19625490997
1645228800000,2022-02-19 00:00:00,SGB/USD,0.066246,0.069964,0.059771,0.061915,9380.279724797596,151502.53936522
1645142400000,2022-02-18 00:00:00,SGB/USD,0.06613,0.071594,0.064798,0.066353,29251.510292497736,440846.83876385
1645056000000,2022-02-17 00:00:00,SGB/USD,0.078225,0.079778,0.065268,0.066177,65319.454292263785,987041.63519446
1644969600000,2022-02-16 00:00:00,SGB/USD,0.07721,0.080643,0.075111,0.078246,27106.898507686365,346431.747408
1644883200000,2022-02-15 00:00:00,SGB/USD,0.07458,0.081103,0.07384,0.076915,28445.90162673481,369835.55388071
1644796800000,2022-02-14 00:00:00,SGB/USD,0.076006,0.077343,0.072276,0.074628,38502.86099208256,515930.49515038
1644710400000,2022-02-13 00:00:00,SGB/USD,0.081553,0.083582,0.074841,0.076051,33840.92768482861,444976.7614473
1644624000000,2022-02-12 00:00:00,SGB/USD,0.088273,0.089744,0.079161,0.081489,32621.814238194303,400321.69051276
1644537600000,2022-02-11 00:00:00,SGB/USD,0.093235,0.093425,0.086829,0.087972,15651.37858920135,177913.18361753
1644451200000,2022-02-10 00:00:00,SGB/USD,0.096129,0.098922,0.092879,0.092879,46937.10908565853,505357.6059783
1644364800000,2022-02-09 00:00:00,SGB/USD,0.09718,0.097333,0.091413,0.096116,21882.07650479328,227663.2038869
1644278400000,2022-02-08 00:00:00,SGB/USD,0.091623,0.098,0.086216,0.096852,39827.19863058189,411217.10063377
1644192000000,2022-02-07 00:00:00,SGB/USD,0.089221,0.094069,0.089088,0.092147,153640.17852021963,1667337.82456531
1644105600000,2022-02-06 00:00:00,SGB/USD,0.09042,0.092342,0.087704,0.089353,46559.96849145107,521078.96199849
1644019200000,2022-02-05 00:00:00,SGB/USD,0.088359,0.092381,0.088312,0.090331,58488.143401160094,647486.94690815
1643932800000,2022-02-04 00:00:00,SGB/USD,0.086897,0.097835,0.086667,0.088359,65117.33846212526,736963.28005212
1643846400000,2022-02-03 00:00:00,SGB/USD,0.08621,0.090312,0.08621,0.087136,52879.975838458304,606867.14834808
1643760000000,2022-02-02 00:00:00,SGB/USD,0.089693,0.089772,0.085428,0.086299,33441.3963009931,387506.18548295
1643673600000,2022-02-01 00:00:00,SGB/USD,0.085168,0.090833,0.084901,0.089605,32048.812203535672,357667.67706641
1643587200000,2022-01-31 00:00:00,SGB/USD,0.089097,0.089426,0.084835,0.085098,41088.99033362274,482843.19647492
1643500800000,2022-01-30 00:00:00,SGB/USD,0.091753,0.095918,0.088908,0.089413,42088.15950586759,470716.33326102
1643414400000,2022-01-29 00:00:00,SGB/USD,0.09672,0.098393,0.088401,0.091811,41420.629726748295,451151.05735422
1643328000000,2022-01-28 00:00:00,SGB/USD,0.987,0.987,0.001,0.096343,53218.11265444392,552381.72627429
