https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XSN
1642809600000,2022-01-22 00:00:00,XSN/USD,0.080182,0.09495,0.080001,0.082769,49808.7867029714,601780.69933153
1642723200000,2022-01-21 00:00:00,XSN/USD,0.083211,0.086533,0.080001,0.080003,15672.67721374704,195901.11887988
1642636800000,2022-01-20 00:00:00,XSN/USD,0.084525,0.0913,0.083,0.083211,15648.987334553394,188063.9258578
1642550400000,2022-01-19 00:00:00,XSN/USD,0.085644,0.092024,0.083,0.084494,24343.33447373247,288107.25582565
1642464000000,2022-01-18 00:00:00,XSN/USD,0.088509,0.088637,0.083245,0.085001,18075.17439650177,212646.60882227
1642377600000,2022-01-17 00:00:00,XSN/USD,0.093176,0.094413,0.088,0.088316,10120.256878057111,114591.43165516
1642291200000,2022-01-16 00:00:00,XSN/USD,0.099594,0.102,0.0882,0.092673,32434.278131981086,349986.27574354
1642204800000,2022-01-15 00:00:00,XSN/USD,0.08892,0.1014,0.087536,0.10127,30210.36315995613,298315.03070955
1642118400000,2022-01-14 00:00:00,XSN/USD,0.0891,0.0915,0.085,0.088475,29537.807229847305,333854.84294826
1642032000000,2022-01-13 00:00:00,XSN/USD,0.095412,0.0981,0.084,0.0891,32364.187137551213,363234.42354154
1641945600000,2022-01-12 00:00:00,XSN/USD,0.092701,0.0981,0.0918,0.094778,19902.33475882155,209988.97168986
1641859200000,2022-01-11 00:00:00,XSN/USD,0.093214,0.095316,0.090397,0.0927,13146.710626395783,141819.96360729
1641772800000,2022-01-10 00:00:00,XSN/USD,0.097087,0.097309,0.090301,0.092785,18200.42518985586,196156.97785047
1641686400000,2022-01-09 00:00:00,XSN/USD,0.092967,0.10394,0.092477,0.096832,24504.884997518067,253065.98022883
1641600000000,2022-01-08 00:00:00,XSN/USD,0.10741,0.10978,0.0901,0.092929,36770.07302265191,395679.20694995
1641513600000,2022-01-07 00:00:00,XSN/USD,0.10599,0.11114,0.0975,0.10774,49270.370105363094,457308.05741009
1641427200000,2022-01-06 00:00:00,XSN/USD,0.093937,0.106,0.092,0.10569,25258.384578257133,238985.56701918
1641340800000,2022-01-05 00:00:00,XSN/USD,0.09798,0.11,0.093,0.093409,52762.19720254574,564851.32270494
1641254400000,2022-01-04 00:00:00,XSN/USD,0.099458,0.10499,0.0941,0.097003,20616.32850223128,212532.89591282
1641168000000,2022-01-03 00:00:00,XSN/USD,0.11958,0.1198,0.087801,0.09902,88729.17084036375,896073.22601862
1641081600000,2022-01-02 00:00:00,XSN/USD,0.10234,0.11994,0.09641,0.11951,35331.85977769562,295639.35886282
1640995200000,2022-01-01 00:00:00,XSN/USD,0.099489,0.10899,0.086001,0.10146,28771.267987456802,283572.52106699
1640908800000,2021-12-31 00:00:00,XSN/USD,0.1007,0.11399,0.07681,0.099021,102028.70922867999,1030374.4582329
1640822400000,2021-12-30 00:00:00,XSN/USD,0.11113,0.11499,0.09865,0.099001,32738.347170894696,330687.0351905
