https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNK
1644451200000,2022-02-10 00:00:00,PNK/USD,0.10558,0.1074,0.10076,0.10115,4883.883236202996,48283.57129217
1644364800000,2022-02-09 00:00:00,PNK/USD,0.10245,0.10609,0.10036,0.10535,4676.564419926739,44390.73962911
1644278400000,2022-02-08 00:00:00,PNK/USD,0.10584,0.10798,0.099791,0.10222,2830.660314475637,27691.84420344
1644192000000,2022-02-07 00:00:00,PNK/USD,0.10025,0.10652,0.098943,0.10565,9384.051791939431,88822.07091282
1644105600000,2022-02-06 00:00:00,PNK/USD,0.099272,0.10046,0.097176,0.1002,1805.9760231972718,18023.71280636
1644019200000,2022-02-05 00:00:00,PNK/USD,0.10203,0.10293,0.098661,0.099095,1622.0327255928364,16368.46183554
1643932800000,2022-02-04 00:00:00,PNK/USD,0.089205,0.10182,0.088095,0.10177,2833.3110910117207,27840.33694617
1643846400000,2022-02-03 00:00:00,PNK/USD,0.088706,0.089635,0.085327,0.089421,7261.077793557823,81201.03547889
1643760000000,2022-02-02 00:00:00,PNK/USD,0.09467,0.094976,0.086694,0.088534,6888.33890526821,77804.44693867
1643673600000,2022-02-01 00:00:00,PNK/USD,0.08797,0.095564,0.087807,0.094735,3475.365510043455,36685.12703904
1643587200000,2022-01-31 00:00:00,PNK/USD,0.085513,0.088977,0.081835,0.088051,1715.6624561080357,19484.87190501
1643500800000,2022-01-30 00:00:00,PNK/USD,0.085699,0.087747,0.083602,0.085398,2540.451500736918,29748.37233585
1643414400000,2022-01-29 00:00:00,PNK/USD,0.08398,0.087116,0.083101,0.085783,1888.849912815971,22018.93047359
1643328000000,2022-01-28 00:00:00,PNK/USD,0.076598,0.084682,0.075017,0.084499,2034.1796078662837,24073.41634654
1643241600000,2022-01-27 00:00:00,PNK/USD,0.078152,0.080225,0.073607,0.07663,2304.5167726813884,30073.2973076
1643155200000,2022-01-26 00:00:00,PNK/USD,0.080047,0.085951,0.076623,0.07819,15095.950887983001,193067.53917359
1643068800000,2022-01-25 00:00:00,PNK/USD,0.078692,0.081276,0.076061,0.079382,1721.4886846267102,21686.13394254
1642982400000,2022-01-24 00:00:00,PNK/USD,0.085137,0.085226,0.071393,0.078808,20294.520394815812,257518.53104781001
1642896000000,2022-01-23 00:00:00,PNK/USD,0.083485,0.087833,0.079967,0.085137,6348.89563935579,74572.69623496
1642809600000,2022-01-22 00:00:00,PNK/USD,0.088461,0.092568,0.078894,0.083004,24255.02699186114,292215.15820757
1642723200000,2022-01-21 00:00:00,PNK/USD,0.11649,0.11732,0.086519,0.088441,25874.674696330683,292564.24844055
1642636800000,2022-01-20 00:00:00,PNK/USD,0.12075,0.12844,0.11469,0.11646,4476.254541041288,38435.98266393
1642550400000,2022-01-19 00:00:00,PNK/USD,0.12411,0.12426,0.11798,0.12069,2004.619754268648,16609.6590792
1642464000000,2022-01-18 00:00:00,PNK/USD,0.12813,0.12912,0.12053,0.12417,1898.9672710782747,15293.28558491
1642377600000,2022-01-17 00:00:00,PNK/USD,0.13405,0.13405,0.12431,0.12818,1081.5150165806115,8437.47087362
1642291200000,2022-01-16 00:00:00,PNK/USD,0.13525,0.13539,0.13,0.13377,1418.5946272109431,10604.7292159
1642204800000,2022-01-15 00:00:00,PNK/USD,0.12603,0.13603,0.12603,0.13529,20992.9064051853,155169.68294172
1642118400000,2022-01-14 00:00:00,PNK/USD,0.12466,0.13008,0.12401,0.12918,3127.019274964515,24206.682729250002
1642032000000,2022-01-13 00:00:00,PNK/USD,0.12856,0.13128,0.12424,0.12544,3703.33428934551,29522.75421991
1641945600000,2022-01-12 00:00:00,PNK/USD,0.12101,0.12979,0.12031,0.12818,15328.241954101559,119583.72565222
1641859200000,2022-01-11 00:00:00,PNK/USD,0.11302,0.12295,0.11115,0.12247,15385.45507405574,125626.31725366
1641772800000,2022-01-10 00:00:00,PNK/USD,0.11065,0.11304,0.10339,0.11279,12892.891826419374,114308.82016508
1641686400000,2022-01-09 00:00:00,PNK/USD,0.10907,0.11324,0.10907,0.11072,3517.7734093282047,31771.79741084
1641600000000,2022-01-08 00:00:00,PNK/USD,0.12134,0.12437,0.10646,0.10958,24625.160604898665,224723.13017794
1641513600000,2022-01-07 00:00:00,PNK/USD,0.13365,0.13458,0.11623,0.12169,57440.90993474192,472026.54231853
1641427200000,2022-01-06 00:00:00,PNK/USD,0.12627,0.13382,0.11962,0.13379,12725.622581846905,95116.39570855
1641340800000,2022-01-05 00:00:00,PNK/USD,0.12343,0.13603,0.12078,0.12673,44615.42951163859,352051.0495671
1641254400000,2022-01-04 00:00:00,PNK/USD,0.12148,0.12594,0.11787,0.12374,2104.0905706127346,17004.12615656
1641168000000,2022-01-03 00:00:00,PNK/USD,0.12277,0.12434,0.11722,0.12152,10999.453076917787,90515.57831565
1641081600000,2022-01-02 00:00:00,PNK/USD,0.11979,0.12383,0.11777,0.12098,6600.882325895179,54561.76496855
1640995200000,2022-01-01 00:00:00,PNK/USD,0.11691,0.12003,0.11525,0.1197,1397.20640626224,11672.5681392
1640908800000,2021-12-31 00:00:00,PNK/USD,0.11763,0.12005,0.11415,0.11661,2428.7088208179302,20827.62045123
1640822400000,2021-12-30 00:00:00,PNK/USD,0.1149,0.11922,0.1147,0.11734,16219.62345174012,138227.57330612
1640736000000,2021-12-29 00:00:00,PNK/USD,0.11817,0.121,0.11435,0.1149,7578.903469355129,65960.8657037
1640649600000,2021-12-28 00:00:00,PNK/USD,0.12597,0.12611,0.11616,0.11842,17292.113578894674,146023.59043147
1640563200000,2021-12-27 00:00:00,PNK/USD,0.113,0.12812,0.11157,0.12465,27715.692286495814,222348.11300839
1640476800000,2021-12-26 00:00:00,PNK/USD,0.10981,0.1142,0.10499,0.11119,32616.43046764826,293339.60309064
1640390400000,2021-12-25 00:00:00,PNK/USD,0.083416,0.11808,0.083308,0.11315,80951.27579647598,715433.28145361
1640304000000,2021-12-24 00:00:00,PNK/USD,0.085119,0.086148,0.083214,0.083416,1161.1433008374845,13919.91105828
