https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KAI
1650240000000,2022-04-18 00:00:00,KAI/USD,0.03265,0.033779,0.031651,0.032404,1163.637359295617,35910.29994123
1650153600000,2022-04-17 00:00:00,KAI/USD,0.035637,0.035637,0.03261,0.03274,1636.1635755951625,49974.45252276
1650067200000,2022-04-16 00:00:00,KAI/USD,0.035502,0.036329,0.03469,0.035638,3250.3998637258687,91206.01222644
1649980800000,2022-04-15 00:00:00,KAI/USD,0.0346,0.03653,0.03448,0.03641,2450.5709716438078,67304.88798802
1649894400000,2022-04-14 00:00:00,KAI/USD,0.03439,0.03778,0.03395,0.0361,3435.4740426870612,95165.48594701
1649808000000,2022-04-13 00:00:00,KAI/USD,0.03404,0.034459,0.0335,0.03439,2625.733739881821,76351.6644339
1649721600000,2022-04-12 00:00:00,KAI/USD,0.03371,0.03447,0.03308,0.03383,1557.0835869824969,46026.7096359
1649635200000,2022-04-11 00:00:00,KAI/USD,0.03759,0.037777,0.03308,0.03368,2582.4284319301833,76675.42850149
1649548800000,2022-04-10 00:00:00,KAI/USD,0.03796,0.038529,0.0348,0.03741,2851.0720059854666,76211.49441287
1649462400000,2022-04-09 00:00:00,KAI/USD,0.03897,0.039979,0.037733,0.038141,5425.60717111293,142251.30885695
1649376000000,2022-04-08 00:00:00,KAI/USD,0.03936,0.041249,0.03753,0.03868,2176.873290243223,56279.04059574
1649289600000,2022-04-07 00:00:00,KAI/USD,0.0396,0.040396,0.03626,0.03878,4655.239398849745,120042.27433857
1649203200000,2022-04-06 00:00:00,KAI/USD,0.046182,0.04635,0.039472,0.040476,2418.866714022464,59760.51769005
1649116800000,2022-04-05 00:00:00,KAI/USD,0.04789,0.048759,0.04539,0.047129,3190.44218170487,67695.94478357
1649030400000,2022-04-04 00:00:00,KAI/USD,0.04723,0.04917,0.04723,0.048769,1810.104263142816,37115.87818374
1648944000000,2022-04-03 00:00:00,KAI/USD,0.04757,0.04827,0.04679,0.04827,683.9196743149429,14168.62801564
1648857600000,2022-04-02 00:00:00,KAI/USD,0.04924,0.050615,0.03941,0.04805,95262.21863777339,1982564.38372057
1648771200000,2022-04-01 00:00:00,KAI/USD,0.04695,0.04984,0.04579,0.048591,2494.9040287522084,51344.98217267
1648684800000,2022-03-31 00:00:00,KAI/USD,0.048521,0.04984,0.04,0.047425,6020.346755183185,126944.58102653
1648598400000,2022-03-30 00:00:00,KAI/USD,0.05249,0.0526,0.04839,0.04881,3503.45488096773,71777.399733
1648512000000,2022-03-29 00:00:00,KAI/USD,0.04928,0.05481,0.04901,0.05245,15732.648655368012,299955.16978776
1648425600000,2022-03-28 00:00:00,KAI/USD,0.04683,0.06251,0.044341,0.04929,18010.385686125734,365396.34177573
1648339200000,2022-03-27 00:00:00,KAI/USD,0.03952,0.04779,0.0395,0.04683,19041.92392978127,406618.06384329003
1648252800000,2022-03-26 00:00:00,KAI/USD,0.03709,0.039543,0.03709,0.03954,11992.828727716653,303308.76903684
1648166400000,2022-03-25 00:00:00,KAI/USD,0.03675,0.037092,0.03675,0.03709,7350.975925823893,198192.93410148
1648080000000,2022-03-24 00:00:00,KAI/USD,0.03675,0.037092,0.03477,0.03687,7648.490026617557,207444.80679733
1647993600000,2022-03-23 00:00:00,KAI/USD,0.034068,0.036989,0.03343,0.03676,6974.695208269056,189735.99587239
1647907200000,2022-03-22 00:00:00,KAI/USD,0.032739,0.03438,0.032723,0.034069,1670.6016958997113,49035.83010654
1647820800000,2022-03-21 00:00:00,KAI/USD,0.03169,0.034023,0.03169,0.033534,3402.0646017235654,101451.20181677
1647734400000,2022-03-20 00:00:00,KAI/USD,0.0335,0.034789,0.031652,0.031652,2690.7081312753044,85009.10309855
1647648000000,2022-03-19 00:00:00,KAI/USD,0.032668,0.03559,0.031991,0.0335,6008.727305055796,179364.99418077
1647561600000,2022-03-18 00:00:00,KAI/USD,0.032405,0.033454,0.03197,0.03221,1249.8660481332313,38803.66495291
1647475200000,2022-03-17 00:00:00,KAI/USD,0.03452,0.03513,0.03225,0.033455,2522.885848792234,75411.32413069
1647388800000,2022-03-16 00:00:00,KAI/USD,0.031839,0.0349,0.03163,0.03452,2515.144393160995,72860.49806376
1647302400000,2022-03-15 00:00:00,KAI/USD,0.03233,0.032717,0.031322,0.032525,1214.9112935860014,37353.15276206
1647216000000,2022-03-14 00:00:00,KAI/USD,0.03284,0.03307,0.031,0.032719,1465.0600648324673,44777.0428446
1647129600000,2022-03-13 00:00:00,KAI/USD,0.03513,0.03513,0.031,0.03255,7134.993818170786,219201.0389607
1647043200000,2022-03-12 00:00:00,KAI/USD,0.03498,0.035131,0.03498,0.03513,6991.474229041451,199017.19980192
1646956800000,2022-03-11 00:00:00,KAI/USD,0.03273,0.035131,0.0304,0.03459,6230.773449452148,180132.21883353998
1646870400000,2022-03-10 00:00:00,KAI/USD,0.037399,0.037399,0.03043,0.03223,2663.920873914516,82653.45559772
1646784000000,2022-03-09 00:00:00,KAI/USD,0.030405,0.0398,0.0304,0.035206,1389.9924065596915,39481.690807240004
1646697600000,2022-03-08 00:00:00,KAI/USD,0.032834,0.034193,0.032834,0.034193,0.000239351,0.007
1646611200000,2022-03-07 00:00:00,KAI/USD,0.033547,0.03541,0.03134,0.031444,544.4596487790953,17315.21590062
1646524800000,2022-03-06 00:00:00,KAI/USD,0.032862,0.033744,0.032862,0.033744,112.69545380870257,3339.71828499
1646438400000,2022-03-05 00:00:00,KAI/USD,0.031345,0.042987,0.03134,0.040833,1524.2287309608166,37328.35527541
1646352000000,2022-03-04 00:00:00,KAI/USD,0.033917,0.037178,0.032661,0.034623,19.28203225935966,556.91396642
1646265600000,2022-03-03 00:00:00,KAI/USD,0.034973,0.036341,0.031341,0.034408,63.05409439898361,1832.54168795
1646092800000,2022-03-01 00:00:00,KAI/USD,0.031726,0.04401,0.03134,0.034494,1665.167559598892,48274.12186464
1646006400000,2022-02-28 00:00:00,KAI/USD,0.031402,0.032331,0.03134,0.03134,229.62770442302158,7326.98482524
1645833600000,2022-02-26 00:00:00,KAI/USD,0.032298,0.032298,0.032298,0.032298,6.7690148400000005,209.58
1645747200000,2022-02-25 00:00:00,KAI/USD,0.033,0.033,0.032435,0.032501,37.35719914726479,1149.41691478
1645660800000,2022-02-24 00:00:00,KAI/USD,0.039889,0.039889,0.03134,0.032629,6561.1710437872325,201084.03701576
1645574400000,2022-02-23 00:00:00,KAI/USD,0.03806,0.040518,0.03692,0.03989,1502.6510807971868,37669.86916012
1645488000000,2022-02-22 00:00:00,KAI/USD,0.0387,0.039839,0.03736,0.03806,3828.317786682934,100586.38430591
1645401600000,2022-02-21 00:00:00,KAI/USD,0.038653,0.039679,0.03805,0.03862,2211.0621277612136,57251.73816057
1645315200000,2022-02-20 00:00:00,KAI/USD,0.04166,0.04309,0.03805,0.038051,2186.696887506409,57467.52746331
1645228800000,2022-02-19 00:00:00,KAI/USD,0.039791,0.04398,0.03956,0.042,5692.445411098741,135534.41454997
1645142400000,2022-02-18 00:00:00,KAI/USD,0.039211,0.040619,0.03866,0.04013,4082.174113228948,101723.75064114
1645056000000,2022-02-17 00:00:00,KAI/USD,0.043989,0.043989,0.03805,0.03921,3019.4464617958533,77007.05079816
1644969600000,2022-02-16 00:00:00,KAI/USD,0.043155,0.04405,0.043155,0.04391,1293.167253204677,29450.40430892
1644883200000,2022-02-15 00:00:00,KAI/USD,0.043157,0.044159,0.043155,0.04405,849.073416742546,19275.21944932
1644796800000,2022-02-14 00:00:00,KAI/USD,0.04379,0.044489,0.042769,0.043156,880.3972600716306,20400.34433385
1644710400000,2022-02-13 00:00:00,KAI/USD,0.040562,0.04567,0.040562,0.04379,4093.443685208676,93478.96061221
1644624000000,2022-02-12 00:00:00,KAI/USD,0.0425,0.043606,0.03815,0.041312,4295.5652763324215,103978.63275398
1644537600000,2022-02-11 00:00:00,KAI/USD,0.04262,0.046061,0.0401,0.043607,3377.062621727326,77443.13118828001
1644451200000,2022-02-10 00:00:00,KAI/USD,0.045001,0.05,0.03805,0.0405,4160.26233079596,102722.52668632
1644364800000,2022-02-09 00:00:00,KAI/USD,0.044305,0.045799,0.044305,0.04567,1137.1238261263345,24898.70431632
1644278400000,2022-02-08 00:00:00,KAI/USD,0.04498,0.05349,0.03878,0.04567,5261.135113666502,115198.92957448
1644192000000,2022-02-07 00:00:00,KAI/USD,0.04327,0.046074,0.043101,0.045209,3310.095876615362,73217.63092781
1644105600000,2022-02-06 00:00:00,KAI/USD,0.046099,0.04616,0.04099,0.0431,4936.916855633788,114545.63470148
1644019200000,2022-02-05 00:00:00,KAI/USD,0.04485,0.05893,0.03878,0.046488,10319.408098189513,221980.03997138
1643932800000,2022-02-04 00:00:00,KAI/USD,0.042639,0.04654,0.04048,0.04591,4785.5163703737835,104236.90634663
1643846400000,2022-02-03 00:00:00,KAI/USD,0.0393,0.044,0.039,0.04065,2292.6641381980485,56400.10180069
1643760000000,2022-02-02 00:00:00,KAI/USD,0.04214,0.04661,0.039,0.04078,3011.9849222733255,73859.36543093
1643673600000,2022-02-01 00:00:00,KAI/USD,0.03924,0.04499,0.03878,0.04357,5581.127076908226,128095.64096645
1643587200000,2022-01-31 00:00:00,KAI/USD,0.04,0.04042,0.03878,0.039235,1598.0329402107857,40729.78055845
1643500800000,2022-01-30 00:00:00,KAI/USD,0.040121,0.04204,0.04,0.04024,1051.1306653876552,26121.53741023
1643414400000,2022-01-29 00:00:00,KAI/USD,0.04139,0.04198,0.04012,0.04104,214.952119499916,5237.62474415
1643328000000,2022-01-28 00:00:00,KAI/USD,0.041564,0.04251,0.04113,0.04181,1342.7513811486858,32115.55563618
1643241600000,2022-01-27 00:00:00,KAI/USD,0.04014,0.04278,0.04,0.041563,7096.241991892845,170734.59547898
1643155200000,2022-01-26 00:00:00,KAI/USD,0.039382,0.04037,0.039381,0.04008,2066.364702140995,51556.00554244
1643068800000,2022-01-25 00:00:00,KAI/USD,0.03958,0.040469,0.03938,0.040366,2209.109487467754,54726.98527146
1642982400000,2022-01-24 00:00:00,KAI/USD,0.039841,0.04015,0.0388,0.03957,2469.4138873369875,62406.21398375
1642896000000,2022-01-23 00:00:00,KAI/USD,0.03988,0.04137,0.03878,0.03934,1779.586815007568,45236.0654552
1642809600000,2022-01-22 00:00:00,KAI/USD,0.04734,0.048387,0.03878,0.04047,11927.144234470701,294715.69642873
1642723200000,2022-01-21 00:00:00,KAI/USD,0.05329,0.05363,0.04622,0.04752,14265.081902351649,300191.11747373
1642636800000,2022-01-20 00:00:00,KAI/USD,0.05287,0.0571,0.05112,0.05251,13505.896870001166,257206.18682158
1642550400000,2022-01-19 00:00:00,KAI/USD,0.05531,0.05974,0.0518,0.05205,26156.76096302148,502531.4306056
1642464000000,2022-01-18 00:00:00,KAI/USD,0.05754,0.05764,0.05392,0.05535,16070.6821291624,290346.56059914
1642377600000,2022-01-17 00:00:00,KAI/USD,0.05904,0.05974,0.05693,0.05746,13786.15500411908,239926.1225917
1642291200000,2022-01-16 00:00:00,KAI/USD,0.06448,0.06499,0.05871,0.05921,24516.475780055433,414059.7159273
1642204800000,2022-01-15 00:00:00,KAI/USD,0.0614,0.06499,0.06114,0.06172,12939.77707014438,209652.90133092
1642118400000,2022-01-14 00:00:00,KAI/USD,0.0642,0.06444,0.06089,0.06119,9612.626290582786,157094.72610856
1642032000000,2022-01-13 00:00:00,KAI/USD,0.06324,0.06444,0.062302,0.06434,9831.480071431923,152805.09902754
1641945600000,2022-01-12 00:00:00,KAI/USD,0.05316,0.06332,0.05316,0.06327,5881.010489012935,92951.0113642
