https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTF
1643673600000,2022-02-01 00:00:00,QTF/USD,13.539,13.662,13.35,13.35,32405.465673898496,2427.37570591
1643587200000,2022-01-31 00:00:00,QTF/USD,13.587,13.587,13.339,13.581,24782.06051004096,1824.75962816
1643500800000,2022-01-30 00:00:00,QTF/USD,14.161,14.161,13.547,13.587,47707.900351884986,3511.2902297699998
1643414400000,2022-01-29 00:00:00,QTF/USD,9.8703,14.82,9.8703,14.161,113060.77841997701,7983.95441141
1643328000000,2022-01-28 00:00:00,QTF/USD,10.108,10.139,9.8186,9.9085,32833.4412837809,3313.6641554
1643241600000,2022-01-27 00:00:00,QTF/USD,10.204,10.292,10.0,10.108,32723.84463640712,3237.42032414
1643155200000,2022-01-26 00:00:00,QTF/USD,10.555,10.843,10.051,10.204,69791.11697812812,6839.58418053
1643068800000,2022-01-25 00:00:00,QTF/USD,10.818,10.934,9.6548,10.643,74543.20662581,7003.96567
1642982400000,2022-01-24 00:00:00,QTF/USD,10.982,10.982,10.33,10.85,92822.7176473765,8555.08918409
1642896000000,2022-01-23 00:00:00,QTF/USD,10.88,11.049,10.752,11.049,25054.82026077996,2267.60976204
1642809600000,2022-01-22 00:00:00,QTF/USD,11.693,11.693,10.782,10.814,72580.36068612144,6711.70341096
1642723200000,2022-01-21 00:00:00,QTF/USD,13.527,13.566,11.107,11.688,187029.30303934537,16001.82264197
1642636800000,2022-01-20 00:00:00,QTF/USD,13.673,14.06,13.484,13.484,74209.62241149056,5503.53177184
1642550400000,2022-01-19 00:00:00,QTF/USD,13.839,13.865,13.569,13.659,46531.53943000368,3406.65783952
1642464000000,2022-01-18 00:00:00,QTF/USD,13.926,13.951,13.757,13.839,25770.40175946411,1862.15779749
1642377600000,2022-01-17 00:00:00,QTF/USD,14.007,14.008,13.799,13.87,31804.5832499387,2293.04854001
1642291200000,2022-01-16 00:00:00,QTF/USD,14.043,14.128,14.001,14.007,17879.37664955442,1276.46010206
1642204800000,2022-01-15 00:00:00,QTF/USD,13.919,14.143,13.878,14.043,35692.52015880042,2541.65920094
1642118400000,2022-01-14 00:00:00,QTF/USD,13.925,14.004,13.794,13.962,32595.3853604652,2334.5785246
1642032000000,2022-01-13 00:00:00,QTF/USD,14.373,14.39,13.916,13.959,40552.67949804027,2905.12783853
1641945600000,2022-01-12 00:00:00,QTF/USD,14.293,14.556,14.251,14.41,50985.134758987,3538.1772907
1641859200000,2022-01-11 00:00:00,QTF/USD,14.055,14.378,13.95,14.378,37802.59075546954,2629.19674193
1641772800000,2022-01-10 00:00:00,QTF/USD,14.322,14.367,13.683,13.975,50779.447155648246,3633.59192527
1641686400000,2022-01-09 00:00:00,QTF/USD,14.406,14.757,14.237,14.324,42108.15580559284,2939.69253041
1641600000000,2022-01-08 00:00:00,QTF/USD,14.844,14.889,14.001,14.489,21668.89364071537,1495.54100633
1641513600000,2022-01-07 00:00:00,QTF/USD,15.477,15.477,14.617,14.617,42439.37943408364,2903.42610892
1641427200000,2022-01-06 00:00:00,QTF/USD,16.039,16.039,15.383,15.5,49360.32632968,3184.53718256
1641340800000,2022-01-05 00:00:00,QTF/USD,17.134,17.276,15.942,15.99,78772.3879295964,4926.35321636
1641254400000,2022-01-04 00:00:00,QTF/USD,17.565,17.698,17.224,17.224,42564.4297784776,2471.2279249
1641168000000,2022-01-03 00:00:00,QTF/USD,17.719,17.794,17.527,17.633,27235.74474807802,1544.58939194
1641081600000,2022-01-02 00:00:00,QTF/USD,17.959,17.959,17.719,17.745,18805.28417467245,1059.75115101
1640995200000,2022-01-01 00:00:00,QTF/USD,17.842,18.02,17.842,18.02,19676.7478957376,1091.93939488
1640908800000,2021-12-31 00:00:00,QTF/USD,17.921,18.225,17.736,17.736,66274.42445092632,3736.71766187
1640822400000,2021-12-30 00:00:00,QTF/USD,17.966,18.12,17.776,17.921,29383.71427396861,1639.62470141
1640736000000,2021-12-29 00:00:00,QTF/USD,18.933,18.933,17.916,17.916,80521.22039021185,4494.37488224
1640649600000,2021-12-28 00:00:00,QTF/USD,18.1,21.586,14.02,18.933,102162.94610160658,5396.02525229
1640563200000,2021-12-27 00:00:00,QTF/USD,15.4,21.976,13.232,18.1,103505.999002299,5718.56348079
1640476800000,2021-12-26 00:00:00,QTF/USD,14.164,15.561,13.828,15.4,50304.075790892006,3266.49842798
1640390400000,2021-12-25 00:00:00,QTF/USD,14.243,14.293,14.079,14.164,43076.31773866252,3041.25372343
1640304000000,2021-12-24 00:00:00,QTF/USD,14.57,14.57,14.219,14.219,40643.781372790516,2858.41348708
