https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KNC
1645142400000,2022-02-18 00:00:00,KNC/USD,2.2562,2.3242,2.1542,2.1548,13685.528772642518,6351.1828349
1645056000000,2022-02-17 00:00:00,KNC/USD,2.2776,2.3808,2.1786,2.2726,56380.01206734752,24808.59459093
1644969600000,2022-02-16 00:00:00,KNC/USD,2.1932,2.3391,2.0928,2.2957,52491.46336194361,22865.12321381
1644883200000,2022-02-15 00:00:00,KNC/USD,1.92,2.1784,1.92,2.1722,62634.01117533092,28834.36662155
1644796800000,2022-02-14 00:00:00,KNC/USD,1.7756,1.9304,1.7525,1.9304,18517.51042391956,9592.57688765
1644710400000,2022-02-13 00:00:00,KNC/USD,1.8604,1.8655,1.7757,1.817,2863.53696672217,1575.96971201
1644624000000,2022-02-12 00:00:00,KNC/USD,1.8695,1.8725,1.7786,1.8485,15893.61020453899,8598.11209334
1644537600000,2022-02-11 00:00:00,KNC/USD,1.8658,2.156,1.8387,1.9106,26901.1568424081,14079.9522885
1644451200000,2022-02-10 00:00:00,KNC/USD,1.9744,1.9825,1.8344,1.8753,21623.35189933464,11530.6094488
1644364800000,2022-02-09 00:00:00,KNC/USD,1.9377,1.9953,1.882,1.97,14580.5593423632,7401.29915856
1644278400000,2022-02-08 00:00:00,KNC/USD,2.0051,2.0051,1.8299,1.869,6710.88468358266,3590.62850914
1644192000000,2022-02-07 00:00:00,KNC/USD,2.0681,2.0681,1.9537,2.0083,28864.26267294895,14372.48552156
1644105600000,2022-02-06 00:00:00,KNC/USD,2.079,2.079,1.9753,2.0734,12946.906248716496,6244.28776344
1644019200000,2022-02-05 00:00:00,KNC/USD,2.1186,2.1202,2.0048,2.0463,10431.68330845263,5097.8269601
1643932800000,2022-02-04 00:00:00,KNC/USD,2.0581,2.0792,1.982,2.0653,18664.58269373257,9037.22592056
1643846400000,2022-02-03 00:00:00,KNC/USD,1.882,2.052,1.8469,2.0396,52373.62166927889,25678.37893179
1643760000000,2022-02-02 00:00:00,KNC/USD,1.933,2.0422,1.861,1.9004,28396.34473590829,14942.29885072
1643673600000,2022-02-01 00:00:00,KNC/USD,1.8646,1.97,1.8646,1.8947,37863.239439718905,19983.76494417
1643587200000,2022-01-31 00:00:00,KNC/USD,1.7186,1.9333,1.6699,1.894,35439.70753092386,18711.56680619
1643500800000,2022-01-30 00:00:00,KNC/USD,1.7205,1.7368,1.6426,1.7242,51179.69826077641,29683.15639762
1643414400000,2022-01-29 00:00:00,KNC/USD,1.8074,1.8149,1.6956,1.7366,37969.87854848882,21864.4930027
1643328000000,2022-01-28 00:00:00,KNC/USD,1.827,1.8323,1.6971,1.7972,38387.54723476674,21359.64123902
1643241600000,2022-01-27 00:00:00,KNC/USD,1.7138,1.8661,1.6196,1.7804,56587.627486374695,31783.65956323
1643155200000,2022-01-26 00:00:00,KNC/USD,1.6536,1.7779,1.6084,1.7105,31375.56037820798,18342.91749676
1643068800000,2022-01-25 00:00:00,KNC/USD,1.5641,1.7445,1.5598,1.6768,92770.59211163674,55325.97334902
1642982400000,2022-01-24 00:00:00,KNC/USD,1.4543,1.5562,1.3056,1.5562,26867.67367238919,17264.92332116
1642896000000,2022-01-23 00:00:00,KNC/USD,1.4955,1.5235,1.3751,1.4536,10284.6523268048,7075.297418
1642809600000,2022-01-22 00:00:00,KNC/USD,1.4384,1.5436,1.2551,1.4961,46307.36756932504,30952.05371922
1642723200000,2022-01-21 00:00:00,KNC/USD,1.5712,1.7018,1.3933,1.4269,48908.409477893605,34275.98954229
1642636800000,2022-01-20 00:00:00,KNC/USD,1.5374,1.656,1.5113,1.5733,21361.90466608787,13577.7694439
1642550400000,2022-01-19 00:00:00,KNC/USD,1.4677,1.5723,1.383,1.5416,43686.80390988886,28338.61177341
1642464000000,2022-01-18 00:00:00,KNC/USD,1.6156,1.653,1.4642,1.487,16789.02865616088,11290.53709224
1642377600000,2022-01-17 00:00:00,KNC/USD,1.5124,1.6233,1.5016,1.5775,45662.245671241246,28945.9560515
1642291200000,2022-01-16 00:00:00,KNC/USD,1.5159,1.5364,1.4658,1.5362,13740.442736236244,8944.43609962
1642204800000,2022-01-15 00:00:00,KNC/USD,1.416,1.5679,1.4146,1.5368,18085.46337045294,11768.260912579999
1642118400000,2022-01-14 00:00:00,KNC/USD,1.3726,1.4227,1.3564,1.4153,5142.260298788798,3633.33589966
1642032000000,2022-01-13 00:00:00,KNC/USD,1.3809,1.4432,1.3764,1.3881,28039.39410857369,20199.83726574
1641945600000,2022-01-12 00:00:00,KNC/USD,1.3486,1.4111,1.3486,1.4031,12127.008983921954,8643.01117805
1641859200000,2022-01-11 00:00:00,KNC/USD,1.3214,1.3918,1.3132,1.3577,42703.590514126976,31452.89129714
1641772800000,2022-01-10 00:00:00,KNC/USD,1.418,1.418,1.2465,1.3262,57867.977449174105,43634.42727279
1641686400000,2022-01-09 00:00:00,KNC/USD,1.5242,1.5856,1.4061,1.4273,13663.139490996697,9572.71736215
1641600000000,2022-01-08 00:00:00,KNC/USD,1.5037,1.6065,1.4302,1.5358,130608.20689049123,85042.45793104
1641513600000,2022-01-07 00:00:00,KNC/USD,1.3015,1.5781,1.2246,1.5043,82827.59187144348,55060.55432523
1641427200000,2022-01-06 00:00:00,KNC/USD,1.2528,1.3363,1.2033,1.3177,20465.168299804496,15530.97692935
1641340800000,2022-01-05 00:00:00,KNC/USD,1.3703,1.4132,1.2187,1.2617,9067.219957771382,7186.51023046
1641254400000,2022-01-04 00:00:00,KNC/USD,1.3794,1.3946,1.3578,1.3682,6243.5499099717,4563.3313185
1641168000000,2022-01-03 00:00:00,KNC/USD,1.4267,1.4501,1.3889,1.3889,6156.438359210088,4432.60015783
1641081600000,2022-01-02 00:00:00,KNC/USD,1.3703,1.4418,1.3594,1.4217,4205.889993668664,2958.35267192
1640995200000,2022-01-01 00:00:00,KNC/USD,1.316,1.3693,1.307,1.3693,4746.397773104266,3466.29502162
1640908800000,2021-12-31 00:00:00,KNC/USD,1.3095,1.3393,1.2562,1.2896,5069.110900273888,3930.76217453
